# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.343
metadata : {}


# id : NWRW1800000048.343.1.1
전설을 기억합니다

전설을	전설/NNG+을/JKO
차두리는 올해 호주 아시안컵에서 노장 투혼을 펼쳐 대표팀 선배로서 귀감이 됐다.

차두리는	차두리/NNP+는/JX
올해	올해/NNG
호주	호주/NNP
아시안컵에서	아시안/NNP+컵/NNG+에서/JKB
노장	노장/NNG
투혼을	투혼/NNG+을/JKO
펼쳐	펼치/VV+어/EC
대표팀	대표/NNG+팀/NNG
선배로서	선배/NNG+로서/JKB
귀감이	귀감/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.343.4.3
그라운드를 떠난 차두리는 곧 독일에서 공부를 시작할 것으로 알려졌다.

그라운드를	그라운드/NNG+를/JKO
떠난	떠나/VV+ㄴ/ETM
차두리는	차두리/NNP+는/JX
곧	곧/MAG
독일에서	독일/NNP+에서/JKB
공부를	공부/NNG+를/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.343.4.4
튀는 언행과 행동으로 주목을 받아온 ‘풍운아’ 이천수도 고향팀인 인천에서 선수생활을 접었다.

튀는	튀/VV+는/ETM
언행과	언행/NNG+과/JC
행동으로	행동/NNG+으로/JKB
주목을	주목/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
‘풍운아’	‘/SS+풍운아/NNG+’/SS
이천수도	이천수/NNP+도/JX
고향팀인	고향/NNG+팀/NNG+이/VCP+ㄴ/ETM
인천에서	인천/NNP+에서/JKB
선수생활을	선수/NNG+생활/NNG+을/JKO
접었다.	접/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.343.4.5
울산 현대에서 프로생활을 시작해 스페인·네덜란드·사우디아라비아·일본 등 수많은 팀을 옮겨가며 파란만장한 선수생활을 보낸 이천수는 축구 해설위원 등으로 활동할 예정이다.

울산	울산/NNP
현대에서	현대/NNP+에서/JKB
프로생활을	프로/NNG+생활/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
스페인·네덜란드·사우디아라비아·일본	스페인/NNP+·/SP+네덜란드/NNP+·/SP+사우디아라비아/NNP+·/SP+일본/NNP
등	등/NNB
수많은	수많/VA+은/ETM
팀을	팀/NNG+을/JKO
옮겨가며	옮기/VV+어/EC+가/VX+며/EC
파란만장한	파란만장/NNG+하/XSA+ㄴ/ETM
선수생활을	선수/NNG+생활/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
이천수는	이천수/NNP+는/JX
축구	축구/NNG
해설위원	해설/NNG+위원/NNG
등으로	등/NNB+으로/JKB
활동할	활동/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.343.5.1
은퇴를 택했다

은퇴를	은퇴/NNG+를/JKO
택했다	택하/VV+았/EP+다/EF


# id : NWRW1800000048.343.6.1
월드컵 4강 주역

월드컵	월드컵/NNG
4강	4/SN+강/NNB
주역	주역/NNG


# id : NWRW1800000048.343.7.1
차두리도

차두리도	차두리/NNP+도/JX


# id : NWRW1800000048.343.8.1
통산안타 2위

통산안타	통산/NNG+안타/NNG
2위	2/SN+위/NNB


# id : NWRW1800000048.343.9.1
장성호도

장성호도	장성호/NNP+도/JX


# id : NWRW1800000048.343.10.1
통산득점 1위

통산득점	통산/NNG+득점/NNG
1위	1/SN+위/NNB


# id : NWRW1800000048.343.11.1
이경수도

이경수도	이경수/NNP+도/JX


# id : NWRW1800000048.343.12.1
야구에서는 ‘전국구 에이스’로 불렸던 투수 손민한(41)이 유니폼을 벗었다.

야구에서는	야구/NNG+에서/JKB+는/JX
‘전국구	‘/SS+전국구/NNG
에이스’로	에이스/NNG+’/SS+로/JKB
불렸던	불리/VV+었/EP+던/ETM
투수	투수/NNG
손민한(41)이	손민한/NNP+(/SS+41/SN+)/SS+이/JKS
유니폼을	유니폼/NNG+을/JKO
벗었다.	벗/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.343.12.2
2009 시즌을 끝으로 한차례 은퇴한 그는 2013년 엔씨(NC) 다이노스의 창단과 함께 프로야구에 돌아왔고 올 시즌 11승6패로 복귀 이후 최고의 성적을 올렸다.

2009	2009/SN
시즌을	시즌/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
한차례	한차례/NNG
은퇴한	은퇴/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
2013년	2013/SN+년/NNB
엔씨(NC)	엔씨/NNP+(/SS+NC/SL+)/SS
다이노스의	다이노스/NNP+의/JKG
창단과	창단/NNG+과/JKB
함께	함께/MAG
프로야구에	프로/NNG+야구/NNG+에/JKB
돌아왔고	돌아오/VV+았/EP+고/EC
올	올/NNG
시즌	시즌/NNG
11승6패로	11/SN+승/NNB+6/SN+패/NNB+로/JKB
복귀	복귀/NNG
이후	이후/NNG
최고의	최고/NNG+의/JKG
성적을	성적/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.343.12.3
올해 프로야구 최고령 두자릿수 승리투수(40살8개월9일)와 포스트시즌 최고령 선발 출장과 승리투수(40살9개월19일)의 기록을 세우기도 했으나 은퇴를 결정했다.

올해	올해/NNG
프로야구	프로/NNG+야구/NNG
최고령	최/XPN+고령/NNG
두자릿수	두/MMN+자릿수/NNG
승리투수(40살8개월9일)와	승리/NNG+투수/NNG+(/SS+40/SN+살/NNB+8/SN+개월/NNB+9/SN+일/NNB+)/SS+와/JC
포스트시즌	포스트시즌/NNG
선발	선발/NNG
출장과	출장/NNG+과/JC
승리투수(40살9개월19일)의	승리/NNG+투수/NNG+(/SS+40/SN+살/NNB+9/SN+개월/NNB+19/SN+일/NNB+)/SS+의/JKG
기록을	기록/NNG+을/JKO
세우기도	세우/VV+기/ETN+도/JX
했으나	하/VX+았/EP+으나/EC
은퇴를	은퇴/NNG+를/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.343.12.4
프로야구 통산안타 2위(2100개)인 ‘스나이퍼’ 장성호(39)도 선수생활을 마감했다.

프로야구	프로/NNG+야구/NNG
통산안타	통산/NNG+안타/NNG
2위(2100개)인	2/SN+위/NNB+(/SS+2100/SN+개/NNB+)/SS+이/VCP+ㄴ/ETM
‘스나이퍼’	‘/SS+스나이퍼/NNG+’/SS
장성호(39)도	장성호/NNP+(/SS+39/SN+)/SS+도/JX
선수생활을	선수/NNG+생활/NNG+을/JKO
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.343.12.5
1996년 기아 타이거즈(당시 해태)에 입단해 1998년부터 9시즌 연속 3할 이상의 타율을 기록하는 등 대표적인 교타자로 활약했으나 2015년 케이티로 팀을 옮긴 뒤 부상 등으로 49경기만 출장한 채 은퇴를 선언했다.

1996년	1996/SN+년/NNB
기아	기아/NNP
타이거즈(당시	타이거즈/NNP+(/SS+당시/NNG
해태)에	해태/NNP+)/SS+에/JKB
입단해	입단/NNG+하/XSV+아/EC
1998년부터	1998/SN+년/NNB+부터/JX
9시즌	9/SN+시즌/NNG
연속	연속/NNG
3할	3/SN+할/NNB
이상의	이상/NNG+의/JKG
타율을	타율/NNG+을/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
교타자로	교타자/NNG+로/JKB
활약했으나	활약/NNG+하/XSV+았/EP+으나/EC
2015년	2015/SN+년/NNB
케이티로	케이티/NNP+로/JKB
팀을	팀/NNG+을/JKO
옮긴	옮기/VV+ㄴ/ETM
뒤	뒤/NNG
부상	부상/NNG
등으로	등/NNB+으로/JKB
49경기만	49/SN+경기/NNG+만/JX
출장한	출장/NNG+하/XSV+ㄴ/ETM
채	채/NNB
은퇴를	은퇴/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.343.12.6
역대 최고 유격수로 꼽히는 박진만(40)은 무릎부상으로 은퇴를 결정했고, 포수 진갑용(42)은 현역 생활을 마무리짓고 전력분석관으로 변신했다.

역대	역대/NNG
최고	최고/NNG
유격수로	유격수/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
박진만(40)은	박진만/NNP+(/SS+40/SN+)/SS+은/JX
무릎부상으로	무릎/NNG+부상/NNG+으로/JKB
은퇴를	은퇴/NNG+를/JKO
결정했고,	결정/NNG+하/XSV+았/EP+고/EC+,/SP
포수	포수/NNG
진갑용(42)은	진갑용/NNP+(/SS+42/SN+)/SS+은/JX
현역	현역/NNG
생활을	생활/NNG+을/JKO
마무리짓고	마무리/NNG+짓/VV+고/EC
전력분석관으로	전력/NNG+분석관/NNG+으로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.343.12.7
‘빅초이’ 최희섭(37)도 현역에서 물러났다.

‘빅초이’	‘/SS+빅초이/NNP+’/SS
최희섭(37)도	최희섭/NNP+(/SS+37/SN+)/SS+도/JX
현역에서	현역/NNG+에서/JKB
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.343.13.1
배구계에서는 2000년대 국내 최고의 공격수로 이름을 떨쳤던 이경수(37)가 은퇴했다.

배구계에서는	배구/NNG+계/XSN+에서/JKB+는/JX
2000년대	2000/SN+년대/NNB
국내	국내/NNG
최고의	최고/NNG+의/JKG
공격수로	공격수/NNG+로/JKB
이름을	이름/NNG+을/JKO
떨쳤던	떨치/VV+었/EP+던/ETM
이경수(37)가	이경수/NNP+(/SS+37/SN+)/SS+가/JKS
은퇴했다.	은퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.343.13.2
이경수는 프로배구 V리그 통산 득점 1위(3841점), 공격 득점 1위(3250점) 등에 이름을 올렸고, 2002 부산아시안게임과 2006 도하아시안게임에서는 국가대표로 나서 금메달을 획득했다.

이경수는	이경수/NNP+는/JX
프로배구	프로/NNG+배구/NNG
V리그	V/SL+리그/NNG
통산	통산/NNG
득점	득점/NNG
1위(3841점),	1/SN+위/NNB+(/SS+3841/SN+점/NNB+)/SS+,/SP
공격	공격/NNG
1위(3250점)	1/SN+위/NNB+(/SS+3250/SN+점/NNB+)/SS
등에	등/NNB+에/JKB
이름을	이름/NNG+을/JKO
올렸고,	올리/VV+었/EP+고/EC+,/SP
2002	2002/SN
부산아시안게임과	부산/NNP+아시안/NNP+게임/NNG+과/JC
2006	2006/SN
도하아시안게임에서는	도하/NNP+아시안/NNP+게임/NNG+에서/JKB+는/JX
국가대표로	국가/NNG+대표/NNG+로/JKB
나서	나서/VV+어/EC
금메달을	금메달/NNG+을/JKO
획득했다.	획득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.343.13.3
지난 28일에는 후위공격의 대명사였던 후인정(41)이 현역을 마감하고 트레이너로 변신했다.

지난	지나/VV+ㄴ/ETM
28일에는	28/SN+일/NNB+에/JKB+는/JX
후위공격의	후위/NNG+공격/NNG+의/JKG
대명사였던	대명사/NNG+이/VCP+었/EP+던/ETM
후인정(41)이	후인정/NNP+(/SS+41/SN+)/SS+이/JKS
현역을	현역/NNG+을/JKO
마감하고	마감/NNG+하/XSV+고/EC
트레이너로	트레이너/NNG+로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


