# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.307
metadata : {}


# id : NWRW1800000048.307.1.1
수험생들을 위한 알바 구직 요령…채용 정보 리스트부터 훑어보라

수험생들을	수험/NNG+생/XSN+들/XSN+을/JKO
만약 채용 기업의 정보와 회사명이 다르다면 일하는 회사와 일을 시키고 돈을 주는 회사가 다를 수 있다.

만약	만약/MAG
채용	채용/NNG
기업의	기업/NNG+의/JKG
정보와	정보/NNG+와/JC
회사명이	회사명/NNG+이/JKS
다르다면	다르/VA+다면/EC
일하는	일/NNG+하/XSV+는/ETM
회사와	회사/NNG+와/JC
일을	일/NNG+을/JKO
시키고	시키/VV+고/EC
돈을	돈/NNG+을/JKO
주는	주/VV+는/ETM
회사가	회사/NNG+가/JKS
다를	다르/VA+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.307.7.3
담당자의 이름을 모두 밝히지 않은 채 ‘김과장’ 등으로 생략하거나 휴대폰 번호와 이메일 주소 등 쉽게 바꿀 수 있는 연락처만 보이는 곳은 불투명한 업체인 경우가 많다.

담당자의	담당자/NNG+의/JKG
이름을	이름/NNG+을/JKO
모두	모두/MAG
밝히지	밝히/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
‘김과장’	‘/SS+김/NNP+과장/NNG+’/SS
등으로	등/NNB+으로/JKB
생략하거나	생략/NNG+하/XSV+거나/EC
휴대폰	휴대폰/NNG
번호와	번호/NNG+와/JC
이메일	이메일/NNG
주소	주소/NNG
등	등/NNB
쉽게	쉽/VA+게/EC
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
연락처만	연락처/NNG+만/JX
보이는	보이/VV+는/ETM
곳은	곳/NNG+은/JX
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
업체인	업체/NNG+이/VCP+ㄴ/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000048.307.7.4
또 채용 기업이 중간에 채용정보를 수정할 경우 구직자가 처음 본 정보와 달라 분쟁이 생길 수 있으니 처음 본 정보를 저장해두는 게 좋다.

또	또/MAG
채용	채용/NNG
기업이	기업/NNG+이/JKS
중간에	중간/NNG+에/JKB
채용정보를	채용/NNG+정보/NNG+를/JKO
수정할	수정/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
구직자가	구직자/NNG+가/JKS
처음	처음/NNG
본	보/VV+ㄴ/ETM
정보와	정보/NNG+와/JKB
달라	다르/VA+아/EC
분쟁이	분쟁/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
정보를	정보/NNG+를/JKO
저장해두는	저장/NNG+하/XSV+아/EC+두/VX+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000048.307.8.1
이밖에 ‘누구나 쉽고 빠르게 고수익’ ‘일단 빨리 지원하세요’ ‘ ○○○때문에 필요합니다.

이밖에	이/NP+밖/NNG+에/JKB
‘누구나	‘/SS+누구/NP+나/JX
쉽고	쉽/VA+고/EC
빠르게	빠르/VA+게/EC
고수익’	고/XPN+수익/NNG+’/SS
‘일단	‘/SS+일단/MAG
빨리	빨리/MAG
지원하세요’	지원/NNG+하/XSV+시/EP+어요/EF+’/SS
‘	‘/SS
○○○때문에	○/SW+○/SW+○/SW+때문/NNB+에/JKB
필요합니다.	필요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000048.307.8.2
신분증·도장·통장·신용카드 제출하세요’ ‘소개비, 가입비 등 선불금이 필요해요’ ‘키 165cm, 몸무게 48kg…’ 등의 문구가 들어간 공고는 주의해야 한다.

신분증·도장·통장·신용카드	신분증/NNG+·/SP+도장/NNG+·/SP+통장/NNG+·/SP+신용/NNG+카드/NNG
제출하세요’	제출/NNG+하/XSV+시/EP+어요/EF+’/SS
‘소개비,	‘/SS+소개비/NNG+,/SP
가입비	가입비/NNG
등	등/NNB
선불금이	선불금/NNG+이/JKS
필요해요’	필요/NNG+하/XSA+아요/EF+’/SS
‘키	‘/SS+키/NNG
165cm,	165/SN+cm/SW+,/SP
몸무게	몸무게/NNG
48kg…’	48/SN+kg/SW+…/SE+’/SS
등의	등/NNB+의/JKG
문구가	문구/NNG+가/JKS
들어간	들어가/VV+ㄴ/ETM
공고는	공고/NNG+는/JX
주의해야	주의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


