# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.219
metadata : {}


# id : NWRW1800000021.219.1.1
민노총, 2006년엔 “해고대란 온다” → 지금은 “대란 없다”

민노총,	민노총/NNP+,/SP
‘일부	‘/SS+일부/NNG
언론이나	언론/NNG+이나/JC
기업들이	기업/NNG+들/XSN+이/JKS
금방	금방/MAG
비정규직이	비/XPN+정규직/NNG+이/JKS
해고되고	해고/NNG+되/XSV+고/EC
양산될	양산/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
생각하는데	생각/NNG+하/XSV+는데/EC
그렇지	그렇/VA+지/EC
않다’고	않/VX+다/EF+’/SS+고/JKQ
언급한	언급/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
“판단이	“/SS+판단/NNG+이/JKS
너무	너무/MAG
안이하다”고	안이하/VA+다/EF+”/SS+고/JKQ
공박했다.	공박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.5.5
민주노총은 더욱이 “대한상의가 최근 서울 소재 592개사를 대상으로 여론조사를 한 결과 82.1%가 비정규직을 자르거나 아웃소싱하겠다고 답했다”며 “‘정규직으로 전환하겠다’는 응답은 11%에 불과했다.

민주노총은	민주노총/NNP+은/JX
더욱이	더욱이/MAG
“대한상의가	“/SS+대한상의/NNP+가/JKS
최근	최근/NNG
서울	서울/NNP
소재	소재/NNG
592개사를	592/SN+개사/NNB+를/JKO
대상으로	대상/NNG+으로/JKB
여론조사를	여론/NNG+조사/NNG+를/JKO
한	하/VV+ㄴ/ETM
결과	결과/NNG
82.1%가	82/SN+./SP+1/SN+%/SW+가/JKS
비정규직을	비/XPN+정규직/NNG+을/JKO
자르거나	자르/VV+거나/EC
아웃소싱하겠다고	아웃소싱/NNG+하/XSV+겠/EP+다고/EC
답했다”며	답/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“‘정규직으로	“/SS+‘/SS+정규직/NNG+으로/JKB
전환하겠다’는	전환/NNG+하/XSV+겠/EP+다/EF+’/SS+는/ETM
응답은	응답/NNG+은/JX
11%에	11/SN+%/SW+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000021.219.5.6
400만 명에 달하는 계약직 노동자가 해고 위협을 받고 있는 것”이라고 주장했다.

400만	400/SN+만/NR
명에	명/NNB+에/JKB
달하는	달하/VV+는/ETM
계약직	계약직/NNG
노동자가	노동자/NNG+가/JKS
해고	해고/NNG
위협을	위협/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.6.1
민주노총은 지난해 6월 30일 청와대 앞에서 가진 ‘비정규악법 장례식’에서 “3개월, 6개월 계약자가 양산되고 있고 심지어 0개월 계약서마저 등장했다.

민주노총은	민주노총/NNP+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
30일	30/SN+일/NNB
청와대	청와대/NNP
앞에서	앞/NNG+에서/JKB
가진	가지/VV+ㄴ/ETM
‘비정규악법	‘/SS+비/XPN+정규/NNG+악법/NNG
장례식’에서	장례식/NNG+’/SS+에서/JKB
“3개월,	“/SS+3/SN+개월/NNB+,/SP
6개월	6/SN+개월/NNB
계약자가	계약자/NNG+가/JKS
양산되고	양산/NNG+되/XSV+고/EC
있고	있/VX+고/EC
심지어	심지어/MAG
0개월	0/SN+개월/NNB
계약서마저	계약서/NNG+마저/JX
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.6.2
무한정 비정규직으로 사람을 바꾸어 쓸 수 있도록 인정해 준 것이 현재의 비정규직보호법”이라고 주장했다.

무한정	무/XPN+한정/NNG
비정규직으로	비/XPN+정규직/NNG+으로/JKB
사람을	사람/NNG+을/JKO
바꾸어	바꾸/VV+어/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
인정해	인정/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
것이	것/NNB+이/JKS
현재의	현재/NNG+의/JKG
비정규직보호법”이라고	비/XPN+정규직/NNG+보호법/NNG+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.6.3
정규직 전환을 꺼리는 기업들이 어떤 식으로 이를 피해가고 해고자가 발생하는지 당시에도 이미 인정한 셈이다.

정규직	정규직/NNG
전환을	전환/NNG+을/JKO
꺼리는	꺼리/VV+는/ETM
기업들이	기업/NNG+들/XSN+이/JKS
어떤	어떤/MMD
식으로	식/NNB+으로/JKB
이를	이/NP+를/JKO
피해가고	피하/VV+아/EC+가/VX+고/EC
해고자가	해고자/NNG+가/JKS
발생하는지	발생/NNG+하/XSV+는지/EC
당시에도	당시/NNG+에/JKB+도/JX
이미	이미/MAG
인정한	인정/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.219.6.4
민주노총은 이 집회에서 “노동자를 마음대로 썼다가 잘라도 된다고 법적으로 허용해준 비정규직보호법 때문에 수많은 노동자가 피눈물을 흘리며 일터에서 쫓겨나고 용역화되고 있다”고 밝혔다.

민주노총은	민주노총/NNP+은/JX
이	이/MMD
집회에서	집회/NNG+에서/JKB
“노동자를	“/SS+노동자/NNG+를/JKO
마음대로	마음대로/MAG
썼다가	쓰/VV+었/EP+다가/EC
잘라도	자르/VV+아도/EC
된다고	되/VV+ㄴ다고/EC
법적으로	법/NNG+적/XSN+으로/JKB
허용해준	허용/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
비정규직보호법	비/XPN+정규직/NNG+보호법/NNG
때문에	때문/NNB+에/JKB
수많은	수많/VA+은/ETM
노동자가	노동자/NNG+가/JKS
피눈물을	피눈물/NNG+을/JKO
흘리며	흘리/VV+며/EC
일터에서	일터/NNG+에서/JKB
쫓겨나고	쫓겨나/VV+고/EC
용역화되고	용역/NNG+화/XSN+되/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.219.7.1
○ “정규직 전환효과 0.12% 불과”

○	○/SW
“정규직	“/SS+정규직/NNG
전환효과	전환/NNG+효과/NNG
0.12%	0/SN+./SP+12/SN+%/SW
불과”	불과/MAG+”/SS


# id : NWRW1800000021.219.8.1
법 통과 7개월 전인 2006년 4월 4일 민주노총은 당시 민주노동당 단병호 전 의원실 자료를 인용해 기자회견을 가졌다.

법	법/NNG
통과	통과/NNG
7개월	7/SN+개월/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2006년	2006/SN+년/NNB
4월	4/SN+월/NNB
4일	4/SN+일/NNB
민주노총은	민주노총/NNP+은/JX
당시	당시/NNG
민주노동당	민주노동당/NNP
단병호	단병호/NNP
전	전/MMD
의원실	의원실/NNG
자료를	자료/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
기자회견을	기자/NNG+회견/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.219.8.2
이 기자회견에서 민주노총은 “단 의원실에서 입수한 한국노동연구원의 ‘비정규직보호입법의 시행효과(노동부 용역자료)’에 따르면 비정규직의 정규직 전환효과는 0.12%에 불과하다”고 주장했다.

이	이/MMD
기자회견에서	기자/NNG+회견/NNG+에서/JKB
민주노총은	민주노총/NNP+은/JX
“단	“/SS+단/NNP
의원실에서	의원실/NNG+에서/JKB
입수한	입수/NNG+하/XSV+ㄴ/ETM
한국노동연구원의	한국노동연구원/NNP+의/JKG
‘비정규직보호입법의	‘/SS+비/XPN+정규직/NNG+보호/NNG+입법/NNG+의/JKG
시행효과(노동부	시행/NNG+효과/NNG+(/SS+노동부/NNG
용역자료)’에	용역/NNG+자료/NNG+)/SS+’/SS+에/JKB
따르면	따르/VV+면/EC
비정규직의	비/XPN+정규직/NNG+의/JKG
정규직	정규직/NNG
전환효과는	전환/NNG+효과/NNG+는/JX
0.12%에	0/SN+./SP+12/SN+%/SW+에/JKB
불과하다”고	불과/MAG+하/XSA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.8.3
하지만 이는 정권이 바뀌고 법 개정 주장이 제기되자 ‘비정규직법 시행 후 정규직 효과 뚜렷’으로 바뀌었다.

하지만	하지만/MAJ
이는	이/NP+는/JX
정권이	정권/NNG+이/JKS
바뀌고	바뀌/VV+고/EC
법	법/NNG
개정	개정/NNG
주장이	주장/NNG+이/JKS
제기되자	제기/NNG+되/XSV+자/EC
‘비정규직법	‘/SS+비/XPN+정규직/NNG+법/NNG
시행	시행/NNG
후	후/NNG
정규직	정규직/NNG
효과	효과/NNG
뚜렷’으로	뚜렷/XR+’/SS+으로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.219.8.4
민주노총은 지난달 말 보도자료를 통해 “한국노동사회연구소의 ‘비정규직법 시행 2년 분석보고서’에 따르면 법 시행 기간인 2007년 7월∼2008년 8월 기간제 노동자가 25만 명 감소했다.

민주노총은	민주노총/NNP+은/JX
지난달	지난달/NNG
말	말/NNB
보도자료를	보도/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
“한국노동사회연구소의	“/SS+한국노동사회연구소/NNP+의/JKG
‘비정규직법	‘/SS+비/XPN+정규직/NNG+법/NNG
시행	시행/NNG
2년	2/SN+년/NNB
분석보고서’에	분석/NNG+보고서/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
법	법/NNG
기간인	기간/NNG+이/VCP+ㄴ/ETM
2007년	2007/SN+년/NNB
7월∼2008년	7/SN+월/NNB+∼/SO+2008/SN+년/NNB
8월	8/SN+월/NNB
기간제	기간/NNG+제/XSN
노동자가	노동자/NNG+가/JKS
25만	25/SN+만/NR
명	명/NNB
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.8.5
이는 비정규직보호법의 정규직 효과가 뚜렷하다는 것”이라고 주장했다.

이는	이/NP+는/JX
비정규직보호법의	비/XPN+정규직/NNG+보호법/NNG+의/JKG
정규직	정규직/NNG
효과가	효과/NNG+가/JKS
뚜렷하다는	뚜렷하/VA+다는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.9.1
○ 준비한다면서…

○	○/SW
준비한다면서…	준비/NNG+하/XSV+ㄴ다면서/EC+…/SE


# id : NWRW1800000021.219.10.1
주무부처인 노동부와 당시 여당인 열린우리당(현 민주당 전신)도 말 바꾸기와 준비 부족에 대한 비난을 면하기 어렵다.

주무부처인	주무/NNG+부처/NNG+이/VCP+ㄴ/ETM
노동부와	노동부/NNG+와/JC
당시	당시/NNG
여당인	여당/NNG+이/VCP+ㄴ/ETM
열린우리당(현	열린우리당/NNP+(/SS+현/MMD
민주당	민주당/NNP
전신)도	전신/NNG+)/SS+도/JX
말	말/NNG
바꾸기와	바꾸/VV+기/ETN+와/JC
준비	준비/NNG
부족에	부족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비난을	비난/NNG+을/JKO
면하기	면하/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000021.219.10.2
노동부는 6일 “법 적용 후(1∼3일) 파악된 비정규직 계약해지자는 208개 사업장 1222명”이라며 “5인 이상 사업장이 50만 곳이나 돼 실태를 파악하는 것은 곤란하다”고 말했다.

노동부는	노동부/NNG+는/JX
6일	6/SN+일/NNB
“법	“/SS+법/NNG
적용	적용/NNG
후(1∼3일)	후/NNG+(/SS+1/SN+∼/SO+3/SN+일/NNB+)/SS
파악된	파악/NNG+되/XSV+ㄴ/ETM
비정규직	비/XPN+정규직/NNG
계약해지자는	계약/NNG+해지자/NNG+는/JX
208개	208/SN+개/NNB
사업장	사업장/NNG
1222명”이라며	1222/SN+명/NNB+”/SS+이/VCP+라며/EC
“5인	“/SS+5/SN+인/NNG
이상	이상/NNG
사업장이	사업장/NNG+이/JKS
50만	50/SN+만/NR
곳이나	곳/NNG+이나/JX
돼	되/VV+어/EC
실태를	실태/NNG+를/JKO
파악하는	파악/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
곤란하다”고	곤란/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.11.1
하지만 주무부처로서 지난해부터 법 개정 필요성을 주장하면서 정확한 실태조사 준비조차 안한 것은 직무유기라는 지적이다.

하지만	하지만/MAJ
주무부처로서	주무/NNG+부처/NNG+로서/JKB
지난해부터	지난해/NNG+부터/JX
법	법/NNG
개정	개정/NNG
필요성을	필요/NNG+성/XSN+을/JKO
주장하면서	주장/NNG+하/XSV+면서/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
실태조사	실태/NNG+조사/NNG
준비조차	준비/NNG+조차/JX
안한	안/MAG+하/VV+ㄴ/ETM
것은	것/NNB+은/JX
직무유기라는	직무/NNG+유기/NNG+이/VCP+라는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.219.11.2
더욱이 노동부는 2006년 4월 당시 여당인 열린우리당과 당정협의를 갖고 “법이 성공적으로 집행될 수 있도록 공공부문이 모범을 보이기로 했다.

더욱이	더욱이/MAG
노동부는	노동부/NNG+는/JX
2006년	2006/SN+년/NNB
4월	4/SN+월/NNB
당시	당시/NNG
여당인	여당/NNG+이/VCP+ㄴ/ETM
열린우리당과	열린우리당/NNP+과/JKB
당정협의를	당정/NNG+협의/NNG+를/JKO
갖고	갖/VV+고/EC
“법이	“/SS+법/NNG+이/JKS
성공적으로	성공/NNG+적/XSN+으로/JKB
집행될	집행/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
공공부문이	공공/NNG+부문/NNG+이/JKS
모범을	모범/NNG+을/JKO
보이기로	보이/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.219.11.3
비정규직 종합대책 5개년 계획을 수립·추진하고 경제협력개발기구(OECD) 절반 수준(15%)에 머물고 있는 정규직 전환율을 대폭 높이겠다”고 밝혔다.

비정규직	비/XPN+정규직/NNG
종합대책	종합/NNG+대책/NNG
5개년	5/SN+개년/NNB
계획을	계획/NNG+을/JKO
수립·추진하고	수립/NNG+·/SP+추진/NNG+하/XSV+고/EC
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
절반	절반/NNG
수준(15%)에	수준/NNG+(/SS+15/SN+%/SW+)/SS+에/JKB
머물고	머물/VV+고/EC
있는	있/VX+는/ETM
정규직	정규직/NNG
전환율을	전환/NNG+율/XSN+을/JKO
대폭	대폭/MAG
높이겠다”고	높이/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.219.11.4
당시 노무현 정부와 열린우리당은 “정규직 전환 지원금 지급 등 적극적인 유도책을 통해 법의 실효성을 높일 수 있다”며 법안 처리에 매우 적극적이었다.

당시	당시/NNG
노무현	노무현/NNP
정부와	정부/NNG+와/JC
열린우리당은	열린우리당/NNP+은/JX
“정규직	“/SS+정규직/NNG
전환	전환/NNG
지원금	지원금/NNG
지급	지급/NNG
등	등/NNB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
유도책을	유도책/NNG+을/JKO
통해	통하/VV+아/EC
법의	법/NNG+의/JKG
실효성을	실효/NNG+성/XSN+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
법안	법안/NNG
처리에	처리/NNG+에/JKB
매우	매우/MAG
적극적이었다.	적극/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.219.11.5
그러나 이는 이후 지자체 선거, 이듬해 대선 등을 거치면서 흐지부지됐다.

그러나	그러나/MAJ
이는	이/NP+는/JX
이후	이후/NNG
지자체	지자체/NNG
선거,	선거/NNG+,/SP
이듬해	이듬해/NNG
대선	대선/NNG
등을	등/NNB+을/JKO
거치면서	거치/VV+면서/EC
흐지부지됐다.	흐지부지/MAG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.219.12.1
■정규직-비정규직 중간지대 ‘무기계약직’ 은행원들에 들어보니… “잘릴 걱정 없고 복지혜택 늘어… 일 하는 맛 느껴요”

■정규직-비정규직	■/SW+정규직/NNG+-/SO+비/XPN+정규직/NNG
중간지대	중간/NNG+지대/NNG
‘무기계약직’	‘/SS+무기/NNG+계약직/NNG+’/SS
은행원들에	은행원/NNG+들/XSN+에/JKB
들어보니…	듣/VV+어/EC+보/VX+니/EC+…/SE
“잘릴	“/SS+잘리/VV+ㄹ/ETM
걱정	걱정/NNG
없고	없/VA+고/EC
복지혜택	복지/NNG+혜택/NNG
늘어…	늘/VV+어/EC+…/SE
일	일/NNG
하는	하/VV+는/ETM
맛	맛/NNG
느껴요”	느끼/VV+어요/EF+”/SS


# id : NWRW1800000021.219.13.1
“부모님이 저를 무척 자랑스러워합니다.

“부모님이	“/SS+부모/NNG+님/XSN+이/JKS
저를	저/NP+를/JKO
무척	무척/MAG
자랑스러워합니다.	자랑/NNG+스럽/XSA+어/EC+하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000021.219.13.2
이젠 ‘내 회사’라는 생각이 드네요.”

이젠	이제/NNG+ㄴ/JX
‘내	‘/SS+나/NP+의/JKG
회사’라는	회사/NNG+’/SS+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
드네요.”	들/VV+네/EF+요/JX+./SF+”/SS


# id : NWRW1800000021.219.14.1
기업은행 본점 영업부 창구에서 근무하는 노미선 계장(26·여)은 작년 9월 비정규직 꼬리표를 뗐다.

기업은행	기업은행/NNP
본점	본점/NNG
영업부	영업부/NNG
창구에서	창구/NNG+에서/JKB
근무하는	근무/NNG+하/XSV+는/ETM
노미선	노미선/NNP
계장(26·여)은	계장/NNG+(/SS+26/SN+·/SP+여/NNG+)/SS+은/JX
작년	작년/NNG
9월	9/SN+월/NNB
비정규직	비/XPN+정규직/NNG
꼬리표를	꼬리표/NNG+를/JKO
뗐다.	떼/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.219.14.2
2004년 12월 입행한 뒤 1년마다 재계약하며 비서나 창구직원으로 일하다 3년 9개월 만에 사실상 고용을 보장하는 무기(無期)계약직으로 전환된 것이다.

2004년	2004/SN+년/NNB
12월	12/SN+월/NNB
입행한	입행/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
1년마다	1/SN+년/NNB+마다/JX
재계약하며	재/XPN+계약/NNG+하/XSV+며/EC
비서나	비서/NNG+나/JC
창구직원으로	창구/NNG+직원/NNG+으로/JKB
일하다	일/NNG+하/XSV+다/EC
3년	3/SN+년/NNB
9개월	9/SN+개월/NNB
만에	만/NNB+에/JKB
사실상	사실/NNG+상/XSN
고용을	고용/NNG+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
무기(無期)계약직으로	무기/NNG+(/SS+無期/SH+)/SS+계약직/NNG+으로/JKB
전환된	전환/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.219.14.3
그는 “요즘은 정규직이라는 생각으로 일한다”며 밝게 웃었다.

그는	그/NP+는/JX
“요즘은	“/SS+요즘/NNG+은/JX
정규직이라는	정규직/NNG+이/VCP+라는/ETM
생각으로	생각/NNG+으로/JKB
일한다”며	일/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
밝게	밝/VA+게/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.219.15.1
국회의 비정규직법 처리 지연으로 비정규직 근로자들이 해고 위험에 떨고 있지만 은행권은 무풍지대로 남아 있다.

국회의	국회/NNG+의/JKG
비정규직법	비/XPN+정규직/NNG+법/NNG
처리	처리/NNG
지연으로	지연/NNG+으로/JKB
비정규직	비/XPN+정규직/NNG
근로자들이	근로자/NNG+들/XSN+이/JKS
해고	해고/NNG
위험에	위험/NNG+에/JKB
떨고	떨/VV+고/EC
있지만	있/VX+지만/EC
은행권은	은행/NNG+권/XSN+은/JX
무풍지대로	무풍지대/NNG+로/JKB
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.219.15.2
2007년 7월부터 꾸준히 비정규직 직원을 무기계약직이나 전환 정규직으로 바꾼 덕이다.

2007년	2007/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
꾸준히	꾸준히/MAG
비정규직	비/XPN+정규직/NNG
직원을	직원/NNG+을/JKO
무기계약직이나	무기/NNG+계약직/NNG+이나/JC
전환	전환/NNG
정규직으로	정규직/NNG+으로/JKB
