# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.91
metadata : {}


# id : NWRW1800000021.91.1.1
[횡설수설/홍찬식]줄기세포 전쟁

[횡설수설/홍찬식]줄기세포	[/SS+횡설수설/NNG+//SP+홍찬식/NNP+]/SS+줄기세포/NNG
보수적인	보수/NNG+적/XSN+이/VCP+ㄴ/ETM
기독교계의	기독교/NNG+계/XSN+의/JKG
의견을	의견/NNG+을/JKO
받아들여	받아들이/VV+어/EC
2001년	2001/SN+년/NNB
이후	이후/NNG
줄기세포	줄기세포/NNG
연구를	연구/NNG+를/JKO
제한하는	제한/NNG+하/XSV+는/ETM
동안	동안/NNG
경쟁국들은	경쟁국/NNG+들/XSN+은/JX
바짝	바짝/MAG
추격했다.	추격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.91.2.4
영국과 일본의 성과가 눈부셨다.

영국과	영국/NNP+과/JC
일본의	일본/NNP+의/JKG
성과가	성과/NNG+가/JKS
눈부셨다.	눈부시/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.91.2.5
영국은 인간의 난자와 다른 동물 세포 사이에 핵 세포를 교환하는 이종(異種) 간 체세포 복제를 허용하면서 주도국가로 떠올랐다.

영국은	영국/NNP+은/JX
인간의	인간/NNG+의/JKG
난자와	난자/NNG+와/JC
다른	다른/MMD
동물	동물/NNG
세포	세포/NNG
사이에	사이/NNG+에/JKB
핵	핵/NNG
세포를	세포/NNG+를/JKO
교환하는	교환/NNG+하/XSV+는/ETM
이종(異種)	이종/NNG+(/SS+異種/SH+)/SS
간	간/NNB
체세포	체세포/NNG
복제를	복제/NNG+를/JKO
허용하면서	허용/NNG+하/XSV+면서/EC
주도국가로	주도/NNG+국가/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.91.3.1
▷일본은 생명윤리 논란을 피할 수 있는 새 기술을 개발했다.

▷일본은	▷/SW+일본/NNP+은/JX
생명윤리	생명/NNG+윤리/NNG
논란을	논란/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
새	새/MMA
기술을	기술/NNG+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.91.3.2
‘만능 줄기세포’로 불리는 이 기술은 인간의 난자 대신에 피부세포를 사용해 바이러스를 주입하고 줄기세포를 추출한다.

‘만능	‘/SS+만능/NNG
줄기세포’로	줄기세포/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
이	이/MMD
기술은	기술/NNG+은/JX
인간의	인간/NNG+의/JKG
난자	난자/NNG
대신에	대신/NNG+에/JKB
피부세포를	피부/NNG+세포/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
바이러스를	바이러스/NNG+를/JKO
주입하고	주입/NNG+하/XSV+고/EC
줄기세포를	줄기세포/NNG+를/JKO
추출한다.	추출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.91.3.3
종교적 비판을 피하려고 난자를 사용하지 않는 방식을 찾다가 얻은 결실이다.

종교적	종교/NNG+적/XSN
비판을	비판/NNG+을/JKO
피하려고	피하/VV+려고/EC
난자를	난자/NNG+를/JKO
사용하지	사용/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
방식을	방식/NNG+을/JKO
찾다가	찾/VV+다가/EC
얻은	얻/VV+은/ETM
결실이다.	결실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.91.3.4
독일 스페인 싱가포르 이스라엘도 선두그룹을 이루고 있다.

독일	독일/NNP
스페인	스페인/NNP
싱가포르	싱가포르/NNP
이스라엘도	이스라엘/NNP+도/JX
선두그룹을	선두/NNG+그룹/NNG+을/JKO
이루고	이루/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.91.3.5
미국도 그동안 손놓고 있었던 건 아니었다.

미국도	미국/NNP+도/JX
그동안	그동안/NNG
손놓고	손/NNG+놓/VV+고/EC
있었던	있/VX+었/EP+던/ETM
건	거/NNB+ㄴ/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000021.91.3.6
캘리포니아 주의 경우 주 차원에서 해마다 3억 달러를 지원했다.

캘리포니아	캘리포니아/NNP
주의	주/NNG+의/JKG
경우	경우/NNG
주	주/NNG
차원에서	차원/NNG+에서/JKB
해마다	해마다/MAG
3억	3/SN+억/NR
달러를	달러/NNB+를/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.91.3.7
미국은 줄기세포와 관련된 논문과 특허 건수에서 여전히 세계 1위다.

미국은	미국/NNP+은/JX
줄기세포와	줄기세포/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
논문과	논문/NNG+과/JC
특허	특허/NNG
건수에서	건수/NNG+에서/JKB
여전히	여전히/MAG
세계	세계/NNG
1위다.	1/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.91.4.1
▷한국의 줄기세포 연구는 2005년 황우석 논문조작 사건 이후 부진의 늪에 빠져 있다.

▷한국의	▷/SW+한국/NNP+의/JKG
줄기세포	줄기세포/NNG
연구는	연구/NNG+는/JX
2005년	2005/SN+년/NNB
황우석	황우석/NNP
논문조작	논문/NNG+조작/NNG
사건	사건/NNG
이후	이후/NNG
부진의	부진/NNG+의/JKG
늪에	늪/NNG+에/JKB
빠져	빠지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.91.4.2
국민 상당수가 아직 그때의 충격에서 벗어나지 못하고 있다는 의미에서 ‘황우석 트라우마(정신적 외상·外傷)’라는 말이 나온다.

국민	국민/NNG
상당수가	상당수/NNG+가/JKS
아직	아직/MAG
그때의	그때/NNG+의/JKG
충격에서	충격/NNG+에서/JKB
벗어나지	벗어나/VV+지/EC
못하고	못하/VX+고/EC
있다는	있/VX+다는/ETM
의미에서	의미/NNG+에서/JKB
‘황우석	‘/SS+황우석/NNP
트라우마(정신적	트라우마/NNG+(/SS+정신/NNG+적/XSN
외상·外傷)’라는	외상/NNG+·/SP+外傷/SH+)/SS+’/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.91.4.3
극도로 위축된 연구 분위기 속에서 정부의 관련 연구비 지원도 한 해 350억 원에 그치고 있다.

극도로	극도/NNG+로/JKB
위축된	위축/NNG+되/XSV+ㄴ/ETM
연구	연구/NNG
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
정부의	정부/NNG+의/JKG
관련	관련/NNG
연구비	연구비/NNG
지원도	지원/NNG+도/JX
한	한/MMN
해	해/NNB
350억	350/SN+억/NR
원에	원/NNB+에/JKB
그치고	그치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.91.4.4
영국 정부가 연간 2700억 원, 일본 정부가 1000억 원을 투입하는 것과 비교해 크게 부족하다.

영국	영국/NNP
정부가	정부/NNG+가/JKS
연간	연간/NNG
2700억	2700/SN+억/NR
원,	원/NNB+,/SP
일본	일본/NNP
1000억	1000/SN+억/NR
원을	원/NNB+을/JKO
투입하는	투입/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
비교해	비교/NNG+하/XSV+아/EC
크게	크/VA+게/EC
부족하다.	부족/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.91.4.5
지원금도 지원금이지만 더 늦기 전에 줄기세포 연구의 재시동을 걸어야 한다는 국민적 공감대를 이루는 일이 더 절실하다.

지원금도	지원금/NNG+도/JX
지원금이지만	지원금/NNG+이/VCP+지만/EC
더	더/MAG
늦기	늦/VA+기/ETN
전에	전/NNG+에/JKB
줄기세포	줄기세포/NNG
연구의	연구/NNG+의/JKG
재시동을	재/XPN+시동/NNG+을/JKO
걸어야	걸/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
국민적	국민/NNG+적/XSN
공감대를	공감대/NNG+를/JKO
이루는	이루/VV+는/ETM
일이	일/NNG+이/JKS
절실하다.	절실하/VA+다/EF+./SF


# id : NWRW1800000021.91.5.1
▷삼성경제연구소는 줄기세포의 세계시장 규모가 2012년에 가면 연간 324억 달러(약 48조 원)에 이를 것으로 예측했다.

▷삼성경제연구소는	▷/SW+삼성경제연구소/NNP+는/JX
줄기세포의	줄기세포/NNG+의/JKG
세계시장	세계/NNG+시장/NNG
규모가	규모/NNG+가/JKS
2012년에	2012/SN+년/NNB+에/JKB
가면	가/VV+면/EC
연간	연간/NNG
324억	324/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
48조	48/SN+조/NR
원)에	원/NNB+)/SS+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.91.5.2
줄기세포를 이용한 치료는 과학자들의 의도대로만 된다면 인류의 질병 치료와 생명 연장에 혁명을 가져올 것이다.

줄기세포를	줄기세포/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
치료는	치료/NNG+는/JX
과학자들의	과학자/NNG+들/XSN+의/JKG
의도대로만	의도/NNG+대로/JX+만/JX
된다면	되/VV+ㄴ다면/EC
인류의	인류/NNG+의/JKG
질병	질병/NNG
치료와	치료/NNG+와/JC
생명	생명/NNG
연장에	연장/NNG+에/JKB
혁명을	혁명/NNG+을/JKO
가져올	가져오/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.91.5.3
경제효과는 훨씬 클 가능성이 있다.

경제효과는	경제/NNG+효과/NNG+는/JX
훨씬	훨씬/MAG
클	크/VA+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.91.5.4
미국 연방정부의 지원 재개로 촌각을 다투는 본격적인 ‘줄기세포 전쟁’이 시작됐다.

미국	미국/NNP
연방정부의	연방/NNG+정부/NNG+의/JKG
지원	지원/NNG
재개로	재개/NNG+로/JKB
촌각을	촌각/NNG+을/JKO
다투는	다투/VV+는/ETM
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
‘줄기세포	‘/SS+줄기세포/NNG
전쟁’이	전쟁/NNG+’/SS+이/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.91.5.5
한국도 빨리 황우석 상처를 추스르고 연구 재개에 나서야 한다.

한국도	한국/NNP+도/JX
빨리	빨리/MAG
황우석	황우석/NNP
상처를	상처/NNG+를/JKO
추스르고	추스르/VV+고/EC
연구	연구/NNG
재개에	재개/NNG+에/JKB
나서야	나서/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


