# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.240
metadata : {}


# id : NWRW1800000037.240.1.1
F학점의 예비FA들

F학점의	F/SL+학점/NNG+의/JKG
그나마 1승도 5월 4일 넥센전에 두 번째 투수로 등판해 따낸 구원승이었다.

그나마	그나마/MAG
1승도	1/SN+승/NNB+도/JX
5월	5/SN+월/NNB
4일	4/SN+일/NNB
넥센전에	넥센전/NNG+에/JKB
두	두/MMN
번째	번/NNB+째/XSN
투수로	투수/NNG+로/JKB
등판해	등판/NNG+하/XSV+아/EC
따낸	따/VV+아/EC+내/VX+ㄴ/ETM
구원승이었다.	구원승/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.240.5.4
이후 2경기에 선발등판해서는 연속 패전 투수가 됐다.

이후	이후/NNG
2경기에	2/SN+경기/NNG+에/JKB
선발등판해서는	선발/NNG+등판/NNG+하/XSV+아서/EC+는/JX
연속	연속/NNG
패전	패전/NNG
투수가	투수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.240.6.1
‘100억 원 이상’이라는 구체적인 몸값까지 나오며 국내 FA 사상 최고액 경신이 점쳐지던 강민호도 FA를 앞두고 최악의 슬럼프를 보이고 있다.

‘100억	‘/SS+100/SN+억/NR
원	원/NNB
이상’이라는	이상/NNG+’/SS+이/VCP+라는/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
몸값까지	몸값/NNG+까지/JX
나오며	나오/VV+며/EC
국내	국내/NNG
FA	FA/SL
사상	사상/NNG
최고액	최고액/NNG
경신이	경신/NNG+이/JKS
점쳐지던	점치/VV+어/EC+지/VX+던/ETM
강민호도	강민호/NNP+도/JX
FA를	FA/SL+를/JKO
앞두고	앞두/VV+고/EC
최악의	최악/NNG+의/JKG
슬럼프를	슬럼프/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.240.6.2
시즌 개막 전까지만 해도 롯데의 타선을 이끌 것으로 기대됐던 강민호는 시즌 초 한동안 1할대의 타율을 벗어나지 못했다.

시즌	시즌/NNG
개막	개막/NNG
전까지만	전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
롯데의	롯데/NNP+의/JKG
타선을	타선/NNG+을/JKO
이끌	이끌/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대됐던	기대/NNG+되/XSV+었/EP+던/ETM
강민호는	강민호/NNP+는/JX
초	초/NNB
한동안	한/XPN+동안/NNG
1할대의	1/SN+할/NNB+대/XSN+의/JKG
타율을	타율/NNG+을/JKO
벗어나지	벗어나/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.240.6.3
최근 타격에서 회복세를 보이며 타율을 0.270까지 끌어올렸지만 장타력은 여전히 회복하지 못하고 있다.

최근	최근/MAG
타격에서	타격/NNG+에서/JKB
회복세를	회복세/NNG+를/JKO
보이며	보이/VV+며/EC
타율을	타율/NNG+을/JKO
0.270까지	0/SN+./SP+270/SN+까지/JX
끌어올렸지만	끌어올리/VV+었/EP+지만/EC
장타력은	장타력/NNG+은/JX
여전히	여전히/MAG
회복하지	회복/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.240.6.4
지난해 19개 홈런을 터뜨린 강민호의 올 시즌 홈런은 단 한 개에 불과하다.

지난해	지난해/NNG
19개	19/SN+개/NNB
홈런을	홈런/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
강민호의	강민호/NNP+의/JKG
올	올/NNG
시즌	시즌/NNG
홈런은	홈런/NNG+은/JX
단	단/MMA
한	한/MMN
개에	개/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000037.240.7.1
리그 최고의 주루 플레이와 탄탄한 수비력으로 강민호에 버금가는 대박 계약을 노리던 정근우 역시 지난해의 부진이 올 시즌에도 계속되며 애가 타기는 마찬가지.

리그	리그/NNG
최고의	최고/NNG+의/JKG
주루	주루/NNG
플레이와	플레이/NNG+와/JKB
탄탄한	탄탄하/VA+ㄴ/ETM
수비력으로	수비력/NNG+으로/JKB
강민호에	강민호/NNP+에/JKB
버금가는	버금가/VV+는/ETM
대박	대/XPN+박/NNG
계약을	계약/NNG+을/JKO
노리던	노리/VV+던/ETM
정근우	정근우/NNP
역시	역시/MAG
지난해의	지난해/NNG+의/JKG
부진이	부진/NNG+이/JKS
올	올/NNG
시즌에도	시즌/NNG+에/JKB+도/JX
계속되며	계속/NNG+되/XSV+며/EC
애가	애/NNG+가/JKS
타기는	타/VV+기/ETN+는/JX
마찬가지.	마찬가지/NNG+./SF


# id : NWRW1800000037.240.7.2
지난해 0.266로 6시즌 연속 3할 타율 달성에 실패한 정근우는 올 시즌에는 0.258로 타율이 더 떨어졌다.

지난해	지난해/NNG
0.266로	0/SN+./SP+266/SN+로/JKB
6시즌	6/SN+시즌/NNG
연속	연속/NNG
3할	3/SN+할/NNB
타율	타율/NNG
달성에	달성/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
정근우는	정근우/NNP+는/JX
올	올/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
0.258로	0/SN+./SP+258/SN+로/JKB
타율이	타율/NNG+이/JKS
더	더/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.240.8.1
이들의 부진에 대해 일각에서는 “어차피 FA 시장에 나가면 올 시즌 성적에 관계없이 많은 몸값을 받을 수 있기 때문에 부상당하지 않으려고 몸을 사리는 것 같다”는 의혹의 시선을 보내고 있다.

이들의	이/NP+들/XSN+의/JKG
부진에	부진/NNG+에/JKB
대해	대하/VV+아/EC
일각에서는	일각/NNG+에서/JKB+는/JX
“어차피	“/SS+어차피/MAG
FA	FA/SL
시장에	시장/NNG+에/JKB
나가면	나가/VV+면/EC
올	올/NNG
시즌	시즌/NNG
성적에	성적/NNG+에/JKB
관계없이	관계없이/MAG
많은	많/VA+은/ETM
몸값을	몸값/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
부상당하지	부상/NNG+당하/XSV+지/EC
않으려고	않/VX+으려고/EC
몸을	몸/NNG+을/JKO
사리는	사리/VV+는/ETM
것	것/NNB
같다”는	같/VA+다/EF+”/SS+는/ETM
의혹의	의혹/NNG+의/JKG
시선을	시선/NNG+을/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.240.8.2
그러나 전문가들은 “2월에 열린 월드클래식베이스볼(WBC)에 대비해 일찍 훈련을 시작한 데다 FA를 앞두고 더 잘해야겠다는 의욕이 앞서며 초반 밸런스가 무너진 것 같다”고 분석했다.

그러나	그러나/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
“2월에	“/SS+2/SN+월/NNB+에/JKB
열린	열리/VV+ㄴ/ETM
월드클래식베이스볼(WBC)에	월드/NNG+클래식/NNG+베이스볼/NNG+(/SS+WBC/SL+)/SS+에/JKB
대비해	대비/NNG+하/XSV+아/EC
일찍	일찍/MAG
훈련을	훈련/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
데다	데/NNB+다/JX
FA를	FA/SL+를/JKO
앞두고	앞두/VV+고/EC
더	더/MAG
잘해야겠다는	잘/MAG+하/XSV+아야/EC+하/VX+겠/EP+다는/ETM
의욕이	의욕/NNG+이/JKS
앞서며	앞서/VV+며/EC
초반	초반/NNG
밸런스가	밸런스/NNG+가/JKS
무너진	무너지/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.240.9.1
한편 이들과 달리 오승환은 ‘FA 빅4’ 중 유일하게 흔들리지 않는 모습이다.

한편	한편/MAG
이들과	이/NP+들/XSN+과/JKB
달리	달리/MAG
오승환은	오승환/NNP+은/JX
‘FA	‘/SS+FA/SL
빅4’	빅/NNG+4/SN+’/SS
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
흔들리지	흔들리/VV+지/EC
않는	않/VX+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.240.9.2
현재 1승 12세이브로 세이브왕 타이틀을 향해 순항 중인 오승환은 특히 지난해 1.94였던 평균자책을 0.54까지 떨어뜨리며 더욱 위력적인 ‘끝판 대장’의 모습을 보여 주고 있다.

현재	현재/MAG
1승	1/SN+승/NNB
12세이브로	12/SN+세이브/NNG+로/JKB
세이브왕	세이브왕/NNG
타이틀을	타이틀/NNG+을/JKO
향해	향하/VV+아/EC
순항	순항/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
오승환은	오승환/NNP+은/JX
특히	특히/MAG
지난해	지난해/NNG
1.94였던	1/SN+./SP+94/SN+이/VCP+었/EP+던/ETM
평균자책을	평균/NNG+자책/NNG+을/JKO
0.54까지	0/SN+./SP+54/SN+까지/JX
떨어뜨리며	떨어뜨리/VV+며/EC
더욱	더욱/MAG
위력적인	위력/NNG+적/XSN+이/VCP+ㄴ/ETM
‘끝판	‘/SS+끝판/NNG
대장’의	대장/NNG+’/SS+의/JKG
모습을	모습/NNG+을/JKO
보여	보이/VV+어/EC
주고	주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.240.9.3
또 다른 FA 대어인 삼성의 윤성환과 두산의 이종욱도 각각 개인 시즌 최다승(14승) 경신과 3년 만의 3할 타율 복귀를 노리며 FA 대박 계약을 준비하고 있다.

또	또/MAG
다른	다른/MMD
FA	FA/SL
대어인	대어/NNG+이/VCP+ㄴ/ETM
삼성의	삼성/NNP+의/JKG
윤성환과	윤성환/NNP+과/JC
두산의	두산/NNP+의/JKG
이종욱도	이종욱/NNP+도/JX
각각	각각/MAG
개인	개인/NNG
시즌	시즌/NNG
최다승(14승)	최/XPN+다승/NNG+(/SS+14/SN+승/NNB+)/SS
경신과	경신/NNG+과/JC
3년	3/SN+년/NNB
만의	만/NNB+의/JKG
3할	3/SN+할/NNB
타율	타율/NNG
복귀를	복귀/NNG+를/JKO
노리며	노리/VV+며/EC
대박	대/XPN+박/NNG
계약을	계약/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


