# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.127
metadata : {}


# id : NWRW1800000033.127.1.1
결국 응답받은 ‘1997’… 예능 출신 신원호 PD 드라마 첫 작품서 ‘홈런’

결국	결국/MAG
최고시청률을	최고/NNG+시청/NNG+률/XSN+을/JKO
달성했다(평균	달성/NNG+하/XSV+았/EP+다/EF+(/SS+평균/NNG
7.5%·TNms리서치	7/SN+./SP+5/SN+%/SW+·/SP+TNms/SL+리서치/NNG
가입가구	가입/NNG+가구/NNG
기준).	기준/NNG+)/SS+./SF


# id : NWRW1800000033.127.4.4
1990년대 소품들과 배경음악, 걸쭉한 부산 사투리도 화제였다.

1990년대	1990/SN+년대/NNB
소품들과	소품/NNG+들/XSN+과/JC
배경음악,	배경/NNG+음악/NNG+,/SP
걸쭉한	걸쭉하/VA+ㄴ/ETM
부산	부산/NNP
사투리도	사투리/NNG+도/JX
화제였다.	화제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.127.4.5
삐삐, DDR, 워크맨, 다마고치가 등장할 때 시청자들은 추억에 잠겼고 드라마 속 TV에서 외환위기에 관한 뉴스 영상이 나올 땐 울컥했다.

삐삐,	삐삐/NNG+,/SP
DDR,	DDR/SL+,/SP
워크맨,	워크맨/NNG+,/SP
다마고치가	다마고치/NNG+가/JKS
등장할	등장/NNG+하/XSV+ㄹ/ETM
때	때/NNG
시청자들은	시청자/NNG+들/XSN+은/JX
추억에	추억/NNG+에/JKB
잠겼고	잠기/VV+었/EP+고/EC
드라마	드라마/NNG
속	속/NNG
TV에서	TV/SL+에서/JKB
외환위기에	외환/NNG+위기/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
뉴스	뉴스/NNG
영상이	영상/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
울컥했다.	울컥/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.127.5.1
드라마가 종영되는 이날 오후 서울 여의도의 한 카페에서 연출을 맡은 신원호 PD를 만났다.

드라마가	드라마/NNG+가/JKS
종영되는	종영/NNG+되/XSV+는/ETM
이날	이날/NNG
오후	오후/NNG
서울	서울/NNP
여의도의	여의도/NNP+의/JKG
한	한/MMN
카페에서	카페/NNG+에서/JKB
연출을	연출/NNG+을/JKO
맡은	맡/VV+은/ETM
신원호	신원호/NNP
PD를	PD/SL+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.127.5.2
오전 6시까지 편집 작업을 했다는 그는 번데기와 다방커피를 주문했다.

오전	오전/NNG
6시까지	6/SN+시/NNB+까지/JX
편집	편집/NNG
작업을	작업/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
그는	그/NP+는/JX
번데기와	번데기/NNG+와/JC
다방커피를	다방/NNG+커피/NNG+를/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.127.5.3
펄펄 끓는 뚝배기 속 번데기들을 바라보며 이야기를 시작했다.

펄펄	펄펄/MAG
끓는	끓/VV+는/ETM
뚝배기	뚝배기/NNG
속	속/NNG
번데기들을	번데기/NNG+들/XSN+을/JKO
바라보며	바라보/VV+며/EC
이야기를	이야기/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.127.5.4
“단지 ‘일빠’(첫 번째)의 문제였어요.

“단지	“/SS+단지/MAG
‘일빠’(첫	‘/SS+일/NR+빠/NNB+’/SS+(/SS+첫/MMN
번째)의	번/NNB+째/XSN+)/SS+의/JKG
문제였어요.	문제/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000033.127.5.5
90년대 콘텐츠의 힘을 누가 먼저 보여 주느냐는 거죠.

90년대	90/SN+년대/NNB
콘텐츠의	콘텐츠/NNG+의/JKG
힘을	힘/NNG+을/JKO
누가	누구/NP+가/JKS
먼저	먼저/MAG
보여	보이/VV+어/EC
주느냐는	주/VX+느냐는/ETM
거죠.	거/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000033.127.5.6
그 시절 노래를 틀어주는 홍대 인근의 한 술집에서 ‘떼창’하는 20대 초반 친구들을 보면서 드라마의 영감을 얻었습니다.”

그	그/MMD
시절	시절/NNG
노래를	노래/NNG+를/JKO
틀어주는	틀/VV+어/EC+주/VX+는/ETM
홍대	홍대/NNP
인근의	인근/NNG+의/JKG
한	한/MMN
술집에서	술집/NNG+에서/JKB
‘떼창’하는	‘/SS+떼창/NNG+’/SS+하/VV+는/ETM
20대	20/SN+대/NNB
초반	초반/NNG
친구들을	친구/NNG+들/XSN+을/JKO
보면서	보/VV+면서/EC
드라마의	드라마/NNG+의/JKG
영감을	영감/NNG+을/JKO
얻었습니다.”	얻/VV+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000033.127.6.1
본디 그는 2004년부터 ‘여걸식스’ ‘올드미스 다이어리’ ‘1박 2일’ ‘남자의 자격’을 연출한 예능 PD였다.

본디	본디/MAG
그는	그/NP+는/JX
2004년부터	2004/SN+년/NNB+부터/JX
‘여걸식스’	‘/SS+여걸식스/NNG+’/SS
‘올드미스	‘/SS+올드미스/NNG
다이어리’	다이어리/NNG+’/SS
‘1박	‘/SS+1/SN+박/NNB
2일’	2/SN+일/NNB+’/SS
‘남자의	‘/SS+남자/NNG+의/JKG
자격’을	자격/NNG+’/SS+을/JKO
연출한	연출/NNG+하/XSV+ㄴ/ETM
예능	예능/NNG
PD였다.	PD/SL+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.127.6.2
지상파에서 케이블로 무대를 옮긴 데다 예능 출신 PD가 드라마를 하자니 시작부터 고충이 컸다.

지상파에서	지상파/NNG+에서/JKB
케이블로	케이블/NNG+로/JKB
무대를	무대/NNG+를/JKO
옮긴	옮기/VV+ㄴ/ETM
데다	데/NNB+다/JX
예능	예능/NNG
출신	출신/NNG
PD가	PD/SL+가/JKS
드라마를	드라마/NNG+를/JKO
하자니	하/VV+자니/EC
시작부터	시작/NNG+부터/JX
고충이	고충/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.127.7.1
“야구 선수가 축구를 하려고 하니….

“야구	“/SS+야구/NNG
선수가	선수/NNG+가/JKS
축구를	축구/NNG+를/JKO
하려고	하/VV+려고/EC
하니….	하/VX+니/EC+…/SE+./SF


# id : NWRW1800000033.127.7.2
불안감이야 말도 못했죠.

불안감이야	불안감/NNG+이야/JX
말도	말/NNG+도/JX
못했죠.	못/MAG+하/VV+았/EP+죠/EF+./SF


# id : NWRW1800000033.127.7.3
캐스팅 때도 무척 힘들었고….

캐스팅	캐스팅/NNG
때도	때/NNG+도/JX
무척	무척/MAG
힘들었고….	힘들/VA+었/EP+고/EC+…/SE+./SF


# id : NWRW1800000033.127.7.4
‘빽도 아니면 도’라는 마음으로 매달렸어요.”

‘빽도	‘/SS+빽도/NNG
아니면	아니/VCN+면/EC
도’라는	도/NNG+’/SS+이/VCP+라는/ETM
마음으로	마음/NNG+으로/JKB
매달렸어요.”	매달리/VV+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000033.127.8.1
하지만 예능 PD의 ‘끼’는 장점이 됐다.

하지만	하지만/MAJ
예능	예능/NNG
PD의	PD/SL+의/JKG
‘끼’는	‘/SS+끼/NNG+’/SS+는/JX
장점이	장점/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.127.8.2
예능에서 빠른 호흡으로 밀도 있게 프로그램을 만들던 경험이 드라마 연출에서 빛을 발했다.

예능에서	예능/NNG+에서/JKB
빠른	빠르/VA+ㄴ/ETM
호흡으로	호흡/NNG+으로/JKB
밀도	밀도/NNG
있게	있/VA+게/EC
프로그램을	프로그램/NNG+을/JKO
만들던	만들/VV+던/ETM
경험이	경험/NNG+이/JKS
드라마	드라마/NNG
연출에서	연출/NNG+에서/JKB
빛을	빛/NNG+을/JKO
발했다.	발하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.127.8.3
이 드라마는 매회가 퍼즐 같았다.

이	이/MMD
드라마는	드라마/NNG+는/JX
매회가	매회/NNG+가/JKS
퍼즐	퍼즐/NNG
같았다.	같/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.127.8.4
에피소드 제목의 의미를 모르다 마지막 3분에 그 이유를 깨닫게 된다.

에피소드	에피소드/NNG
제목의	제목/NNG+의/JKG
의미를	의미/NNG+를/JKO
모르다	모르/VV+다/EC
마지막	마지막/NNG
3분에	3/SN+분/NNB+에/JKB
그	그/MMD
이유를	이유/NNG+를/JKO
깨닫게	깨닫/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.127.8.5
‘여주인공 시원(정은지)의 남편이 누굴까’로 시작했던 첫 회는 마지막 회 결정적 순간에 그 답이 공개되며 끝난다.

‘여주인공	‘/SS+여주인공/NNG
시원(정은지)의	시원/NNP+(/SS+정은지/NNP+)/SS+의/JKG
남편이	남편/NNG+이/JKS
누굴까’로	누구/NP+이/VCP+ㄹ까/EF+’/SS+로/JKB
시작했던	시작/NNG+하/XSV+았/EP+던/ETM
첫	첫/MMN
회는	회/NNB+는/JX
마지막	마지막/NNG
회	회/NNB
결정적	결정/NNG+적/XSN
순간에	순간/NNG+에/JKB
그	그/MMD
답이	답/NNG+이/JKS
공개되며	공개/NNG+되/XSV+며/EC
끝난다.	끝나/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.127.9.1
“한마디로 ‘이야기꾼의 낚시’예요.

“한마디로	“/SS+한마디/NNG+로/JKB
‘이야기꾼의	‘/SS+이야기/NNG+꾼/XSN+의/JKG
낚시’예요.	낚시/NNG+’/SS+이/VCP+에요/EF+./SF


# id : NWRW1800000033.127.9.2
치밀하게 짜서 화장실도 못 가게 만드는 그런 드라마로 만들려고 했습니다.

치밀하게	치밀하/VA+게/EC
짜서	짜/VV+아서/EC
화장실도	화장실/NNG+도/JX
못	못/MAG
가게	가/VV+게/EC
만드는	만들/VV+는/ETM
그런	그런/MMD
드라마로	드라마/NNG+로/JKB
만들려고	만들/VV+려고/EC
했습니다.	하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000033.127.9.3
예능 프로는 잠깐 놓치면 웃음 포인트가 두세 개 휙 지나가버리죠.

예능	예능/NNG
프로는	프로/NNG+는/JX
잠깐	잠깐/MAG
놓치면	놓치/VV+면/EC
웃음	웃음/NNG
포인트가	포인트/NNG+가/JKS
두세	두세/MMN
개	개/NNB
휙	휙/MAG
지나가버리죠.	지나가/VV+아/EC+버리/VX+죠/EF+./SF


# id : NWRW1800000033.127.9.4
기존 드라마 작법과는 달라 보였을 겁니다.”

기존	기존/NNG
드라마	드라마/NNG
작법과는	작법/NNG+과/JKB+는/JX
달라	다르/VA+아/EC
보였을	보이/VV+었/EP+을/ETM
겁니다.”	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000033.127.10.1
이 드라마의 투박한 경상도 사투리와 디테일도 시청자들의 호평을 받았다.

이	이/MMD
드라마의	드라마/NNG+의/JKG
투박한	투박하/VA+ㄴ/ETM
경상도	경상도/NNP
사투리와	사투리/NNG+와/JC
디테일도	디테일/NNG+도/JX
시청자들의	시청자/NNG+들/XSN+의/JKG
호평을	호평/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.127.11.1
“복고의 아련함이죠.

“복고의	“/SS+복고/NNG+의/JKG
아련함이죠.	아련하/VA+ㅁ/ETN+이/VCP+죠/EF+./SF


# id : NWRW1800000033.127.11.2
사투리라면 표현이 잘될 거라고 판단했습니다.

사투리라면	사투리/NNG+이/VCP+라면/EC
표현이	표현/NNG+이/JKS
잘될	잘/MAG+되/XSV+ㄹ/ETM
거라고	거/NNB+이/VCP+라고/EC
판단했습니다.	판단/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000033.127.11.3
수집가를 찾아다니며 소품 하나하나 신경 썼어요.

수집가를	수집가/NNG+를/JKO
찾아다니며	찾아다니/VV+며/EC
소품	소품/NNG
하나하나	하나하나/MAG
신경	신경/NNG
썼어요.	쓰/VV+었/EP+어요/EF+./SF


# id : NWRW1800000033.127.11.4
촬영이 끝나고 제 소품만 해도 보따리 세 개더군요(웃음).”

촬영이	촬영/NNG+이/JKS
끝나고	끝나/VV+고/EC
제	저/NP+의/JKG
소품만	소품/NNG+만/JX
해도	하/VV+아도/EC
보따리	보따리/NNG
세	세/MMN
개더군요(웃음).”	개/NNB+이/VCP+더군/EF+요/JX+(/SS+웃음/NNG+)/SS+./SF+”/SS


# id : NWRW1800000033.127.12.1
그에게 ‘응답하라…’는 첫 드라마 작품인 만큼 애착이 크다.

그에게	그/NP+에게/JKB
‘응답하라…’는	‘/SS+응답/NNG+하/XSV+라/EF+…/SE+’/SS+는/JX
첫	첫/MMN
드라마	드라마/NNG
작품인	작품/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
애착이	애착/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000033.127.12.2
앞으로의 계획에 대해 물었다.

앞으로의	앞/NNG+으로/JKB+의/JKG
계획에	계획/NNG+에/JKB
대해	대하/VV+아/EC
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.127.12.3
“우리가 사는 세상은 모두 누군가를 좋아하는 사람들의 이야기로 가득 차 있어요.

“우리가	“/SS+우리/NP+가/JKS
사는	살/VV+는/ETM
세상은	세상/NNG+은/JX
모두	모두/MAG
누군가를	누구/NP+이/VCP+ㄴ가/EF+를/JKO
좋아하는	좋아하/VV+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
이야기로	이야기/NNG+로/JKB
가득	가득/MAG
차	차/VV+아/EC
있어요.	있/VX+어요/EF+./SF


# id : NWRW1800000033.127.12.4
‘응답하라…’도 옛날 얘기를 하는 것 같지만 사실 지금 얘기죠.

‘응답하라…’도	‘/SS+응답/NNG+하/XSV+라/EF+…/SE+’/SS+도/JX
옛날	옛날/NNG
얘기를	얘기/NNG+를/JKO
하는	하/VV+는/ETM
것	것/NNB
같지만	같/VA+지만/EC
사실	사실/MAG
지금	지금/MAG
얘기죠.	얘기/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000033.127.12.5
제가 94학번인데 서태지 시대를 배경으로 하면 어떨까요?

제가	제/NP+가/JKS
94학번인데	94/SN+학번/NNG+이/VCP+ㄴ데/EC
서태지	서태지/NNP
시대를	시대/NNG+를/JKO
배경으로	배경/NNG+으로/JKB
하면	하/VV+면/EC
어떨까요?	어떻/VA+ㄹ까/EF+요/JX+?/SF


# id : NWRW1800000033.127.12.6
에이, 아류가 될 것 같음 안 할래요.

에이,	에이/IC+,/SP
아류가	아류/NNG+가/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같음	같/VA+음/EC
안	안/MAG
할래요.	하/VV+ㄹ래/EF+요/JX+./SF


# id : NWRW1800000033.127.12.7
하하.”

하하.”	하하/IC+./SF+”/SS


