# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.369
metadata : {}


# id : NWRW1800000049.369.1.1
넓어진 ‘사잇돌 대출門’… 최대 50% 더 빌릴수 있다

넓어진	넓어지/VV+ㄴ/ETM
# id : NWRW1800000049.369.5.3
다음 달부터는 신용도가 양호한 대출자는 보증한도의 50% 범위에서 추가로 보증을 받아 은행에서 사잇돌 대출을 더 받을 수 있다.

다음	다음/NNG
달부터는	달/NNG+부터/JX+는/JX
신용도가	신용도/NNG+가/JKS
양호한	양호/NNG+하/XSA+ㄴ/ETM
대출자는	대출자/NNG+는/JX
보증한도의	보증/NNG+한도/NNG+의/JKG
50%	50/SN+%/SW
범위에서	범위/NNG+에서/JKB
추가로	추가/NNG+로/JKB
보증을	보증/NNG+을/JKO
받아	받/VV+아/EC
은행에서	은행/NNG+에서/JKB
사잇돌	사잇돌/NNP
대출을	대출/NNG+을/JKO
더	더/MAG
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.369.6.1
다만 ‘1인당 2000만 원’이라는 사잇돌 대출 한도는 유지하기로 해 효과는 제한적일 것으로 예상된다.

다만	다만/MAG
‘1인당	‘/SS+1/SN+인/NNG+당/XSN
2000만	2000/SN+만/NR
원’이라는	원/NNB+’/SS+이/VCP+라는/ETM
사잇돌	사잇돌/NNP
대출	대출/NNG
한도는	한도/NNG+는/JX
유지하기로	유지/NNG+하/XSV+기/ETN+로/JKB
해	하/VV+아/EC
효과는	효과/NNG+는/JX
제한적일	제한/NNG+적/XSN+이/VCP+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.369.6.2
예를 들어 1000만 원의 사잇돌 대출을 받은 A 씨의 경우 신용도가 좋으면 서울보증보험으로부터 500만 원을 더 보증받아 1500만 원까지 빌릴 수 있다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
1000만	1000/SN+만/NR
원의	원/NNB+의/JKG
사잇돌	사잇돌/NNP
대출을	대출/NNG+을/JKO
받은	받/VV+은/ETM
A	A/SL
씨의	씨/NNB+의/JKG
경우	경우/NNG
신용도가	신용도/NNG+가/JKS
좋으면	좋/VA+으면/EC
서울보증보험으로부터	서울보증보험/NNP+으로부터/JKB
500만	500/SN+만/NR
원을	원/NNB+을/JKO
더	더/MAG
보증받아	보증/NNG+받/XSV+아/EC
1500만	1500/SN+만/NR
원까지	원/NNB+까지/JX
빌릴	빌리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.369.6.3
금융위에 따르면 사잇돌 대출의 1인당 평균 대출액은 은행은 1086만 원, 저축은행은 879만 원이다.

금융위에	금융위/NNG+에/JKB
따르면	따르/VV+면/EC
사잇돌	사잇돌/NNP
대출의	대출/NNG+의/JKG
1인당	1/SN+인/NNG+당/XSN
평균	평균/NNG
대출액은	대출액/NNG+은/JX
은행은	은행/NNG+은/JX
1086만	1086/SN+만/NR
원,	원/NNB+,/SP
저축은행은	저축/NNG+은행/NNG+은/JX
879만	879/SN+만/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.369.7.1
금융위는 다음 달부터 사잇돌 대출을 취급하는 저축은행(현재 30곳)도 점차 늘리기로 했다.

금융위는	금융위/NNG+는/JX
다음	다음/NNG
달부터	달/NNG+부터/JX
사잇돌	사잇돌/NNP
대출을	대출/NNG+을/JKO
취급하는	취급/NNG+하/XSV+는/ETM
저축은행(현재	저축/NNG+은행/NNG+(/SS+현재/MAG
30곳)도	30/SN+곳/NNG+)/SS+도/JX
점차	점차/MAG
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.369.7.2
저축은행에서 사잇돌 대출을 받을 때 신용등급이 떨어지는 문제도 개선될 것으로 보인다.

저축은행에서	저축/NNG+은행/NNG+에서/JKB
사잇돌	사잇돌/NNP
대출을	대출/NNG+을/JKO
받을	받/VV+을/ETM
때	때/NNG
신용등급이	신용/NNG+등급/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
문제도	문제/NNG+도/JX
개선될	개선/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.369.7.3
현재 저축은행에서 대출을 받으면 신용등급이 평균 1.7등급 내려간다.

현재	현재/MAG
저축은행에서	저축/NNG+은행/NNG+에서/JKB
대출을	대출/NNG+을/JKO
받으면	받/VV+으면/EC
신용등급이	신용/NNG+등급/NNG+이/JKS
평균	평균/NNG
1.7등급	1/SN+./SP+7/SN+등급/NNG
내려간다.	내려가/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.369.7.4
금융위는 내년 상반기(1∼6월)에 저축은행에서 사잇돌 대출 등 중금리 대출을 받았을 때 떨어지는 신용등급 하락 폭을 줄이기 위한 방안을 마련할 계획이다.

금융위는	금융위/NNG+는/JX
내년	내년/NNG
상반기(1∼6월)에	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS+에/JKB
저축은행에서	저축/NNG+은행/NNG+에서/JKB
사잇돌	사잇돌/NNP
대출	대출/NNG
등	등/NNB
중금리	중금리/NNG
대출을	대출/NNG+을/JKO
받았을	받/VV+았/EP+을/ETM
때	때/NNG
떨어지는	떨어지/VV+는/ETM
신용등급	신용/NNG+등급/NNG
하락	하락/NNG
폭을	폭/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
방안을	방안/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.369.8.1
금융위 관계자는 “내년 상반기에 은행권의 사잇돌 대출 한도 5000억 원이 소진될 것으로 전망된다”며 “중금리 시장 상황을 보며 사잇돌 대출 규모 확대 여부를 결정할 것”이라고 말했다.

금융위	금융위/NNG
관계자는	관계자/NNG+는/JX
“내년	“/SS+내년/NNG
상반기에	상반기/NNG+에/JKB
은행권의	은행/NNG+권/XSN+의/JKG
사잇돌	사잇돌/NNP
대출	대출/NNG
한도	한도/NNG
5000억	5000/SN+억/NR
원이	원/NNB+이/JKS
소진될	소진/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다”며	전망/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“중금리	“/SS+중금리/NNG
시장	시장/NNG
상황을	상황/NNG+을/JKO
보며	보/VV+며/EC
규모	규모/NNG
확대	확대/NNG
여부를	여부/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.369.8.2
현재 은행권에서 집행된 사잇돌 대출은 총 1820억 원, 저축은행은 505억 원이다.

현재	현재/MAG
은행권에서	은행/NNG+권/XSN+에서/JKB
집행된	집행/NNG+되/XSV+ㄴ/ETM
사잇돌	사잇돌/NNP
대출은	대출/NNG+은/JX
총	총/MMA
1820억	1820/SN+억/NR
원,	원/NNB+,/SP
저축은행은	저축/NNG+은행/NNG+은/JX
505억	505/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


