# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.343
metadata : {}


# id : NWRW1800000056.343.1.1
김종 “삼성, 2~3개월마다 정유라 지원 경과 보고해”

김종	김종/NNP
최씨가	최/NNP+씨/NNB+가/JKS
자신의	자신/NNG+의/JKG
뜻대로	뜻/NNG+대로/JX
일이	일/NNG+이/JKS
진행되지	진행/NNG+되/XSV+지/EC
않자	않/VX+자/EC
문체부	문체부/NNG
산하	산하/NNG
공기업	공기업/NNG
임원의	임원/NNG+의/JKG
인사	인사/NNG
조처를	조처/NNG+를/JKO
요구했다고도	요구/NNG+하/XSV+았/EP+다고/EC+도/JX
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.343.9.2
최씨는 김 전 차관과 공모해 문체부 산하 공기업인 그랜드코리아레저(GKL)가 장애인펜싱팀을 창단하고, 최씨 회사인 더블루케이와 용역계약을 맺도록 강요한 혐의를 받는다.

최씨는	최/NNP+씨/NNB+는/JX
김	김/NNP
전	전/MMD
차관과	차관/NNG+과/JKB
공모해	공모/NNG+하/XSV+아/EC
문체부	문체부/NNG
산하	산하/NNG
공기업인	공기업/NNG+이/VCP+ㄴ/ETM
그랜드코리아레저(GKL)가	그랜드코리아레저/NNP+(/SS+GKL/SL+)/SS+가/JKS
장애인펜싱팀을	장애인/NNG+펜싱/NNG+팀/NNG+을/JKO
창단하고,	창단/NNG+하/XSV+고/EC+,/SP
최씨	최/NNP+씨/NNB
회사인	회사/NNG+이/VCP+ㄴ/ETM
더블루케이와	더블루케이/NNP+와/JKB
용역계약을	용역/NNG+계약/NNG+을/JKO
맺도록	맺/VV+도록/EC
강요한	강요/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000056.343.9.3
그는 “지난해 훈련장이 제대로 마련되지 않자 최씨가 ‘선수들이 민정수석실에 투서를 했다고 한다’고 말했다.

그는	그/NP+는/JX
“지난해	“/SS+지난해/NNG
훈련장이	훈련장/NNG+이/JKS
제대로	제대로/MAG
마련되지	마련/NNG+되/XSV+지/EC
않자	않/VX+자/EC
최씨가	최/NNP+씨/NNB+가/JKS
‘선수들이	‘/SS+선수/NNG+들/XSN+이/JKS
민정수석실에	민정/NNG+수석실/NNG+에/JKB
투서를	투서/NNG+를/JKO
했다고	하/VV+았/EP+다고/EC
한다’고	하/VV+ㄴ다/EF+’/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.343.9.4
또 이기우 사장을 가리켜 ‘저렇게 일처리 못하는 사람은 바꿔야 하는 것 아니냐’고 해 곤혹스러웠다”고 했다.

또	또/MAG
이기우	이기우/NNP
사장을	사장/NNG+을/JKO
가리켜	가리키/VV+어/EC
‘저렇게	‘/SS+저렇/VA+게/EC
일처리	일/NNG+처리/NNG
못하는	못하/VX+는/ETM
사람은	사람/NNG+은/JX
바꿔야	바꾸/VV+어야/EC
하는	하/VX+는/ETM
것	것/NNB
아니냐’고	아니/VCN+냐/EF+’/SS+고/JKQ
해	하/VV+아/EC
곤혹스러웠다”고	곤혹/NNG+스럽/XSA+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.343.9.5
김 전 차관은 이어 “안 전 수석이 이 사장에게 ‘청와대가 장애인 펜싱팀을 챙기고 있다’고 말했다고 들었다.

김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
이어	이어/MAG
“안	“/SS+안/NNP
수석이	수석/NNG+이/JKS
이	이/NNP
사장에게	사장/NNG+에게/JKB
‘청와대가	‘/SS+청와대/NNP+가/JKS
장애인	장애인/NNG
펜싱팀을	펜싱/NNG+팀/NNG+을/JKO
챙기고	챙기/VV+고/EC
있다’고	있/VX+다/EF+’/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.343.9.6
청와대까지 챙기고 있다는 생각에 당황했다”고 증언했다.

청와대까지	청와대/NNP+까지/JX
챙기고	챙기/VV+고/EC
있다는	있/VX+다는/ETM
생각에	생각/NNG+에/JKB
당황했다”고	당황/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.343.9.7
이날 법정에서 최씨는 김 전 차관에게 질의할 기회를 얻고 “내가 짐을 다 안고 갈 건 안고 가겠지만 사실대로 말하라”고 발언해 눈길을 끌었다.

이날	이날/NNG
법정에서	법정/NNG+에서/JKB
최씨는	최/NNP+씨/NNB+는/JX
김	김/NNP
전	전/MMD
차관에게	차관/NNG+에게/JKB
질의할	질의/NNG+하/XSV+ㄹ/ETM
기회를	기회/NNG+를/JKO
얻고	얻/VV+고/EC
“내가	“/SS+내/NP+가/JKS
짐을	짐/NNG+을/JKO
다	다/MAG
안고	안/VV+고/EC
갈	가/VV+ㄹ/ETM
건	거/NNB+ㄴ/JX
가겠지만	가/VV+겠/EP+지만/EC
사실대로	사실/NNG+대로/JX
말하라”고	말/NNG+하/XSV+라/EF+”/SS+고/JKQ
발언해	발언/NNG+하/XSV+아/EC
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


