# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.149
metadata : {}


# id : NWRW1800000037.149.1.1
[신나는 공부]경상대, 거점 국립대학 넘어 ‘연구중심대학’으로

[신나는	[/SS+신나/VV+는/ETM
2014학년도 신입생부터는 대학수학능력시험에서 일정 수준 이상의 성적을 거둔 경우 재학기간 등록금과 기숙사비뿐 아니라 생활보조금까지 지원하는 파격적인 장학제도도 신설했다.

2014학년도	2014/SN+학년도/NNG
신입생부터는	신입/NNG+생/XSN+부터/JX+는/JX
대학수학능력시험에서	대학/NNG+수학/NNG+능력/NNG+시험/NNG+에서/JKB
일정	일정/NNG
수준	수준/NNG
이상의	이상/NNG+의/JKG
성적을	성적/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
경우	경우/NNG
재학기간	재학/NNG+기간/NNG
등록금과	등록금/NNG+과/JC
기숙사비뿐	기숙사비/NNG+뿐/JX
아니라	아니/VCN+라/EC
생활보조금까지	생활/NNG+보조금/NNG+까지/JX
지원하는	지원/NNG+하/XSV+는/ETM
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
장학제도도	장학/NNG+제도/NNG+도/JX
신설했다.	신설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.149.8.1
신설된 장학제도 중 눈길을 끄는 것은 ‘GNU 리더스’와 ‘GNU 액티브’ 장학금.

신설된	신설/NNG+되/XSV+ㄴ/ETM
장학제도	장학/NNG+제도/NNG
중	중/NNB
눈길을	눈길/NNG+을/JKO
끄는	끌/VV+는/ETM
것은	것/NNB+은/JX
‘GNU	‘/SS+GNU/SL
리더스’와	리더스/NNG+’/SS+와/JC
액티브’	액티브/NNG+’/SS
장학금.	장학금/NNG+./SF


# id : NWRW1800000037.149.8.2
GNU 리더스는 수능 4개영역에서 단과대학별로 제시한 조건을 충족하면 등록금과 기숙사비에다 생활보조금으로 학기당 180만 원을 지급받는 장학제도다.

GNU	GNU/SL
리더스는	리더스/NNG+는/JX
수능	수능/NNG
4개영역에서	4/SN+개/NNB+영역/NNG+에서/JKB
단과대학별로	단과/NNG+대학/NNG+별/XSN+로/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
조건을	조건/NNG+을/JKO
충족하면	충족/NNG+하/XSV+면/EC
등록금과	등록금/NNG+과/JC
기숙사비에다	기숙사비/NNG+에다/JKB
생활보조금으로	생활/NNG+보조금/NNG+으로/JKB
학기당	학기/NNG+당/XSN
180만	180/SN+만/NR
원을	원/NNB+을/JKO
지급받는	지급/NNG+받/XSV+는/ETM
장학제도다.	장학/NNG+제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.149.9.1
GNU 액티브 장학금은 수능 3개영역에서 단과대학별 조건을 충족하면 등록금 전액과 생활보조금으로 학기당 120만 원을 지급한다.

GNU	GNU/SL
액티브	액티브/NNG
장학금은	장학금/NNG+은/JX
수능	수능/NNG
3개영역에서	3/SN+개/NNB+영역/NNG+에서/JKB
단과대학별	단과/NNG+대학/NNG+별/XSN
조건을	조건/NNG+을/JKO
충족하면	충족/NNG+하/XSV+면/EC
등록금	등록금/NNG
전액과	전액/NNG+과/JC
생활보조금으로	생활/NNG+보조금/NNG+으로/JKB
학기당	학기/NNG+당/XSN
120만	120/SN+만/NR
원을	원/NNB+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.9.2
생활보조금은 방학기간을 포함해 매달 일정금액을 지급하는 방식이다.

생활보조금은	생활/NNG+보조금/NNG+은/JX
방학기간을	방학/NNG+기간/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
매달	매달/MAG
일정금액을	일정/NNG+금액/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.149.10.1
경상대가 재학생들의 국제화 경쟁력을 강화하기 위해 도입한 ‘EZ(English Zone) 프로그램’도 눈길을 끈다.

경상대가	경상대/NNP+가/JKS
재학생들의	재학/NNG+생/XSN+들/XSN+의/JKG
국제화	국제/NNG+화/XSN
경쟁력을	경쟁력/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
도입한	도입/NNG+하/XSV+ㄴ/ETM
‘EZ(English	‘/SS+EZ/SL+(/SS+English/SL
Zone)	Zone/SL+)/SS
프로그램’도	프로그램/NNG+’/SS+도/JX
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.10.2
이는 12주 동안 영어전용 강의동과 생활관에서 원어민 강사의 수업을 듣고 원어민과 함께 생활하는 프로그램.

이는	이/NP+는/JX
12주	12/SN+주/NNB
동안	동안/NNG
영어전용	영어/NNP+전용/NNG
강의동과	강의/NNG+동/NNG+과/JC
생활관에서	생활관/NNG+에서/JKB
원어민	원어민/NNG
강사의	강사/NNG+의/JKG
수업을	수업/NNG+을/JKO
듣고	듣/VV+고/EC
원어민과	원어민/NNG+과/JKB
함께	함께/MAG
생활하는	생활/NNG+하/XSV+는/ETM
프로그램.	프로그램/NNG+./SF


# id : NWRW1800000037.149.10.3
원어민 영어수업은 정규수업을 마친 저녁 시간 이후 하루 3시간씩 학급당 16명 내외의 소그룹으로 진행된다.

원어민	원어민/NNG
영어수업은	영어/NNP+수업/NNG+은/JX
정규수업을	정규/NNG+수업/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
저녁	저녁/NNG
시간	시간/NNG
이후	이후/NNG
하루	하루/NNG
3시간씩	3/SN+시간/NNB+씩/XSN
학급당	학급/NNG+당/XSN
16명	16/SN+명/NNB
내외의	내외/NNG+의/JKG
소그룹으로	소/XPN+그룹/NNG+으로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.10.4
이 과정을 이수하면 ‘English-Zone영어’와 ‘English-Zone취업영어’에서 6학점을 취득하게 된다.

이	이/MMD
과정을	과정/NNG+을/JKO
이수하면	이수/NNG+하/XSV+면/EC
‘English-Zone영어’와	‘/SS+English/SL+-/SO+Zone/SL+영어/NNP+’/SS+와/JC
‘English-Zone취업영어’에서	‘/SS+English/SL+-/SO+Zone/SL+취업/NNG+영어/NNP+’/SS+에서/JKB
6학점을	6/SN+학점/NNG+을/JKO
취득하게	취득/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.11.1
경상대는 국제화 경쟁력뿐 아니라 바른 인성을 갖춘 지성인을 양성하기 위해 노력한다.

경상대는	경상대/NNP+는/JX
국제화	국제/NNG+화/XSN
경쟁력뿐	경쟁력/NNG+뿐/JX
아니라	아니/VCN+라/EC
바른	바르/VA+ㄴ/ETM
인성을	인성/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
지성인을	지성인/NNG+을/JKO
양성하기	양성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
노력한다.	노력/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.11.2
일정한 공인어학성적을 취득해야 졸업이 가능한 ‘영어인증제’ 외에 △사회봉사 △글로벌리더십 △독서분야 활동 중 하나 이상에서 기준을 충족해야 졸업할 수 있는 ‘개척인증제’를 운영한다.

일정한	일정/NNG+하/XSA+ㄴ/ETM
공인어학성적을	공인/NNG+어학/NNG+성적/NNG+을/JKO
취득해야	취득/NNG+하/XSV+아야/EC
졸업이	졸업/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
‘영어인증제’	‘/SS+영어/NNP+인증/NNG+제/XSN+’/SS
외에	외/NNB+에/JKB
△사회봉사	△/SW+사회봉사/NNG
△글로벌리더십	△/SW+글로벌리더십/NNG
△독서분야	△/SW+독서/NNG+분야/NNG
활동	활동/NNG
중	중/NNB
하나	하나/NR
이상에서	이상/NNG+에서/JKB
기준을	기준/NNG+을/JKO
충족해야	충족/NNG+하/XSV+아야/EC
졸업할	졸업/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘개척인증제’를	‘/SS+개척/NNG+인증/NNG+제/XSN+’/SS+를/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.12.1
예를 들어 사회봉사인증을 선택하면 △사회봉사 30시간 △국내외 봉사프로그램 5일 이상 참가 △헌혈 3회 △총장이 인정하는 교내봉사활동(1학기 이상) 중 하나 이상의 활동을 한다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
사회봉사인증을	사회봉사/NNG+인증/NNG+을/JKO
선택하면	선택/NNG+하/XSV+면/EC
△사회봉사	△/SW+사회봉사/NNG
30시간	30/SN+시간/NNB
△국내외	△/SW+국내외/NNG
봉사프로그램	봉사/NNG+프로그램/NNG
5일	5/SN+일/NNB
이상	이상/NNG
참가	참가/NNG
△헌혈	△/SW+헌혈/NNG
3회	3/SN+회/NNB
△총장이	△/SW+총장/NNG+이/JKS
인정하는	인정/NNG+하/XSV+는/ETM
교내봉사활동(1학기	교내/NNG+봉사/NNG+활동/NNG+(/SS+1/SN+학기/NNG
이상)	이상/NNG+)/SS
중	중/NNB
하나	하나/NR
이상의	이상/NNG+의/JKG
활동을	활동/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.13.1
정시모집 인문계열 국어 B형, 자연계열 수학 B형 가산점

정시모집	정시/NNG+모집/NNG
인문계열	인문/NNG+계열/NNG
국어	국어/NNG
B형,	B/SL+형/XSN+,/SP
자연계열	자연/NNG+계열/NNG
수학	수학/NNG
B형	B/SL+형/XSN
가산점	가산점/NNG


# id : NWRW1800000037.149.14.1
경상대는 2014학년도 정시모집에서 ‘가’군과 ‘다’군으로 나눠 신입생을 선발한다.

경상대는	경상대/NNP+는/JX
2014학년도	2014/SN+학년도/NNG
정시모집에서	정시/NNG+모집/NNG+에서/JKB
‘가’군과	‘/SS+가/NNG+’/SS+군/NNG+과/JC
‘다’군으로	‘/SS+다/NNG+’/SS+군/NNG+으로/JKB
나눠	나누/VV+어/EC
신입생을	신입/NNG+생/XSN+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.14.2
가군은 학생부 성적 30%와 수능 성적 70%를 반영하고, 다군은 수능 성적 100%로 선발한다.

가군은	가군/NNG+은/JX
학생부	학생부/NNG
성적	성적/NNG
30%와	30/SN+%/SW+와/JC
수능	수능/NNG
70%를	70/SN+%/SW+를/JKO
반영하고,	반영/NNG+하/XSV+고/EC+,/SP
다군은	다군/NNG+은/JX
100%로	100/SN+%/SW+로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.14.3
인문계열은 수능 국어 A, B형 교차를 허용하고, 수학과 영어는 각각 A와 B형으로 지정했다.

인문계열은	인문/NNG+계열/NNG+은/JX
수능	수능/NNG
국어	국어/NNG
A,	A/SL+,/SP
B형	B/SL+형/XSN
교차를	교차/NNG+를/JKO
허용하고,	허용/NNG+하/XSV+고/EC+,/SP
수학과	수학/NNG+과/JC
영어는	영어/NNP+는/JX
각각	각각/MAG
A와	A/SL+와/JC
B형으로	B/SL+형/XSN+으로/JKB
지정했다.	지정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.149.14.4
자연계열은 영어 B형에 국어와 수학은 A와 B형 교차가 가능하다.

자연계열은	자연/NNG+계열/NNG+은/JX
영어	영어/NNP
B형에	B/SL+형/XSN+에/JKB
국어와	국어/NNG+와/JC
수학은	수학/NNG+은/JX
A와	A/SL+와/JC
B형	B/SL+형/XSN
교차가	교차/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.149.14.5
탐구과목은 1개 과목을 반영한다.

탐구과목은	탐구/NNG+과목/NNG+은/JX
1개	1/SN+개/NNB
과목을	과목/NNG+을/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.15.1
인문계열에서 국어 B형을 선택하면 자신이 취득한 표준점수의 10%를, 자연계열에서 수학 B형을 선택하면 15%를 가산점으로 준다.

인문계열에서	인문/NNG+계열/NNG+에서/JKB
국어	국어/NNG
B형을	B/SL+형/XSN+을/JKO
선택하면	선택/NNG+하/XSV+면/EC
자신이	자신/NNG+이/JKS
취득한	취득/NNG+하/XSV+ㄴ/ETM
표준점수의	표준/NNG+점수/NNG+의/JKG
10%를,	10/SN+%/SW+를/JKO+,/SP
자연계열에서	자연/NNG+계열/NNG+에서/JKB
수학	수학/NNG
15%를	15/SN+%/SW+를/JKO
가산점으로	가산점/NNG+으로/JKB
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.15.2
정시모집에서 수능 반영비율은 인문계열 국어 30%, 수학 20%, 영어 30%, 탐구 20%.

정시모집에서	정시/NNG+모집/NNG+에서/JKB
수능	수능/NNG
반영비율은	반영/NNG+비율/NNG+은/JX
인문계열	인문/NNG+계열/NNG
국어	국어/NNG
30%,	30/SN+%/SW+,/SP
수학	수학/NNG
20%,	20/SN+%/SW+,/SP
영어	영어/NNP
탐구	탐구/NNG
20%.	20/SN+%/SW+./SF


# id : NWRW1800000037.149.15.3
자연계열은 국어 20%, 수학 30%, 영어 30%, 탐구 20%를 반영한다.

자연계열은	자연/NNG+계열/NNG+은/JX
국어	국어/NNG
20%,	20/SN+%/SW+,/SP
수학	수학/NNG
30%,	30/SN+%/SW+,/SP
영어	영어/NNP
탐구	탐구/NNG
20%를	20/SN+%/SW+를/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.149.15.4
자세한 내용은 경상대 입학정보 홈페이지(new.gnu.ac.kr) 참조.

자세한	자세하/VA+ㄴ/ETM
내용은	내용/NNG+은/JX
경상대	경상대/NNP
입학정보	입학/NNG+정보/NNG
홈페이지(new.gnu.ac.kr)	홈페이지/NNG+(/SS+new/SL+./SP+gnu/SL+./SP+ac/SL+./SP+kr/SL+)/SS
참조.	참조/NNG+./SF


# id : NWRW1800000037.149.15.5
문의 055-772-0300

문의	문의/NNG
055-772-0300	055/SN+-/SO+772/SN+-/SO+0300/SN


