# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.245
metadata : {}


# id : NWRW1800000045.245.1.1
中축구대표 장린펑, 레알에 무상임대… 왜?

中축구대표	中/SH+축구/NNG+대표/NNG
개최하고,	개최/NNG+하/XSV+고/EC+,/SP
나아가	나아가/VV+아/EC
우승하는	우승/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말해	말/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.245.7.1
반면 레알은 13억 인구의 중국을 새로운 시장으로 흡수할 수 있다는 희망을 갖게 됐다.

반면	반면/NNG
레알은	레알/NNP+은/JX
13억	13/SN+억/NR
인구의	인구/NNG+의/JKG
중국을	중국/NNP+을/JKO
새로운	새롭/VA+ㄴ/ETM
시장으로	시장/NNG+으로/JKB
흡수할	흡수/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
희망을	희망/NNG+을/JKO
갖게	갖/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.245.7.2
구단별로 중계권 협상을 하던 스페인 프로축구는 올 5월 방식을 바꿔 리그 전체가 계약을 체결한 뒤 중계권료의 50%는 균등 배분하고, 나머지 50%는 최근 다섯 시즌 성적 등에 따라 분배하기로 했다.

구단별로	구단/NNG+별/XSN+로/JKB
중계권	중계/NNG+권/XSN
협상을	협상/NNG+을/JKO
하던	하/VV+던/ETM
스페인	스페인/NNP
프로축구는	프로/NNG+축구/NNG+는/JX
올	올/NNG
5월	5/SN+월/NNB
방식을	방식/NNG+을/JKO
바꿔	바꾸/VV+어/EC
리그	리그/NNG
전체가	전체/NNG+가/JKS
계약을	계약/NNG+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
중계권료의	중계권료/NNG+의/JKG
50%는	50/SN+%/SW+는/JX
균등	균등/NNG
배분하고,	배분/NNG+하/XSV+고/EC+,/SP
나머지	나머지/NNG
최근	최근/MAG
다섯	다섯/NR
시즌	시즌/NNG
성적	성적/NNG
등에	등/NNB+에/JKB
따라	따르/VV+아/EC
분배하기로	분배/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.245.7.3
레알과 FC 바르셀로나 등 인기 구단이 더는 중계권 수익을 독점할 수 없게 된 것이다.

레알과	레알/NNP+과/JC
FC	FC/SL
바르셀로나	바르셀로나/NNP
등	등/NNB
인기	인기/NNG
구단이	구단/NNG+이/JKS
더는	더/MAG+는/JX
중계권	중계/NNG+권/XSN
수익을	수익/NNG+을/JKO
독점할	독점/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.245.7.4
이에 따라 레알은 유니폼 판매 등을 통해 줄어든 수익을 보충하려 장린펑 임대를 추진한 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
레알은	레알/NNP+은/JX
유니폼	유니폼/NNG
판매	판매/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
줄어든	줄어들/VV+ㄴ/ETM
수익을	수익/NNG+을/JKO
보충하려	보충/NNG+하/XSV+려/EC
장린펑	장린펑/NNP
임대를	임대/NNG+를/JKO
추진한	추진/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


