# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.246
metadata : {}


# id : NWRW1800000044.246.1.1
“언론인으로서 사실 확인않고 허위내용 게시”

“언론인으로서	“/SS+언론인/NNG+으로서/JKB
꼭	꼭/MAG
참석하겠다”는	참석/NNG+하/XSV+겠/EP+다/EF+”/SS+는/ETM
확약서를	확약서/NNG+를/JKO
내자	내/VV+자/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
거둬들인	거둬들이/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


