# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.9
metadata : {}


# id : NWRW1800000029.9.1.1
롯데, 사상최대 ‘통큰 인사’ 나올까

롯데,	롯데/NNP+,/SP
롯데그룹	롯데그룹/NNP
인사는	인사/NNG+는/JX
신	신/NNP
회장이	회장/NNG+이/JKS
한국에서	한국/NNP+에서/JKB
설	설/NNG
연휴를	연휴/NNG+를/JKO
보내며	보내/VV+며/EC
인사를	인사/NNG+를/JKO
확정하고	확정/NNG+하/XSV+고/EC
일본으로	일본/NNP+으로/JKB
간	가/VV+ㄴ/ETM
뒤	뒤/NNG
며칠	며칠/NNG
이내에	이내/NNG+에/JKB
발표된	발표/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.9.3.4
롯데그룹은 74개 계열사에 400여 명의 사장 및 임원이 있다.

롯데그룹은	롯데그룹/NNP+은/JX
74개	74/SN+개/NNB
계열사에	계열사/NNG+에/JKB
400여	400/SN+여/XSN
명의	명/NNB+의/JKG
사장	사장/NNG
및	및/MAG
임원이	임원/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.9.4.1
이번 인사는 여러 측면에서 관심을 끈다.

이번	이번/NNG
인사는	인사/NNG+는/JX
여러	여러/MMN
측면에서	측면/NNG+에서/JKB
관심을	관심/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.9.4.2
우선 롯데그룹 각 계열사가 지난해 골고루 장사를 잘했다.

우선	우선/MAG
롯데그룹	롯데그룹/NNP
각	각/MMD
계열사가	계열사/NNG+가/JKS
지난해	지난해/NNG
골고루	골고루/MAG
장사를	장사/NNG+를/JKO
잘했다.	잘/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.9.4.3
지난해 국내 유통업계 처음으로 1조 원이 넘는 영업이익을 낸 롯데쇼핑뿐 아니라 다른 계열사들도 사상 최대 수준의 실적을 냈다.

지난해	지난해/NNG
국내	국내/NNG
유통업계	유통업/NNG+계/XSN
처음으로	처음/NNG+으로/JKB
1조	1/SN+조/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
영업이익을	영업/NNG+이익/NNG+을/JKO
낸	내/VV+ㄴ/ETM
롯데쇼핑뿐	롯데쇼핑/NNP+뿐/JX
아니라	아니/VCN+라/EC
다른	다른/MMD
계열사들도	계열사/NNG+들/XSN+도/JX
사상	사상/NNG
최대	최대/NNG
수준의	수준/NNG+의/JKG
실적을	실적/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.9.4.4
그룹 관계자는 “올해 롯데그룹 인사는 개선된 경영성과를 바탕으로 승진 폭이 가장 큰 ‘통 큰’ 인사가 될 수도 있다”고 조심스럽게 내다봤다.

그룹	그룹/NNG
관계자는	관계자/NNG+는/JX
“올해	“/SS+올해/NNG
롯데그룹	롯데그룹/NNP
인사는	인사/NNG+는/JX
개선된	개선/NNG+되/XSV+ㄴ/ETM
경영성과를	경영/NNG+성과/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
승진	승진/NNG
폭이	폭/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
‘통	‘/SS+통/NNG
큰’	크/VA+ㄴ/ETM+’/SS
인사가	인사/NNG+가/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
조심스럽게	조심/NNG+스럽/XSA+게/EC
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.9.5.1
롯데백화점 롯데마트 롯데슈퍼 등 주요 계열사 사장들의 움직임 여부도 관심사다.

롯데백화점	롯데백화점/NNP
롯데마트	롯데마트/NNP
롯데슈퍼	롯데슈퍼/NNP
등	등/NNB
주요	주요/NNG
계열사	계열사/NNG
사장들의	사장/NNG+들/XSN+의/JKG
움직임	움직임/NNG
여부도	여부/NNG+도/JX
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.9.5.2
이철우 롯데쇼핑 및 백화점 대표이사 사장(68)은 2007년부터 현직을 맡아 롯데쇼핑의 성장을 이끌어왔다.

이철우	이철우/NNP
롯데쇼핑	롯데쇼핑/NNP
및	및/MAG
백화점	백화점/NNG
대표이사	대표/NNG+이사/NNG
사장(68)은	사장/NNG+(/SS+68/SN+)/SS+은/JX
2007년부터	2007/SN+년/NNB+부터/JX
현직을	현직/NNG+을/JKO
맡아	맡/VV+아/EC
롯데쇼핑의	롯데쇼핑/NNP+의/JKG
성장을	성장/NNG+을/JKO
이끌어왔다.	이끌/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.9.5.3
노병용 롯데마트 사장(60)은 지난해 ‘통 큰 치킨’으로 롯데마트의 집객(集客) 효과를 높여 계열사 연말 사장단 회의에서 박수를 받았다.

노병용	노병용/NNP
롯데마트	롯데마트/NNP
사장(60)은	사장/NNG+(/SS+60/SN+)/SS+은/JX
지난해	지난해/NNG
‘통	‘/SS+통/NNG
큰	크/VA+ㄴ/ETM
치킨’으로	치킨/NNG+’/SS+으로/JKB
롯데마트의	롯데마트/NNP+의/JKG
집객(集客)	집객/NNG+(/SS+集客/SH+)/SS
효과를	효과/NNG+를/JKO
높여	높이/VV+어/EC
계열사	계열사/NNG
연말	연말/NNG
사장단	사장단/NNG
회의에서	회의/NNG+에서/JKB
박수를	박수/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.9.5.4
소진세 롯데슈퍼 사장(61)은 편의점 ‘바이더웨이’를 운영하는 코리아세븐 대표를 겸하면서 롯데그룹 내 신사업의 선두에 있다.

소진세	소진세/NNP
롯데슈퍼	롯데슈퍼/NNP
사장(61)은	사장/NNG+(/SS+61/SN+)/SS+은/JX
편의점	편의점/NNG
‘바이더웨이’를	‘/SS+바이더웨이/NNP+’/SS+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
코리아세븐	코리아세븐/NNP
대표를	대표/NNG+를/JKO
겸하면서	겸/NNB+하/XSV+면서/EC
롯데그룹	롯데그룹/NNP
내	내/NNB
신사업의	신/XPN+사업/NNG+의/JKG
선두에	선두/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.9.6.1
국내 유통업계에서는 ‘통 큰 치킨’으로 스타덤에 오른 노 사장이 롯데쇼핑 사장을 맡게 되는 것 아니냐는 추측도 나온다.

국내	국내/NNG
유통업계에서는	유통업/NNG+계/XSN+에서/JKB+는/JX
‘통	‘/SS+통/NNG
큰	크/VA+ㄴ/ETM
치킨’으로	치킨/NNG+’/SS+으로/JKB
스타덤에	스타덤/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
노	노/NNP
사장이	사장/NNG+이/JKS
롯데쇼핑	롯데쇼핑/NNP
사장을	사장/NNG+을/JKO
맡게	맡/VV+게/EC
되는	되/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
추측도	추측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.9.6.2
오너 2세인 신영자 롯데쇼핑 사장(69) 다음으로 나이가 많은 이철우 사장은 지금껏 매년 인사를 앞두고 신격호 회장에게 대표 고사(固辭) 의사를 밝힌 것으로 알려졌다.

오너	오너/NNG
2세인	2/SN+세/NNB+이/VCP+ㄴ/ETM
신영자	신영자/NNP
롯데쇼핑	롯데쇼핑/NNP
사장(69)	사장/NNG+(/SS+69/SN+)/SS
다음으로	다음/NNG+으로/JKB
나이가	나이/NNG+가/JKS
많은	많/VA+은/ETM
이철우	이철우/NNP
사장은	사장/NNG+은/JX
지금껏	지금껏/MAG
매년	매년/MAG
인사를	인사/NNG+를/JKO
앞두고	앞두/VV+고/EC
신격호	신격호/NNP
회장에게	회장/NNG+에게/JKB
대표	대표/NNG
고사(固辭)	고사/NNG+(/SS+固辭/SH+)/SS
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.9.6.3
그러나 롯데그룹에서는 “일본의 종신고용처럼 사람을 귀하게 오래 쓰는 신 회장의 인사 철학을 모르고 하는 얘기”라고 잘라 말했다.

그러나	그러나/MAJ
롯데그룹에서는	롯데그룹/NNP+에서/JKB+는/JX
“일본의	“/SS+일본/NNP+의/JKG
종신고용처럼	종신/NNG+고용/NNG+처럼/JKB
사람을	사람/NNG+을/JKO
귀하게	귀하/VA+게/EC
오래	오래/MAG
쓰는	쓰/VV+는/ETM
신	신/NNP
회장의	회장/NNG+의/JKG
인사	인사/NNG
철학을	철학/NNG+을/JKO
모르고	모르/VV+고/EC
하는	하/VV+는/ETM
얘기”라고	얘기/NNG+”/SS+라고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.9.6.4
이제는 고인이 된 장성원 전 롯데쇼핑 사장은 롯데쇼핑 사장을 12년, 롯데호텔 사장을 10년 했다.

이제는	이제/NNG+는/JX
고인이	고인/NNG+이/JKC
된	되/VV+ㄴ/ETM
장성원	장성원/NNP
전	전/MMD
롯데쇼핑	롯데쇼핑/NNP
사장은	사장/NNG+은/JX
사장을	사장/NNG+을/JKO
12년,	12/SN+년/NNB+,/SP
롯데호텔	롯데호텔/NNP
10년	10/SN+년/NNB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.9.7.1
대구고 동기 동창으로 사학 라이벌을 나와 주로 롯데백화점에서 비슷한 시기에 승진해 온 노 사장(연세대)과 소 사장(고려대)의 행보도 관심거리다.

대구고	대구고/NNP
동기	동기/NNG
동창으로	동창/NNG+으로/JKB
사학	사학/NNG
라이벌을	라이벌/NNG+을/JKO
나와	나오/VV+아/EC
주로	주로/MAG
롯데백화점에서	롯데백화점/NNP+에서/JKB
비슷한	비슷하/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
승진해	승진/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
노	노/NNP
사장(연세대)과	사장/NNG+(/SS+연세대/NNP+)/SS+과/JC
소	소/NNP
사장(고려대)의	사장/NNG+(/SS+고려대/NNP+)/SS+의/JKG
행보도	행보/NNG+도/JX
관심거리다.	관심거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.9.7.2
그룹의 한 관계자는 “대중에게는 롯데마트의 인지도가 높고, 슈퍼와 편의점은 성장 가능성이 커 우열을 가리기 어려운 자리”라면서 “두 사장이 자리를 맞바꾸는 것도 상상해볼 수 있는 시나리오”라고 말했다.

그룹의	그룹/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“대중에게는	“/SS+대중/NNG+에게/JKB+는/JX
롯데마트의	롯데마트/NNP+의/JKG
인지도가	인지도/NNG+가/JKS
높고,	높/VA+고/EC+,/SP
슈퍼와	슈퍼/NNG+와/JC
편의점은	편의점/NNG+은/JX
성장	성장/NNG
가능성이	가능/NNG+성/XSN+이/JKS
커	크/VA+어/EC
우열을	우열/NNG+을/JKO
가리기	가리/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
자리”라면서	자리/NNG+”/SS+이/VCP+라면서/EC
“두	“/SS+두/MMN
사장이	사장/NNG+이/JKS
자리를	자리/NNG+를/JKO
맞바꾸는	맞바꾸/VV+는/ETM
것도	것/NNB+도/JX
상상해볼	상상/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시나리오”라고	시나리오/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.9.8.1
재계에 불고 있는 ‘젊은 조직’ 바람을 탈지도 관심거리다.

재계에	재계/NNG+에/JKB
불고	불/VV+고/EC
있는	있/VX+는/ETM
‘젊은	‘/SS+젊/VA+은/ETM
조직’	조직/NNG+’/SS
바람을	바람/NNG+을/JKO
탈지도	타/VV+ㄹ지/EC+도/JX
관심거리다.	관심거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.9.8.2
현재 롯데그룹의 부사장급 이상 대표 중에는 강현구 롯데닷컴 대표이사 부사장(51)이 최연소다.

현재	현재/MAG
롯데그룹의	롯데그룹/NNP+의/JKG
부사장급	부사장급/NNG
이상	이상/NNG
대표	대표/NNG
중에는	중/NNB+에/JKB+는/JX
강현구	강현구/NNP
롯데닷컴	롯데닷컴/NNP
대표이사	대표/NNG+이사/NNG
부사장(51)이	부사장/NNG+(/SS+51/SN+)/SS+이/JKS
최연소다.	최/XPN+연소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.9.8.3
요즘 신격호 회장은 부쩍 ‘인재’를 강조한다고 한다.

요즘	요즘/NNG
신격호	신격호/NNP
회장은	회장/NNG+은/JX
부쩍	부쩍/MAG
‘인재’를	‘/SS+인재/NNG+’/SS+를/JKO
강조한다고	강조/NNG+하/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.9.8.4
아들인 신동빈 부회장도 “변해야 산다”며 최근 계열사 사장들에게 삼성전자의 태블릿PC 갤럭시탭을 지급했다.

아들인	아들/NNG+이/VCP+ㄴ/ETM
신동빈	신동빈/NNP
부회장도	부회장/NNG+도/JX
“변해야	“/SS+변하/VV+아야/EC
산다”며	살/VV+ㄴ다/EF+”/SS+며/EC
최근	최근/NNG
계열사	계열사/NNG
사장들에게	사장/NNG+들/XSN+에게/JKB
삼성전자의	삼성전자/NNP+의/JKG
태블릿PC	태블릿/NNG+PC/SL
갤럭시탭을	갤럭시탭/NNP+을/JKO
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.9.9.1
두둑한 현찰을 쥐고 대한통운 등의 매물에 눈독을 들이는 국내외 인수합병 군단의 진영을 어떻게 짜는지도 또 다른 볼거리다.

두둑한	두둑하/VA+ㄴ/ETM
현찰을	현찰/NNG+을/JKO
쥐고	쥐/VV+고/EC
대한통운	대한통운/NNP
등의	등/NNB+의/JKG
매물에	매물/NNG+에/JKB
눈독을	눈독/NNG+을/JKO
들이는	들이/VV+는/ETM
국내외	국내외/NNG
인수합병	인수/NNG+합병/NNG
군단의	군단/NNG+의/JKG
진영을	진영/NNG+을/JKO
어떻게	어떻/VA+게/EC
짜는지도	짜/VV+는지/EC+도/JX
또	또/MAG
다른	다른/MMD
볼거리다.	볼거리/NNG+이/VCP+다/EF+./SF


