# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.14
metadata : {}


# id : NWRW1800000045.14.1.1
[아파트 미리보기]신영 ‘천안 불당 지웰시티 푸르지오’

[아파트	[/SS+아파트/NNG
# id : NWRW1800000045.14.7.1
○ 생활편의시설 갖춰진 입지

○	○/SW
생활편의시설	생활/NNG+편의/NNG+시설/NNG
갖춰진	갖추/VV+어/EC+지/VX+ㄴ/ETM
입지	입지/NNG


# id : NWRW1800000045.14.8.1
천안 불당 지웰시티 푸르지오는 지하 2층∼지상 최고 28층, 아파트와 오피스텔 각각 8개 동으로 이뤄진다.

천안	천안/NNP
불당	불당/NNP
지웰시티	지웰시티/NNP
푸르지오는	푸르지오/NNP+는/JX
지하	지하/NNG
2층∼지상	2/SN+층/NNG+∼/SO+지상/NNG
최고	최고/NNG
28층,	28/SN+층/NNG+,/SP
아파트와	아파트/NNG+와/JC
오피스텔	오피스텔/NNG
각각	각각/MAG
8개	8/SN+개/NNB
동으로	동/NNB+으로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.14.8.2
전용면적 99, 112m² 아파트 775채와 84m² 오피스텔 983실 규모다.

전용면적	전용/NNG+면적/NNG
99,	99/SN+,/SP
112m²	112/SN+m²/SW
아파트	아파트/NNG
775채와	775/SN+채/NNB+와/JC
84m²	84/SN+m²/SW
오피스텔	오피스텔/NNG
983실	983/SN+실/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.14.9.1
이 단지가 들어서는 복합4·5블록은 불당신도시에서도 입지가 우수하다.

이	이/MMD
단지가	단지/NNG+가/JKS
들어서는	들어서/VV+는/ETM
복합4·5블록은	복합/NNG+4/SN+·/SP+5/SN+블록/NNG+은/JX
불당신도시에서도	불당신도시/NNP+에서/JKB+도/JX
입지가	입지/NNG+가/JKS
우수하다.	우수/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.14.9.2
학원, 병원, 은행 등이 입점하는 중심상업지와 접해 있다.

학원,	학원/NNG+,/SP
병원,	병원/NNG+,/SP
은행	은행/NNG
등이	등/NNB+이/JKS
입점하는	입점/NNG+하/XSV+는/ETM
중심상업지와	중심/NNG+상업지/NNG+와/JKB
접해	접하/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.14.10.1
신도시의 아파트 터는 한참 공사 중이지만 상권은 이미 형성돼 있다.

신도시의	신/XPN+도시/NNG+의/JKG
아파트	아파트/NNG
터는	터/NNG+는/JX
한참	한참/MAG
공사	공사/NNG
중이지만	중/NNB+이/VCP+지만/EC
상권은	상권/NNG+은/JX
이미	이미/MAG
형성돼	형성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.14.10.2
단지 반경 3km 안에 갤러리아백화점, 이마트 트레이더스, 롯데마트, CGV 등이 영업 중이다.

단지	단지/NNG
반경	반경/NNG
3km	3/SN+km/SW
안에	안/NNG+에/JKB
갤러리아백화점,	갤러리아백화점/NNP+,/SP
이마트	이마트/NNP
트레이더스,	트레이더스/NNP+,/SP
롯데마트,	롯데마트/NNP+,/SP
CGV	CGV/SL
등이	등/NNB+이/JKS
영업	영업/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.14.10.3
단지에서 걸어갈 수 있는 거리에 초등학교 2곳과 중·고교 각각 1곳이 2017년까지 문을 연다.

단지에서	단지/NNG+에서/JKB
걸어갈	걸어가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
거리에	거리/NNG+에/JKB
초등학교	초등학교/NNG
2곳과	2/SN+곳/NNG+과/JC
중·고교	중·고교/NNG
각각	각각/MAG
1곳이	1/SN+곳/NNG+이/JKS
2017년까지	2017/SN+년/NNB+까지/JX
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.14.10.4
단지에서 차로 5분 거리인 고속철도(KTX) 천안아산역을 통해 서울까지 30분대면 닿을 수 있다.

단지에서	단지/NNG+에서/JKB
차로	차/NNG+로/JKB
5분	5/SN+분/NNB
거리인	거리/NNG+이/VCP+ㄴ/ETM
고속철도(KTX)	고속/NNG+철도/NNG+(/SS+KTX/SL+)/SS
천안아산역을	천안아산역/NNP+을/JKO
통해	통하/VV+아/EC
서울까지	서울/NNP+까지/JX
30분대면	30/SN+분/NNB+대/XSN+이/VCP+면/EC
닿을	닿/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.14.10.5
수도권 전철 1호선(장항선)을 타면 수도권 출퇴근도 가능하다.

수도권	수도/NNG+권/XSN
전철	전철/NNG
1호선(장항선)을	1/SN+호선/NNB+(/SS+장항선/NNP+)/SS+을/JKO
타면	타/VV+면/EC
출퇴근도	출퇴근/NNG+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.14.11.1
㈜신영은 불당신도시에서만 앞서 두 차례 아파트를 공급해 성공리에 분양을 마쳤다.

㈜신영은	㈜/SW+신영/NNP+은/JX
불당신도시에서만	불당신도시/NNP+에서/JKB+만/JX
앞서	앞서/VV+어/EC
두	두/MMN
차례	차례/NNG
아파트를	아파트/NNG+를/JKO
공급해	공급/NNG+하/XSV+아/EC
성공리에	성공/NNG+리/XSN+에/JKB
분양을	분양/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.14.11.2
지웰 푸르지오는 글로벌 금융위기 이후 천안에서 처음으로 모든 주택형이 1순위에서 청약을 마쳐 주목을 받았다.

지웰	지웰/NNP
푸르지오는	푸르지오/NNP+는/JX
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
천안에서	천안/NNP+에서/JKB
처음으로	처음/NNG+으로/JKB
모든	모든/MMN
주택형이	주택/NNG+형/XSN+이/JKS
1순위에서	1/SN+순위/NNG+에서/JKB
청약을	청약/NNG+을/JKO
마쳐	마치/VV+어/EC
주목을	주목/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.14.11.3
지난해 5월 청약한 ‘천안 불당 지웰 더샵’은 평균 29.53 대 1의 경쟁률로 분양 4일 만에 100% 계약을 마친 바 있다.

지난해	지난해/NNG
5월	5/SN+월/NNB
청약한	청약/NNG+하/XSV+ㄴ/ETM
‘천안	‘/SS+천안/NNP
불당	불당/NNP
지웰	지웰/NNP
더샵’은	더샵/NNP+’/SS+은/JX
평균	평균/NNG
29.53	29/SN+./SP+53/SN
대	대/NNB
1의	1/SN+의/JKG
경쟁률로	경쟁/NNG+률/XSN+로/JKB
분양	분양/NNG
4일	4/SN+일/NNB
만에	만/NNB+에/JKB
100%	100/SN+%/SW
계약을	계약/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.14.12.1
○ ‘원스톱 라이프’ 단지 구성

○	○/SW
‘원스톱	‘/SS+원스톱/NNG
라이프’	라이프/NNG+’/SS
단지	단지/NNG
구성	구성/NNG


# id : NWRW1800000045.14.13.1
아파트 내부는 수납공간을 충분히 두고 중대형 면적에 걸맞도록 세련된 색이나 소재의 인테리어를 적용한다.

아파트	아파트/NNG
내부는	내부/NNG+는/JX
수납공간을	수납공간/NNG+을/JKO
충분히	충분히/MAG
두고	두/VV+고/EC
중대형	중대형/NNG
면적에	면적/NNG+에/JKB
걸맞도록	걸맞/VA+도록/EC
세련된	세련/NNG+되/XSA+ㄴ/ETM
색이나	색/NNG+이나/JC
소재의	소재/NNG+의/JKG
인테리어를	인테리어/NNG+를/JKO
적용한다.	적용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.14.13.2
방이 4개인 전용 99m²는 주방 옆 침실을 팬트리(식료품, 주방기기 등의 대형 수납공간)로 선택할 수 있다.

방이	방/NNG+이/JKS
4개인	4/SN+개/NNB+이/VCP+ㄴ/ETM
전용	전용/NNG
99m²는	99/SN+m²/SW+는/JX
주방	주방/NNG
옆	옆/NNG
침실을	침실/NNG+을/JKO
팬트리(식료품,	팬트리/NNG+(/SS+식료품/NNG+,/SP
주방기기	주방/NNG+기기/NNG
등의	등/NNB+의/JKG
대형	대형/NNG
수납공간)로	수납공간/NNG+)/SS+로/JKB
선택할	선택/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.14.13.3
전용 112m²는 5.5베이(방 4개와 거실, 알파룸을 전면부에 배치)로 설계해 현관에서 부부 침실까지 약 16m에 이르는 공간감을 자랑한다.

전용	전용/NNG
112m²는	112/SN+m²/SW+는/JX
5.5베이(방	5/SN+./SP+5/SN+베이/NNG+(/SS+방/NNG
4개와	4/SN+개/NNB+와/JC
거실,	거실/NNG+,/SP
알파룸을	알파/NNG+룸/NNG+을/JKO
전면부에	전면부/NNG+에/JKB
배치)로	배치/NNG+)/SS+로/JKB
설계해	설계/NNG+하/XSV+아/EC
현관에서	현관/NNG+에서/JKB
부부	부부/NNG
침실까지	침실/NNG+까지/JX
약	약/MMA
16m에	16/SN+m/SW+에/JKB
이르는	이르/VV+는/ETM
공간감을	공간감/NNG+을/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.14.14.1
전용 84m² 주거용 오피스텔은 전용 59m² 아파트와 흡사하다.

전용	전용/NNG
84m²	84/SN+m²/SW
주거용	주거/NNG+용/XSN
오피스텔은	오피스텔/NNG+은/JX
59m²	59/SN+m²/SW
아파트와	아파트/NNG+와/JKB
흡사하다.	흡사/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000045.14.14.2
방이 3개라 2개만 쓰고 싶으면 주방 옆에 붙은 침실의 벽을 없애 거실을 넓게 쓸 수 있다.

방이	방/NNG+이/JKS
3개라	3/SN+개/NNB+이/VCP+라/EC
2개만	2/SN+개/NNB+만/JX
쓰고	쓰/VV+고/EC
싶으면	싶/VX+으면/EC
주방	주방/NNG
옆에	옆/NNG+에/JKB
붙은	붙/VV+은/ETM
침실의	침실/NNG+의/JKG
벽을	벽/NNG+을/JKO
없애	없애/VV+어/EC
거실을	거실/NNG+을/JKO
넓게	넓/VA+게/EC
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.14.15.1
아울러 단지에는 일본의 대형 부동산 개발회사인 모리빌딩도시기획과 협업해 특화된 상가인 ‘지웰 애비뉴(가칭)’를 조성한다.

아울러	아울러/MAG
단지에는	단지/NNG+에/JKB+는/JX
일본의	일본/NNP+의/JKG
대형	대형/NNG
부동산	부동산/NNG
개발회사인	개발/NNG+회사/NNG+이/VCP+ㄴ/ETM
모리빌딩도시기획과	모리빌딩도시기획/NNP+과/JKB
협업해	협업/NNG+하/XSV+아/EC
특화된	특화/NNG+되/XSV+ㄴ/ETM
상가인	상가/NNG+이/VCP+ㄴ/ETM
‘지웰	‘/SS+지웰/NNP
애비뉴(가칭)’를	애비뉴/NNG+(/SS+가칭/NNG+)/SS+’/SS+를/JKO
조성한다.	조성/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.14.15.2
보행자로를 따라 점포와 카페 등을 배치하고 이벤트 공간을 결합해 상가에 문화, 여가가 어우러지게 할 계획이다.

보행자로를	보행자로/NNG+를/JKO
따라	따르/VV+아/EC
점포와	점포/NNG+와/JC
카페	카페/NNG
등을	등/NNB+을/JKO
배치하고	배치/NNG+하/XSV+고/EC
이벤트	이벤트/NNG
공간을	공간/NNG+을/JKO
결합해	결합/NNG+하/XSV+아/EC
상가에	상가/NNG+에/JKB
문화,	문화/NNG+,/SP
여가가	여가/NNG+가/JKS
어우러지게	어우러지/VV+게/EC
할	하/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.14.15.3
상가 중심공간은 ㈜신영이 직영 운영하며 대기업슈퍼마켓(SSM), 서점, 키즈카페 등을 입점시킬 예정이다.

상가	상가/NNG
중심공간은	중심/NNG+공간/NNG+은/JX
㈜신영이	㈜/SW+신영/NNP+이/JKS
직영	직영/NNG
운영하며	운영/NNG+하/XSV+며/EC
대기업슈퍼마켓(SSM),	대/XPN+기업/NNG+슈퍼마켓/NNG+(/SS+SSM/SL+)/SS+,/SP
서점,	서점/NNG+,/SP
키즈카페	키즈/NNG+카페/NNG
등을	등/NNB+을/JKO
입점시킬	입점/NNG+시키/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.14.15.4
분양가는 아파트는 3.3m²당 930만∼940만 원 선, 오피스텔은 실당 2억5000만 원 안팎이 될 것으로 전망된다.

분양가는	분양/NNG+가/XSN+는/JX
아파트는	아파트/NNG+는/JX
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
930만∼940만	930/SN+만/NR+∼/SO+940/SN+만/NR
원	원/NNB
선,	선/NNG+,/SP
오피스텔은	오피스텔/NNG+은/JX
실당	실/NNB+당/XSN
2억5000만	2/SN+억/NR+5000/SN+만/NR
안팎이	안팎/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.14.15.5
4·5블록을 각각 청약할 수 있다.

4·5블록을	4/SN+·/SP+5/SN+블록/NNG+을/JKO
각각	각각/MAG
청약할	청약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.14.15.6
본보기집은 KTX 천안아산역 인근에서 19일에 문을 연다.

본보기집은	본보기집/NNG+은/JX
KTX	KTX/SL
천안아산역	천안아산역/NNP
인근에서	인근/NNG+에서/JKB
19일에	19/SN+일/NNB+에/JKB
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.14.15.7
041-555-8448

041-555-8448	041/SN+-/SO+555/SN+-/SO+8448/SN


