# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.8
metadata : {}


# id : NWRW1800000046.8.1.1
佛경찰, 15분 간격으로 형제 테러범과 식품점 인질극 진압

佛경찰,	佛/SH+경찰/NNG+,/SP
경찰의 진압 작전에 오랜 시간이 걸린 건 동시에 파리에서 벌어진 또 다른 인질극 때문이었다.

경찰의	경찰/NNG+의/JKG
진압	진압/NNG
작전에	작전/NNG+에/JKB
오랜	오랜/MMA
시간이	시간/NNG+이/JKS
걸린	걸리/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
동시에	동시/NNG+에/JKB
파리에서	파리/NNP+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
또	또/MAG
다른	다른/MMD
인질극	인질극/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.8.4.2
아메디 쿨리발리(33)가 이날 오전 11시 15분부터 파리 포르트 드 뱅센의 코셔 식료품점에서 19명을 인질로 붙잡고 "쿠아치 형제를 석방하라"고 요구했다.

아메디	아메디/NNP
쿨리발리(33)가	쿨리발리/NNP+(/SS+33/SN+)/SS+가/JKS
이날	이날/NNG
오전	오전/NNG
11시	11/SN+시/NNB
15분부터	15/SN+분/NNB+부터/JX
파리	파리/NNP
포르트	포르트/NNP
드	드/NNP
뱅센의	뱅센/NNP+의/JKG
코셔	코셔/NNP
식료품점에서	식료품점/NNG+에서/JKB
19명을	19/SN+명/NNB+을/JKO
인질로	인질/NNG+로/JKB
붙잡고	붙잡/VV+고/EC
"쿠아치	"/SS+쿠아치/NNP
형제를	형제/NNG+를/JKO
석방하라"고	석방/NNG+하/XSV+라/EF+"/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.8.4.3
그는 쿠아치 형제와 함께 프랑스를 거점으로 한 이슬람 극단주의 단체 '파리 제19네트워크'에서 2000년대 초 활동한 바 있다.

그는	그/NP+는/JX
쿠아치	쿠아치/NNP
형제와	형제/NNG+와/JKB
함께	함께/MAG
프랑스를	프랑스/NNP+를/JKO
거점으로	거점/NNG+으로/JKB
한	하/VV+ㄴ/ETM
이슬람	이슬람/NNG
극단주의	극단주의/NNG
단체	단체/NNG
'파리	'/SS+파리/NNP
제19네트워크'에서	제/XPN+19/SN+네트워크/NNG+'/SS+에서/JKB
2000년대	2000/SN+년대/NNB
초	초/NNB
활동한	활동/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.8.4.4
쿨리발리는 이날 프랑스 방송과 전화 인터뷰에서 "쿠아치 형제와 나는 처음부터 연계돼 있었기 때문에 동시에 행동한 것"이라고 말했다.

쿨리발리는	쿨리발리/NNP+는/JX
이날	이날/NNG
프랑스	프랑스/NNP
방송과	방송/NNG+과/JC
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"쿠아치	"/SS+쿠아치/NNP
형제와	형제/NNG+와/JC
나는	나/NP+는/JX
처음부터	처음/NNG+부터/JX
연계돼	연계/NNG+되/XSV+어/EC
있었기	있/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
동시에	동시/NNG+에/JKB
행동한	행동/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.8.5.1
경찰은 쿠아치 형제를 사살한 후 불과 15분 만에 쿨리발리가 있는 식료품점을 공격했다.

경찰은	경찰/NNG+은/JX
쿠아치	쿠아치/NNP
형제를	형제/NNG+를/JKO
사살한	사살/NNG+하/XSV+ㄴ/ETM
후	후/NNG
불과	불과/MAG
15분	15/SN+분/NNB
만에	만/NNB+에/JKB
쿨리발리가	쿨리발리/NNP+가/JKS
있는	있/VA+는/ETM
식료품점을	식료품점/NNG+을/JKO
공격했다.	공격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.8.5.2
쿠아치 형제가 사망했다는 소식을 들은 쿨리발리가 인질들을 학살할 수 있다는 우려 때문이었다고 외신들은 전했다.

쿠아치	쿠아치/NNP
형제가	형제/NNG+가/JKS
사망했다는	사망/NNG+하/XSV+았/EP+다는/ETM
소식을	소식/NNG+을/JKO
들은	듣/VV+은/ETM
쿨리발리가	쿨리발리/NNP+가/JKS
인질들을	인질/NNG+들/XSN+을/JKO
학살할	학살/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려	우려/NNG
때문이었다고	때문/NNB+이/VCP+었/EP+다고/EC
외신들은	외신/NNG+들/XSN+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.8.5.3
경찰은 진압 당시 이슬람교도인 쿨리발리가 저녁 기도를 하고 있었다고 밝혔다.

경찰은	경찰/NNG+은/JX
진압	진압/NNG
당시	당시/NNG
이슬람교도인	이슬람교도/NNG+이/VCP+ㄴ/ETM
쿨리발리가	쿨리발리/NNP+가/JKS
저녁	저녁/NNG
기도를	기도/NNG+를/JKO
하고	하/VV+고/EC
있었다고	있/VX+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.8.5.4
경찰은 진압 직전 쿨리발리가 기도문을 외우고 있는 소리를 제대로 끊지 않은 전화를 통해 들었던 것으로 알려졌다.

경찰은	경찰/NNG+은/JX
진압	진압/NNG
직전	직전/NNG
쿨리발리가	쿨리발리/NNP+가/JKS
기도문을	기도문/NNG+을/JKO
외우고	외우/VV+고/EC
있는	있/VX+는/ETM
소리를	소리/NNG+를/JKO
제대로	제대로/MAG
끊지	끊/VV+지/EC
않은	않/VX+은/ETM
전화를	전화/NNG+를/JKO
통해	통하/VV+아/EC
들었던	듣/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.8.5.5
경찰이 식료품점에 들어갔을 때엔 이미 4명이 총에 맞아 사망한 상황이었다.

경찰이	경찰/NNG+이/JKS
식료품점에	식료품점/NNG+에/JKB
들어갔을	들어가/VV+았/EP+을/ETM
때엔	때/NNG+에/JKB+ㄴ/JX
이미	이미/MAG
4명이	4/SN+명/NNB+이/JKS
총에	총/NNG+에/JKB
맞아	맞/VV+아/EC
사망한	사망/NNG+하/XSV+ㄴ/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.8.6.1
사흘 동안 17명이 사망한 이번 테러·인질 사건을 두고 프랑스 정보·수사 당국에 대한 비판도 나온다.

사흘	사흘/NNG
동안	동안/NNG
17명이	17/SN+명/NNB+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
테러·인질	테러/NNG+·/SP+인질/NNG
사건을	사건/NNG+을/JKO
두고	두/VV+고/EC
프랑스	프랑스/NNP
정보·수사	정보/NNG+·/SP+수사/NNG
당국에	당국/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판도	비판/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.8.6.2
뉴욕타임스는 "프랑스 정보 당국이 쿠아치 형제와 쿨리발리의 관계를 사전에 알고서도 연이어 벌어진 쿨리발리의 인질극을 막지 못했다"고 지적했다.

뉴욕타임스는	뉴욕타임스/NNP+는/JX
"프랑스	"/SS+프랑스/NNP
정보	정보/NNG
당국이	당국/NNG+이/JKS
쿠아치	쿠아치/NNP
형제와	형제/NNG+와/JC
쿨리발리의	쿨리발리/NNP+의/JKG
관계를	관계/NNG+를/JKO
사전에	사전/NNG+에/JKB
알고서도	알/VV+고서/EC+도/JX
연이어	연잇/VV+어/EC
벌어진	벌어지/VV+ㄴ/ETM
인질극을	인질극/NNG+을/JKO
막지	막/VV+지/EC
못했다"고	못하/VX+았/EP+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.8.6.3
마뉘엘 발스 프랑스 총리도 9일 프랑스 TV에서 "프랑스 정보, 수사 능력에 분명 결함이 있었다"고 밝혔다.

마뉘엘	마뉘엘/NNP
발스	발스/NNP
프랑스	프랑스/NNP
총리도	총리/NNG+도/JX
9일	9/SN+일/NNB
TV에서	TV/SL+에서/JKB
"프랑스	"/SS+프랑스/NNP
정보,	정보/NNG+,/SP
수사	수사/NNG
능력에	능력/NNG+에/JKB
분명	분명/MAG
결함이	결함/NNG+이/JKS
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


