# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.140
metadata : {}


# id : NWRW1800000049.140.1.1
[책의 향기]“미술품 수집의 가치?

[책의	[/SS+책/NNG+의/JKG
시장에서는	시장/NNG+에서/JKB+는/JX
내부	내부/NNG
거래,	거래/NNG+,/SP
가격	가격/NNG
조작,	조작/NNG+,/SP
카르텔이	카르텔/NNG+이/JKS
모두	모두/MAG
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
시장	시장/NNG
원리다.	원리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.140.6.2
다른 분야에서라면 감옥에 가야 할 행위를 미술계에서는 정상적인 것으로 여긴다.”

다른	다른/MMD
분야에서라면	분야/NNG+에서/JKB+이/VCP+라면/EC
감옥에	감옥/NNG+에/JKB
가야	가/VV+아야/EC
할	하/VX+ㄹ/ETM
행위를	행위/NNG+를/JKO
미술계에서는	미술/NNG+계/XSN+에서/JKB+는/JX
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
여긴다.”	여기/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000049.140.7.1
물론 비판적 지적은 아니다.

물론	물론/MAG
비판적	비판/NNG+적/XSN
지적은	지적/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.140.7.2
지은이는 그 세계를 즐기는, 가난함을 가장한 컬렉터다.

지은이는	지은이/NNG+는/JX
그	그/MMD
세계를	세계/NNG+를/JKO
즐기는,	즐기/VV+는/ETM+,/SP
가난함을	가난/NNG+하/XSA+ㅁ/ETN+을/JKO
가장한	가장/NNG+하/XSV+ㄴ/ETM
컬렉터다.	컬렉터/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.140.7.3
그는 “컬렉터가 되고 싶다면 마음에 들든 그렇지 않든 이 현실을 받아들여야 한다”라고 적었다.

그는	그/NP+는/JX
“컬렉터가	“/SS+컬렉터/NNG+가/JKC
되고	되/VV+고/EC
싶다면	싶/VX+다면/EC
마음에	마음/NNG+에/JKB
들든	들/VV+든/EC
그렇지	그렇/VA+지/EC
않든	않/VX+든/EC
이	이/MMD
현실을	현실/NNG+을/JKO
받아들여야	받아들이/VV+어야/EC
한다”라고	하/VX+ㄴ다/EF+”/SS+라고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.140.8.1
“구매한 미술 작품으로 돈을 벌고 싶어 하는 사람은 순진하다.

“구매한	“/SS+구매/NNG+하/XSV+ㄴ/ETM
미술	미술/NNG
작품으로	작품/NNG+으로/JKB
돈을	돈/NNG+을/JKO
벌고	벌/VV+고/EC
싶어	싶/VX+어/EC
하는	하/VX+는/ETM
사람은	사람/NNG+은/JX
순진하다.	순진/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.140.8.2
미술품 수집의 가치는 자신의 집에 원작을 갖고 있다는 심리적 보답의 즐거움이다.

미술품	미술품/NNG
수집의	수집/NNG+의/JKG
가치는	가치/NNG+는/JX
자신의	자신/NNG+의/JKG
집에	집/NNG+에/JKB
원작을	원작/NNG+을/JKO
갖고	갖/VV+고/EC
있다는	있/VX+다는/ETM
심리적	심리/NNG+적/XSN
보답의	보답/NNG+의/JKG
즐거움이다.	즐거움/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.140.8.3
모든 지구인이 컬렉터가 된다 해도 여전히 시장이 소화할 수 있는 것보다 더 많은 미술품이 존재한다.”

모든	모든/MMN
지구인이	지구인/NNG+이/JKS
컬렉터가	컬렉터/NNG+가/JKS
된다	되/VV+ㄴ다/EF
해도	하/VV+아도/EC
여전히	여전히/MAG
시장이	시장/NNG+이/JKS
소화할	소화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것보다	것/NNB+보다/JKB
더	더/MAG
많은	많/VA+은/ETM
미술품이	미술품/NNG+이/JKS
존재한다.”	존재/NNG+하/XSV+ㄴ다/EF+./SF+”/SS


