# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.173
metadata : {}


# id : NWRW1800000024.173.1.1
인권변호사→청문회 스타로 /‘지역주의 타파’ 대통령 당선

인권변호사→청문회	인권/NNG+변호사/NNG+→/SW+청문회/NNG
가난했던	가난/NNG+하/XSA+았/EP+던/ETM
농군의	농군/NNG+의/JKG
3남2녀	3/SN+남/NNG+2/SN+녀/NNG
중	중/NNB
막내로	막내/NNG+로/JKB
태어난	태어나/VV+ㄴ/ETM
노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
‘가난을	‘/SS+가난/NNG+을/JKO
등에	등/NNG+에/JKB
업은	업/VV+은/ETM
소년’으로	소년/NNG+’/SS+으로/JKB
자랐다.	자라/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.173.4.2
학비가 없어 중학교는 4년 만에야 졸업했으며, 장학금이 없었더라면 고등학교(부산상고) 진학은 엄두도 못 냈을 정도였다.

학비가	학비/NNG+가/JKS
없어	없/VA+어/EC
중학교는	중학교/NNG+는/JX
4년	4/SN+년/NNB
만에야	만/NNB+에야/JKB
졸업했으며,	졸업/NNG+하/XSV+았/EP+으며/EC+,/SP
장학금이	장학금/NNG+이/JKS
없었더라면	없/VA+었/EP+더라면/EC
고등학교(부산상고)	고등학교/NNG+(/SS+부산상고/NNP+)/SS
진학은	진학/NNG+은/JX
엄두도	엄두/NNG+도/JX
못	못/MAG
냈을	내/VV+었/EP+을/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.173.4.3
고교 졸업 뒤에도 사정은 나아지지 않았다.

고교	고교/NNG
졸업	졸업/NNG
뒤에도	뒤/NNG+에/JKB+도/JX
사정은	사정/NNG+은/JX
나아지지	나아지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.173.4.4
어망회사 취업과 막노동으로 가난을 벗을 수는 없었다.

어망회사	어망/NNG+회사/NNG
취업과	취업/NNG+과/JKB
막노동으로	막노동/NNG+으로/JKB
가난을	가난/NNG+을/JKO
벗을	벗/VV+을/ETM
수는	수/NNB+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.173.4.5
절망한 노 전 대통령은 71년 군에서 제대한 뒤 본격 사법시험에 도전한다.

절망한	절망/NNG+하/XSV+ㄴ/ETM
노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
71년	71/SN+년/NNB
군에서	군/NNG+에서/JKB
제대한	제대/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
본격	본격/NNG
사법시험에	사법/NNG+시험/NNG+에/JKB
도전한다.	도전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.173.5.1
스물아홉살이 되던 해인 1975년 사법시험에 합격하면서 평탄한 삶을 사는 듯했다.

스물아홉살이	스물아홉/NR+살/NNB+이/JKC
되던	되/VV+던/ETM
해인	해/NNG+이/VCP+ㄴ/ETM
1975년	1975/SN+년/NNB
사법시험에	사법/NNG+시험/NNG+에/JKB
합격하면서	합격/NNG+하/XSV+면서/EC
평탄한	평탄/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
사는	살/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000024.173.5.2
대전지법 판사를 거쳐 조세전문 변호사로 이름을 날렸지만, 안온한 생활은 그리 오래가지 않았다.

대전지법	대전지법/NNP
판사를	판사/NNG+를/JKO
거쳐	거치/VV+어/EC
조세전문	조세/NNG+전문/NNG
변호사로	변호사/NNG+로/JKB
이름을	이름/NNG+을/JKO
날렸지만,	날리/VV+었/EP+지만/EC+,/SP
안온한	안온/NNG+하/XSA+ㄴ/ETM
생활은	생활/NNG+은/JX
그리	그리/MAG
오래가지	오래가/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.173.5.3
1981년 민주화운동 사건인 ‘부림사건’의 변론을 맡은 것을 계기로, 그는 시국사건과 노동 관련 사건 등을 주로 맡는 인권변호사 ‘노변’으로 거듭났다.

1981년	1981/SN+년/NNB
민주화운동	민주/NNG+화/XSN+운동/NNG
사건인	사건/NNG+이/VCP+ㄴ/ETM
‘부림사건’의	‘/SS+부림/NNP+사건/NNG+’/SS+의/JKG
변론을	변론/NNG+을/JKO
맡은	맡/VV+은/ETM
것을	것/NNB+을/JKO
계기로,	계기/NNG+로/JKB+,/SP
그는	그/NP+는/JX
시국사건과	시국/NNG+사건/NNG+과/JC
노동	노동/NNG
관련	관련/NNG
사건	사건/NNG
등을	등/NNB+을/JKO
주로	주로/MAG
맡는	맡/VV+는/ETM
인권변호사	인권/NNG+변호사/NNG
‘노변’으로	‘/SS+노변/NNP+’/SS+으로/JKB
거듭났다.	거듭나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.173.5.4
이후 송기인 신부 등과 함께 ‘부산민주시민협회’를 만들면서 아예 재야 운동가로 변신한다.

이후	이후/NNG
송기인	송기인/NNP
신부	신부/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
‘부산민주시민협회’를	‘/SS+부산민주시민협회/NNP+’/SS+를/JKO
만들면서	만들/VV+면서/EC
아예	아예/MAG
재야	재야/NNG
운동가로	운동가/NNG+로/JKB
변신한다.	변신/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.173.5.5
1987년 6월 항쟁 당시엔 민주쟁취국민운동 부산본부 상임집행위원장을 맡아 ‘부산민주화운동의 야전사령관’으로 불리기도 했다.

1987년	1987/SN+년/NNB
6월	6/SN+월/NNB
항쟁	항쟁/NNG
당시엔	당시/NNG+에/JKB+ㄴ/JX
민주쟁취국민운동	민주/NNG+쟁취/NNG+국민운동/NNG
부산본부	부산/NNP+본부/NNG
상임집행위원장을	상임/NNG+집행/NNG+위원장/NNG+을/JKO
맡아	맡/VV+아/EC
‘부산민주화운동의	‘/SS+부산/NNP+민주/NNG+화/XSN+운동/NNG+의/JKG
야전사령관’으로	야전/NNG+사령관/NNG+’/SS+으로/JKB
불리기도	불리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.173.6.1
1988년 정치 입문 뒤에도 쉽지 않은 길만 걸었다.

1988년	1988/SN+년/NNB
정치	정치/NNG
입문	입문/NNG
뒤에도	뒤/NNG+에/JKB+도/JX
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
길만	길/NNG+만/JX
걸었다.	걷/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.173.6.2
‘5공비리 조사특위’의 청문회 때 일약 스타로 부상했지만, 견고한 지역주의를 무너뜨리기 위한 힘겨운 싸움에 나선다.

‘5공비리	‘/SS+5/SN+공/NNG+비리/NNG
조사특위’의	조사/NNG+특위/NNG+’/SS+의/JKG
청문회	청문회/NNG
때	때/NNG
일약	일약/MAG
스타로	스타/NNG+로/JKB
부상했지만,	부상/NNG+하/XSV+았/EP+지만/EC+,/SP
견고한	견고하/VA+ㄴ/ETM
지역주의를	지역주의/NNG+를/JKO
무너뜨리기	무너뜨리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
힘겨운	힘겹/VA+ㄴ/ETM
싸움에	싸움/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.173.6.3
그는 여소야대를 인위적으로 뒤엎는 야합이라는 이유를 들어 1990년 ‘3당 합당’에 반발해 민자당행을 포기하고 야권에 남았다.

그는	그/NP+는/JX
여소야대를	여소/NNG+야대/NNG+를/JKO
인위적으로	인위/NNG+적/XSN+으로/JKB
뒤엎는	뒤엎/VV+는/ETM
야합이라는	야합/NNG+이/VCP+라는/ETM
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
1990년	1990/SN+년/NNB
‘3당	‘/SS+3/SN+당/NNG
합당’에	합당/NNG+’/SS+에/JKB
반발해	반발/NNG+하/XSV+아/EC
민자당행을	민자당행/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
야권에	야권/NNG+에/JKB
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.173.6.4
그 ‘대가’는 참혹했다.

그	그/MMD
‘대가’는	‘/SS+대가/NNG+’/SS+는/JX
참혹했다.	참혹/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000024.173.6.5
그는 1995년 부산시장 선거, 1996년 서울 종로 국회의원 선거에 출마했지만 잇따라 고배를 마셨다.

그는	그/NP+는/JX
1995년	1995/SN+년/NNB
부산시장	부산시장/NNG
선거,	선거/NNG+,/SP
1996년	1996/SN+년/NNB
서울	서울/NNP
종로	종로/NNP
국회의원	국회/NNG+의원/NNG
선거에	선거/NNG+에/JKB
출마했지만	출마/NNG+하/XSV+았/EP+지만/EC
잇따라	잇따르/VV+아/EC
고배를	고배/NNG+를/JKO
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.173.6.6
1998년 7월 서울 종로 보궐선거에서 재기에 성공했지만, 그는 16대 총선에서 부산 출마를 감행했다가 또다시 지역주의의 높은 벽 앞에서 좌절해야만 했다.

1998년	1998/SN+년/NNB
7월	7/SN+월/NNB
서울	서울/NNP
종로	종로/NNP
보궐선거에서	보궐/NNG+선거/NNG+에서/JKB
재기에	재기/NNG+에/JKB
성공했지만,	성공/NNG+하/XSV+았/EP+지만/EC+,/SP
그는	그/NP+는/JX
16대	16/SN+대/NNB
총선에서	총선/NNG+에서/JKB
부산	부산/NNP
출마를	출마/NNG+를/JKO
감행했다가	감행/NNG+하/XSV+았/EP+다가/EC
또다시	또다시/MAG
지역주의의	지역주의/NNG+의/JKG
높은	높/VA+은/ETM
벽	벽/NNG
앞에서	앞/NNG+에서/JKB
좌절해야만	좌절/NNG+하/XSV+아야/EC+만/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.173.6.7
그러나 그의 과감한 지역주의 도전은 ‘바보 노무현’이라는 정치적 명예로 보답받았다.

그러나	그러나/MAJ
그의	그/NP+의/JKG
과감한	과감하/VA+ㄴ/ETM
지역주의	지역주의/NNG
도전은	도전/NNG+은/JX
‘바보	‘/SS+바보/NNG
노무현’이라는	노무현/NNP+’/SS+이/VCP+라는/ETM
정치적	정치/NNG+적/XSN
명예로	명예/NNG+로/JKB
보답받았다.	보답/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.173.7.1
노 전 대통령은 2001년 해양수산부 장관직을 그만둔 뒤 힘겨운 대선 레이스에 뛰어들었다.

노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
2001년	2001/SN+년/NNB
해양수산부	해양/NNG+수산부/NNG
장관직을	장관직/NNG+을/JKO
그만둔	그만두/VV+ㄴ/ETM
뒤	뒤/NNG
힘겨운	힘겹/VA+ㄴ/ETM
대선	대선/NNG
레이스에	레이스/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.173.7.2
그는 누구도 예상치 못한 결과를 만들어 냈다.

그는	그/NP+는/JX
누구도	누구/NP+도/JX
예상치	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
결과를	결과/NNG+를/JKO
만들어	만들/VV+어/EC
냈다.	내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.173.7.3
그는 2002년 3월 시작된 당내 경선에서 지역주의 극복의 대안으로 평가받아, 이인제 후보를 누르고 집권 여당의 후보직을 거머쥐었다.

그는	그/NP+는/JX
2002년	2002/SN+년/NNB
3월	3/SN+월/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
당내	당내/NNG
경선에서	경선/NNG+에서/JKB
지역주의	지역주의/NNG
극복의	극복/NNG+의/JKG
대안으로	대안/NNG+으로/JKB
평가받아,	평가/NNG+받/XSV+아/EC+,/SP
이인제	이인제/NNP
후보를	후보/NNG+를/JKO
누르고	누르/VV+고/EC
집권	집권/NNG
여당의	여당/NNG+의/JKG
후보직을	후보직/NNG+을/JKO
거머쥐었다.	거머쥐/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.173.7.4
노 전 대통령은 이후 지지도 추락으로 당내에서 후보 사퇴 압력에 내몰렸으나, 정몽준 국민통합 21 대표와의 후보 단일화로 이를 극복하고 16대 대통령에 당선됐다.

노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
이후	이후/NNG
지지도	지지도/NNG
추락으로	추락/NNG+으로/JKB
당내에서	당내/NNG+에서/JKB
후보	후보/NNG
사퇴	사퇴/NNG
압력에	압력/NNG+에/JKB
내몰렸으나,	내몰리/VV+었/EP+으나/EC+,/SP
정몽준	정몽준/NNP
국민통합	국민/NNG+통합/NNG
21	21/SN
대표와의	대표/NNG+와/JKB+의/JKG
단일화로	단일/NNG+화/XSN+로/JKB
이를	이/NP+를/JKO
극복하고	극복/NNG+하/XSV+고/EC
16대	16/SN+대/NNB
대통령에	대통령/NNG+에/JKB
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.173.7.5
노 전 대통령은 대선 과정에서 희망돼지 저금통 운동 등으로 60억원 이상의 국민성금을 모으는 등 국민참여형 선거운동의 새로운 모델을 만들었다.

노	노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
대선	대선/NNG
과정에서	과정/NNG+에서/JKB
희망돼지	희망/NNG+돼지/NNG
저금통	저금통/NNG
운동	운동/NNG
등으로	등/NNB+으로/JKB
60억원	60/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
국민성금을	국민/NNG+성금/NNG+을/JKO
모으는	모으/VV+는/ETM
등	등/NNB
국민참여형	국민/NNG+참여/NNG+형/XSN
선거운동의	선거/NNG+운동/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
모델을	모델/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


