# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.50
metadata : {}


# id : NWRW1800000041.50.1.1
친러 무장세력, 우크라 크림반도 정부청사-의사당 점거

친러	친/XPN+러/NNP
지시로	지시/NNG+로/JKB
26일부터	26/SN+일/NNB+부터/JX
다음	다음/NNG
달	달/NNG
3일까지	3/SN+일/NNB+까지/JX
크림반도에서	크림반도/NNP+에서/JKB
가까운	가깝/VA+ㄴ/ETM
러시아	러시아/NNP
서부지역에서	서부/NNG+지역/NNG+에서/JKB
서부군,	서부/NNG+군/NNG+,/SP
공수부대,	공수/NNG+부대/NNG+,/SP
항공수송부대	항공/NNG+수송/NNG+부대/NNG
등	등/NNB
15만	15/SN+만/NR
병력과	병력/NNG+과/JC
전투기	전투기/NNG
90대,	90/SN+대/NNB+,/SP
헬기	헬기/NNG
120대,	120/SN+대/NNB+,/SP
탱크	탱크/NNG
870대,	870/SN+대/NNB+,/SP
군함	군함/NNG
80여	80/SN+여/XSN
척이	척/NNB+이/JKS
동원되는	동원/NNG+되/XSV+는/ETM
비상	비상/NNG
전투태세	전투태세/NNG
훈련에	훈련/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.7.2
세르게이 쇼이구 러시아 국방장관은 27일 인테르팍스통신과의 인터뷰에서 “전투 준비가 돼 있다”고 밝혔다.

세르게이	세르게이/NNP
쇼이구	쇼이구/NNP
러시아	러시아/NNP
국방장관은	국방/NNG+장관/NNG+은/JX
27일	27/SN+일/NNB
인테르팍스통신과의	인테르팍스통신/NNP+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“전투	“/SS+전투/NNG
준비가	준비/NNG+가/JKC
돼	되/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.50.8.1
이에 맞서 서방의 집단안보동맹체인 북대서양조약기구(NATO)는 26일부터 이틀간 브뤼셀에서 28개국 국방장관 회의를 열어 “우크라이나의 주권과 독립, 국경 불가침의 원칙을 지지한다”며 우크라이나와 군사협력을 논의했다.

이에	이/NP+에/JKB
맞서	맞서/VV+어/EC
서방의	서방/NNG+의/JKG
집단안보동맹체인	집단/NNG+안보/NNG+동맹체/NNG+이/VCP+ㄴ/ETM
북대서양조약기구(NATO)는	북대서양조약기구/NNP+(/SS+NATO/SL+)/SS+는/JX
26일부터	26/SN+일/NNB+부터/JX
이틀간	이틀/NNG+간/XSN
브뤼셀에서	브뤼셀/NNP+에서/JKB
28개국	28/SN+개국/NNB
국방장관	국방/NNG+장관/NNG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
“우크라이나의	“/SS+우크라이나/NNP+의/JKG
주권과	주권/NNG+과/JC
독립,	독립/NNG+,/SP
국경	국경/NNG
불가침의	불가침/NNG+의/JKG
원칙을	원칙/NNG+을/JKO
지지한다”며	지지/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
우크라이나와	우크라이나/NNP+와/JC
군사협력을	군사/NNG+협력/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.8.2
존 케리 미국 국무장관도 “러시아의 군사개입은 심각한 실수이며 비싼 대가를 치르게 될 것”이라고 경고했다.

존	존/NNP
케리	케리/NNP
미국	미국/NNP
국무장관도	국무/NNG+장관/NNG+도/JX
“러시아의	“/SS+러시아/NNP+의/JKG
군사개입은	군사/NNG+개입/NNG+은/JX
심각한	심각하/VA+ㄴ/ETM
실수이며	실수/NNG+이/VCP+며/EC
비싼	비싸/VA+ㄴ/ETM
대가를	대가/NNG+를/JKO
치르게	치르/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.9.1
우크라이나 최고의회인 라다는 26일 반정부 시위를 이끈 최대 야당인 바티키프시나(조국당) 대표 아르세니 야체뉴크(39)를 총리 후보로 지명했다.

우크라이나	우크라이나/NNP
최고의회인	최고/NNG+의회/NNG+이/VCP+ㄴ/ETM
라다는	라다/NNP+는/JX
26일	26/SN+일/NNB
반정부	반/XPN+정부/NNG
시위를	시위/NNG+를/JKO
이끈	이끌/VV+ㄴ/ETM
최대	최대/NNG
야당인	야당/NNG+이/VCP+ㄴ/ETM
바티키프시나(조국당)	바티키프시나/NNP+(/SS+조국당/NNP+)/SS
대표	대표/NNG
아르세니	아르세니/NNP
야체뉴크(39)를	야체뉴크/NNP+(/SS+39/SN+)/SS+를/JKO
총리	총리/NNG
후보로	후보/NNG+로/JKB
지명했다.	지명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.9.2
변호사 출신인 그는 빅토르 유셴코 대통령 시절 경제장관과 외교장관, 의회 의장 등을 지냈다.

변호사	변호사/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
빅토르	빅토르/NNP
유셴코	유셴코/NNP
대통령	대통령/NNG
시절	시절/NNG
경제장관과	경제/NNG+장관/NNG+과/JC
외교장관,	외교/NNG+장관/NNG+,/SP
의회	의회/NNG
의장	의장/NNG
등을	등/NNB+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.50.9.3
2010년 대선에도 출마해 7%의 득표율로 4위를 차지했다.

2010년	2010/SN+년/NNB
대선에도	대선/NNG+에/JKB+도/JX
출마해	출마/NNG+하/XSV+아/EC
7%의	7/SN+%/SW+의/JKG
득표율로	득표/NNG+율/XSN+로/JKB
4위를	4/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.9.4
또 라다는 내무장관 후보에 현 장관 대행인 아르센 아바코프를, 경제부 장관 후보에는 키예프경제대(KSE) 총장 파블로 셰레메타를 지명했다.

또	또/MAG
라다는	라다/NNP+는/JX
내무장관	내무/NNG+장관/NNG
후보에	후보/NNG+에/JKB
현	현/MMD
장관	장관/NNG
대행인	대행인/NNG
아르센	아르센/NNP
아바코프를,	아바코프/NNP+를/JKO+,/SP
경제부	경제부/NNG
후보에는	후보/NNG+에/JKB+는/JX
키예프경제대(KSE)	키예프경제대/NNP+(/SS+KSE/SL+)/SS
총장	총장/NNG
파블로	파블로/NNP
셰레메타를	셰레메타/NNP+를/JKO
지명했다.	지명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.10.1
한편 도피 중인 야누코비치 전 대통령은 27일 대국민 호소문을 발표하고 러시아에 신변 보호를 요청했다고 이타르타스통신이 보도했다.

한편	한편/MAG
도피	도피/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
야누코비치	야누코비치/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
27일	27/SN+일/NNB
대국민	대국민/NNG
호소문을	호소문/NNG+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
러시아에	러시아/NNP+에/JKB
신변	신변/NNG
보호를	보호/NNG+를/JKO
요청했다고	요청/NNG+하/XSV+았/EP+다고/EC
이타르타스통신이	이타르타스통신/NNP+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.10.2
이 통신은 러시아 정부 소식통을 인용해 야누코비치 전 대통령이 러시아의 보호를 받게 될 것이라고 전했다.

이	이/MMD
통신은	통신/NNG+은/JX
러시아	러시아/NNP
정부	정부/NNG
소식통을	소식통/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
야누코비치	야누코비치/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
러시아의	러시아/NNP+의/JKG
보호를	보호/NNG+를/JKO
받게	받/VV+게/EC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.10.3
야누코비치 전 대통령은 실각 이후 크림반도로 잠입한 것으로 추정되나 우크라이나를 빠져나와 러시아에 입국했다는 설과 여전히 우크라이나에 머물고 있다는 설이 엇갈리고 있다.

야누코비치	야누코비치/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
실각	실각/NNG
이후	이후/NNG
크림반도로	크림반도/NNP+로/JKB
잠입한	잠입/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정되나	추정/NNG+되/XSV+나/EC
우크라이나를	우크라이나/NNP+를/JKO
빠져나와	빠져나오/VV+아/EC
러시아에	러시아/NNP+에/JKB
입국했다는	입국/NNG+하/XSV+았/EP+다는/ETM
설과	설/NNG+과/JC
여전히	여전히/MAG
우크라이나에	우크라이나/NNP+에/JKB
머물고	머물/VV+고/EC
있다는	있/VX+다는/ETM
설이	설/NNG+이/JKS
엇갈리고	엇갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


