# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.16
metadata : {}


# id : NWRW1800000052.16.1.1
“한국경제, 소비재 중심 산업으로 개편을”

“한국경제,	“/SS+한국/NNP+경제/NNG+,/SP
이득을,	이득/NNG+을/JKO+,/SP
중간재를	중간재/NNG+를/JKO
나라는	나라/NNG+는/JX
충격을	충격/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000052.16.11.4
(중간재를 파는) 한국은 여행, 헬스, 성형 등 소비재를 만들어 팔아야 한다”고 밝힌 바 있다.

(중간재를	(/SS+중간재/NNG+를/JKO
파는)	팔/VV+는/ETM+)/SS
한국은	한국/NNP+은/JX
여행,	여행/NNG+,/SP
헬스,	헬스/NNG+,/SP
성형	성형/NNG
등	등/NNB
소비재를	소비재/NNG+를/JKO
만들어	만들/VV+어/EC
팔아야	팔/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


