# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.254
metadata : {}


# id : NWRW1800000054.254.1.1
김진수, 수비 구멍을 메워줘

김진수,	김진수/NNP+,/SP
한국은 2018 러시아월드컵 아시아 지역 최종 예선 5경기 내내 측면 수비 문제로 고생했다.

한국은	한국/NNP+은/JX
2018	2018/SN
러시아월드컵	러시아/NNP+월드컵/NNG
아시아	아시아/NNP
지역	지역/NNG
최종	최종/NNG
예선	예선/NNG
5경기	5/SN+경기/NNG
내내	내내/MAG
측면	측면/NNG
수비	수비/NNG
문제로	문제/NNG+로/JKB
고생했다.	고생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.4.2
5차전까지 3승1무1패 8득점, 6실점으로 이란에 이어 A조 2위에 머물러 있다.

5차전까지	5/SN+차전/NNB+까지/JX
3승1무1패	3/SN+승/NNB+1/SN+무/NNB+1/SN+패/NNB
8득점,	8/SN+득점/NNG+,/SP
6실점으로	6/SN+실점/NNG+으로/JKB
이란에	이란/NNP+에/JKB
이어	잇/VV+어/EC
A조	A/SL+조/NNG
2위에	2/SN+위/NNB+에/JKB
머물러	머무르/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.254.4.3
울리 슈틸리케 대표팀 감독은 13일 월드컵 예선 6, 7차전(중국전, 시리아전)에 나설 대표 선수 24명을 발표하면서 '측면 수비 대란'을 막을 적임자로 김진수를 선택했다.

울리	울리/NNP
슈틸리케	슈틸리케/NNP
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
13일	13/SN+일/NNB
월드컵	월드컵/NNG
예선	예선/NNG
6,	6/SN+,/SP
7차전(중국전,	7/SN+차전/NNB+(/SS+중국전/NNG+,/SP
시리아전)에	시리아전/NNG+)/SS+에/JKB
나설	나서/VV+ㄹ/ETM
대표	대표/NNG
선수	선수/NNG
24명을	24/SN+명/NNB+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
'측면	'/SS+측면/NNG
수비	수비/NNG
대란'을	대란/NNG+'/SS+을/JKO
막을	막/VV+을/ETM
적임자로	적임자/NNG+로/JKB
김진수를	김진수/NNP+를/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.5.1
김진수는 지난 11일 수원 삼성 원정 경기에서 동료의 골을 어시스트했고, 앞서 개막전(4일) 홈경기에선 전남 드래곤즈 골문에 직접 프리킥을 꽂아넣었다.

김진수는	김진수/NNP+는/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
수원	수원/NNP
삼성	삼성/NNP
원정	원정/NNG
경기에서	경기/NNG+에서/JKB
동료의	동료/NNG+의/JKG
골을	골/NNG+을/JKO
어시스트했고,	어시스트/NNG+하/XSV+았/EP+고/EC+,/SP
앞서	앞서/MAG
개막전(4일)	개막전/NNG+(/SS+4/SN+일/NNB+)/SS
홈경기에선	홈경기/NNG+에서/JKB+ㄴ/JX
전남	전남/NNP
드래곤즈	드래곤즈/NNP
골문에	골문/NNG+에/JKB
직접	직접/MAG
프리킥을	프리킥/NNG+을/JKO
꽂아넣었다.	꽂/VV+아/EC+넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.254.5.2
악착같은 움직임으로 공격수를 괴롭히는 수비 능력도 돋보였다.

악착같은	악착/NNG+같/VA+은/ETM
움직임으로	움직임/NNG+으로/JKB
공격수를	공격수/NNG+를/JKO
괴롭히는	괴롭히/VV+는/ETM
수비	수비/NNG
능력도	능력/NNG+도/JX
돋보였다.	돋보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.254.5.3
독일에선 1년 넘게 한 경기에도 나서지 못했지만 고향 팀(전북 현대의 연고지 전주)으로 돌아와 실전을 치르며 기량을 회복하고 있다.

독일에선	독일/NNP+에서/JKB+ㄴ/JX
1년	1/SN+년/NNB
넘게	넘/VV+게/EC
한	한/MMN
경기에도	경기/NNG+에/JKB+도/JX
나서지	나서/VV+지/EC
못했지만	못하/VX+았/EP+지만/EC
고향	고향/NNG
팀(전북	팀/NNG+(/SS+전북/NNP
현대의	현대/NNP+의/JKG
연고지	연고지/NNG
전주)으로	전주/NNP+)/SS+으로/JKB
돌아와	돌아오/VV+아/EC
실전을	실전/NNG+을/JKO
치르며	치르/VV+며/EC
기량을	기량/NNG+을/JKO
회복하고	회복/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.254.6.1
김진수는 2002 월드컵 키즈다.

김진수는	김진수/NNP+는/JX
2002	2002/SN
월드컵	월드컵/NNG
키즈다.	키즈/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.254.6.2
한·일 월드컵 경기를 보고 경기 포곡초 5학년 때 축구 선수가 되기로 결심해 축구 명문 원삼중, 신갈고에 진학했다.

한·일	한·일/NNP
월드컵	월드컵/NNG
경기를	경기/NNG+를/JKO
보고	보/VV+고/EC
경기	경기/NNP
포곡초	포곡초/NNP
5학년	5/SN+학년/NNG
때	때/NNG
축구	축구/NNG
선수가	선수/NNG+가/JKC
되기로	되/VV+기/ETN+로/JKB
결심해	결심/NNG+하/XSV+아/EC
명문	명문/NNG
원삼중,	원삼중/NNP+,/SP
신갈고에	신갈고/NNP+에/JKB
진학했다.	진학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.6.3
2009년엔 U-17 월드컵(나이지리아) 대표팀 주장을 맡아 손흥민 등과 함께 8강 진출을 이끌었고, 2011년 U-20 월드컵(콜롬비아)에도 막내로 참가했다.

2009년엔	2009/SN+년/NNB+에/JKB+ㄴ/JX
U-17	U/SL+-/SO+17/SN
월드컵(나이지리아)	월드컵/NNG+(/SS+나이지리아/NNP+)/SS
대표팀	대표/NNG+팀/NNG
주장을	주장/NNG+을/JKO
맡아	맡/VV+아/EC
손흥민	손흥민/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
8강	8/SN+강/NNB
진출을	진출/NNG+을/JKO
이끌었고,	이끌/VV+었/EP+고/EC+,/SP
2011년	2011/SN+년/NNB
U-20	U/SL+-/SO+20/SN
월드컵(콜롬비아)에도	월드컵/NNG+(/SS+콜롬비아/NNP+)/SS+에/JKB+도/JX
막내로	막내/NNG+로/JKB
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.6.4
2002 월드컵 멤버 박지성처럼 J리그를 거쳐 유럽까지 진출한 엘리트였다.

2002	2002/SN
월드컵	월드컵/NNG
멤버	멤버/NNG
박지성처럼	박지성/NNP+처럼/JKB
J리그를	J/SL+리그/NNG+를/JKO
거쳐	거치/VV+어/EC
유럽까지	유럽/NNP+까지/JX
진출한	진출/NNG+하/XSV+ㄴ/ETM
엘리트였다.	엘리트/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.254.6.5
그는 2014년 브라질 대회 당시 성인 월드컵 참가의 꿈을 이룰 뻔했지만 오른쪽 발목 부상으로 대표팀에서 낙마했다.

그는	그/NP+는/JX
2014년	2014/SN+년/NNB
브라질	브라질/NNP
대회	대회/NNG
당시	당시/NNG
성인	성인/NNG
월드컵	월드컵/NNG
참가의	참가/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
뻔했지만	뻔/NNB+하/XSA+았/EP+지만/EC
오른쪽	오른쪽/NNG
발목	발목/NNG
부상으로	부상/NNG+으로/JKB
대표팀에서	대표/NNG+팀/NNG+에서/JKB
낙마했다.	낙마/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.6.6
김진수는 "당시 월드컵 명단에 들었다는 얘기에 흥분해 리그 경기 중 신나서 뛰어다니다가 부상을 당했다"며 "내 욕심으로 꿈을 망쳤기에 축구고 월드컵이고 다 보기 싫었던 시간이었다"고 했다.

김진수는	김진수/NNP+는/JX
"당시	"/SS+당시/NNG
월드컵	월드컵/NNG
명단에	명단/NNG+에/JKB
들었다는	들/VV+었/EP+다는/ETM
얘기에	얘기/NNG+에/JKB
흥분해	흥분/NNG+하/XSV+아/EC
리그	리그/NNG
경기	경기/NNG
중	중/NNB
신나서	신나/VV+아서/EC
뛰어다니다가	뛰어다니/VV+다가/EC
부상을	부상/NNG+을/JKO
당했다"며	당하/VV+았/EP+다/EF+"/SS+며/EC
"내	"/SS+나/NP+의/JKG
욕심으로	욕심/NNG+으로/JKB
꿈을	꿈/NNG+을/JKO
망쳤기에	망치/VV+었/EP+기에/EC
축구고	축구/NNG+고/JC
월드컵이고	월드컵/NNG+이고/JC
다	다/MAG
보기	보/VV+기/ETN
싫었던	싫/VA+었/EP+던/ETM
시간이었다"고	시간/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.7.1
이후 김진수는 '욕심부리지 않기'를 축구 인생의 신념으로 삼았다고 한다.

이후	이후/NNG
김진수는	김진수/NNP+는/JX
'욕심부리지	'/SS+욕심/NNG+부리/VV+지/EC
않기'를	않/VX+기/ETN+'/SS+를/JKO
축구	축구/NNG
인생의	인생/NNG+의/JKG
신념으로	신념/NNG+으로/JKB
삼았다고	삼/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.254.7.2
그는 "이번 시즌에도 욕심을 버리고 경기했더니 좋은 결과가 나오고 있다"며 "우리 팀이 월드컵 본선에 진출할 수 있도록 돕는 것만 생각한다"고 말했다.

그는	그/NP+는/JX
"이번	"/SS+이번/NNG
시즌에도	시즌/NNG+에/JKB+도/JX
욕심을	욕심/NNG+을/JKO
버리고	버리/VV+고/EC
경기했더니	경기/NNG+하/XSV+았/EP+더니/EC
좋은	좋/VA+은/ETM
결과가	결과/NNG+가/JKS
나오고	나오/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"우리	"/SS+우리/NP
팀이	팀/NNG+이/JKS
월드컵	월드컵/NNG
본선에	본선/NNG+에/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
돕는	돕/VV+는/ETM
것만	것/NNB+만/JX
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.8.1
슈틸리케 감독은 이번 명단에서 이청용(29·크리스털 팰리스)을 제외했다.

슈틸리케	슈틸리케/NNP
감독은	감독/NNG+은/JX
이번	이번/NNG
명단에서	명단/NNG+에서/JKB
이청용(29·크리스털	이청용/NNP+(/SS+29/SN+·/SP+크리스털/NNP
팰리스)을	팰리스/NNP+)/SS+을/JKO
제외했다.	제외/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.8.2
현지 경기에서 출전 못 해 감각이 떨어졌다는 이유다.

현지	현지/NNG
경기에서	경기/NNG+에서/JKB
출전	출전/NNG
못	못/MAG
해	하/VV+아/EC
감각이	감각/NNG+이/JKS
떨어졌다는	떨어지/VV+었/EP+다는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.254.8.3
슈틸리케 감독은 "이청용뿐 아니라 박주호(30·도르트문트)도 소속팀에서 교체 명단에도 들지 못하고 있어 걱정이 크다"며 "두 선수가 능력은 있지만 그라운드 안에서 보여줘야 한다"고 했다.

슈틸리케	슈틸리케/NNP
감독은	감독/NNG+은/JX
"이청용뿐	"/SS+이청용/NNP+뿐/JX
아니라	아니/VCN+라/EC
박주호(30·도르트문트)도	박주호/NNP+(/SS+30/SN+·/SP+도르트문트/NNP+)/SS+도/JX
소속팀에서	소속/NNG+팀/NNG+에서/JKB
교체	교체/NNG
명단에도	명단/NNG+에/JKB+도/JX
들지	들/VV+지/EC
못하고	못하/VX+고/EC
있어	있/VX+어/EC
걱정이	걱정/NNG+이/JKS
크다"며	크/VA+다/EF+"/SS+며/EC
"두	"/SS+두/MMN
선수가	선수/NNG+가/JKS
능력은	능력/NNG+은/JX
있지만	있/VA+지만/EC
그라운드	그라운드/NNG
안에서	안/NNG+에서/JKB
보여줘야	보이/VV+어/EC+주/VX+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.8.4
이청용 자리엔 신예 허용준(24·전남 드래곤즈)이 생애 최초로 발탁됐다.

이청용	이청용/NNP
자리엔	자리/NNG+에/JKB+ㄴ/JX
신예	신예/NNG
허용준(24·전남	허용준/NNP+(/SS+24/SN+·/SP+전남/NNP
드래곤즈)이	드래곤즈/NNP+)/SS+이/JKS
생애	생애/NNG
최초로	최초/NNG+로/JKB
발탁됐다.	발탁/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.254.8.5
슈틸리케 감독은 "허용준은 공을 가졌을 때 움직임이 위협적인 선수"라며 "이정협처럼 깜짝 활약을 기대한다"고 말했다.

슈틸리케	슈틸리케/NNP
감독은	감독/NNG+은/JX
"허용준은	"/SS+허용준/NNP+은/JX
공을	공/NNG+을/JKO
가졌을	가지/VV+었/EP+을/ETM
때	때/NNG
움직임이	움직임/NNG+이/JKS
위협적인	위협/NNG+적/XSN+이/VCP+ㄴ/ETM
선수"라며	선수/NNG+"/SS+이/VCP+라며/EC
"이정협처럼	"/SS+이정협/NNP+처럼/JKB
깜짝	깜짝/MAG
활약을	활약/NNG+을/JKO
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.9.1
이날 윤덕여 감독이 이끄는 여자 대표팀도 다음 달 북한 평양에서 열리는 2018 여자 아시안컵 B조 예선 출전 선수 23명을 발표했다.

이날	이날/NNG
윤덕여	윤덕여/NNP
감독이	감독/NNG+이/JKS
이끄는	이끌/VV+는/ETM
여자	여자/NNG
대표팀도	대표/NNG+팀/NNG+도/JX
다음	다음/NNG
달	달/NNG
북한	북한/NNP
평양에서	평양/NNP+에서/JKB
열리는	열리/VV+는/ETM
2018	2018/SN
아시안컵	아시안/NNP+컵/NNG
B조	B/SL+조/NNG
예선	예선/NNG
출전	출전/NNG
선수	선수/NNG
23명을	23/SN+명/NNB+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.254.9.2
여자 대표팀은 4월 5일 인도와 B조 첫 경기를 치르고, 북한과 7일 맞붙는다.

여자	여자/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
4월	4/SN+월/NNB
5일	5/SN+일/NNB
인도와	인도/NNP+와/JKB
B조	B/SL+조/NNG
첫	첫/MMN
경기를	경기/NNG+를/JKO
치르고,	치르/VV+고/EC+,/SP
북한과	북한/NNP+과/JKB
7일	7/SN+일/NNB
맞붙는다.	맞붙/VV+는다/EF+./SF


# id : NWRW1800000054.254.10.1
[중국·시리아전 축구 대표팀]

[중국·시리아전	[/SS+중국/NNP+·/SP+시리아전/NNG
축구	축구/NNG
대표팀]	대표/NNG+팀/NNG+]/SS


# id : NWRW1800000054.254.11.1
▲골키퍼=권순태(가시마) 김승규(고베) 김동준(성남) ▲수비=김기희(상하이 선화) 장현수(광저우 R&F) 홍정호(장쑤 쑤닝) 곽태휘(서울) 김민혁(사간 도스) 이용·최철순·김진수(이상 전북) 김민우(수원) ▲미드필더=정우영(충칭 리판) 고명진(알 라이안) 한국영(알 가라파) 손흥민(토트넘) 기성용(스완지시티) 남태희(레퀴야) 구자철·지동원(이상 아우크스부르크) 허용준(전남) ▲공격=김신욱(전북) 이정협(부산) 황희찬(잘츠부르크)

▲골키퍼=권순태(가시마)	▲/SW+골키퍼/NNG+=/SW+권순태/NNP+(/SS+가시마/NNP+)/SS
김승규(고베)	김승규/NNP+(/SS+고베/NNP+)/SS
김동준(성남)	김동준/NNP+(/SS+성남/NNP+)/SS
▲수비=김기희(상하이	▲/SW+수비/NNG+=/SW+김기희/NNP+(/SS+상하이/NNP
선화)	선화/NNP+)/SS
장현수(광저우	장현수/NNP+(/SS+광저우/NNP
R&F)	R/SL+&/SW+F/SL+)/SS
홍정호(장쑤	홍정호/NNP+(/SS+장쑤/NNP
쑤닝)	쑤닝/NNP+)/SS
곽태휘(서울)	곽태휘/NNP+(/SS+서울/NNP+)/SS
김민혁(사간	김민혁/NNP+(/SS+사간/NNP
도스)	도스/NNP+)/SS
이용·최철순·김진수(이상	이용/NNP+·/SP+최철순/NNP+·/SP+김진수/NNP+(/SS+이상/NNG
전북)	전북/NNP+)/SS
김민우(수원)	김민우/NNP+(/SS+수원/NNP+)/SS
▲미드필더=정우영(충칭	▲/SW+미드필더/NNG+=/SW+정우영/NNP+(/SS+충칭/NNP
리판)	리판/NNP+)/SS
고명진(알	고명진/NNP+(/SS+알/NNP
라이안)	라이안/NNP+)/SS
한국영(알	한국영/NNP+(/SS+알/NNP
가라파)	가라파/NNP+)/SS
손흥민(토트넘)	손흥민/NNP+(/SS+토트넘/NNP+)/SS
기성용(스완지시티)	기성용/NNP+(/SS+스완지시티/NNP+)/SS
남태희(레퀴야)	남태희/NNP+(/SS+레퀴야/NNP+)/SS
구자철·지동원(이상	구자철/NNP+·/SP+지동원/NNP+(/SS+이상/NNG
아우크스부르크)	아우크스부르크/NNP+)/SS
허용준(전남)	허용준/NNP+(/SS+전남/NNP+)/SS
▲공격=김신욱(전북)	▲/SW+공격/NNG+=/SW+김신욱/NNP+(/SS+전북/NNP+)/SS
이정협(부산)	이정협/NNP+(/SS+부산/NNP+)/SS
황희찬(잘츠부르크)	황희찬/NNP+(/SS+잘츠부르크/NNP+)/SS


# id : NWRW1800000054.254.12.1
[아시안컵 예선 출전 여자 축구 대표팀]

[아시안컵	[/SS+아시안/NNP+컵/NNG
예선	예선/NNG
출전	출전/NNG
여자	여자/NNG
축구	축구/NNG
대표팀]	대표/NNG+팀/NNG+]/SS


# id : NWRW1800000054.254.13.1
▲골키퍼=강가애(구미) 김정미(인천) 민유경(수원) ▲수비=김혜리(인천) 신담영(수원) 홍혜지(고베) 임선주(인천) 서현숙(이천) 이은미(수원) 김도연(인천) ▲미드필더=장슬기·이민아(이상 인천) 이소담(구미) 강유미(화천) 문미라(이천) 조소현·이영주(이상 인천) 권은솜(이천) ▲공격=이금민(서울) 정설빈(인천) 지소연(첼시) 전가을(인천) 유영아(구미)

▲골키퍼=강가애(구미)	▲/SW+골키퍼/NNG+=/SW+강가애/NNP+(/SS+구미/NNP+)/SS
김정미(인천)	김정미/NNP+(/SS+인천/NNP+)/SS
민유경(수원)	민유경/NNP+(/SS+수원/NNP+)/SS
▲수비=김혜리(인천)	▲/SW+수비/NNG+=/SW+김혜리/NNP+(/SS+인천/NNP+)/SS
신담영(수원)	신담영/NNP+(/SS+수원/NNP+)/SS
홍혜지(고베)	홍혜지/NNP+(/SS+고베/NNP+)/SS
임선주(인천)	임선주/NNP+(/SS+인천/NNP+)/SS
서현숙(이천)	서현숙/NNP+(/SS+이천/NNP+)/SS
이은미(수원)	이은미/NNP+(/SS+수원/NNP+)/SS
김도연(인천)	김도연/NNP+(/SS+인천/NNP+)/SS
▲미드필더=장슬기·이민아(이상	▲/SW+미드필더/NNG+=/SW+장슬기/NNP+·/SP+이민아/NNP+(/SS+이상/NNG
인천)	인천/NNP+)/SS
이소담(구미)	이소담/NNP+(/SS+구미/NNP+)/SS
강유미(화천)	강유미/NNP+(/SS+화천/NNP+)/SS
문미라(이천)	문미라/NNP+(/SS+이천/NNP+)/SS
조소현·이영주(이상	조소현/NNP+·/SP+이영주/NNP+(/SS+이상/NNG
권은솜(이천)	권은솜/NNP+(/SS+이천/NNP+)/SS
▲공격=이금민(서울)	▲/SW+공격/NNG+=/SW+이금민/NNP+(/SS+서울/NNP+)/SS
정설빈(인천)	정설빈/NNP+(/SS+인천/NNP+)/SS
지소연(첼시)	지소연/NNP+(/SS+첼시/NNP+)/SS
전가을(인천)	전가을/NNP+(/SS+인천/NNP+)/SS
유영아(구미)	유영아/NNP+(/SS+구미/NNP+)/SS


