# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.189
metadata : {}


# id : NWRW1800000021.189.1.1
[충북] ‘노근리 59주년’ 인권평화캠프 열린다

[충북]	[/SS+충북/NNP+]/SS
대학생	대학/NNG+생/XSN
30여	30/SN+여/XSN
명이	명/NNB+이/JKS
참가할	참가/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.189.3.2
이들은 전쟁의 아픔과 인권의 중요성을 되새기는 학술강연과 토론회를 벌인다.

이들은	이/NP+들/XSN+은/JX
전쟁의	전쟁/NNG+의/JKG
아픔과	아픔/NNG+과/JC
인권의	인권/NNG+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
되새기는	되새기/VV+는/ETM
학술강연과	학술/NNG+강연/NNG+과/JC
토론회를	토론회/NNG+를/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.189.3.3
또 피해자 및 유가족 가정을 방문해 당시 사건의 실상을 직접 듣고 농촌체험과 봉사활동도 벌인다.

또	또/MAG
피해자	피해자/NNG
및	및/MAG
유가족	유가족/NNG
가정을	가정/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
당시	당시/NNG
사건의	사건/NNG+의/JKG
실상을	실상/NNG+을/JKO
직접	직접/MAG
듣고	듣/VV+고/EC
농촌체험과	농촌/NNG+체험/NNG+과/JC
봉사활동도	봉사/NNG+활동/NNG+도/JX
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.189.3.4
노근리 사건을 소재로 만든 영화 ‘작은연못’ 시사회와 이 영화 제작자인 이우정 씨(명필름 대표), 만화가 박건웅 씨 등 예술인 초청강연도 마련된다.

노근리	노근리/NNP
사건을	사건/NNG+을/JKO
소재로	소재/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
영화	영화/NNG
‘작은연못’	‘/SS+작은연못/NNP+’/SS
시사회와	시사회/NNG+와/JC
이	이/MMD
제작자인	제작자/NNG+이/VCP+ㄴ/ETM
이우정	이우정/NNP
씨(명필름	씨/NNB+(/SS+명필름/NNP
대표),	대표/NNG+)/SS+,/SP
만화가	만화가/NNG
박건웅	박건웅/NNP
씨	씨/NNB
등	등/NNB
예술인	예술인/NNG
초청강연도	초청/NNG+강연/NNG+도/JX
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.189.4.1
노근리 사건은 1950년 7월 25∼29일 북한군의 공격에 밀려 후퇴하던 미군이 피란민 대열에 항공기 공중공격과 기관총 공격 등을 가해 많은 사상자를 낸 것으로 1999년 9월 AP통신의 보도로 알려지게 됐다.

노근리	노근리/NNP
사건은	사건/NNG+은/JX
1950년	1950/SN+년/NNB
7월	7/SN+월/NNB
25∼29일	25/SN+∼/SO+29/SN+일/NNB
북한군의	북한군/NNG+의/JKG
공격에	공격/NNG+에/JKB
밀려	밀리/VV+어/EC
후퇴하던	후퇴/NNG+하/XSV+던/ETM
미군이	미군/NNG+이/JKS
피란민	피란민/NNG
대열에	대열/NNG+에/JKB
항공기	항공기/NNG
공중공격과	공중/NNG+공격/NNG+과/JC
기관총	기관총/NNG
공격	공격/NNG
등을	등/NNB+을/JKO
가해	가하/VV+아/EC
많은	많/VA+은/ETM
사상자를	사상자/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
1999년	1999/SN+년/NNB
9월	9/SN+월/NNB
AP통신의	AP통신/NNP+의/JKG
보도로	보도/NNG+로/JKB
알려지게	알려지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.189.5.1
한편 23일에는 노근리 사건의 희생자 유해가 묻힌 합동묘역이 준공된다.

한편	한편/MAG
23일에는	23/SN+일/NNB+에/JKB+는/JX
노근리	노근리/NNP
사건의	사건/NNG+의/JKG
희생자	희생자/NNG
유해가	유해/NNG+가/JKS
묻힌	묻히/VV+ㄴ/ETM
합동묘역이	합동/NNG+묘역/NNG+이/JKS
준공된다.	준공/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.189.5.2
노근리 사건 현장 인근에 4억5000만 원을 들여 828m² 규모로 조성된 합동묘역에는 주변 임야 등에 묻혔던 희생자 28명의 유해가 이장됐다.

노근리	노근리/NNP
사건	사건/NNG
현장	현장/NNG
인근에	인근/NNG+에/JKB
4억5000만	4/SN+억/NR+5000/SN+만/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
828m²	828/SN+m²/SW
규모로	규모/NNG+로/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
합동묘역에는	합동/NNG+묘역/NNG+에/JKB+는/JX
주변	주변/NNG
임야	임야/NNG
등에	등/NNB+에/JKB
묻혔던	묻히/VV+었/EP+던/ETM
희생자	희생자/NNG
28명의	28/SN+명/NNB+의/JKG
유해가	유해/NNG+가/JKS
이장됐다.	이장/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.189.5.3
영동군은 내년까지 묘역 인근 13만2240m²에 위령탑, 역사평화박물관(1500m²), 청소년 문화의 집(1945m²) 등을 갖춘 역사공원을 조성할 계획이다.

영동군은	영동군/NNP+은/JX
내년까지	내년/NNG+까지/JX
묘역	묘역/NNG
인근	인근/NNG
13만2240m²에	13/SN+만/NR+2240/SN+m²/SW+에/JKB
위령탑,	위령탑/NNG+,/SP
역사평화박물관(1500m²),	역사평화박물관/NNP+(/SS+1500/SN+m²/SW+)/SS+,/SP
청소년	청소년/NNG
문화의	문화/NNG+의/JKG
집(1945m²)	집/NNG+(/SS+1945/SN+m²/SW+)/SS
등을	등/NNB+을/JKO
갖춘	갖추/VV+ㄴ/ETM
역사공원을	역사/NNG+공원/NNG+을/JKO
조성할	조성/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.189.5.4
이에 앞서 정부는 노근리 사건 유족 등의 피해신고를 받아 희생자로 사망 150명, 행방불명 13명, 후유장애 63명을 확정했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
정부는	정부/NNG+는/JX
노근리	노근리/NNP
사건	사건/NNG
유족	유족/NNG
등의	등/NNB+의/JKG
피해신고를	피해/NNG+신고/NNG+를/JKO
받아	받/VV+아/EC
희생자로	희생자/NNG+로/JKB
사망	사망/NNG
150명,	150/SN+명/NNB+,/SP
행방불명	행방불명/NNG
13명,	13/SN+명/NNB+,/SP
후유장애	후유/NNG+장애/NNG
63명을	63/SN+명/NNB+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


