# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.24
metadata : {}


# id : NWRW1800000054.24.1.1
"中이 美사령관 경질 요구했다는 日보도는 이간질"

"中이	"/SS+中/SH+이/JKS
때문에	때문/NNB+에/JKB
어차피	어차피/MAG
트럼프	트럼프/NNP
정권에서는	정권/NNG+에서/JKB+는/JX
물러날	물러나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
매우	매우/MAG
크다"며	크/VA+다/EF+"/SS+며/EC
"그런데도	"/SS+그런데/MAJ+도/JX
일본	일본/NNP
측이	측/NNB+이/JKS
해리스의	해리스/NNP+의/JKG
거취	거취/NNG
문제를	문제/NNG+를/JKO
갑자기	갑자기/MAG
중국과	중국/NNP+과/JKB
연계시키고	연계/NNG+시키/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
중국을	중국/NNP+을/JKO
음해하려는	음해/NNG+하/XSV+려는/ETM
꼼수"라고	꼼수/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.24.5.1
지난 6일 일본 교도통신은 미·중 관계를 잘 아는 소식통을 인용해 "중국 시진핑 지도부가 지난달 추이톈카이 주미 중국 대사를 통해 해리스 사령관의 교체를 요구했다"고 보도했다.

지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
일본	일본/NNP
교도통신은	교도통신/NNP+은/JX
미·중	미/NNP+·/SP+중/NNP
관계를	관계/NNG+를/JKO
잘	잘/MAG
아는	알/VV+는/ETM
소식통을	소식통/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
"중국	"/SS+중국/NNP
시진핑	시진핑/NNP
지도부가	지도부/NNG+가/JKS
지난달	지난달/NNG
추이톈카이	추이톈카이/NNP
주미	주미/NNG
중국	중국/NNP
대사를	대사/NNG+를/JKO
통해	통하/VV+아/EC
해리스	해리스/NNP
사령관의	사령관/NNG+의/JKG
교체를	교체/NNG+를/JKO
요구했다"고	요구/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.24.5.2
통신은 "추이 대사는 지난달 6~7일 열린 미·중 정상회담을 전후해 미국 측에 이런 요구를 전했으며 트럼프 정부는 이를 거절했을 가능성이 크다"고 했다.

통신은	통신/NNG+은/JX
"추이	"/SS+추이/NNP
대사는	대사/NNG+는/JX
지난달	지난달/NNG
6~7일	6/SN+~/SO+7/SN+일/NNB
열린	열리/VV+ㄴ/ETM
미·중	미/NNP+·/SP+중/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
전후해	전후/NNG+하/XSV+아/EC
미국	미국/NNP
측에	측/NNB+에/JKB
이런	이런/MMD
요구를	요구/NNG+를/JKO
전했으며	전하/VV+았/EP+으며/EC
트럼프	트럼프/NNP
정부는	정부/NNG+는/JX
이를	이/NP+를/JKO
거절했을	거절/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


