# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.273
metadata : {}


# id : NWRW1800000046.273.1.1
[터치! 코리아] "뭐라고, 당신이 책임질 거야?"

[터치!	[/SS+터치/NNG+!/SF
# id : NWRW1800000046.273.6.4
"병원을 폐쇄해야 합니다" "그러면 근거 조항은 있나?" "없습니다.

"병원을	"/SS+병원/NNG+을/JKO
폐쇄해야	폐쇄/NNG+하/XSV+아야/EC
합니다"	하/VX+ㅂ니다/EF+"/SS
"그러면	"/SS+그러면/MAJ
근거	근거/NNG
조항은	조항/NNG+은/JX
있나?"	있/VA+나/EF+?/SF+"/SS
"없습니다.	"/SS+없/VA+습니다/EF+./SF


# id : NWRW1800000046.273.6.5
하지만…" "그랬다가 병원들이 소송하면 당신이 책임질 거야?"

하지만…"	하지만/MAJ+…/SE+"/SS
"그랬다가	"/SS+그러/VV+었/EP+다가/EC
병원들이	병원/NNG+들/XSN+이/JKS
소송하면	소송/NNG+하/XSV+면/EC
당신이	당신/NP+이/JKS
책임질	책임지/VV+ㄹ/ETM
거야?"	거/NNB+이/VCP+야/EF+?/SF+"/SS


# id : NWRW1800000046.273.7.1
이렇게 돌아갔다면 어느 공무원이 '책임지고' 병원 폐쇄를 밀어붙일 수 있었을까.

이렇게	이렇/VA+게/EC
돌아갔다면	돌아가/VV+았/EP+다면/EC
어느	어느/MMD
공무원이	공무원/NNG+이/JKS
'책임지고'	'/SS+책임지/VV+고/EC+'/SS
병원	병원/NNG
폐쇄를	폐쇄/NNG+를/JKO
밀어붙일	밀어붙이/VV+ㄹ/ETM
수	수/NNB
있었을까.	있/VA+었/EP+을까/EF+./SF


# id : NWRW1800000046.273.7.2
'보신주의'라고 비난하기도 힘들다.

'보신주의'라고	'/SS+보신주의/NNG+'/SS+라고/JKQ
비난하기도	비난/NNG+하/XSV+기/ETN+도/JX
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000046.273.7.3
남들만큼 일했다고 징계받는 사람은 없다.

남들만큼	남/NNG+들/XSN+만큼/JKB
일했다고	일/NNG+하/XSV+았/EP+다고/EC
징계받는	징계/NNG+받/XSV+는/ETM
사람은	사람/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.273.7.4
하지만 남들 안 하는 것 하려다 문제가 생기면 문책당하는 게 대부분 조직의 원리다.

하지만	하지만/MAJ
남들	남/NNG+들/XSN
안	안/MAG
하는	하/VV+는/ETM
것	것/NNB
하려다	하/VV+려다/EC
문제가	문제/NNG+가/JKS
생기면	생기/VV+면/EC
문책당하는	문책/NNG+당하/XSV+는/ETM
게	거/NNB+이/JKS
대부분	대/XPN+부분/NNG
조직의	조직/NNG+의/JKG
원리다.	원리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.7.5
공무원 사회는 더 그렇다.

공무원	공무원/NNG
사회는	사회/NNG+는/JX
더	더/MAG
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000046.273.7.6
"수처작주(隨處作主·주인의식)?

"수처작주(隨處作主·주인의식)?	"/SS+수처작주/NNG+(/SS+隨處作主/SH+·/SP+주인/NNG+의식/NNG+)/SS+?/SF


# id : NWRW1800000046.273.7.7
웃기지 마라.

웃기지	웃기/VV+지/EC
마라.	말/VX+아라/EF+./SF


# id : NWRW1800000046.273.7.8
'나대지 말자'가 정답"이라는 얘기가 그래서 나온다.

'나대지	'/SS+나대/VV+지/EC
말자'가	말/VX+자/EF+'/SS+가/JKS
정답"이라는	정답/NNG+"/SS+이/VCP+라는/ETM
얘기가	얘기/NNG+가/JKS
그래서	그렇/VA+어서/EC
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.273.7.9
감염학이 전공인 삼성서울병원장이 자기 병원의 방역에 실패한 것도 이런 식이었을 것이다.

감염학이	감염학/NNG+이/JKS
전공인	전공/NNG+이/VCP+ㄴ/ETM
삼성서울병원장이	삼성/NNP+서울/NNP+병원장/NNG+이/JKS
자기	자기/NP
병원의	병원/NNG+의/JKG
방역에	방역/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이런	이런/MMD
식이었을	식/NNB+이/VCP+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.7.10
이 '행정에 충실한 행정 공백'을 박원순 서울시장이 뚫은 것이다.

이	이/MMD
'행정에	'/SS+행정/NNG+에/JKB
충실한	충실/NNG+하/XSA+ㄴ/ETM
행정	행정/NNG
공백'을	공백/NNG+'/SS+을/JKO
박원순	박원순/NNP
서울시장이	서울시장/NNG+이/JKS
뚫은	뚫/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.8.1
만일 문형표 보건복지부 장관이 '법적 근거는 없지만 병원을 폐쇄하겠다'고 결심했다 치자(물론 상상이다).

만일	만일/MAG
문형표	문형표/NNP
보건복지부	보건/NNG+복지부/NNG
장관이	장관/NNG+이/JKS
'법적	'/SS+법/NNG+적/XSN
근거는	근거/NNG+는/JX
없지만	없/VA+지만/EC
병원을	병원/NNG+을/JKO
폐쇄하겠다'고	폐쇄/NNG+하/XSV+겠/EP+다/EF+'/SS+고/JKQ
결심했다	결심/NNG+하/XSV+았/EP+다/EF
치자(물론	치/VV+자/EF+(/SS+물론/MAG
상상이다).	상상/NNG+이/VCP+다/EF+)/SS+./SF


# id : NWRW1800000046.273.8.2
이걸 문서로 만들어 대통령에게 서면 보고한다?

이걸	이거/NP+ㄹ/JKO
문서로	문서/NNG+로/JKB
만들어	만들/VV+어/EC
대통령에게	대통령/NNG+에게/JKB
서면	서면/NNG
보고한다?	보고/NNG+하/XSV+ㄴ다/EF+?/SF


# id : NWRW1800000046.273.8.3
아마도 "대통령께서 법적 근거는 있느냐고 물으신다"는 비서관이나 수석의 한마디에 '깨갱' 하고 말았을 것이다.

아마도	아마도/MAG
"대통령께서	"/SS+대통령/NNG+께서/JKS
법적	법/NNG+적/XSN
근거는	근거/NNG+는/JX
있느냐고	있/VA+느냐고/EC
물으신다"는	묻/VV+으시/EP+ㄴ다/EF+"/SS+는/ETM
비서관이나	비서관/NNG+이나/JC
수석의	수석/NNG+의/JKG
한마디에	한마디/NNG+에/JKB
'깨갱'	'/SS+깨갱/MAG+'/SS
하고	하/VV+고/EC
말았을	말/VX+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.8.4
'초법적 판단'은 인사권을 쥔 최상급자의 결심이 관건이다.

'초법적	'/SS+초법/NNG+적/XSN
판단'은	판단/NNG+'/SS+은/JX
인사권을	인사/NNG+권/XSN+을/JKO
쥔	쥐/VV+ㄴ/ETM
최상급자의	최/XPN+상급자/NNG+의/JKG
결심이	결심/NNG+이/JKS
관건이다.	관건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.8.5
그런 담판은 서류가 아니라 얼굴 보고 하는 거다.

그런	그런/MMD
담판은	담판/NNG+은/JX
서류가	서류/NNG+가/JKC
아니라	아니/VCN+라/EC
얼굴	얼굴/NNG
보고	보/VV+고/EC
하는	하/VV+는/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.8.6
"대통령께 직접 유선 보고도 드렸다"던 장관의 말이 떠오른다.

"대통령께	"/SS+대통령/NNG+께/JKB
직접	직접/MAG
유선	유선/NNG
보고도	보고/NNG+도/JX
드렸다"던	드리/VV+었/EP+다/EF+"/SS+던/ETM
장관의	장관/NNG+의/JKG
말이	말/NNG+이/JKS
떠오른다.	떠오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.273.8.7
가끔, 직접, '전화로' 말했단다.

가끔,	가끔/MAG+,/SP
직접,	직접/MAG+,/SP
'전화로'	'/SS+전화/NNG+로/JKB+'/SS
말했단다.	말/NNG+하/XSV+았/EP+단다/EF+./SF


# id : NWRW1800000046.273.8.8
젠장, 또 '사필귀정(事必歸正)'이 아닌 '사필귀(事必歸)대통령책임'이 되어 버렸다.

젠장,	젠장/IC+,/SP
또	또/MAG
'사필귀정(事必歸正)'이	'/SS+사필귀정/NNG+(/SS+事必歸正/SH+)/SS+'/SS+이/JKC
아닌	아니/VCN+ㄴ/ETM
'사필귀(事必歸)대통령책임'이	'/SS+사필귀/NA+(/SS+事必歸/SH+)/SS+대통령/NNG+책임/NNG+'/SS+이/JKC
되어	되/VV+어/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


