# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.233
metadata : {}


# id : NWRW1800000040.233.1.1
“이의” 외침 묵살-‘표결’ 생략 경남도의회 회의규칙 어겼다

“이의”	“/SS+이의/NNG+”/SS
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.233.6.1
김오영 의장은 11일 오후 2시10분께 진주의료원의 존립 근거를 삭제하는 ‘경상남도의료원 설립 및 운영 조례 일부개정 조례안’을 본회의에 상정한 뒤 안건 설명·질의·답변을 모두 생략한 채 도의원들에게 “원안 가결하고자 합니다.

김오영	김오영/NNP
의장은	의장/NNG+은/JX
11일	11/SN+일/NNB
오후	오후/NNG
2시10분께	2/SN+시/NNB+10/SN+분/NNB+께/XSN
진주의료원의	진주의료원/NNP+의/JKG
존립	존립/NNG
근거를	근거/NNG+를/JKO
삭제하는	삭제/NNG+하/XSV+는/ETM
‘경상남도의료원	‘/SS+경상남도/NNP+의료원/NNG
설립	설립/NNG
및	및/MAG
운영	운영/NNG
조례	조례/NNG
일부개정	일부/NNG+개정/NNG
조례안’을	조례안/NNG+’/SS+을/JKO
본회의에	본회의/NNG+에/JKB
상정한	상정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
안건	안건/NNG
설명·질의·답변을	설명/NNG+·/SP+질의/NNG+·/SP+답변/NNG+을/JKO
모두	모두/MAG
생략한	생략/NNG+하/XSV+ㄴ/ETM
채	채/NNB
도의원들에게	도/NNG+의원/NNG+들/XSN+에게/JKB
“원안	“/SS+원안/NNG
가결하고자	가결/NNG+하/XSV+고자/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000040.233.6.2
동의하시죠?”라고 물었다.

동의하시죠?”라고	동의/NNG+하/XSV+시/EP+죠/EF+?/SF+”/SS+라고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.233.6.3
새누리당 도의원들과 몸싸움하던 야권 도의원들의 “이의 있습니다”, “안 돼”라는 목소리와 새누리당 도의원들의 “예”라는 답변이 뒤섞여 나왔으나, 김 의장은 “다수 의원들이 원안에 동의했다”며 안건을 통과시켰다.

새누리당	새누리당/NNP
도의원들과	도/NNG+의원/NNG+들/XSN+과/JKB
몸싸움하던	몸싸움/NNG+하/XSV+던/ETM
야권	야권/NNG
도의원들의	도/NNG+의원/NNG+들/XSN+의/JKG
“이의	“/SS+이의/NNG
있습니다”,	있/VA+습니다/EF+”/SS+,/SP
“안	“/SS+안/MAG
돼”라는	되/VV+어/EF+”/SS+이/VCP+라는/ETM
목소리와	목소리/NNG+와/JC
“예”라는	“/SS+예/IC+”/SS+이/VCP+라는/ETM
답변이	답변/NNG+이/JKS
뒤섞여	뒤섞이/VV+어/EC
나왔으나,	나오/VV+았/EP+으나/EC+,/SP
김	김/NNP
의장은	의장/NNG+은/JX
“다수	“/SS+다수/NNG
의원들이	의원/NNG+들/XSN+이/JKS
원안에	원안/NNG+에/JKB
동의했다”며	동의/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
안건을	안건/NNG+을/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.233.7.1
‘경상남도의회 회의규칙’을 보면 △전자투표에 의한 기록 표결로 가부 결정하며, 투표기기가 고장나면 기립 또는 거수로 표결(1항) △본회의 의결이 있거나 재적의원 5분의 1 이상의 요구가 있으면 무기명 표결(2항) △의장이 이의 유무를 물어서 이의가 없다고 인정한 때에는 가결 선포할 수 있으나, 이의가 있으면 1항 또는 2항의 방법으로 표결하도록(3항) 규정돼 있다.

‘경상남도의회	‘/SS+경상남도의회/NNP
회의규칙’을	회의/NNG+규칙/NNG+’/SS+을/JKO
보면	보/VV+면/EC
△전자투표에	△/SW+전자/NNG+투표/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
기록	기록/NNG
표결로	표결/NNG+로/JKB
가부	가부/NNG
결정하며,	결정/NNG+하/XSV+며/EC+,/SP
투표기기가	투표/NNG+기기/NNG+가/JKS
고장나면	고장/NNG+나/VV+면/EC
기립	기립/NNG
또는	또는/MAG
거수로	거수/NNG+로/JKB
표결(1항)	표결/NNG+(/SS+1/SN+항/NNG+)/SS
△본회의	△/SW+본회의/NNG
의결이	의결/NNG+이/JKS
있거나	있/VA+거나/EC
재적의원	재적/NNG+의원/NNG
5분의	5/SN+분/XSN+의/JKG
1	1/SN
이상의	이상/NNG+의/JKG
요구가	요구/NNG+가/JKS
있으면	있/VA+으면/EC
무기명	무/XPN+기명/NNG
표결(2항)	표결/NNG+(/SS+2/SN+항/NNG+)/SS
△의장이	△/SW+의장/NNG+이/JKS
이의	이의/NNG
유무를	유무/NNG+를/JKO
물어서	묻/VV+어서/EC
이의가	이의/NNG+가/JKS
없다고	없/VA+다고/EC
인정한	인정/NNG+하/XSV+ㄴ/ETM
때에는	때/NNG+에/JKB+는/JX
가결	가결/NNG
선포할	선포/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으나,	있/VA+으나/EC+,/SP
1항	1/SN+항/NNG
2항의	2/SN+항/NNG+의/JKG
방법으로	방법/NNG+으로/JKB
표결하도록(3항)	표결/NNG+하/XSV+도록/EC+(/SS+3/SN+항/NNG+)/SS
규정돼	규정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.233.8.1
날치기 당시 여러 의원들이 이의 있다고 밝혔고 김 의장도 “다수 의원들이 동의했다”며 일부 의원이 동의하지 않았음을 인정했다.

날치기	날치기/NNG
당시	당시/NNG
여러	여러/MMN
의원들이	의원/NNG+들/XSN+이/JKS
이의	이의/NNG
있다고	있/VA+다고/EC
밝혔고	밝히/VV+었/EP+고/EC
김	김/NNP
의장도	의장/NNG+도/JX
“다수	“/SS+다수/NNG
동의했다”며	동의/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
일부	일부/NNG
의원이	의원/NNG+이/JKS
동의하지	동의/NNG+하/XSV+지/EC
않았음을	않/VX+았/EP+음/ETN+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.233.8.2
3항을 적용한다 해도, 이의를 제기한 의원들이 있었으므로 1항이나 2항의 방식으로 표결했어야 한다.

3항을	3/SN+항/NNG+을/JKO
적용한다	적용/NNG+하/XSV+ㄴ다/EF
해도,	하/VV+아도/EC+,/SP
이의를	이의/NNG+를/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
의원들이	의원/NNG+들/XSN+이/JKS
있었으므로	있/VA+었/EP+으므로/EC
1항이나	1/SN+항/NNG+이나/JC
2항의	2/SN+항/NNG+의/JKG
방식으로	방식/NNG+으로/JKB
표결했어야	표결/NNG+하/XSV+았/EP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.233.9.1
그런데도 경남도의회 사무처는 전체 58명 도의원 가운데 49명이 출석해, 38명이 찬성하고 11명이 반대했다고 밝혔다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
경남도의회	경남도의회/NNP
사무처는	사무처/NNG+는/JX
전체	전체/NNG
58명	58/SN+명/NNB
도의원	도/NNG+의원/NNG
가운데	가운데/NNG
49명이	49/SN+명/NNB+이/JKS
출석해,	출석/NNG+하/XSV+아/EC+,/SP
38명이	38/SN+명/NNB+이/JKS
찬성하고	찬성/NNG+하/XSV+고/EC
11명이	11/SN+명/NNB+이/JKS
반대했다고	반대/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.233.9.2
본회의장에 배치했던 사무처 직원 10명이 도의원들의 목소리·행동 등을 관찰해 집계했다는 것이다.

본회의장에	본회의장/NNG+에/JKB
배치했던	배치/NNG+하/XSV+았/EP+던/ETM
사무처	사무처/NNG
직원	직원/NNG
10명이	10/SN+명/NNB+이/JKS
도의원들의	도/NNG+의원/NNG+들/XSN+의/JKG
목소리·행동	목소리/NNG+·/SP+행동/NNG
등을	등/NNB+을/JKO
관찰해	관찰/NNG+하/XSV+아/EC
집계했다는	집계/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.233.10.1
이 때문에 안건 날치기 처리 직후부터 조례안은 무효라는 지적이 잇따랐다.

이	이/MMD
때문에	때문/NNB+에/JKB
안건	안건/NNG
날치기	날치기/NNG
처리	처리/NNG
직후부터	직후/NNG+부터/JX
조례안은	조례안/NNG+은/JX
무효라는	무효/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.233.10.2
경남도의회 야권 도의원들의 원내교섭단체인 민주개혁연대는 12일 “조례안 의결은 원천 무효다.

경남도의회	경남도의회/NNP
야권	야권/NNG
도의원들의	도/NNG+의원/NNG+들/XSN+의/JKG
원내교섭단체인	원내/NNG+교섭/NNG+단체/NNG+이/VCP+ㄴ/ETM
민주개혁연대는	민주개혁/NNG+연대/NNG+는/JX
12일	12/SN+일/NNB
“조례안	“/SS+조례안/NNG
의결은	의결/NNG+은/JX
원천	원천/NNG
무효다.	무효/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.233.10.3
김 의장이 이를 인정하지 않으면, 14일 조례 의결 효력정지 가처분 신청을 낼 것”이라고 밝혔다.

김	김/NNP
의장이	의장/NNG+이/JKS
이를	이/NP+를/JKO
인정하지	인정/NNG+하/XSV+지/EC
않으면,	않/VX+으면/EC+,/SP
14일	14/SN+일/NNB
조례	조례/NNG
의결	의결/NNG
효력정지	효력/NNG+정지/NNG
가처분	가/XPN+처분/NNG
신청을	신청/NNG+을/JKO
낼	내/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.233.11.1
이에 김오영 의장은 “동의하느냐고 물었던 순간에는 ‘예’라는 대답만 들렸을 뿐이고 ‘이의 있습니다’라는 말은 듣지 못했다.

이에	이/NP+에/JKB
김오영	김오영/NNP
의장은	의장/NNG+은/JX
“동의하느냐고	“/SS+동의/NNG+하/XSV+느냐고/EC
물었던	묻/VV+었/EP+던/ETM
순간에는	순간/NNG+에/JKB+는/JX
‘예’라는	‘/SS+예/IC+’/SS+이/VCP+라는/ETM
대답만	대답/NNG+만/JX
들렸을	들리/VV+었/EP+을/ETM
뿐이고	뿐/NNB+이/VCP+고/EC
‘이의	‘/SS+이의/NNG
있습니다’라는	있/VA+습니다/EF+’/SS+이/VCP+라는/ETM
말은	말/NNG+은/JX
듣지	듣/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.233.11.2
따라서 가결 절차에는 문제가 없었다”고 주장했다.

따라서	따라서/MAJ
가결	가결/NNG
절차에는	절차/NNG+에/JKB+는/JX
문제가	문제/NNG+가/JKS
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.233.12.1
이날 양병국 복지부 공공보건정책관은 “조례안이 지방자치법에 부합되는지 법률적 검토를 할 예정이다.

이날	이날/NNG
양병국	양병국/NNP
복지부	복지부/NNG
공공보건정책관은	공공/NNG+보건/NNG+정책관/NNG+은/JX
“조례안이	“/SS+조례안/NNG+이/JKS
지방자치법에	지방/NNG+자치법/NNG+에/JKB
부합되는지	부합/NNG+되/XSV+는지/EC
법률적	법률/NNG+적/XSN
검토를	검토/NNG+를/JKO
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.233.12.2
재의를 요구할 사안이라면 재의를 요구할 것”이라고 말했다.

재의를	재의/NNG+를/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
사안이라면	사안/NNG+이/VCP+라면/EC
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.233.12.3
지방자치법은 조례안이 법령에 위반되거나 공익을 현저히 해친다고 판단되면 주무부처 장관이 시·도지사에게 재의를 요구할 수 있다고 규정하고 있다.

지방자치법은	지방/NNG+자치법/NNG+은/JX
조례안이	조례안/NNG+이/JKS
법령에	법령/NNG+에/JKB
위반되거나	위반/NNG+되/XSV+거나/EC
공익을	공익/NNG+을/JKO
현저히	현저히/MAG
해친다고	해치/VV+ㄴ다고/EC
판단되면	판단/NNG+되/XSV+면/EC
주무부처	주무/NNG+부처/NNG
장관이	장관/NNG+이/JKS
시·도지사에게	시·도지사/NNG+에게/JKB
재의를	재의/NNG+를/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.233.12.4
김종보 민주사회를 위한 변호사모임 사무차장은 “공공의료원 환자들을 강제 퇴원·전원 조처한 것은 공공의료법 등을 위반한 것이다.

김종보	김종보/NNP
민주사회를	민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사모임	변호사/NNG+모임/NNG
사무차장은	사무/NNG+차장/NNG+은/JX
“공공의료원	“/SS+공공/NNG+의료원/NNG
환자들을	환자/NNG+들/XSN+을/JKO
강제	강제/NNG
퇴원·전원	퇴원/NNG+·/SP+전원/NNG
조처한	조처/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
공공의료법	공공/NNG+의료법/NNG
등을	등/NNB+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.233.12.5
빈곤층 의료수급자가 의료서비스를 받지 못하게 해 환자의 생명과 안전을 위협했다.

빈곤층	빈곤/NNG+층/XSN
의료수급자가	의료/NNG+수급자/NNG+가/JKS
의료서비스를	의료/NNG+서비스/NNG+를/JKO
받지	받/VV+지/EC
못하게	못하/VX+게/EC
해	하/VX+아/EC
환자의	환자/NNG+의/JKG
생명과	생명/NNG+과/JC
안전을	안전/NNG+을/JKO
위협했다.	위협/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.233.12.6
따라서 법률을 위반하고 공익을 현저히 해친 행위가 분명하다”고 지적했다.

따라서	따라서/MAJ
법률을	법률/NNG+을/JKO
위반하고	위반/NNG+하/XSV+고/EC
공익을	공익/NNG+을/JKO
현저히	현저히/MAG
해친	해치/VV+ㄴ/ETM
행위가	행위/NNG+가/JKS
분명하다”고	분명/MAG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


