# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.404
metadata : {}


# id : NWRW1800000048.404.1.1
투병중이어서 대선 관여 못했다는 이완구, 실제론 박근혜 후보와 동행 유세

투병중이어서	투병/NNG+중/NNB+이/VCP+어서/EC
했느냐”고	하/VV+았/EP+느냐/EF+”/SS+고/JKQ
묻자	묻/VV+자/EC
1월	1/SN+월/NNB
초순경	초순/NNG+경/XSN
혈액암으로	혈액암/NNG+으로/JKB
입원해서	입원/NNG+하/XSV+아서/EC
그해	그해/NNG
말까지	말/NNB+까지/JX
1년	1/SN+년/NNB
동안	동안/NNG
투병생활을	투병/NNG+생활/NNG+을/JKO
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“4월	“/SS+4/SN+월/NNB
총선에	총선/NNG+에/JKB
출마하지	출마/NNG+하/XSV+지/EC
못했고,	못하/VX+았/EP+고/EC+,/SP
대선에도	대선/NNG+에/JKB+도/JX
관여하지	관여/NNG+하/XSV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.404.5.1
하지만 이 총리는 2012년 대선 당시 새누리당 충남 명예선거대책위원장을 맡아 박근혜 후보와 함께 여러 차례 지원유세에 참여한 것으로 드러났다.

하지만	하지만/MAJ
이	이/NNP
총리는	총리/NNG+는/JX
2012년	2012/SN+년/NNB
대선	대선/NNG
당시	당시/NNG
새누리당	새누리당/NNP
충남	충남/NNP
명예선거대책위원장을	명예/NNG+선거/NNG+대책/NNG+위원장/NNG+을/JKO
맡아	맡/VV+아/EC
박근혜	박근혜/NNP
후보와	후보/NNG+와/JKB
함께	함께/MAG
여러	여러/MMN
차례	차례/NNG
지원유세에	지원/NNG+유세/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.404.5.2
그해 10월21일 열린 새누리당 충남도당 선대위 발대식에서 이 총리는 명예선거대책위원장으로 임명됐다.

그해	그해/NNG
10월21일	10/SN+월/NNB+21/SN+일/NNB
열린	열리/VV+ㄴ/ETM
새누리당	새누리당/NNP
충남도당	충남/NNP+도당/NNG
선대위	선대위/NNG
발대식에서	발대식/NNG+에서/JKB
이	이/NNP
총리는	총리/NNG+는/JX
명예선거대책위원장으로	명예/NNG+선거/NNG+대책/NNG+위원장/NNG+으로/JKB
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.404.5.3
당시 공동선거대책위원장에는 홍문표 의원 등 4명이 임명됐다.

당시	당시/NNG
공동선거대책위원장에는	공동/NNG+선거/NNG+대책/NNG+위원장/NNG+에/JKB+는/JX
홍문표	홍문표/NNP
의원	의원/NNG
등	등/NNB
4명이	4/SN+명/NNB+이/JKS
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.404.5.4
이후 이 총리는 같은 해 11월27일 대전역 광장 유세, 11월28일 천안시 신부동 신세계백화점 앞 유세 등에 참여했다.

이후	이후/NNG
이	이/NNP
총리는	총리/NNG+는/JX
같은	같/VA+은/ETM
해	해/NNG
11월27일	11/SN+월/NNB+27/SN+일/NNB
대전역	대전역/NNP
광장	광장/NNG
유세,	유세/NNG+,/SP
11월28일	11/SN+월/NNB+28/SN+일/NNB
천안시	천안시/NNP
신부동	신부동/NNP
신세계백화점	신세계백화점/NNP
앞	앞/NNG
유세	유세/NNG
등에	등/NNB+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.404.6.1
이어 민병주 새누리당 의원이 “2012년 대선 때 선대위 직책이 없었냐”고 묻자 이 총리는 “암 투병 중이라서 유세장엔 한두번 간 적 있으나 유세는 못했다”고 답했다.

이어	이어/MAG
민병주	민병주/NNP
새누리당	새누리당/NNP
의원이	의원/NNG+이/JKS
“2012년	“/SS+2012/SN+년/NNB
대선	대선/NNG
때	때/NNG
선대위	선대위/NNG
직책이	직책/NNG+이/JKS
없었냐”고	없/VA+었/EP+냐/EF+”/SS+고/JKQ
묻자	묻/VV+자/EC
이	이/NNP
총리는	총리/NNG+는/JX
“암	“/SS+암/NNG
투병	투병/NNG
중이라서	중/NNB+이/VCP+라서/EC
유세장엔	유세장/NNG+에/JKB+ㄴ/JX
한두번	한두/MMN+번/NNB
간	가/VV+ㄴ/ETM
적	적/NNB
있으나	있/VA+으나/EC
유세는	유세/NNG+는/JX
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.404.6.2
박정현 총리 공보실장은 “당시 이 총리는 박근혜 후보 유세장에 가 있었던 정도였지, 지원유세를 하거나 선거에 관여한 건 아니다.

박정현	박정현/NNP
총리	총리/NNG
공보실장은	공보실장/NNG+은/JX
“당시	“/SS+당시/NNG
이	이/NNP
총리는	총리/NNG+는/JX
박근혜	박근혜/NNP
후보	후보/NNG
유세장에	유세장/NNG+에/JKB
가	가/VV+아/EC
있었던	있/VX+었/EP+던/ETM
정도였지,	정도/NNG+이/VCP+었/EP+지/EC+,/SP
지원유세를	지원/NNG+유세/NNG+를/JKO
하거나	하/VV+거나/EC
선거에	선거/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000048.404.6.3
당시 몸이 안 좋은 상태라 단상 위에서 휠체어에 앉아 있기도 한 것으로 안다”고 해명했다.

당시	당시/NNG
몸이	몸/NNG+이/JKS
안	안/MAG
좋은	좋/VA+은/ETM
상태라	상태/NNG+이/VCP+라/EC
단상	단상/NNG
위에서	위/NNG+에서/JKB
휠체어에	휠체어/NNG+에/JKB
앉아	앉/VV+아/EC
있기도	있/VX+기/ETN+도/JX
한	하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.404.6.4
하지만 이 총리는 2012년 12월7일 충남 천안시 동남구 병천면 아우내장터에서 박 후보 지지를 호소하며 “박 후보는 수도권 2000만표가 날아가는데도 500만표밖에 안 되는 충청인과의 약속을 지키기 위해 정치적 생명을 걸고 세종시 약속을 지켰다.

하지만	하지만/MAJ
이	이/NNP
총리는	총리/NNG+는/JX
2012년	2012/SN+년/NNB
12월7일	12/SN+월/NNB+7/SN+일/NNB
충남	충남/NNP
천안시	천안시/NNP
동남구	동남구/NNP
병천면	병천면/NNP
아우내장터에서	아우내장터/NNP+에서/JKB
박	박/NNP
후보	후보/NNG
지지를	지지/NNG+를/JKO
호소하며	호소/NNG+하/XSV+며/EC
“박	“/SS+박/NNP
후보는	후보/NNG+는/JX
수도권	수도/NNG+권/XSN
2000만표가	2000/SN+만/NR+표/NNG+가/JKS
날아가는데도	날아가/VV+는데/EC+도/JX
500만표밖에	500/SN+만/NR+표/NNG+밖에/JX
안	안/MAG
되는	되/VV+는/ETM
충청인과의	충청인/NNG+과/JKB+의/JKG
약속을	약속/NNG+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
정치적	정치/NNG+적/XSN
생명을	생명/NNG+을/JKO
걸고	걸/VV+고/EC
세종시	세종시/NNP
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.404.6.5
이젠 충청도 사람이 박 후보에게 보답해야 한다”고 연설했다.

이젠	이제/NNG+ㄴ/JX
충청도	충청도/NNP
사람이	사람/NNG+이/JKS
박	박/NNP
후보에게	후보/NNG+에게/JKB
보답해야	보답/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
연설했다.	연설/NNG+하/XSV+았/EP+다/EF+./SF


