# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.364
metadata : {}


# id : NWRW1800000046.364.1.1
[후진적 病室문화 바꾸자] 제멋대로 외출, 환자食 대신 식당서 식사…'無개념' 환자도 문제

[후진적	[/SS+후진/NNG+적/XSN
먹고	먹/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.364.2.3
원칙상 병원에 입원한 환자는 보건상의 이유로 병원에서 제공하는 환자식만 먹게 돼 있다.

원칙상	원칙/NNG+상/XSN
병원에	병원/NNG+에/JKB
입원한	입원/NNG+하/XSV+ㄴ/ETM
환자는	환자/NNG+는/JX
보건상의	보건/NNG+상/XSN+의/JKG
이유로	이유/NNG+로/JKB
병원에서	병원/NNG+에서/JKB
제공하는	제공/NNG+하/XSV+는/ETM
환자식만	환자식/NNG+만/JX
먹게	먹/VV+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.364.2.4
하지만 병원도, 식당도 이를 제지하지 않았다.

하지만	하지만/MAJ
병원도,	병원/NNG+도/JX+,/SP
식당도	식당/NNG+도/JX
이를	이/NP+를/JKO
제지하지	제지/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.364.2.5
이 병원 1층 로비 밖에선 한 남성이 환자복 차림으로 담배를 피우고 있었다.

이	이/MMD
병원	병원/NNG
1층	1/SN+층/NNG
로비	로비/NNG
밖에선	밖/NNG+에서/JKB+ㄴ/JX
한	한/MMN
남성이	남성/NNG+이/JKS
환자복	환자복/NNG
차림으로	차림/NNG+으로/JKB
담배를	담배/NNG+를/JKO
피우고	피우/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.364.3.1
다른 병원도 사정은 비슷하다.

다른	다른/MMD
병원도	병원/NNG+도/JX
사정은	사정/NNG+은/JX
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000046.364.3.2
같은 날 종로구의 한 병원에선 30대 여성 환자가 보호자와 함께 푸드코트에 내려와 비빔밥을 주문했다.

같은	같/VA+은/ETM
날	날/NNG
종로구의	종로구/NNP+의/JKG
한	한/MMN
병원에선	병원/NNG+에서/JKB+ㄴ/JX
30대	30/SN+대/NNB
여성	여성/NNG
환자가	환자/NNG+가/JKS
보호자와	보호자/NNG+와/JKB
함께	함께/MAG
푸드코트에	푸드코트/NNG+에/JKB
내려와	내려오/VV+아/EC
비빔밥을	비빔밥/NNG+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.364.3.3
식당 주인이 "환자는 여기에서 식사할 수 없다"고 제지하자 보호자가 대신 비빔밥을 주문하더니 포장해 병실로 올라갔다.

식당	식당/NNG
주인이	주인/NNG+이/JKS
"환자는	"/SS+환자/NNG+는/JX
여기에서	여기/NP+에서/JKB
식사할	식사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
제지하자	제지/NNG+하/XSV+자/EC
보호자가	보호자/NNG+가/JKS
대신	대신/NNG
비빔밥을	비빔밥/NNG+을/JKO
주문하더니	주문/NNG+하/XSV+더니/EC
포장해	포장/NNG+하/XSV+아/EC
병실로	병실/NNG+로/JKB
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.364.3.4
이 병원 측은 "환자가 병실로 외부 음식을 들여와서 먹는 것까지 막기는 어렵다"고 했다.

이	이/MMD
병원	병원/NNG
측은	측/NNB+은/JX
"환자가	"/SS+환자/NNG+가/JKS
병실로	병실/NNG+로/JKB
외부	외부/NNG
음식을	음식/NNG+을/JKO
들여와서	들여오/VV+아서/EC
먹는	먹/VV+는/ETM
것까지	것/NNB+까지/JX
막기는	막/VV+기/ETN+는/JX
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.364.3.5
환자는 치료를 받기 위해 병원에 입원하고서도 외부에서처럼 원하는 대로 행동하고, 병원은 이를 눈감아주는 셈이다.

환자는	환자/NNG+는/JX
치료를	치료/NNG+를/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
병원에	병원/NNG+에/JKB
입원하고서도	입원/NNG+하/XSV+고서/EC+도/JX
외부에서처럼	외부/NNG+에서/JKB+처럼/JKB
원하는	원/NNG+하/XSV+는/ETM
대로	대로/NNB
행동하고,	행동/NNG+하/XSV+고/EC+,/SP
병원은	병원/NNG+은/JX
이를	이/NP+를/JKO
눈감아주는	눈감/VV+아/EC+주/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.364.4.1
환자들의 무분별한 외출·외박도 문제다.

환자들의	환자/NNG+들/XSN+의/JKG
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
외출·외박도	외출/NNG+·/SP+외박/NNG+도/JX
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.364.4.2
일부 병원은 단순 골절 등 감염 위험이 적다고 판단되는 환자의 외출을 허락하고 있다.

일부	일부/NNG
병원은	병원/NNG+은/JX
단순	단순/NNG
골절	골절/NNG
등	등/NNB
감염	감염/NNG
위험이	위험/NNG+이/JKS
적다고	적/VA+다고/EC
판단되는	판단/NNG+되/XSV+는/ETM
환자의	환자/NNG+의/JKG
외출을	외출/NNG+을/JKO
허락하고	허락/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.364.4.3
그러나 병원 관계자들은 병원의 허락 없이 입원 환자들이 의료진 몰래 병원을 빠져나가는 경우가 심심치 않게 벌어지고 있다고 입을 모았다.

그러나	그러나/MAJ
병원	병원/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
병원의	병원/NNG+의/JKG
허락	허락/NNG
없이	없이/MAG
입원	입원/NNG
환자들이	환자/NNG+들/XSN+이/JKS
의료진	의료진/NNG
몰래	몰래/MAG
병원을	병원/NNG+을/JKO
빠져나가는	빠져나가/VV+는/ETM
경우가	경우/NNG+가/JKS
심심치	심심하/VA+지/EC
않게	않/VX+게/EC
벌어지고	벌어지/VV+고/EC
있다고	있/VX+다고/EC
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.364.5.1
최준용 연세대 의대 감염내과 교수는 "병원은 항생제에 내성이 있는 감염성 균이 많이 있는 곳"이라며 "환자들이 병원 안에 있는 병균을 지역사회에 전파할 가능성이 있기 때문에 무분별한 외출은 자제해야 한다"고 말했다.

최준용	최준용/NNP
연세대	연세대/NNP
의대	의대/NNG
감염내과	감염내과/NNG
교수는	교수/NNG+는/JX
"병원은	"/SS+병원/NNG+은/JX
항생제에	항생제/NNG+에/JKB
내성이	내성/NNG+이/JKS
있는	있/VA+는/ETM
감염성	감염/NNG+성/XSN
균이	균/NNG+이/JKS
많이	많이/MAG
곳"이라며	곳/NNG+"/SS+이/VCP+라며/EC
"환자들이	"/SS+환자/NNG+들/XSN+이/JKS
병원	병원/NNG
안에	안/NNG+에/JKB
병균을	병균/NNG+을/JKO
지역사회에	지역/NNG+사회/NNG+에/JKB
전파할	전파/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
외출은	외출/NNG+은/JX
자제해야	자제/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


