# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.67
metadata : {}


# id : NWRW1800000054.67.1.1
[論爭: 가야사 복원] (4·끝) 이영식 인제대 교수

[論爭:	[/SS+論爭/SH+:/SP
문재인	문재인/NNP
대통령의	대통령/NNG+의/JKG
'가야사	'/SS+가야사/NNG
연구·복원	연구/NNG+·/SP+복원/NNG
지시'를	지시/NNG+'/SS+를/JKO
반기면서도	반기/VV+면서/EC+도/JX
학계의	학계/NNG+의/JKG
비판과	비판/NNG+과/JC
우려를	우려/NNG+를/JKO
인식한	인식/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
그동안의	그동안/NNG+의/JKG
경험을	경험/NNG+을/JKO
토대로	토대/NNG+로/JKB
바람직한	바람직하/VA+ㄴ/ETM
추진	추진/NNG
방향을	방향/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.67.4.2
이 교수는 일본 와세다대에서 '임나일본부와 가야제국'이란 논문으로 박사 학위를 받았고 1993년부터 인제대에 재직하며 가야문화연구소장, 박물관장을 맡아 가야 관련 학술사업을 주관해 왔다.

이	이/NNP
교수는	교수/NNG+는/JX
일본	일본/NNP
와세다대에서	와세다대/NNP+에서/JKB
'임나일본부와	'/SS+임나일본부/NNG+와/JC
가야제국'이란	가야/NNP+제국/NNG+'/SS+이/VCP+란/ETM
논문으로	논문/NNG+으로/JKB
박사	박사/NNG
학위를	학위/NNG+를/JKO
받았고	받/VV+았/EP+고/EC
1993년부터	1993/SN+년/NNB+부터/JX
인제대에	인제대/NNP+에/JKB
재직하며	재직/NNG+하/XSV+며/EC
가야문화연구소장,	가야/NNP+문화/NNG+연구소장/NNG+,/SP
박물관장을	박물관장/NNG+을/JKO
맡아	맡/VV+아/EC
가야	가야/NNP
관련	관련/NNG
학술사업을	학술/NNG+사업/NNG+을/JKO
주관해	주관/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.67.4.3
'이야기로 떠나는 가야 역사여행' '시민을 위한 가야사'(공저) 등 대중적인 저술로 가야사를 알리는 데도 힘써왔다.

'이야기로	'/SS+이야기/NNG+로/JKB
떠나는	떠나/VV+는/ETM
가야	가야/NNP
역사여행'	역사/NNG+여행/NNG+'/SS
'시민을	'/SS+시민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
가야사'(공저)	가야사/NNG+'/SS+(/SS+공저/NNG+)/SS
등	등/NNB
대중적인	대중/NNG+적/XSN+이/VCP+ㄴ/ETM
저술로	저술/NNG+로/JKB
가야사를	가야사/NNG+를/JKO
알리는	알리/VV+는/ETM
데도	데/NNB+도/JX
힘써왔다.	힘쓰/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.67.5.1
―대통령의 가야사 재조명 언급에 대해 학계에서는 '역사의 특정 시기나 주제에 대해 대통령이 지시하는 것은 적절치 않다'는 비판이 제기되고 있다.

―대통령의	―/SS+대통령/NNG+의/JKG
가야사	가야사/NNG
재조명	재/XPN+조명/NNG
언급에	언급/NNG+에/JKB
대해	대하/VV+아/EC
학계에서는	학계/NNG+에서/JKB+는/JX
'역사의	'/SS+역사/NNG+의/JKG
특정	특정/NNG
시기나	시기/NNG+나/JC
주제에	주제/NNG+에/JKB
대통령이	대통령/NNG+이/JKS
지시하는	지시/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
적절치	적절하/VA+지/EC
않다'는	않/VX+다/EF+'/SS+는/ETM
비판이	비판/NNG+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.67.6.1
"대통령의 언급은 구체적인 내용의 지시라기보다 가야사 연구와 전파의 미흡한 실상을 선언적으로 지적했다고 생각한다.

"대통령의	"/SS+대통령/NNG+의/JKG
언급은	언급/NNG+은/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용의	내용/NNG+의/JKG
지시라기보다	지시/NNG+이/VCP+라기/ETN+보다/JKB
가야사	가야사/NNG
연구와	연구/NNG+와/JC
전파의	전파/NNG+의/JKG
미흡한	미흡/NNG+하/XSA+ㄴ/ETM
실상을	실상/NNG+을/JKO
선언적으로	선언/NNG+적/XSN+으로/JKB
지적했다고	지적/NNG+하/XSV+았/EP+다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.67.6.2
가야는 600년이 넘는 역사를 가졌지만 중학교 교과서엔 1장 반, 고교 교과서엔 5줄만 나온다.

가야는	가야/NNP+는/JX
600년이	600/SN+년/NNB+이/JKS
넘는	넘/VV+는/ETM
역사를	역사/NNG+를/JKO
가졌지만	가지/VV+었/EP+지만/EC
중학교	중학교/NNG
교과서엔	교과서/NNG+에/JKB+ㄴ/JX
1장	1/SN+장/NNB
반,	반/NNG+,/SP
고교	고교/NNG
5줄만	5/SN+줄/NNG+만/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.67.6.3
삼국사기와 삼국유사 이래로 '삼국시대'란 용어가 고착되는 바람에 가장 큰 피해를 본 것이 가야였다.

삼국사기와	삼국사기/NNP+와/JC
삼국유사	삼국유사/NNP
이래로	이래/NNB+로/JKB
'삼국시대'란	'/SS+삼국/NNG+시대/NNG+'/SS+이/VCP+란/ETM
용어가	용어/NNG+가/JKS
고착되는	고착/NNG+되/XSV+는/ETM
바람에	바람/NNB+에/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
본	보/VV+ㄴ/ETM
것이	것/NNB+이/JKS
가야였다.	가야/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.67.6.4
신채호 선생은 '삼국시대'가 아니라 '열국쟁웅(列國爭雄)시대'로 불러야 한다고 했다."

신채호	신채호/NNP
선생은	선생/NNG+은/JX
'삼국시대'가	'/SS+삼국/NNG+시대/NNG+'/SS+가/JKC
아니라	아니/VCN+라/EC
'열국쟁웅(列國爭雄)시대'로	'/SS+열국쟁웅/NNG+(/SS+列國爭雄/SH+)/SS+시대/NNG+'/SS+로/JKB
불러야	부르/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
했다."	하/VV+았/EP+다/EF+./SF+"/SS


# id : NWRW1800000054.67.7.1
―지난 2000~2004년 가야사 복원 사업이 진행돼 1290억원이라는 적지 않은 예산이 투입됐다.

―지난	―/SS+지나/VV+ㄴ/ETM
2000~2004년	2000/SN+~/SO+2004/SN+년/NNB
가야사	가야사/NNG
복원	복원/NNG
사업이	사업/NNG+이/JKS
진행돼	진행/NNG+되/XSV+어/EC
1290억원이라는	1290/SN+억/NR+원/NNB+이/VCP+라는/ETM
적지	적/VA+지/EC
않은	않/VX+은/ETM
예산이	예산/NNG+이/JKS
투입됐다.	투입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.67.7.2
하지만 대부분이 공사비로 사용됐고 연구·발굴 등 장기적 토대를 놓는 데는 실패했다는 지적이 많다.

하지만	하지만/MAJ
대부분이	대/XPN+부분/NNG+이/JKS
공사비로	공사비/NNG+로/JKB
사용됐고	사용/NNG+되/XSV+었/EP+고/EC
연구·발굴	연구/NNG+·/SP+발굴/NNG
등	등/NNB
장기적	장기/NNG+적/XSN
토대를	토대/NNG+를/JKO
놓는	놓/VV+는/ETM
데는	데/NNB+는/JX
실패했다는	실패/NNG+하/XSV+았/EP+다는/ETM
지적이	지적/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.67.8.1
"역사 재조명이 지속적인 효과를 내기 위해선 전문 연구자들이 중심이 되는 중심체가 필요하다.

"역사	"/SS+역사/NNG
재조명이	재/XPN+조명/NNG+이/JKS
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
효과를	효과/NNG+를/JKO
내기	내/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
전문	전문/NNG
연구자들이	연구자/NNG+들/XSN+이/JKS
중심이	중심/NNG+이/JKC
되는	되/VV+는/ETM
중심체가	중심체/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.67.8.2
지난번엔 교육부 산하에 '가야사 복원 정책위원회'란 임시 기구를 두었지만 성과를 국민에게 알리고 교육에 반영하지는 못했다.

지난번엔	지난번/NNG+에/JKB+ㄴ/JX
교육부	교육부/NNG
산하에	산하/NNG+에/JKB
'가야사	'/SS+가야사/NNG
복원	복원/NNG
정책위원회'란	정책/NNG+위원회/NNG+'/SS+이/VCP+란/ETM
임시	임시/NNG
기구를	기구/NNG+를/JKO
두었지만	두/VV+었/EP+지만/EC
성과를	성과/NNG+를/JKO
국민에게	국민/NNG+에게/JKB
알리고	알리/VV+고/EC
교육에	교육/NNG+에/JKB
반영하지는	반영/NNG+하/XSV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.67.8.3
이번에 그런 실패를 반복하지 않기 위해선 전문가들이 방향타를 잡는 상설 조직이 만들어져 가야사 재조명의 큰 틀을 세우고 그 안에서 필요한 사업들을 착실하게 진행해야 한다."

이번에	이번/NNG+에/JKB
그런	그런/MMD
실패를	실패/NNG+를/JKO
반복하지	반복/NNG+하/XSV+지/EC
않기	않/VX+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
전문가들이	전문가/NNG+들/XSN+이/JKS
방향타를	방향타/NNG+를/JKO
잡는	잡/VV+는/ETM
상설	상설/NNG
조직이	조직/NNG+이/JKS
만들어져	만들/VV+어/EC+지/VX+어/EC
가야사	가야사/NNG
재조명의	재/XPN+조명/NNG+의/JKG
큰	크/VA+ㄴ/ETM
틀을	틀/NNG+을/JKO
세우고	세우/VV+고/EC
그	그/MMD
안에서	안/NNG+에서/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
사업들을	사업/NNG+들/XSN+을/JKO
착실하게	착실하/VA+게/EC
진행해야	진행/NNG+하/XSV+아야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000054.67.9.1
―그동안 가야사 재조명이 김해 중심으로 이뤄졌고, 이번에도 그렇게 되는 거 아니냐는 우려가 나온다.

―그동안	―/SS+그동안/NNG
가야사	가야사/NNG
재조명이	재/XPN+조명/NNG+이/JKS
김해	김해/NNP
중심으로	중심/NNG+으로/JKB
이뤄졌고,	이뤄지/VV+었/EP+고/EC+,/SP
이번에도	이번/NNG+에/JKB+도/JX
그렇게	그렇/VA+게/EC
되는	되/VV+는/ETM
거	거/NNB
아니냐는	아니/VCN+냐는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.67.9.2
김해가 문 대통령과 노무현 전 대통령의 정치적 기반이라는 점에서 또 하나의 정권 프로젝트로 보는 시각도 있는데.

김해가	김해/NNP+가/JKS
문	문/NNP
대통령과	대통령/NNG+과/JC
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
정치적	정치/NNG+적/XSN
기반이라는	기반/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
또	또/MAG
하나의	하나/NR+의/JKG
정권	정권/NNG
프로젝트로	프로젝트/NNG+로/JKB
보는	보/VV+는/ETM
시각도	시각/NNG+도/JX
있는데.	있/VA+는데/EF+./SF


# id : NWRW1800000054.67.10.1
"벌써 관련 시·군들이 예산 쟁탈전에 뛰어들었다는 이야기가 들린다.

"벌써	"/SS+벌써/MAG
관련	관련/NNG
시·군들이	시/NNG+·/SP+군/NNG+들/XSN+이/JKS
예산	예산/NNG
쟁탈전에	쟁탈전/NNG+에/JKB
뛰어들었다는	뛰어들/VV+었/EP+다는/ETM
이야기가	이야기/NNG+가/JKS
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.67.10.2
나는 사분오열돼 망한 가야의 실패를 되풀이하면 안 된다고 말한다.

나는	나/NP+는/JX
사분오열돼	사분오열/NNG+되/XSV+어/EC
망한	망하/VV+ㄴ/ETM
가야의	가야/NNP+의/JKG
실패를	실패/NNG+를/JKO
되풀이하면	되풀이/NNG+하/XSV+면/EC
안	안/MAG
된다고	되/VV+ㄴ다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.67.10.3
김해(금관가야)뿐 아니라 고령(대가야), 함안(아라가야)을 비롯한 가야 문화권의 전 지역을 균형 있게 다뤄야 한다."

김해(금관가야)뿐	김해/NNP+(/SS+금관가야/NNP+)/SS+뿐/JX
아니라	아니/VCN+라/EC
고령(대가야),	고령/NNP+(/SS+대가야/NNP+)/SS+,/SP
함안(아라가야)을	함안/NNP+(/SS+아라가야/NNP+)/SS+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
가야	가야/NNP
문화권의	문화/NNG+권/XSN+의/JKG
전	전/MMN
지역을	지역/NNG+을/JKO
균형	균형/NNG
있게	있/VA+게/EC
다뤄야	다루/VV+어야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000054.67.11.1
―가야사 재조명에 있어 지금 가장 필요한 것은 무엇인가.

―가야사	―/SS+가야사/NNG
재조명에	재/XPN+조명/NNG+에/JKB
있어	있/VA+어/EC
지금	지금/MAG
가장	가장/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
무엇인가.	무엇/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000054.67.12.1
"가야사는 문헌 기록이 절대적으로 부족하다.

"가야사는	"/SS+가야사/NNG+는/JX
문헌	문헌/NNG
기록이	기록/NNG+이/JKS
절대적으로	절대/NNG+적/XSN+으로/JKB
부족하다.	부족/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.67.12.2
일본서기 등 외국 기록을 비판적으로 활용하는 방법도 진전됐지만 고고학적 발굴과 활용이 매우 중요하다.

일본서기	일본서기/NNP
등	등/NNB
외국	외국/NNG
기록을	기록/NNG+을/JKO
비판적으로	비판/NNG+적/XSN+으로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
방법도	방법/NNG+도/JX
진전됐지만	진전/NNG+되/XSV+었/EP+지만/EC
고고학적	고고학/NNG+적/XSN
발굴과	발굴/NNG+과/JC
활용이	활용/NNG+이/JKS
매우	매우/MAG
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.67.12.3
그런데 가야 관련 유적과 유물은 양도 적고 이해 수준도 미흡하다.

그런데	그런데/MAJ
가야	가야/NNP
관련	관련/NNG
유적과	유적/NNG+과/JC
유물은	유물/NNG+은/JX
양도	양/NNG+도/JX
적고	적/VA+고/EC
이해	이해/NNG
수준도	수준/NNG+도/JX
미흡하다.	미흡/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.67.12.4
고고학 자료를 보다 많이 확보하고 이를 정리하는 연구 인력을 키우는 노력이 시급하다."

고고학	고고학/NNG
자료를	자료/NNG+를/JKO
보다	보다/MAG
많이	많이/MAG
확보하고	확보/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
정리하는	정리/NNG+하/XSV+는/ETM
연구	연구/NNG
인력을	인력/NNG+을/JKO
키우는	키우/VV+는/ETM
노력이	노력/NNG+이/JKS
시급하다."	시급하/VA+다/EF+./SF+"/SS


