# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.24
metadata : {}


# id : NWRW1800000032.24.1.1
삼성, 애플에 또 ‘맞수전략’

삼성,	삼성/NNP+,/SP
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.24.5.1
오는 6~10일은 미국 샌프란시스코에서 애플의 개발자 콘퍼런스가 예정돼 있다.

오는	오/VV+는/ETM
6~10일은	6/SN+~/SO+10/SN+일/NNB+은/JX
미국	미국/NNP
샌프란시스코에서	샌프란시스코/NNP+에서/JKB
애플의	애플/NNP+의/JKG
개발자	개발자/NNG
콘퍼런스가	콘퍼런스/NNG+가/JKS
예정돼	예정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.24.5.2
스티브 잡스 애플 사장이 어떤 깜짝쇼를 할지에 관심이 모이고 있다.

스티브	스티브/NNP
잡스	잡스/NNP
애플	애플/NNP
사장이	사장/NNG+이/JKS
어떤	어떤/MMD
깜짝쇼를	깜짝쇼/NNG+를/JKO
할지에	하/VV+ㄹ지/EF+에/JKB
관심이	관심/NNG+이/JKS
모이고	모이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.24.5.3
이에 삼성전자가 애플 개발자 대회가 열리는 기간인 8일부터 미국에서 갤럭시탭 10.1을 판매하기로 한 것을 두고, 애플이 ‘갤럭시에스 2’ 출시에 맞춰 ‘아이폰 4 화이트’와 ‘아이패드 2’를 내놔 물타기를 한 것에 대한 앙갚음이란 지적이 나오고 있다.

이에	이/NP+에/JKB
삼성전자가	삼성전자/NNP+가/JKS
애플	애플/NNP
개발자	개발자/NNG
대회가	대회/NNG+가/JKS
열리는	열리/VV+는/ETM
기간인	기간/NNG+이/VCP+ㄴ/ETM
8일부터	8/SN+일/NNB+부터/JX
미국에서	미국/NNP+에서/JKB
갤럭시탭	갤럭시탭/NNP
10.1을	10/SN+./SP+1/SN+을/JKO
판매하기로	판매/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
두고,	두/VV+고/EC+,/SP
애플이	애플/NNP+이/JKS
‘갤럭시에스	‘/SS+갤럭시에스/NNP
2’	2/SN+’/SS
출시에	출시/NNG+에/JKB
맞춰	맞추/VV+어/EC
‘아이폰	‘/SS+아이폰/NNP
4	4/SN
화이트’와	화이트/NNG+’/SS+와/JC
‘아이패드	‘/SS+아이패드/NNP
2’를	2/SN+’/SS+를/JKO
내놔	내놓/VV+아/EC
물타기를	물타기/NNG+를/JKO
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
앙갚음이란	앙갚음/NNG+이란/JX
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.24.6.1
앞서 삼성전자는 지난 4월 애플이 “갤럭시에스의 디자인이 아이폰을 모방했다”며 미국 캘리포니아법원에 특허 침해 소송을 제기하자, 즉각 “애플이 통신 기술 특허를 침해했다”며 맞소송에 나섰다.

앞서	앞서/MAG
삼성전자는	삼성전자/NNP+는/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
애플이	애플/NNP+이/JKS
“갤럭시에스의	“/SS+갤럭시에스/NNP+의/JKG
디자인이	디자인/NNG+이/JKS
아이폰을	아이폰/NNP+을/JKO
모방했다”며	모방/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
미국	미국/NNP
캘리포니아법원에	캘리포니아법원/NNP+에/JKB
특허	특허/NNG
침해	침해/NNG
소송을	소송/NNG+을/JKO
제기하자,	제기/NNG+하/XSV+자/EC+,/SP
즉각	즉각/MAG
“애플이	“/SS+애플/NNP+이/JKS
통신	통신/NNG
기술	기술/NNG
특허를	특허/NNG+를/JKO
침해했다”며	침해/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
맞소송에	맞소송/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.24.6.2
삼성전자는 한술 더 떠 우리나라와 독일 법원에도 소송을 제기했다.

삼성전자는	삼성전자/NNP+는/JX
한술	한술/NNG
더	더/MAG
떠	뜨/VV+어/EC
우리나라와	우리나라/NNG+와/JC
독일	독일/NNP
법원에도	법원/NNG+에/JKB+도/JX
소송을	소송/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.24.6.3
이어 지난달에는 캘리포니아법원이 애플의 요구를 받아들여 “삼성전자는 스마트폰과 태블릿피시 신제품을 애플 측에 공개하라”고 결정하자, 삼성전자 역시 법원을 통해 ‘아이폰 5’와 ‘아이패드 3’ 시제품을 보여달라고 애플 쪽에 요구했다.

이어	이어/MAG
지난달에는	지난달/NNG+에/JKB+는/JX
캘리포니아법원이	캘리포니아법원/NNP+이/JKS
애플의	애플/NNP+의/JKG
요구를	요구/NNG+를/JKO
받아들여	받아들이/VV+어/EC
“삼성전자는	“/SS+삼성전자/NNP+는/JX
스마트폰과	스마트폰/NNG+과/JC
태블릿피시	태블릿/NNG+피시/NNG
신제품을	신/XPN+제품/NNG+을/JKO
애플	애플/NNP
측에	측/NNB+에/JKB
공개하라”고	공개/NNG+하/XSV+라/EF+”/SS+고/JKQ
결정하자,	결정/NNG+하/XSV+자/EC+,/SP
삼성전자	삼성전자/NNP
역시	역시/MAG
법원을	법원/NNG+을/JKO
통해	통하/VV+아/EC
‘아이폰	‘/SS+아이폰/NNP
5’와	5/SN+’/SS+와/JC
‘아이패드	‘/SS+아이패드/NNP
3’	3/SN+’/SS
시제품을	시제품/NNG+을/JKO
보여달라고	보이/VV+어/EC+달/VX+라고/EC
쪽에	쪽/NNB+에/JKB
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.24.7.1
이에 애플의 ‘신비주의’ 전략으로 베일에 가려 있는 아이폰 5와 아이패드 3이 법원 명령으로 모습을 드러낼지가 관심을 모으고 있다.

이에	이/NP+에/JKB
애플의	애플/NNP+의/JKG
‘신비주의’	‘/SS+신비주의/NNG+’/SS
전략으로	전략/NNG+으로/JKB
베일에	베일/NNG+에/JKB
가려	가리/VV+어/EC
있는	있/VX+는/ETM
아이폰	아이폰/NNP
5와	5/SN+와/JC
아이패드	아이패드/NNP
3이	3/SN+이/JKS
법원	법원/NNG
명령으로	명령/NNG+으로/JKB
모습을	모습/NNG+을/JKO
드러낼지가	드러내/VV+ㄹ지/EF+가/JKS
관심을	관심/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.24.7.2
업계에선 삼성전자의 갤럭시에스와 갤럭시탭 신제품은 미국에서 출시만 안 됐을 뿐 이미 공개된 것인 데 비해 아이폰 5와 아이패드 3은 비밀에 가려져 있는 점을 들어, 신제품 공개 요구 공방에 따른 부담은 애플 쪽이 더 클 것으로 분석하고 있다.

업계에선	업계/NNG+에서/JKB+ㄴ/JX
삼성전자의	삼성전자/NNP+의/JKG
갤럭시에스와	갤럭시에스/NNP+와/JC
갤럭시탭	갤럭시탭/NNP
신제품은	신/XPN+제품/NNG+은/JX
미국에서	미국/NNP+에서/JKB
출시만	출시/NNG+만/JX
안	안/MAG
됐을	되/VV+었/EP+을/ETM
뿐	뿐/NNB
이미	이미/MAG
공개된	공개/NNG+되/XSV+ㄴ/ETM
것인	것/NNB+이/VCP+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
아이폰	아이폰/NNP
5와	5/SN+와/JC
아이패드	아이패드/NNP
3은	3/SN+은/JX
비밀에	비밀/NNG+에/JKB
가려져	가려지/VV+어/EC
있는	있/VX+는/ETM
점을	점/NNG+을/JKO
들어,	들/VV+어/EC+,/SP
신제품	신/XPN+제품/NNG
공개	공개/NNG
요구	요구/NNG
공방에	공방/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
부담은	부담/NNG+은/JX
애플	애플/NNP
쪽이	쪽/NNB+이/JKS
더	더/MAG
클	크/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석하고	분석/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


