# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.71
metadata : {}


# id : NWRW1800000046.71.1.1
"내 안에 있던 '아리랑 DNA'… 나도 모르게 울부짖게 했죠"

"내	"/SS+나/NP+의/JKG
연인과	연인/NNG+과/JKB
헤어지더니	헤어지/VV+더니/EC
임신한	임신/NNG+하/XSV+ㄴ/ETM
채	채/NNB
떠도는	떠돌/VV+는/ETM
등	등/NNB
온갖	온갖/MMN
고초를	고초/NNG+를/JKO
겪지만,	겪/VV+지만/EC+,/SP
끝까지	끝/NNG+까지/JX
생존	생존/NNG
의지를	의지/NNG+를/JKO
놓지	놓/VV+지/EC
않는	않/VX+는/ETM
강인한	강인하/VA+ㄴ/ETM
여성이기도	여성/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000046.71.7.3
숯검정 묻히고 눈물로 범벅된 얼굴로 무대에 나와야 하는데도 이들은 "괜찮은 역할"이라고 입을 모았다.

숯검정	숯검정/NNG
묻히고	묻히/VV+고/EC
눈물로	눈물/NNG+로/JKB
범벅된	범벅/NNG+되/XSV+ㄴ/ETM
얼굴로	얼굴/NNG+로/JKB
무대에	무대/NNG+에/JKB
나와야	나오/VV+아야/EC
하는데도	하/VX+는데/EC+도/JX
이들은	이/NP+들/XSN+은/JX
"괜찮은	"/SS+괜찮/VA+은/ETM
역할"이라고	역할/NNG+"/SS+이라고/JKQ
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.71.7.4
윤공주는 "오히려 헝클어진 모습이 어느 때보다도 예쁘다는 분이 많다"고 했고, 임혜영은 "가발 쓰고 드레스 입고 나올 때보다 더 살아 있는 감정을 느낀다"고 했다.

윤공주는	윤공주/NNP+는/JX
"오히려	"/SS+오히려/MAG
헝클어진	헝클어지/VV+ㄴ/ETM
모습이	모습/NNG+이/JKS
어느	어느/MMD
때보다도	때/NNG+보다/JKB+도/JX
예쁘다는	예쁘/VA+다는/ETM
분이	분/NNB+이/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
임혜영은	임혜영/NNP+은/JX
"가발	"/SS+가발/NNG
쓰고	쓰/VV+고/EC
드레스	드레스/NNG
입고	입/VV+고/EC
나올	나오/VV+ㄹ/ETM
때보다	때/NNG+보다/JKB
더	더/MAG
살아	살/VV+아/EC
있는	있/VX+는/ETM
감정을	감정/NNG+을/JKO
느낀다"고	느끼/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.71.8.1
두 사람 모두 연기하기에 가장 어려운 곳을, 어머니 감골댁의 시체를 발견하는 장면이라고 했다.

두	두/MMN
사람	사람/NNG
모두	모두/MAG
연기하기에	연기/NNG+하/XSV+기/ETN+에/JKB
가장	가장/MAG
어려운	어렵/VA+ㄴ/ETM
곳을,	곳/NNG+을/JKO+,/SP
어머니	어머니/NNG
감골댁의	감골/NNP+댁/XSN+의/JKG
시체를	시체/NNG+를/JKO
발견하는	발견/NNG+하/XSV+는/ETM
장면이라고	장면/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.71.8.2
감골댁은 검은 한복을 입은 채 새까맣게 탄 시신을 연기하고, 수국은 "우리 어머니, 숯댕이로 살더니 숯댕이가 되었네, 아이고!"라며 목놓아 운다.

감골댁은	감골/NNP+댁/XSN+은/JX
검은	검/VA+은/ETM
한복을	한복/NNG+을/JKO
입은	입/VV+은/ETM
채	채/NNB
새까맣게	새까맣/VA+게/EC
탄	타/VV+ㄴ/ETM
시신을	시신/NNG+을/JKO
연기하고,	연기/NNG+하/XSV+고/EC+,/SP
수국은	수국/NNP+은/JX
"우리	"/SS+우리/NP
어머니,	어머니/NNG+,/SP
숯댕이로	숯댕이/NNG+로/JKB
살더니	살/VV+더니/EC
숯댕이가	숯댕이/NNG+가/JKC
되었네,	되/VV+었/EP+네/EF+,/SP
아이고!"라며	아이고/IC+!/SF+"/SS+이/VCP+라며/EC
목놓아	목/NNG+놓/VV+아/EC
운다.	울/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.71.8.3
윤공주는 "정말 잘하고 싶은 장면이라 할 때마다 처음 하는 기분"이라고 했고, 임혜영은 "엄마가 정말 죽었다는 게 실감이 나지 않아서 기를 쓰고 연기한다"고 했다.

윤공주는	윤공주/NNP+는/JX
"정말	"/SS+정말/MAG
잘하고	잘/MAG+하/XSV+고/EC
싶은	싶/VX+은/ETM
장면이라	장면/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
처음	처음/NNG
하는	하/VV+는/ETM
기분"이라고	기분/NNG+"/SS+이라고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
임혜영은	임혜영/NNP+은/JX
"엄마가	"/SS+엄마/NNG+가/JKS
정말	정말/MAG
죽었다는	죽/VV+었/EP+다는/ETM
게	거/NNB+이/JKS
실감이	실감/NNG+이/JKS
나지	나/VV+지/EC
않아서	않/VX+아서/EC
기를	기/NNG+를/JKO
쓰고	쓰/VV+고/EC
연기한다"고	연기/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.71.8.4
객석에서 볼 때 등을 돌리고 있는 감골댁 역의 김성녀도 말없이 연기 호흡을 맞춰 준다.

객석에서	객석/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
등을	등/NNG+을/JKO
돌리고	돌리/VV+고/EC
있는	있/VX+는/ETM
감골댁	감골/NNP+댁/XSN
역의	역/NNG+의/JKG
김성녀도	김성녀/NNP+도/JX
말없이	말없이/MAG
연기	연기/NNG
호흡을	호흡/NNG+을/JKO
맞춰	맞추/VV+어/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.71.8.5
여기서 수국의 오열(嗚咽)은 관객을 울컥하게 한다.

여기서	여기/NP+서/JKB
수국의	수국/NNG+의/JKG
오열(嗚咽)은	오열/NNG+(/SS+嗚咽/SH+)/SS+은/JX
관객을	관객/NNG+을/JKO
울컥하게	울컥/MAG+하/XSV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.71.9.1
윤공주와 임혜영은 서로 칭찬을 아끼지 않았다.

윤공주와	윤공주/NNP+와/JC
임혜영은	임혜영/NNP+은/JX
서로	서로/MAG
칭찬을	칭찬/NNG+을/JKO
아끼지	아끼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.71.9.2
"혜영이는 정말 아프고 불쌍하고, 노래도 너무 잘하는 수국이예요.

"혜영이는	"/SS+혜영이/NNP+는/JX
정말	정말/MAG
아프고	아프/VA+고/EC
불쌍하고,	불쌍하/VA+고/EC+,/SP
노래도	노래/NNG+도/JX
너무	너무/MAG
잘하는	잘/MAG+하/XSV+는/ETM
수국이예요.	수국이/NNP+이/VCP+에요/EF+./SF


# id : NWRW1800000046.71.9.3
수국이가 부르는 삽입곡은 고음이 많아 힘들거든요."(윤공주) "괜히 하시는 말씀 같아요.

수국이가	수국이/NNP+가/JKS
부르는	부르/VV+는/ETM
삽입곡은	삽입곡/NNG+은/JX
고음이	고음/NNG+이/JKS
많아	많/VA+아/EC
힘들거든요."(윤공주)	힘들/VA+거든/EF+요/JX+./SF+"/SS+(/SS+윤공주/NNP+)/SS
"괜히	"/SS+괜히/MAG
하시는	하/VV+시/EP+는/ETM
말씀	말씀/NNG
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000046.71.9.4
제가 '수국이를 어떻게 연기하지'라고 고민하고 있을 때 보면 공주 언니는 이미 수국이가 돼 있는 걸요."(임혜영)

제가	제/NP+가/JKS
'수국이를	'/SS+수국이/NNP+를/JKO
어떻게	어떻/VA+게/EC
연기하지'라고	연기/NNG+하/XSV+지/EF+'/SS+라고/JKQ
고민하고	고민/NNG+하/XSV+고/EC
있을	있/VX+을/ETM
때	때/NNG
보면	보/VV+면/EC
공주	공주/NNP
언니는	언니/NNG+는/JX
이미	이미/MAG
수국이가	수국이/NNP+가/JKC
돼	되/VV+어/EC
있는	있/VX+는/ETM
걸요."(임혜영)	거/NNB+ㄹ/JKO+요/JX+./SF+"/SS+(/SS+임혜영/NNP+)/SS


# id : NWRW1800000046.71.10.1
▷뮤지컬 '아리랑' 9월 5일까지 LG아트센터, 1544-1555

▷뮤지컬	▷/SW+뮤지컬/NNG
'아리랑'	'/SS+아리랑/NNP+'/SS
9월	9/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
LG아트센터,	LG아트센터/NNP+,/SP
1544-1555	1544/SN+-/SO+1555/SN


