# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.239
metadata : {}


# id : NWRW1800000049.239.1.1
수비가 가른 승부… KIA “1승만 더”

수비가	수비/NNG+가/JKS
프로야구	프로/NNG+야구/NNG
와일드카드	와일드카드/NNG
결정	결정/NNG
1차전에서도	1/SN+차전/NNB+에서/JKB+도/JX
그랬다.	그렇/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.239.4.2
리빌딩 중인 두 팀에는 젊은 선수들이 많다.

리빌딩	리빌딩/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
두	두/MMN
팀에는	팀/NNG+에/JKB+는/JX
젊은	젊/VA+은/ETM
선수들이	선수/NNG+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.239.4.3
KIA의 4-2 승리로 끝난 이날 경기 역시 경험과 수비의 차이에서 승부가 갈렸다.

KIA의	KIA/SL+의/JKG
4-2	4/SN+-/SO+2/SN
승리로	승리/NNG+로/JKB
끝난	끝나/VV+ㄴ/ETM
이날	이날/NNG
경기	경기/NNG
역시	역시/MAG
경험과	경험/NNG+과/JC
수비의	수비/NNG+의/JKG
차이에서	차이/NNG+에서/JKB
승부가	승부/NNG+가/JKS
갈렸다.	갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.239.5.1
경험 부족을 드러낸 대표적인 장면은 LG의 1회말 공격 때 나왔다.

경험	경험/NNG
부족을	부족/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
장면은	장면/NNG+은/JX
LG의	LG/SL+의/JKG
1회말	1/SN+회/NNB+말/NNB
공격	공격/NNG
때	때/NNG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.239.5.2
이천웅의 안타와 박용택의 볼넷 등으로 만든 2사 1, 3루에서 5번 타자 채은성이 타석에 들어섰다.

이천웅의	이천웅/NNP+의/JKG
안타와	안타/NNG+와/JC
박용택의	박용택/NNP+의/JKG
볼넷	볼넷/NNG
등으로	등/NNB+으로/JKB
만든	만들/VV+ㄴ/ETM
2사	2/SN+사/NNG
1,	1/SN+,/SP
3루에서	3루/NNG+에서/JKB
5번	5/SN+번/NNB
타자	타자/NNG
채은성이	채은성/NNP+이/JKS
타석에	타석/NNG+에/JKB
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.239.5.3
KIA 선발 투수 헥터는 1, 2구를 볼로 던지며 흔들리는 기색이 역력했다.

KIA	KIA/SL
선발	선발/NNG
투수	투수/NNG
헥터는	헥터/NNP+는/JX
1,	1/SN+,/SP
2구를	2구/NNG+를/JKO
볼로	볼/NNG+로/JKB
던지며	던지/VV+며/EC
흔들리는	흔들리/VV+는/ETM
기색이	기색/NNG+이/JKS
역력했다.	역력하/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.239.5.4
볼카운트가 불리해진 헥터가 이때 던질 수 있는 공은 직구밖에 없었다.

볼카운트가	볼/NNG+카운트/NNG+가/JKS
불리해진	불리/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
헥터가	헥터/NNP+가/JKS
이때	이때/NNG
던질	던지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공은	공/NNG+은/JX
직구밖에	직구/NNG+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.239.5.5
카운트를 잡으러 들어오는 공은 한가운데로 몰릴 가능성이 높다.

카운트를	카운트/NNG+를/JKO
잡으러	잡/VV+으러/EC
들어오는	들어오/VV+는/ETM
공은	공/NNG+은/JX
한가운데로	한/XPN+가운데/NNG+로/JKB
몰릴	몰리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.239.5.6
헛스윙을 하더라도 여전히 볼카운트에 여유가 있다.

헛스윙을	헛/XPN+스윙/NNG+을/JKO
하더라도	하/VV+더라도/EC
여전히	여전히/MAG
볼카운트에	볼/NNG+카운트/NNG+에/JKB
여유가	여유/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.239.5.7
경험이 많은 타자라면 큰 거 한 방을 노릴 만했다.

경험이	경험/NNG+이/JKS
많은	많/VA+은/ETM
타자라면	타자/NNG+이/VCP+라면/EC
큰	크/VA+ㄴ/ETM
거	거/NNB
한	한/MMN
방을	방/NNB+을/JKO
노릴	노리/VV+ㄹ/ETM
만했다.	만/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000049.239.6.1
그런데 채은성은 번트 동작을 하면서 한가운데 직구를 그냥 흘려보냈다.

그런데	그런데/MAJ
채은성은	채은성/NNP+은/JX
번트	번트/NNG
동작을	동작/NNG+을/JKO
하면서	하/VV+면서/EC
한가운데	한/XPN+가운데/NNG
직구를	직구/NNG+를/JKO
그냥	그냥/MAG
흘려보냈다.	흘려보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.239.6.2
4구째 바깥쪽으로 흘러나가는 공에는 뒤늦게 헛스윙을 했다.

4구째	4구/NNG+째/XSN
바깥쪽으로	바깥쪽/NNG+으로/JKB
흘러나가는	흘러나가/VV+는/ETM
공에는	공/NNG+에/JKB+는/JX
뒤늦게	뒤늦/VA+게/EC
헛스윙을	헛/XPN+스윙/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.239.6.3
좋은 공을 놓친 채은성은 결국 삼진으로 물러나고 말았다.

좋은	좋/VA+은/ETM
공을	공/NNG+을/JKO
놓친	놓치/VV+ㄴ/ETM
채은성은	채은성/NNP+은/JX
결국	결국/MAG
삼진으로	삼진/NNG+으로/JKB
물러나고	물러나/VV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.239.6.4
채은성은 올해 외야수 주전 자리를 꿰찬 신예 선수다.

채은성은	채은성/NNP+은/JX
올해	올해/NNG
외야수	외야수/NNG
주전	주전/NNG
자리를	자리/NNG+를/JKO
꿰찬	꿰차/VV+ㄴ/ETM
신예	신예/NNG
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.239.6.5
2년 전 플레이오프 때 세 타석에 들어선 게 포스트시즌 경험의 전부다.

2년	2/SN+년/NNB
전	전/NNG
플레이오프	플레이오프/NNG
때	때/NNG
세	세/MMN
타석에	타석/NNG+에/JKB
들어선	들어서/VV+ㄴ/ETM
게	거/NNB+이/JKS
포스트시즌	포스트시즌/NNG
경험의	경험/NNG+의/JKG
전부다.	전부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.239.6.6
채은성이 경험 있는 타자였다면 보다 적극적으로 방망이를 휘둘렀을 것이다.

채은성이	채은성/NNP+이/JKS
경험	경험/NNG
있는	있/VA+는/ETM
타자였다면	타자/NNG+이/VCP+었/EP+다면/EC
보다	보다/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
방망이를	방망이/NNG+를/JKO
휘둘렀을	휘두르/VV+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.239.6.7
LG가 선취점을 냈더라면 경기의 주도권을 잡을 수도 있었다.

LG가	LG/SL+가/JKS
선취점을	선취점/NNG+을/JKO
냈더라면	내/VV+었/EP+더라면/EC
경기의	경기/NNG+의/JKG
주도권을	주도/NNG+권/XSN+을/JKO
잡을	잡/VV+을/ETM
수도	수/NNB+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.239.7.1
수비에서도 아쉬운 쪽은 LG였다.

수비에서도	수비/NNG+에서/JKB+도/JX
아쉬운	아쉽/VA+ㄴ/ETM
쪽은	쪽/NNB+은/JX
LG였다.	LG/SL+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.239.7.2
LG 유격수 오지환은 1회초부터 김주찬의 평범한 땅볼을 더듬는 실책을 했다.

LG	LG/SL
유격수	유격수/NNG
오지환은	오지환/NNP+은/JX
1회초부터	1/SN+회/NNB+초/NNB+부터/JX
김주찬의	김주찬/NNP+의/JKG
평범한	평범하/VA+ㄴ/ETM
땅볼을	땅볼/NNG+을/JKO
더듬는	더듬/VV+는/ETM
실책을	실책/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.239.7.3
선발 투수 허프가 후속 타자 나지완을 삼진으로 잡아내며 위기를 벗어났지만 오지환은 4회 또 한 번 결정적인 실책을 범했다.

선발	선발/NNG
투수	투수/NNG
허프가	허프/NNP+가/JKS
후속	후속/NNG
타자	타자/NNG
나지완을	나지완/NNP+을/JKO
삼진으로	삼진/NNG+으로/JKB
잡아내며	잡아내/VV+며/EC
위기를	위기/NNG+를/JKO
벗어났지만	벗어나/VV+았/EP+지만/EC
오지환은	오지환/NNP+은/JX
4회	4/SN+회/NNB
또	또/MAG
한	한/MMN
번	번/NNB
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
실책을	실책/NNG+을/JKO
범했다.	범하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.239.7.4
2사 2, 3루에서 안치홍의 땅볼 타구를 뒤로 빠뜨린 것.

2사	2/SN+사/NNG
2,	2/SN+,/SP
3루에서	3루/NNG+에서/JKB
안치홍의	안치홍/NNP+의/JKG
땅볼	땅볼/NNG
타구를	타구/NNG+를/JKO
뒤로	뒤/NNG+로/JKB
빠뜨린	빠뜨리/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000049.239.7.5
이 사이 주자 2명이 홈을 밟았다.

이	이/MMD
사이	사이/NNG
주자	주자/NNG
2명이	2/SN+명/NNB+이/JKS
홈을	홈/NNG+을/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.239.8.1
이에 비해 지난달 상무에서 제대한 KIA 유격수 김선빈은 두 차례의 결정적인 호수비로 팀을 위기에서 구해냈다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
지난달	지난달/NNG
상무에서	상무/NNP+에서/JKB
제대한	제대/NNG+하/XSV+ㄴ/ETM
KIA	KIA/SL
유격수	유격수/NNG
김선빈은	김선빈/NNP+은/JX
두	두/MMN
차례의	차례/NNG+의/JKG
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
호수비로	호수비/NNG+로/JKB
팀을	팀/NNG+을/JKO
위기에서	위기/NNG+에서/JKB
구해냈다.	구하/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.239.8.2
2회말 1사 1루에서 유강남의 중전 안타성 타구를 슬라이딩 캐치해 병살타로 연결했고, 4회말 1사 1루에서도 채은성의 안타성 타구를 유격수-2루수-1루수로 이어지는 병살타로 처리했다.

2회말	2/SN+회/NNB+말/NNB
1사	1/SN+사/NNG
1루에서	1루/NNG+에서/JKB
유강남의	유강남/NNP+의/JKG
중전	중전/NNG
안타성	안타/NNG+성/XSN
타구를	타구/NNG+를/JKO
슬라이딩	슬라이딩/NNG
캐치해	캐치/NNG+하/XSV+아/EC
병살타로	병살타/NNG+로/JKB
연결했고,	연결/NNG+하/XSV+았/EP+고/EC+,/SP
4회말	4/SN+회/NNB+말/NNB
1루에서도	1루/NNG+에서/JKB+도/JX
채은성의	채은성/NNP+의/JKG
유격수-2루수-1루수로	유격수/NNG+-/SO+2루수/NNG+-/SO+1루수/NNG+로/JKB
이어지는	이어지/VV+는/ETM
처리했다.	처리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.239.8.3
KIA는 6회 나지완의 희생플라이와 8회 김주찬의 적시타로 점수를 4-0으로 벌렸다.

KIA는	KIA/SL+는/JX
6회	6/SN+회/NNB
나지완의	나지완/NNP+의/JKG
희생플라이와	희생/NNG+플라이/NNG+와/JC
8회	8/SN+회/NNB
김주찬의	김주찬/NNP+의/JKG
적시타로	적시타/NNG+로/JKB
점수를	점수/NNG+를/JKO
4-0으로	4/SN+-/SO+0/SN+으로/JKB
벌렸다.	벌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.239.9.1
LG도 기회가 전혀 없었던 것은 아니다.

LG도	LG/SL+도/JX
기회가	기회/NNG+가/JKS
전혀	전혀/MAG
없었던	없/VA+었/EP+던/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.239.9.2
8회말 김선빈이 평범한 뜬공을 놓치는 실책을 하는 사이 무사 1, 2루 찬스를 잡았다.

8회말	8/SN+회/NNB+말/NNB
김선빈이	김선빈/NNP+이/JKS
평범한	평범하/VA+ㄴ/ETM
뜬공을	뜬공/NNG+을/JKO
놓치는	놓치/VV+는/ETM
실책을	실책/NNG+을/JKO
하는	하/VV+는/ETM
사이	사이/NNG
무사	무사/NNG
1,	1/SN+,/SP
2루	2루/NNG
찬스를	찬스/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.239.9.3
후속 타자 유강남이 적시타를 쳐내 한 점을 추격했고, 무사 1, 3루의 기회를 이어갔다.

후속	후속/NNG
타자	타자/NNG
유강남이	유강남/NNP+이/JKS
적시타를	적시타/NNG+를/JKO
쳐내	치/VV+어/EC+내/VX+어/EC
한	한/MMN
점을	점/NNB+을/JKO
추격했고,	추격/NNG+하/XSV+았/EP+고/EC+,/SP
무사	무사/NNG
1,	1/SN+,/SP
3루의	3루/NNG+의/JKG
기회를	기회/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.239.9.4
구원 투수 고효준의 폭투 때 3루 주자 황목치승이 홈을 밟아 한 점을 더 따라갔다.

구원	구원/NNG
투수	투수/NNG
고효준의	고효준/NNP+의/JKG
폭투	폭투/NNG
때	때/NNG
3루	3루/NNG
주자	주자/NNG
황목치승이	황목치승/NNP+이/JKS
홈을	홈/NNG+을/JKO
밟아	밟/VV+아/EC
한	한/MMN
점을	점/NNB+을/JKO
더	더/MAG
따라갔다.	따라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.239.9.5
하지만 1루 주자 유강남이 무리하게 3루까지 뛰다가 객사하면서 좋았던 흐름이 끊기고 말았다.

하지만	하지만/MAJ
1루	1루/NNG
주자	주자/NNG
유강남이	유강남/NNP+이/JKS
무리하게	무리/NNG+하/XSA+게/EC
3루까지	3루/NNG+까지/JX
뛰다가	뛰/VV+다가/EC
객사하면서	객사/NNG+하/XSV+면서/EC
좋았던	좋/VA+았/EP+던/ETM
흐름이	흐름/NNG+이/JKS
끊기고	끊기/VV+고/EC
말았다.	말/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.239.10.1
7이닝 2실점(1자책)으로 승리투수가 된 헥터가 경기 최우수선수(MVP)로 선정됐다.

7이닝	7/SN+이닝/NNG
2실점(1자책)으로	2/SN+실점/NNG+(/SS+1/SN+자책/NNG+)/SS+으로/JKB
승리투수가	승리/NNG+투수/NNG+가/JKC
된	되/VV+ㄴ/ETM
헥터가	헥터/NNP+가/JKS
경기	경기/NNG
최우수선수(MVP)로	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.239.11.1
양 팀의 와일드카드 결정 2차전은 11일 오후 6시 반 같은 장소에서 열린다.

양	양/MMN
팀의	팀/NNG+의/JKG
와일드카드	와일드카드/NNG
결정	결정/NNG
2차전은	2/SN+차전/NNB+은/JX
11일	11/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
반	반/NNG
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


