# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.10
metadata : {}


# id : NWRW1800000041.10.1.1
석유公, 이라크 ‘하울러 광구’서 원유 본격 생산

석유公,	석유/NNG+公/SH+,/SP
2012년	2012/SN+년/NNB
데미르닥	데미르닥/NNP
지역에	지역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
첫	첫/MMN
탐사	탐사/NNG
시추에서	시추/NNG+에서/JKB
원유를	원유/NNG+를/JKO
발견한	발견/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.10.6.1
이에 따라 석유공사는 지금까지의 해외 자원개발 사업 중 최대의 원유 매장량을 확보하게 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
석유공사는	석유공사/NNP+는/JX
지금까지의	지금/NNG+까지/JX+의/JKG
해외	해외/NNG
자원개발	자원/NNG+개발/NNG
사업	사업/NNG
중	중/NNB
최대의	최대/NNG+의/JKG
원유	원유/NNG
매장량을	매장량/NNG+을/JKO
확보하게	확보/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.10.6.2
오릭스(65%), 쿠르드 자치정부(20%)에 이어 세 번째로 많은 15%의 하울러 광구 지분을 갖고 있는 석유공사는 확인된 매장량 2억5800만 배럴 중 3900만 배럴의 소유권을 갖는다.

오릭스(65%),	오릭스/NNP+(/SS+65/SN+%/SW+)/SS+,/SP
쿠르드	쿠르드/NNP
자치정부(20%)에	자치/NNG+정부/NNG+(/SS+20/SN+%/SW+)/SS+에/JKB
이어	잇/VV+어/EC
세	세/MMN
번째로	번/NNB+째/XSN+로/JKB
많은	많/VA+은/ETM
15%의	15/SN+%/SW+의/JKG
하울러	하울러/NNP
광구	광구/NNG
지분을	지분/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
석유공사는	석유공사/NNP+는/JX
확인된	확인/NNG+되/XSV+ㄴ/ETM
매장량	매장량/NNG
2억5800만	2/SN+억/NR+5800/SN+만/NR
배럴	배럴/NNB
중	중/NNB
3900만	3900/SN+만/NR
배럴의	배럴/NNB+의/JKG
소유권을	소유/NNG+권/XSN+을/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000041.10.6.3
이는 지금까지 석유공사가 참여한 원유 탐사 사업 중 최대 매장량을 확보했던 리비아 엘리펀트 광구의 2200만 배럴을 넘어서는 규모다.

이는	이/NP+는/JX
지금까지	지금/NNG+까지/JX
석유공사가	석유공사/NNP+가/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
원유	원유/NNG
탐사	탐사/NNG
사업	사업/NNG
중	중/NNB
최대	최대/NNG
매장량을	매장량/NNG+을/JKO
확보했던	확보/NNG+하/XSV+았/EP+던/ETM
리비아	리비아/NNP
엘리펀트	엘리펀트/NNP
광구의	광구/NNG+의/JKG
2200만	2200/SN+만/NR
배럴을	배럴/NNB+을/JKO
넘어서는	넘어서/VV+는/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.10.6.4
특히 데미르닥 지역의 매장량 최종 평가에 따라 매장량이 최대 6억 배럴까지 늘어날 가능성이 있어 석유공사의 원유 확보 규모가 더 커질 것으로 기대된다.

특히	특히/MAG
데미르닥	데미르닥/NNP
지역의	지역/NNG+의/JKG
매장량	매장량/NNG
최종	최종/NNG
평가에	평가/NNG+에/JKB
따라	따르/VV+아/EC
매장량이	매장량/NNG+이/JKS
최대	최대/NNG
6억	6/SN+억/NR
배럴까지	배럴/NNB+까지/JX
늘어날	늘어나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있어	있/VA+어/EC
석유공사의	석유공사/NNP+의/JKG
원유	원유/NNG
확보	확보/NNG
규모가	규모/NNG+가/JKS
더	더/MAG
커질	커지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.10.7.1
석유공사는 이달 초부터 데미르닥에 설치된 임시 생산시설을 통해 매일 1만 배럴의 원유를 생산할 계획이다.

석유공사는	석유공사/NNP+는/JX
이달	이달/NNG
초부터	초/NNB+부터/JX
데미르닥에	데미르닥/NNP+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
임시	임시/NNG
생산시설을	생산/NNG+시설/NNG+을/JKO
통해	통하/VV+아/EC
매일	매일/MAG
1만	1/SN+만/NR
배럴의	배럴/NNB+의/JKG
원유를	원유/NNG+를/JKO
생산할	생산/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.10.7.2
현재 건설 중인 생산시설이 8월 완공되면 원유 생산 규모는 4만 배럴로 늘어난다.

현재	현재/MAG
건설	건설/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
생산시설이	생산/NNG+시설/NNG+이/JKS
8월	8/SN+월/NNB
완공되면	완공/NNG+되/XSV+면/EC
원유	원유/NNG
생산	생산/NNG
규모는	규모/NNG+는/JX
4만	4/SN+만/NR
배럴로	배럴/NNB+로/JKB
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.10.7.3
석유공사 관계자는 “하울러 광구의 성공 경험을 활용해 이라크 쿠르드 지역의 다른 광구에서도 원유 생산 성과를 이끌어낼 계획”이라고 말했다.

석유공사	석유공사/NNP
관계자는	관계자/NNG+는/JX
“하울러	“/SS+하울러/NNP
광구의	광구/NNG+의/JKG
성공	성공/NNG
경험을	경험/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
이라크	이라크/NNP
쿠르드	쿠르드/NNP
지역의	지역/NNG+의/JKG
다른	다른/MMD
광구에서도	광구/NNG+에서/JKB+도/JX
원유	원유/NNG
생산	생산/NNG
성과를	성과/NNG+를/JKO
이끌어낼	이끌/VV+어/EC+내/VX+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


