# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.78
metadata : {}


# id : NWRW1800000026.78.1.1
[호남] [지금 이곳에선] "국제기후총회를 여수에 유치하자";전남·경남 여수기후총회 유치위원회

[호남]	[/SS+호남/NNP+]/SS
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.7.1
조세윤 남해그린스타트위원회위원장은 "여수엑스포는 지구촌 최대의 환경 행사이자 축제"라며 "기후변화 대응을 논의하는 여수엑스포와 당사국총회의 성격이 일맥상통하는 만큼 여수의 총회 개최는 상당한 명분을 갖고 있다"고 말했다.

조세윤	조세윤/NNP
남해그린스타트위원회위원장은	남해그린스타트위원회/NNP+위원장/NNG+은/JX
"여수엑스포는	"/SS+여수/NNP+엑스포/NNG+는/JX
지구촌	지구촌/NNG
최대의	최대/NNG+의/JKG
환경	환경/NNG
행사이자	행사/NNG+이/VCP+자/EC
축제"라며	축제/NNG+"/SS+이/VCP+라며/EC
"기후변화	"/SS+기후/NNG+변화/NNG
대응을	대응/NNG+을/JKO
논의하는	논의/NNG+하/XSV+는/ETM
여수엑스포와	여수/NNP+엑스포/NNG+와/JC
당사국총회의	당사국/NNG+총회/NNG+의/JKG
성격이	성격/NNG+이/JKS
일맥상통하는	일맥상통/NNG+하/XSV+는/ETM
만큼	만큼/NNB
여수의	여수/NNP+의/JKG
총회	총회/NNG
개최는	개최/NNG+는/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
명분을	명분/NNG+을/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.78.8.1
김기현 고흥참여연대 사무처장은 "인프라는 부족하지만 풍부한 자연과 인접한 여수가 오히려 대도시보다는 기후변화 문제를 토론하는 총회와의 성격과 꼭 들어맞는다"고 말했다.

김기현	김기현/NNP
고흥참여연대	고흥참여연대/NNP
사무처장은	사무처장/NNG+은/JX
"인프라는	"/SS+인프라/NNG+는/JX
부족하지만	부족/NNG+하/XSA+지만/EC
풍부한	풍부하/VA+ㄴ/ETM
자연과	자연/NNG+과/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
여수가	여수/NNP+가/JKS
오히려	오히려/MAG
대도시보다는	대/XPN+도시/NNG+보다/JKB+는/JX
기후변화	기후/NNG+변화/NNG
문제를	문제/NNG+를/JKO
토론하는	토론/NNG+하/XSV+는/ETM
총회와의	총회/NNG+와/JKB+의/JKG
성격과	성격/NNG+과/JKB
꼭	꼭/MAG
들어맞는다"고	들어맞/VV+는다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.78.9.1
하지만 정부는 외국 정상의 보안 문제를 들어 대도시를 개최지로 선호하는 것으로 전해졌다.

하지만	하지만/MAJ
정부는	정부/NNG+는/JX
외국	외국/NNG
정상의	정상/NNG+의/JKG
보안	보안/NNG
문제를	문제/NNG+를/JKO
들어	들/VV+어/EC
대도시를	대/XPN+도시/NNG+를/JKO
개최지로	개최지/NNG+로/JKB
선호하는	선호/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.78.9.2
결국은 대규모 회의가 가능한 컨벤션 시설을 갖춘 특급 호텔을 보유한 도시가 최종 개최도시로 선정될 가능성이 높은 것이다.

결국은	결국/NNG+은/JX
대규모	대/XPN+규모/NNG
회의가	회의/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
컨벤션	컨벤션/NNG
시설을	시설/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
특급	특급/NNG
호텔을	호텔/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
도시가	도시/NNG+가/JKS
최종	최종/NNG
개최도시로	개최/NNG+도시/NNG+로/JKB
선정될	선정/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.10.1
류중구 엑스포시민포럼공동운영위원장은 "다른 도시와의 명분 싸움에선 엑스포를 여는 여수가 충분히 승산이 있다"며 "숙박시설은 개최도시로 선정되면 언제든지 해결할 수 있다.

류중구	류중구/NNP
엑스포시민포럼공동운영위원장은	엑스포/NNG+시민/NNG+포럼/NNG+공동/NNG+운영/NNG+위원장/NNG+은/JX
"다른	"/SS+다른/MMD
도시와의	도시/NNG+와/JKB+의/JKG
명분	명분/NNG
싸움에선	싸움/NNG+에서/JKB+ㄴ/JX
엑스포를	엑스포/NNG+를/JKO
여는	열/VV+는/ETM
여수가	여수/NNP+가/JKS
충분히	충분히/MAG
승산이	승산/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"숙박시설은	"/SS+숙박/NNG+시설/NNG+은/JX
개최도시로	개최/NNG+도시/NNG+로/JKB
선정되면	선정/NNG+되/XSV+면/EC
언제든지	언제/NP+든지/JX
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.78.10.2
7~8월까지는 여수가 개최도시로 우선 결정돼야 한다"고 말했다.

7~8월까지는	7/SN+~/SO+8/SN+월/NNB+까지/JX+는/JX
여수가	여수/NNP+가/JKS
개최도시로	개최/NNG+도시/NNG+로/JKB
우선	우선/MAG
결정돼야	결정/NNG+되/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.78.10.3
숙박시설 건설 등의 공기를 고려할 때 최대한 빨리 개최지역을 선정한 뒤 관련 인프라를 차근차근 구축하자는 구상이다.

숙박시설	숙박/NNG+시설/NNG
건설	건설/NNG
등의	등/NNB+의/JKG
공기를	공기/NNG+를/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
최대한	최대한/MAG
빨리	빨리/MAG
개최지역을	개최/NNG+지역/NNG+을/JKO
선정한	선정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
관련	관련/NNG
인프라를	인프라/NNG+를/JKO
차근차근	차근차근/MAG
구축하자는	구축/NNG+하/XSV+자는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.11.1
기후총회 유치위원회는 여수엑스포의 주제인 '살아있는 바다 숨쉬는 연안'을 18차 총회의 공식 의제로 건의할 계획이다.

기후총회	기후/NNG+총회/NNG
유치위원회는	유치/NNG+위원회/NNG+는/JX
여수엑스포의	여수/NNP+엑스포/NNG+의/JKG
주제인	주제/NNG+이/VCP+ㄴ/ETM
'살아있는	'/SS+살/VV+아/EC+있/VX+는/ETM
바다	바다/NNG
숨쉬는	숨/NNG+쉬/VV+는/ETM
연안'을	연안/NNG+'/SS+을/JKO
18차	18/SN+차/NNB
총회의	총회/NNG+의/JKG
공식	공식/NNG
의제로	의제/NNG+로/JKB
건의할	건의/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.11.2
특히 6·2 지방선거로 정국이 전환되기 전에 가시적인 성과를 거두기로 했다.

특히	특히/MAG
6·2	6/SN+·/SP+2/SN
지방선거로	지방/NNG+선거/NNG+로/JKB
정국이	정국/NNG+이/JKS
전환되기	전환/NNG+되/XSV+기/ETN
전에	전/NNG+에/JKB
가시적인	가시/NNG+적/XSN+이/VCP+ㄴ/ETM
성과를	성과/NNG+를/JKO
거두기로	거두/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.78.11.3
이달 안에 정·재계 유력인사를 유치위원회 상임위원장으로 영입하고, 여수시와의 행정지원체계도 강화한다.

이달	이달/NNG
안에	안/NNG+에/JKB
정·재계	정·재계/NNG
유력인사를	유력/NNG+인사/NNG+를/JKO
유치위원회	유치/NNG+위원회/NNG
상임위원장으로	상임/NNG+위원장/NNG+으로/JKB
영입하고,	영입/NNG+하/XSV+고/EC+,/SP
여수시와의	여수시/NNP+와/JKB+의/JKG
행정지원체계도	행정/NNG+지원/NNG+체계/NNG+도/JX
강화한다.	강화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.78.11.4
또 8개 시·군 의회지지 결의문을 채택하고, 전남·경남도지사 공동유치 선언 발표도 이끌어낼 계획이다.

또	또/MAG
8개	8/SN+개/NNB
시·군	시·군/NNG
의회지지	의회/NNG+지지/NNG
결의문을	결의문/NNG+을/JKO
채택하고,	채택/NNG+하/XSV+고/EC+,/SP
전남·경남도지사	전남/NNP+·/SP+경남/NNP+도지사/NNG
공동유치	공동/NNG+유치/NNG
선언	선언/NNG
발표도	발표/NNG+도/JX
이끌어낼	이끌/VV+어/EC+내/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


