# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.392
metadata : {}


# id : NWRW1800000038.392.1.1
SK가 막판에 내놓은 녹취록 카드(김원홍이 최태원 회장·최재원 부회장 등과 통화한 내용)… 反轉이냐, 자충수냐

SK가	SK/SL+가/JKS
재판의 핵심 쟁점은 SK 계열사들이 베넥스인베스트먼트에 출자한 펀드 자금 460여억원을 최 회장이 개인 선물 투자에 쓰기 위해 김원홍(52) 전 SK해운 고문에게 송금(횡령)한 사실이 있는지 여부다.

재판의	재판/NNG+의/JKG
핵심	핵심/NNG
쟁점은	쟁점/NNG+은/JX
SK	SK/SL
계열사들이	계열사/NNG+들/XSN+이/JKS
베넥스인베스트먼트에	베넥스인베스트먼트/NNP+에/JKB
출자한	출자/NNG+하/XSV+ㄴ/ETM
펀드	펀드/NNG
자금	자금/NNG
460여억원을	460/SN+여/XSN+억/NR+원/NNB+을/JKO
최	최/NNP
회장이	회장/NNG+이/JKS
개인	개인/NNG
선물	선물/NNG
투자에	투자/NNG+에/JKB
쓰기	쓰/VV+기/ETN
위해	위하/VV+아/EC
김원홍(52)	김원홍/NNP+(/SS+52/SN+)/SS
전	전/MMD
SK해운	SK해운/NNP
고문에게	고문/NNG+에게/JKB
송금(횡령)한	송금/NNG+(/SS+횡령/NNG+)/SS+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
있는지	있/VA+는지/EC
여부다.	여부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.392.3.4
최 회장은 이 횡령 혐의가 인정돼 1심에서 징역 4년을 선고받았다.

최	최/NNP
회장은	회장/NNG+은/JX
이	이/MMD
횡령	횡령/NNG
혐의가	혐의/NNG+가/JKS
인정돼	인정/NNG+되/XSV+어/EC
1심에서	1심/NNG+에서/JKB
징역	징역/NNG
4년을	4/SN+년/NNB+을/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.392.4.1
◇김원홍 녹취록 공방

◇김원홍	◇/SW+김원홍/NNP
녹취록	녹취록/NNG
공방	공방/NNG


# id : NWRW1800000038.392.5.1
"누가 봐도 하늘이 알고 땅이 알잖아.

"누가	"/SS+누구/NP+가/JKS
봐도	보/VV+아도/EC
하늘이	하늘/NNG+이/JKS
알고	알/VV+고/EC
땅이	땅/NNG+이/JKS
알잖아.	알/VV+잖아/EF+./SF


# id : NWRW1800000038.392.5.2
니는 진짜 아무 죄 없고, 최 회장은 정말 더 죄가 없고, 어떻게 보면 준홍이하고 내가 너희 형제를 속인 거잖아." 김원홍 전 고문이 2011년 12월 검찰의 재소환을 앞둔 최재원 부회장과 통화한 내용이었다.

니는	니/NP+는/JX
진짜	진짜/MAG
아무	아무/MMD
죄	죄/NNG
없고,	없/VA+고/EC+,/SP
최	최/NNP
회장은	회장/NNG+은/JX
정말	정말/MAG
더	더/MAG
죄가	죄/NNG+가/JKS
어떻게	어떻/VA+게/EC
보면	보/VV+면/EC
준홍이하고	준홍이/NNP+하고/JC
내가	내/NP+가/JKS
너희	너희/NP
형제를	형제/NNG+를/JKO
속인	속이/VV+ㄴ/ETM
거잖아."	거/NNB+이/VCP+잖아/EF+./SF+"/SS
김원홍	김원홍/NNP
전	전/MMD
고문이	고문/NNG+이/JKS
2011년	2011/SN+년/NNB
12월	12/SN+월/NNB
검찰의	검찰/NNG+의/JKG
재소환을	재/XPN+소환/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
최재원	최재원/NNP
부회장과	부회장/NNG+과/JKB
통화한	통화/NNG+하/XSV+ㄴ/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.392.5.3
"내가 나중에 누명 벗겨줄게.

"내가	"/SS+내/NP+가/JKS
나중에	나중/NNG+에/JKB
누명	누명/NNG
벗겨줄게.	벗기/VV+어/EC+주/VX+ㄹ게/EF+./SF


# id : NWRW1800000038.392.5.4
알았지?"라는 김 전 고문의 말에 최 부회장의 "네"라는 대답이 법정에 울렸다.

알았지?"라는	알/VV+았/EP+지/EF+?/SF+"/SS+이/VCP+라는/ETM
김	김/NNP
전	전/MMD
고문의	고문/NNG+의/JKG
말에	말/NNG+에/JKB
최	최/NNP
부회장의	부회장/NNG+의/JKG
"네"라는	"/SS+네/IC+"/SS+이/VCP+라는/ETM
대답이	대답/NNG+이/JKS
법정에	법정/NNG+에/JKB
울렸다.	울리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.392.6.1
서울고법 형사4부 문용선 재판장은 "재계 3위 대기업 회장과 부회장이 김원홍한테 홀린 것 같다. 수천억원을 홀딱 빼앗겼다"면서 "김원홍이 나쁘면 나쁠수록 최 회장은 그만큼 덜 나쁜 사람일 수 있다"고 했다.

서울고법	서울고법/NNP
형사4부	형사/NNG+4/SN+부/NNG
문용선	문용선/NNP
재판장은	재판장/NNG+은/JX
"재계	"/SS+재계/NNG
3위	3/SN+위/NNB
대기업	대/XPN+기업/NNG
회장과	회장/NNG+과/JC
부회장이	부회장/NNG+이/JKS
김원홍한테	김원홍/NNP+한테/JKB
홀린	홀리/VV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF
수천억원을	수천억/NR+원/NNB+을/JKO
홀딱	홀딱/MAG
빼앗겼다"면서	빼앗기/VV+었/EP+다/EF+"/SS+면서/EC
"김원홍이	"/SS+김원홍/NNP+이/JKS
나쁘면	나쁘/VA+면/EC
나쁠수록	나쁘/VA+ㄹ수록/EC
최	최/NNP
회장은	회장/NNG+은/JX
그만큼	그만큼/NNG
덜	덜/MAG
나쁜	나쁘/VA+ㄴ/ETM
사람일	사람/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.392.7.1
하지만 재판장은 변호인석을 향해 "이게 독(毒)이라는 생각이 안 들었을까요? 과연 이것이 (최 회장은 죄가 없다는) 탄핵 증거로 될까요?"라고 반문했다.

하지만	하지만/MAJ
재판장은	재판장/NNG+은/JX
변호인석을	변호인석/NNG+을/JKO
향해	향하/VV+아/EC
"이게	"/SS+이거/NP+이/JKS
독(毒)이라는	독/NNG+(/SS+毒/SH+)/SS+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
안	안/MAG
들었을까요?	들/VV+었/EP+을까/EF+요/JX+?/SF
과연	과연/MAG
이것이	이것/NP+이/JKS
(최	(/SS+최/NNP
회장은	회장/NNG+은/JX
죄가	죄/NNG+가/JKS
없다는)	없/VA+다는/ETM+)/SS
탄핵	탄핵/NNG
증거로	증거/NNG+로/JKB
될까요?"라고	되/VV+ㄹ까/EF+요/JX+?/SF+"/SS+라고/JKQ
반문했다.	반문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.392.7.2
변호인들의 표정이 굳어졌다.

변호인들의	변호인/NNG+들/XSN+의/JKG
표정이	표정/NNG+이/JKS
굳어졌다.	굳어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.392.7.3
이날 재판장과 검찰, 변호인 측은 '김원홍 녹음 파일'을 놓고 뜨거운 공방전을 벌였다.

이날	이날/NNG
재판장과	재판장/NNG+과/JC
검찰,	검찰/NNG+,/SP
변호인	변호인/NNG
측은	측/NNB+은/JX
'김원홍	'/SS+김원홍/NNP
녹음	녹음/NNG
파일'을	파일/NNG+'/SS+을/JKO
놓고	놓/VV+고/EC
뜨거운	뜨겁/VA+ㄴ/ETM
공방전을	공방전/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.392.7.4
그러나 관심을 모았던 김 전 고문과 최 회장의 통화 내용은 공개되지 않았고, 김 전 고문과 최 부회장 간의 통화 등 3건만 공개됐다.

그러나	그러나/MAJ
관심을	관심/NNG+을/JKO
모았던	모으/VV+았/EP+던/ETM
김	김/NNP
전	전/MMD
고문과	고문/NNG+과/JC
최	최/NNP
회장의	회장/NNG+의/JKG
통화	통화/NNG
내용은	내용/NNG+은/JX
공개되지	공개/NNG+되/XSV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
부회장	부회장/NNG
간의	간/NNB+의/JKG
등	등/NNB
3건만	3/SN+건/NNB+만/JX
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.392.8.1
녹음 파일은 2011년 12월 무렵 검찰이 수사에 나선 이후 사건 당사자들이 통화한 내용을 담고 있다.

녹음	녹음/NNG
파일은	파일/NNG+은/JX
2011년	2011/SN+년/NNB
12월	12/SN+월/NNB
무렵	무렵/NNB
검찰이	검찰/NNG+이/JKS
수사에	수사/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
이후	이후/NNG
사건	사건/NNG
당사자들이	당사자/NNG+들/XSN+이/JKS
통화한	통화/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.392.8.2
이날로 14차 공판을 치른 이 사건은 사실 관계를 다투는 항소심 재판 막바지에 이르렀다.

이날로	이날/NNG+로/JKB
14차	14/SN+차/NNB
공판을	공판/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
이	이/MMD
사건은	사건/NNG+은/JX
사실	사실/MAG
관계를	관계/NNG+를/JKO
다투는	다투/VV+는/ETM
항소심	항소심/NNG
재판	재판/NNG
막바지에	막바지/NNG+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.392.9.1
녹음 파일을 풀어놓은 녹취록은 12차 공판에서 법정에 제출됐고, 재판부는 녹취록이 실제 음성 파일과 일치하게 사실대로 기록된 것인지 확인하기 위해 음성 파일을 틀어 직접 들어볼지를 놓고도 고심을 거듭했다.

녹음	녹음/NNG
파일을	파일/NNG+을/JKO
풀어놓은	풀어놓/VV+은/ETM
녹취록은	녹취록/NNG+은/JX
12차	12/SN+차/NNB
공판에서	공판/NNG+에서/JKB
법정에	법정/NNG+에/JKB
제출됐고,	제출/NNG+되/XSV+었/EP+고/EC+,/SP
재판부는	재판부/NNG+는/JX
녹취록이	녹취록/NNG+이/JKS
실제	실제/NNG
음성	음성/NNG
파일과	파일/NNG+과/JKB
일치하게	일치/NNG+하/XSV+게/EC
사실대로	사실/NNG+대로/JX
기록된	기록/NNG+되/XSV+ㄴ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
틀어	틀/VV+어/EC
직접	직접/MAG
들어볼지를	들/VV+어/EC+보/VX+ㄹ지/EF+를/JKO
놓고도	놓/VV+고/EC+도/JX
고심을	고심/NNG+을/JKO
거듭했다.	거듭/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.392.10.1
◇변화무쌍한 수사와 재판

◇변화무쌍한	◇/SW+변화무쌍/NNG+하/XSA+ㄴ/ETM
수사와	수사/NNG+와/JC
재판	재판/NNG


# id : NWRW1800000038.392.11.1
이번 사건은 검찰 수사 때부터 곡절이 많았다.

이번	이번/NNG
사건은	사건/NNG+은/JX
검찰	검찰/NNG
수사	수사/NNG
때부터	때/NNG+부터/JX
곡절이	곡절/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.392.11.2
2011년 12월 검찰에 처음 소환된 최재원 부회장은 "펀드 횡령과 무관하다"고 진술했으나 6일 만에 다시 나와 '자수서'를 냈다.

2011년	2011/SN+년/NNB
12월	12/SN+월/NNB
검찰에	검찰/NNG+에/JKB
처음	처음/NNG
소환된	소환/NNG+되/XSV+ㄴ/ETM
최재원	최재원/NNP
부회장은	부회장/NNG+은/JX
"펀드	"/SS+펀드/NNG
횡령과	횡령/NNG+과/JKB
무관하다"고	무관하/VA+다/EF+"/SS+고/JKQ
진술했으나	진술/NNG+하/XSV+았/EP+으나/EC
6일	6/SN+일/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
나와	나오/VV+아/EC
'자수서'를	'/SS+자수서/NNG+'/SS+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.392.11.3
펀드 횡령은 본인이 한 것이라는 주장이었다.

펀드	펀드/NNG
횡령은	횡령/NNG+은/JX
본인이	본인/NNG+이/JKS
한	하/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
주장이었다.	주장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.392.11.4
검찰은 최 부회장을 구속했고 최 회장을 불구속 상태로 재판에 넘겼다.

검찰은	검찰/NNG+은/JX
최	최/NNP
부회장을	부회장/NNG+을/JKO
구속했고	구속/NNG+하/XSV+았/EP+고/EC
회장을	회장/NNG+을/JKO
불구속	불/XPN+구속/NNG
상태로	상태/NNG+로/JKB
재판에	재판/NNG+에/JKB
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.392.12.1
그러나 1심 재판부는 최 회장에게 징역 4년을 선고하고 법정 구속한 반면 구속 기소된 동생 최 부회장에겐 오히려 무죄를 선고했다.

그러나	그러나/MAJ
1심	1심/NNG
재판부는	재판부/NNG+는/JX
최	최/NNP
회장에게	회장/NNG+에게/JKB
징역	징역/NNG
4년을	4/SN+년/NNB+을/JKO
선고하고	선고/NNG+하/XSV+고/EC
법정	법정/NNG
구속한	구속/NNG+하/XSV+ㄴ/ETM
반면	반면/NNG
구속	구속/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
동생	동생/NNG
부회장에겐	부회장/NNG+에게/JKB+ㄴ/JX
오히려	오히려/MAG
무죄를	무죄/NNG+를/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.392.13.1
SK 측은 항소심에서 '전략'을 바꿨다.

SK	SK/SL
측은	측/NNB+은/JX
항소심에서	항소심/NNG+에서/JKB
'전략'을	'/SS+전략/NNG+'/SS+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.392.13.2
그동안 주목받지 못했던 김 전 고문의 역할을 부각했다.

그동안	그동안/NNG
주목받지	주목/NNG+받/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
김	김/NNP
전	전/MMD
고문의	고문/NNG+의/JKG
역할을	역할/NNG+을/JKO
부각했다.	부각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.392.13.3
그는 460억원 펀드 운용을 주도했지만 사건이 불거지기 직전 중국으로 떠났다.

그는	그/NP+는/JX
460억원	460/SN+억/NR+원/NNB
펀드	펀드/NNG
운용을	운용/NNG+을/JKO
주도했지만	주도/NNG+하/XSV+았/EP+지만/EC
사건이	사건/NNG+이/JKS
불거지기	불거지/VV+기/ETN
직전	직전/NNG
중국으로	중국/NNP+으로/JKB
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.392.13.4
SK 관계자는 "김씨와의 관계가 알려지면 최 회장 이미지가 나빠질까봐 우려했지만 사실 관계를 바로잡는 차원에서 녹취록을 공개했다"고 말했다.

SK	SK/SL
관계자는	관계자/NNG+는/JX
"김씨와의	"/SS+김/NNP+씨/NNB+와/JKB+의/JKG
관계가	관계/NNG+가/JKS
알려지면	알려지/VV+면/EC
최	최/NNP
회장	회장/NNG
이미지가	이미지/NNG+가/JKS
나빠질까봐	나빠지/VV+ㄹ까/EF+보/VX+아/EC
우려했지만	우려/NNG+하/XSV+았/EP+지만/EC
사실	사실/MAG
관계를	관계/NNG+를/JKO
바로잡는	바로잡/VV+는/ETM
차원에서	차원/NNG+에서/JKB
녹취록을	녹취록/NNG+을/JKO
공개했다"고	공개/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.392.14.1
그러면서 최 회장 형제는 김 전 고문과 베넥스인베스트먼트 김준홍(47) 전 대표의 역할을 강조했다.

그러면서	그러/VV+면서/EC
최	최/NNP
회장	회장/NNG
형제는	형제/NNG+는/JX
김	김/NNP
전	전/MMD
고문과	고문/NNG+과/JC
베넥스인베스트먼트	베넥스인베스트먼트/NNP
김준홍(47)	김준홍/NNP+(/SS+47/SN+)/SS
대표의	대표/NNG+의/JKG
역할을	역할/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.392.14.2
하지만 김준홍 전 대표가 법정에서 여러 차례 진술을 바꾸면서 재판부가 불신하는 모습을 보이자 SK 측에서 마지막으로 카드로 '김원홍 녹취록'을 꺼낸 것이다.

하지만	하지만/MAJ
김준홍	김준홍/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
법정에서	법정/NNG+에서/JKB
여러	여러/MMN
차례	차례/NNG
진술을	진술/NNG+을/JKO
바꾸면서	바꾸/VV+면서/EC
재판부가	재판부/NNG+가/JKS
불신하는	불신/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보이자	보이/VV+자/EC
SK	SK/SL
측에서	측/NNB+에서/JKB
마지막으로	마지막/NNG+으로/JKB
카드로	카드/NNG+로/JKB
'김원홍	'/SS+김원홍/NNP
녹취록'을	녹취록/NNG+'/SS+을/JKO
꺼낸	꺼내/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


