# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.184
metadata : {}


# id : NWRW1800000037.184.1.1
경찰, 성추문 사진유출 관련 검사 2명 첫 입건

경찰,	경찰/NNG+,/SP
17단계를	17/SN+단계/NNG+를/JKO
거쳐	거치/VV+어/EC
26일	26/SN+일/NNB
오전	오전/NNG
A	A/SL
씨	씨/NNB
고소	고소/NNG
대리인인	대리인/NNG+이/VCP+ㄴ/ETM
정철승	정철승/NNP
변호사에게도	변호사/NNG+에게/JKB+도/JX
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.184.8.1
A 씨는 집 주소까지 공개돼 다른 곳을 전전하며 도망자처럼 살고 있다.

A	A/SL
씨는	씨/NNB+는/JX
집	집/NNG
주소까지	주소/NNG+까지/JX
공개돼	공개/NNG+되/XSV+어/EC
다른	다른/MMD
곳을	곳/NNG+을/JKO
전전하며	전전/NNG+하/XSV+며/EC
도망자처럼	도망자/NNG+처럼/JKB
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.184.8.2
정 변호사는 “국민의 권익을 보호해야 할 검찰 내부에서 사진이 유출돼 사회적으로 인격이 살해당했다”고 비판했다.

정	정/NNP
변호사는	변호사/NNG+는/JX
“국민의	“/SS+국민/NNG+의/JKG
권익을	권익/NNG+을/JKO
보호해야	보호/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
검찰	검찰/NNG
내부에서	내부/NNG+에서/JKB
사진이	사진/NNG+이/JKS
유출돼	유출/NNG+되/XSV+어/EC
사회적으로	사회/NNG+적/XSN+으로/JKB
인격이	인격/NNG+이/JKS
살해당했다”고	살해/NNG+당하/XSV+았/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.184.9.1
경찰은 10일 현직 검사 2명 등 검찰 직원 5명을 개인정보보호법 위반 혐의로 불구속 입건하고 파일을 내부 전송하거나 사진을 조회한 33명과 사진을 전달받은 공익법무관 1명 등에 대해서는 적절한 조치를 하도록 관련 기관에 통보할 예정이다.

경찰은	경찰/NNG+은/JX
10일	10/SN+일/NNB
현직	현직/NNG
검사	검사/NNG
2명	2/SN+명/NNB
등	등/NNB
검찰	검찰/NNG
직원	직원/NNG
5명을	5/SN+명/NNB+을/JKO
개인정보보호법	개인/NNG+정보/NNG+보호법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
입건하고	입건/NNG+하/XSV+고/EC
파일을	파일/NNG+을/JKO
내부	내부/NNG
전송하거나	전송/NNG+하/XSV+거나/EC
사진을	사진/NNG+을/JKO
조회한	조회/NNG+하/XSV+ㄴ/ETM
33명과	33/SN+명/NNB+과/JC
전달받은	전달/NNG+받/XSV+은/ETM
공익법무관	공익/NNG+법무관/NNG
1명	1/SN+명/NNB
등에	등/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
적절한	적절하/VA+ㄴ/ETM
조치를	조치/NNG+를/JKO
하도록	하/VV+도록/EC
관련	관련/NNG
기관에	기관/NNG+에/JKB
통보할	통보/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.184.9.2
경찰이 현직 검사를 기소해 달라고 검찰에 송치한 것은 처음이다.

경찰이	경찰/NNG+이/JKS
현직	현직/NNG
검사를	검사/NNG+를/JKO
기소해	기소/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
검찰에	검찰/NNG+에/JKB
송치한	송치/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


