# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.322
metadata : {}


# id : NWRW1800000032.322.1.1
앙리, 아스널서 훈련…주영, 기회가 안보인다

앙리,	앙리/NNP+,/SP
아스널은 1-1로 비기고 첼시에 이어 5위에 머물렀다.

아스널은	아스널/NNP+은/JX
1-1로	1/SN+-/SO+1/SN+로/JKB
비기고	비기/VV+고/EC
첼시에	첼시/NNP+에/JKB
이어	잇/VV+어/EC
5위에	5/SN+위/NNB+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.322.9.4
박주영은 올 시즌 개막 전 아스널에 입단해 칼링컵 3경기(1골)와 유럽축구연맹(UEFA) 챔피언스리그 1경기 등 4경기 출전에 그쳤다.

박주영은	박주영/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
개막	개막/NNG
전	전/NNG
아스널에	아스널/NNP+에/JKB
입단해	입단/NNG+하/XSV+아/EC
칼링컵	칼링컵/NNG
3경기(1골)와	3/SN+경기/NNG+(/SS+1/SN+골/NNG+)/SS+와/JC
유럽축구연맹(UEFA)	유럽축구연맹/NNP+(/SS+UEFA/SL+)/SS
챔피언스리그	챔피언스리그/NNG
1경기	1/SN+경기/NNG
등	등/NNB
4경기	4/SN+경기/NNG
출전에	출전/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.322.9.5
아스널의 리그 다음 경기는 한국시각으로 내년 1월1일 열려 박주영은 프리미어리그 데뷔를 새해로 미루게 됐다.

아스널의	아스널/NNP+의/JKG
리그	리그/NNG
다음	다음/NNG
경기는	경기/NNG+는/JX
한국시각으로	한국/NNP+시각/NNG+으로/JKB
내년	내년/NNG
1월1일	1/SN+월/NNB+1/SN+일/NNB
열려	열리/VV+어/EC
박주영은	박주영/NNP+은/JX
프리미어리그	프리미어리그/NNG
데뷔를	데뷔/NNG+를/JKO
새해로	새해/NNG+로/JKB
미루게	미루/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


