# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.370
metadata : {}


# id : NWRW1800000033.370.1.1
文측 이목희-이인영 安측 박선숙-김성식 ‘창구’ 거론

文측	文/SH+측/NNB
두터운	두텁/VA+ㄴ/ETM
것이	것/NNB+이/JKS
강점이다.	강점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.370.5.3
문 캠프 핵심 관계자는 “문 후보에 대한 충성도가 높은 인물이 1순위”라고 전했다.

문	문/NNP
캠프	캠프/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“문	“/SS+문/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
충성도가	충성도/NNG+가/JKS
높은	높/VA+은/ETM
인물이	인물/NNG+이/JKS
1순위”라고	1/SN+순위/NNG+”/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.370.5.4
‘반드시 문 후보가 이길 수 있는 방식을 이끌어내는 것’이 협상대표의 제1임무란 의미다.

‘반드시	‘/SS+반드시/MAG
문	문/NNP
후보가	후보/NNG+가/JKS
이길	이기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방식을	방식/NNG+을/JKO
이끌어내는	이끌/VV+어/EC+내/VX+는/ETM
것’이	것/NNB+’/SS+이/JKS
협상대표의	협상/NNG+대표/NNG+의/JKG
제1임무란	제/XPN+1/SN+임무/NNG+란/JX
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.370.6.1
안 후보 측도 협상대표를 언급하기엔 이르다는 태도다.

안	안/NNP
후보	후보/NNG
측도	측/NNB+도/JX
협상대표를	협상/NNG+대표/NNG+를/JKO
언급하기엔	언급/NNG+하/XSV+기/ETN+에/JKB+ㄴ/JX
이르다는	이르/VA+다는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.370.6.2
단일화 협상의 큰 그림과 룰을 정하는 측면에선 박선숙 김성식 공동선대본부장이 우선 거론된다.

단일화	단일/NNG+화/XSN
협상의	협상/NNG+의/JKG
큰	크/VA+ㄴ/ETM
그림과	그림/NNG+과/JC
룰을	룰/NNG+을/JKO
정하는	정하/VV+는/ETM
측면에선	측면/NNG+에서/JKB+ㄴ/JX
박선숙	박선숙/NNP
김성식	김성식/NNP
공동선대본부장이	공동/NNG+선대/NNG+본부장/NNG+이/JKS
우선	우선/MAG
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.370.6.3
박 본부장은 민주당이 정치적 고향이기 때문에 민주당의 속사정을 속속들이 안다.

박	박/NNP
본부장은	본부장/NNG+은/JX
민주당이	민주당/NNP+이/JKS
정치적	정치/NNG+적/XSN
고향이기	고향/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
민주당의	민주당/NNP+의/JKG
속사정을	속사정/NNG+을/JKO
속속들이	속속들이/MAG
안다.	알/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.370.6.4
‘지피지기 백전백승’의 적임자란 얘기다.

‘지피지기	‘/SS+지피지기/NNG
백전백승’의	백전백승/NNG+’/SS+의/JKG
적임자란	적임자/NNG+이/VCP+란/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.370.6.5
김 본부장은 민주당과는 인연이 없기 때문에 안면을 의식하지 않고 과감한 협상을 할 수 있다는 게 강점으로 꼽힌다.

김	김/NNP
본부장은	본부장/NNG+은/JX
민주당과는	민주당/NNP+과/JKB+는/JX
인연이	인연/NNG+이/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
안면을	안면/NNG+을/JKO
의식하지	의식/NNG+하/XSV+지/EC
않고	않/VX+고/EC
과감한	과감하/VA+ㄴ/ETM
협상을	협상/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
강점으로	강점/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.370.7.1
후보 단일화와 함께 공동정책 마련을 위한 협상도 진행될 것으로 보인다.

후보	후보/NNG
단일화와	단일/NNG+화/XSN+와/JKB
함께	함께/MAG
공동정책	공동/NNG+정책/NNG
마련을	마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협상도	협상/NNG+도/JX
진행될	진행/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.370.7.2
정책 분야에선 문 후보 측 이정우 경제민주화위원장과 안 후보 측 장하성 국민정책본부장이 책임자로 나설 것이란 전망이 많다.

정책	정책/NNG
분야에선	분야/NNG+에서/JKB+ㄴ/JX
문	문/NNP
후보	후보/NNG
측	측/NNB
이정우	이정우/NNP
경제민주화위원장과	경제/NNG+민주/NNG+화/XSN+위원장/NNG+과/JC
안	안/NNP
장하성	장하성/NNP
국민정책본부장이	국민/NNG+정책/NNG+본부장/NNG+이/JKS
책임자로	책임자/NNG+로/JKB
나설	나서/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이	전망/NNG+이/JKS
많다.	많/VA+다/EF+./SF


