# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.391
metadata : {}


# id : NWRW1800000037.391.1.1
“사이버 방어는 고유업무” vs “美, CIA 정치관여 엄벌”

“사이버	“/SS+사이버/NNG
명시했다”며	명시/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“CIA	“/SS+CIA/SL
등	등/NNB
종사자는	종사자/NNG+는/JX
해치법에	해치법/NNG+에/JKB
따라	따르/VV+아/EC
정당이나	정당/NNG+이나/JC
단체의	단체/NNG+의/JKG
페이스북	페이스북/NNP
등을	등/NNB+을/JKO
리트윗해서는	리트윗/NNG+하/VV+아서/EC+는/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
해석돼	해석/NNG+되/XSV+어/EC
왔다”고	오/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.391.7.1
안철수 무소속 의원의 측근인 송호창 무소속 의원은 국정원의 전문성을 강화하고 정치 관여 행위 근절을 위해 국정원을 해외·북한 파트와 국내 파트로 분리하자고 제안했다.

안철수	안철수/NNP
무소속	무/XPN+소속/NNG
의원의	의원/NNG+의/JKG
측근인	측근/NNG+이/VCP+ㄴ/ETM
송호창	송호창/NNP
의원은	의원/NNG+은/JX
국정원의	국정원/NNG+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
정치	정치/NNG
관여	관여/NNG
행위	행위/NNG
근절을	근절/NNG+을/JKO
위해	위하/VV+아/EC
국정원을	국정원/NNG+을/JKO
해외·북한	해외/NNG+·/SP+북한/NNP
파트와	파트/NNG+와/JC
국내	국내/NNG
파트로	파트/NNG+로/JKB
분리하자고	분리/NNG+하/XSV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


