# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.372
metadata : {}


# id : NWRW1800000052.372.1.1
휴가간 박원순, 강진 흙집 손학규 찾아가

휴가간	휴가/NNG+가/VV+ㄴ/ETM
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.372.6.1
이번주부터 전남지역에서 휴가를 보내고 있는 박 시장은 17일 오후 손 전 고문이 머물고 있는 강진 만덕산 자락의 흙집을 방문해 차담을 나눈 뒤 강진의 식당에서 식사를 함께 했다.

이번주부터	이번/NNG+주/NNG+부터/JX
전남지역에서	전남지역/NNP+에서/JKB
휴가를	휴가/NNG+를/JKO
보내고	보내/VV+고/EC
있는	있/VX+는/ETM
박	박/NNP
시장은	시장/NNG+은/JX
17일	17/SN+일/NNB
오후	오후/NNG
손	손/NNP
전	전/MMD
고문이	고문/NNG+이/JKS
머물고	머물/VV+고/EC
강진	강진/NNP
만덕산	만덕산/NNP
자락의	자락/NNG+의/JKG
흙집을	흙집/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
차담을	차담/NNG+을/JKO
나눈	나누/VV+ㄴ/ETM
뒤	뒤/NNG
강진의	강진/NNP+의/JKG
식당에서	식당/NNG+에서/JKB
식사를	식사/NNG+를/JKO
함께	함께/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.372.6.2
두 사람의 만남은 지난 2월 손 전 고문의 사위 빈소에서 만난 뒤 반년 만이다.

두	두/MMN
사람의	사람/NNG+의/JKG
만남은	만남/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
손	손/NNP
전	전/MMD
고문의	고문/NNG+의/JKG
사위	사위/NNG
빈소에서	빈소/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
뒤	뒤/NNG
반년	반년/NNG
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.372.6.3
박 시장의 핵심 측근은 “두 분 모두 내년 대선 출마를 준비한다는 점에서 정치적 교집합이 있는 건 사실”이라면서도 “다만 이번 만남에는 정치적 이해관계보다 개인적 친분이 크게 작용한 것으로 안다”고 말했다.

박	박/NNP
시장의	시장/NNG+의/JKG
핵심	핵심/NNG
측근은	측근/NNG+은/JX
“두	“/SS+두/MMN
분	분/NNB
모두	모두/MAG
내년	내년/NNG
대선	대선/NNG
출마를	출마/NNG+를/JKO
준비한다는	준비/NNG+하/XSV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
정치적	정치/NNG+적/XSN
교집합이	교집합/NNG+이/JKS
있는	있/VA+는/ETM
건	거/NNB+ㄴ/JX
사실”이라면서도	사실/NNG+”/SS+이/VCP+라면서/EC+도/JX
“다만	“/SS+다만/MAG
이번	이번/NNG
만남에는	만남/NNG+에/JKB+는/JX
이해관계보다	이해관계/NNG+보다/JKB
개인적	개인/NNG+적/XSN
친분이	친분/NNG+이/JKS
크게	크/VA+게/EC
작용한	작용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.372.6.4
두 사람은 경기고 선후배 사이로, 박 시장이 시민운동을 할 때부터 교류해온 것으로 알려졌다.

두	두/MMN
사람은	사람/NNG+은/JX
경기고	경기고/NNP
선후배	선후배/NNG
사이로,	사이/NNG+로/JKB+,/SP
박	박/NNP
시장이	시장/NNG+이/JKS
시민운동을	시민운동/NNG+을/JKO
할	하/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
교류해온	교류/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.372.6.5
박 시장의 또 다른 측근은 “아무리 개인적 만남이라고 하지만, 더민주 전당대회 등 정치권 동향에 대해선 자연스럽게 의견을 나눴을 것”이라고 했다.

박	박/NNP
시장의	시장/NNG+의/JKG
또	또/MAG
다른	다른/MMD
측근은	측근/NNG+은/JX
“아무리	“/SS+아무리/MAG
개인적	개인/NNG+적/XSN
만남이라고	만남/NNG+이/VCP+라고/EC
하지만,	하/VV+지만/EC+,/SP
더민주	더민주/NNP
전당대회	전당/NNG+대회/NNG
등	등/NNB
정치권	정치/NNG+권/XSN
동향에	동향/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
자연스럽게	자연/NNG+스럽/XSA+게/EC
의견을	의견/NNG+을/JKO
나눴을	나누/VV+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.372.6.6
두 사람의 만남에 문재인 전 대표 쪽도 관심을 나타냈다.

두	두/MMN
사람의	사람/NNG+의/JKG
만남에	만남/NNG+에/JKB
문재인	문재인/NNP
전	전/MMD
대표	대표/NNG
쪽도	쪽/NNB+도/JX
관심을	관심/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.372.6.7
한 측근은 “정계은퇴를 선언한 손 전 고문이나, 현역 광역단체장인 박 시장 모두 ‘중원 출사’를 위한 명분과 계기가 절실하다.

한	한/MMN
측근은	측근/NNG+은/JX
“정계은퇴를	“/SS+정계/NNG+은퇴/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
손	손/NNP
전	전/MMD
고문이나,	고문/NNG+이나/JC+,/SP
현역	현역/NNG
광역단체장인	광역/NNG+단체장/NNG+이/VCP+ㄴ/ETM
박	박/NNP
시장	시장/NNG
모두	모두/MAG
‘중원	‘/SS+중원/NNG
출사’를	출사/NNG+’/SS+를/JKO
위한	위하/VV+ㄴ/ETM
명분과	명분/NNG+과/JC
계기가	계기/NNG+가/JKS
절실하다.	절실하/VA+다/EF+./SF


# id : NWRW1800000052.372.6.8
대선 행보를 본격화하기 앞서 명분과 시기에 대한 의견을 조율하지 않았겠느냐”고 했다.

대선	대선/NNG
행보를	행보/NNG+를/JKO
본격화하기	본격/NNG+화/XSN+하/XSV+기/ETN
앞서	앞서/MAG
명분과	명분/NNG+과/JC
시기에	시기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
조율하지	조율/NNG+하/XSV+지/EC
않았겠느냐”고	않/VX+았/EP+겠/EP+느냐/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


