# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.301
metadata : {}


# id : NWRW1800000049.301.1.1
[단독]정부 “나진-하산프로젝트 지원 중단”

[단독]정부	[/SS+단독/NNG+]/SS+정부/NNG
간접	간접/NNG
투자	투자/NNG
방식이지만	방식/NNG+이/VCP+지만/EC
현재로서는	현재/NNG+로서/JKB+는/JX
정부가	정부/NNG+가/JKS
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
지원에서	지원/NNG+에서/JKB
손을	손/NNG+을/JKO
뗄	떼/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“수출입은행이	“/SS+수출입은행/NNP+이/JKS
남북협력기금이	남북협력기금/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
자체	자체/NNG
은행계정을	은행/NNG+계정/NNG+을/JKO
통해	통하/VV+아/EC
지원하는	지원/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
어려운	어렵/VA+ㄴ/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.301.7.1
수출입은행이 자체 보유 자금을 무리하게 투자했다가는 지난 정부에서 해외자원개발에 앞장섰다가 ‘부실 투자’ 비난을 받은 광물자원공사의 전철을 밟을 수 있다는 지적이 나오고 있어서다.

수출입은행이	수출입은행/NNP+이/JKS
자체	자체/NNG
보유	보유/NNG
자금을	자금/NNG+을/JKO
무리하게	무리/NNG+하/XSA+게/EC
투자했다가는	투자/NNG+하/XSV+았/EP+다가/EC+는/JX
지난	지나/VV+ㄴ/ETM
정부에서	정부/NNG+에서/JKB
해외자원개발에	해외/NNG+자원/NNG+개발/NNG+에/JKB
앞장섰다가	앞장서/VV+었/EP+다가/EC
‘부실	‘/SS+부실/NNG
투자’	투자/NNG+’/SS
비난을	비난/NNG+을/JKO
받은	받/VV+은/ETM
광물자원공사의	광물자원공사/NNP+의/JKG
전철을	전철/NNG+을/JKO
밟을	밟/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있어서다.	있/VX+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000049.301.8.1
이에 따라 올해 3월로 예상됐던 이 프로젝트의 본계약 성사 여부도 불투명해졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
올해	올해/NNG
3월로	3/SN+월/NNB+로/JKB
예상됐던	예상/NNG+되/XSV+었/EP+던/ETM
이	이/MMD
프로젝트의	프로젝트/NNG+의/JKG
본계약	본계약/NNG
성사	성사/NNG
여부도	여부/NNG+도/JX
불투명해졌다.	불/XPN+투명/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.301.8.2
포스코 등 3사는 러시아산 유연탄의 국내 수입이 현재로서는 사업성이 낮아 정부 지원 없이는 본계약에 나설 수 없다는 입장만을 고수하고 있다.

포스코	포스코/NNP
등	등/NNB
3사는	3사/NNG+는/JX
러시아산	러시아/NNP+산/XSN
유연탄의	유연탄/NNG+의/JKG
국내	국내/NNG
수입이	수입/NNG+이/JKS
현재로서는	현재/NNG+로서/JKB+는/JX
사업성이	사업/NNG+성/XSN+이/JKS
낮아	낮/VA+아/EC
정부	정부/NNG
지원	지원/NNG
없이는	없이/MAG+는/JX
본계약에	본계약/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
입장만을	입장/NNG+만/JX+을/JKO
고수하고	고수/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.301.8.3
따라서 정부의 금융 지원이 전제되지 않는다면 프로젝트 자체가 무산될 가능성이 크다는 게 전문가들의 의견이다.

따라서	따라서/MAJ
정부의	정부/NNG+의/JKG
금융	금융/NNG
지원이	지원/NNG+이/JKS
전제되지	전제/NNG+되/XSV+지/EC
않는다면	않/VX+는다면/EC
프로젝트	프로젝트/NNG
자체가	자체/NNG+가/JKS
무산될	무산/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
게	거/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
의견이다.	의견/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.301.9.1
이와 별도로 유엔 안전보장이사회가 강도 높은 추가 대북 제재 결의안을 마련하고 있어 나진∼하산 프로젝트가 국제사회의 제재에 가로막힐 가능성도 있다.

이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
유엔	유엔/NNP
안전보장이사회가	안전/NNG+보장/NNG+이사회/NNG+가/JKS
강도	강도/NNG
높은	높/VA+은/ETM
추가	추가/NNG
대북	대북/NNG
제재	제재/NNG
결의안을	결의안/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
있어	있/VX+어/EC
나진∼하산	나진/NNP+∼/SO+하산/NNP
프로젝트가	프로젝트/NNG+가/JKS
국제사회의	국제/NNG+사회/NNG+의/JKG
제재에	제재/NNG+에/JKB
가로막힐	가로막히/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.301.10.1
또 다른 정부 관계자는 “앞으로 나올 유엔 결의안의 내용에 따라 나진∼하산 프로젝트에 대북 제재를 적용할지를 정부가 검토할 것”이라고 말했다.

또	또/MAG
다른	다른/MMD
정부	정부/NNG
관계자는	관계자/NNG+는/JX
“앞으로	“/SS+앞/NNG+으로/JKB
나올	나오/VV+ㄹ/ETM
유엔	유엔/NNP
결의안의	결의안/NNG+의/JKG
내용에	내용/NNG+에/JKB
따라	따르/VV+아/EC
나진∼하산	나진/NNP+∼/SO+하산/NNP
프로젝트에	프로젝트/NNG+에/JKB
대북	대북/NNG
제재를	제재/NNG+를/JKO
적용할지를	적용/NNG+하/XSV+ㄹ지/EF+를/JKO
정부가	정부/NNG+가/JKS
검토할	검토/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.301.11.1
이와 관련해 박근혜 대통령은 13일 ‘대국민 담화 및 신년 기자회견’에서 향후 독자적인 대북 제재에 대해 “일일이 말할 수는 없지만 할 수 있는 게 있다”며 강경한 태도를 보였다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
13일	13/SN+일/NNB
‘대국민	‘/SS+대국민/NNG
담화	담화/NNG
및	및/MAG
신년	신년/NNG
기자회견’에서	기자/NNG+회견/NNG+’/SS+에서/JKB
향후	향후/NNG
독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
대북	대북/NNG
제재에	제재/NNG+에/JKB
대해	대하/VV+아/EC
“일일이	“/SS+일일이/MAG
말할	말/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없지만	없/VA+지만/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
강경한	강경/NNG+하/XSA+ㄴ/ETM
태도를	태도/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


