# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.350
metadata : {}


# id : NWRW1800000028.350.1.1
“아프간전 물자 보급로 막힐라” /미, 파키스탄군 오폭 공식사과

“아프간전	“/SS+아프간전/NNG
# id : NWRW1800000028.350.4.2
데이비드 퍼트레이어스 아프간 주둔 미군 사령관도 나서 사과와 재발방지를 약속했다.

데이비드	데이비드/NNP
퍼트레이어스	퍼트레이어스/NNP
아프간	아프간/NNP
주둔	주둔/NNG
미군	미군/NNG
사령관도	사령관/NNG+도/JX
나서	나/VV+아서/EC
사과와	사과/NNG+와/JC
재발방지를	재발/NNG+방지/NNG+를/JKO
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.4.3
나토와 파키스탄의 공동조사 결과, 지난달 30일 나토군 소속 미군 헬기 2대가 파키스탄 국경 초소를 폭격해 파키스탄 군 2명이 숨진 사건은, 파키스탄 군인들이 국경을 넘어온 헬기를 보고 경고사격을 하자 미군 헬기가 이들을 탈레반으로 오인해 공격했던 탓으로 드러났다.

나토와	나토/NNP+와/JC
파키스탄의	파키스탄/NNP+의/JKG
공동조사	공동/NNG+조사/NNG
결과,	결과/NNG+,/SP
지난달	지난달/NNG
30일	30/SN+일/NNB
나토군	나토군/NNG
소속	소속/NNG
미군	미군/NNG
헬기	헬기/NNG
2대가	2/SN+대/NNB+가/JKS
파키스탄	파키스탄/NNP
국경	국경/NNG
초소를	초소/NNG+를/JKO
폭격해	폭격/NNG+하/XSV+아/EC
군	군/NNG
2명이	2/SN+명/NNB+이/JKS
숨진	숨지/VV+ㄴ/ETM
사건은,	사건/NNG+은/JX+,/SP
군인들이	군인/NNG+들/XSN+이/JKS
국경을	국경/NNG+을/JKO
넘어온	넘어오/VV+ㄴ/ETM
헬기를	헬기/NNG+를/JKO
보고	보/VV+고/EC
경고사격을	경고/NNG+사격/NNG+을/JKO
하자	하/VV+자/EC
헬기가	헬기/NNG+가/JKS
이들을	이/NP+들/XSN+을/JKO
탈레반으로	탈레반/NNP+으로/JKB
오인해	오인/NNG+하/XSV+아/EC
공격했던	공격/NNG+하/XSV+았/EP+던/ETM
탓으로	탓/NNG+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.5.1
파키스탄 정부는 사건 직후 파키스탄 수도 이슬라마바드와 아프간 수도 카불을 잇는 나토군 보급로의 국경 검문소 토르캄을 보안상 이유를 들어 폐쇄했다.

파키스탄	파키스탄/NNP
정부는	정부/NNG+는/JX
사건	사건/NNG
직후	직후/NNG
수도	수도/NNG
이슬라마바드와	이슬라마바드/NNP+와/JC
아프간	아프간/NNP
카불을	카불/NNP+을/JKO
잇는	잇/VV+는/ETM
나토군	나토군/NNG
보급로의	보급로/NNG+의/JKG
국경	국경/NNG
검문소	검문소/NNG
토르캄을	토르캄/NNP+을/JKO
보안상	보안/NNG+상/XSN
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
폐쇄했다.	폐쇄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.5.2
토르캄은 아프간 주둔 미군과 나토군 보급의 4분의 3이 통과하는 주요 길목이다.

토르캄은	토르캄/NNP+은/JX
아프간	아프간/NNP
주둔	주둔/NNG
미군과	미군/NNG+과/JC
나토군	나토군/NNG
보급의	보급/NNG+의/JKG
4분의	4/SN+분/XSN+의/JKG
3이	3/SN+이/JKS
통과하는	통과/NNG+하/XSV+는/ETM
주요	주요/NNG
길목이다.	길목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.350.5.3
이 때문에 나토군 보급 차량들은 순식간에 탈레반의 먹잇감으로 전락했다.

이	이/MMD
때문에	때문/NNB+에/JKB
나토군	나토군/NNG
보급	보급/NNG
차량들은	차량/NNG+들/XSN+은/JX
순식간에	순식/NNG+간/XSN+에/JKB
탈레반의	탈레반/NNP+의/JKG
먹잇감으로	먹잇감/NNG+으로/JKB
전락했다.	전락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.5.4
나토군 보급 차량들이 토르캄으로 가지 못하고 이슬라마바드~카불 보급로 중간에서 멈춘데다가, 일부 차량은 남부로 방향을 틀어서 차량들이 서로 뒤엉켜 잘 움직이지 못하게 됐기 때문이다.

나토군	나토군/NNG
보급	보급/NNG
차량들이	차량/NNG+들/XSN+이/JKS
토르캄으로	토르캄/NNP+으로/JKB
가지	가/VV+지/EC
못하고	못하/VX+고/EC
이슬라마바드~카불	이슬라마바드/NNP+~/SO+카불/NNP
보급로	보급로/NNG
중간에서	중간/NNG+에서/JKB
멈춘데다가,	멈추/VV+ㄴ데다가/EC+,/SP
일부	일부/NNG
차량은	차량/NNG+은/JX
남부로	남부/NNG+로/JKB
방향을	방향/NNG+을/JKO
틀어서	틀/VV+어서/EC
서로	서로/MAG
뒤엉켜	뒤엉키/VV+어/EC
잘	잘/MAG
움직이지	움직이/VV+지/EC
못하게	못하/VX+게/EC
됐기	되/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.350.6.1
미국이 파키스탄에 공식 사과를 한 6일 아침에도 아프간 남부 칸다하르로 들어가는 보급로 길목인 파키스탄 남부 퀘타에서 보급 차량 25개가 탈레반으로 추정되는 괴한들의 공격을 받아 불탔다고 <에이피>(AP) 통신은 전했다.

미국이	미국/NNP+이/JKS
파키스탄에	파키스탄/NNP+에/JKB
공식	공식/NNG
사과를	사과/NNG+를/JKO
한	하/VV+ㄴ/ETM
6일	6/SN+일/NNB
아침에도	아침/NNG+에/JKB+도/JX
아프간	아프간/NNP
남부	남부/NNG
칸다하르로	칸다하르/NNP+로/JKB
들어가는	들어가/VV+는/ETM
보급로	보급로/NNG
길목인	길목/NNG+이/VCP+ㄴ/ETM
파키스탄	파키스탄/NNP
퀘타에서	퀘타/NNP+에서/JKB
보급	보급/NNG
차량	차량/NNG
25개가	25/SN+개/NNB+가/JKS
탈레반으로	탈레반/NNP+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
괴한들의	괴한/NNG+들/XSN+의/JKG
공격을	공격/NNG+을/JKO
받아	받/VV+아/EC
불탔다고	불타/VV+았/EP+다고/EC
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신은	통신/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.6.2
이날 밤에는 이슬라마바드~카불 보급로 길목인 나우셰라에서 역시 탈레반으로 추정되는 괴한들의 공격으로 유조차 30대가 불탔다.

이날	이날/NNG
밤에는	밤/NNG+에/JKB+는/JX
이슬라마바드~카불	이슬라마바드/NNP+~/SO+카불/NNP
보급로	보급로/NNG
길목인	길목/NNG+이/VCP+ㄴ/ETM
나우셰라에서	나우셰라/NNP+에서/JKB
역시	역시/MAG
탈레반으로	탈레반/NNP+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
괴한들의	괴한/NNG+들/XSN+의/JKG
공격으로	공격/NNG+으로/JKB
유조차	유조차/NNG
30대가	30/SN+대/NNB+가/JKS
불탔다.	불타/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.6.3
최근 엿새 동안 나토군 보급차량들이 공격을 받은 건 최소 7차례에 달했다.

최근	최근/MAG
엿새	엿새/NNG
동안	동안/NNG
나토군	나토군/NNG
보급차량들이	보급/NNG+차량/NNG+들/XSN+이/JKS
공격을	공격/NNG+을/JKO
받은	받/VV+은/ETM
건	거/NNB+ㄴ/JX
최소	최소/NNG
7차례에	7/SN+차례/NNG+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.6.4
파키스탄의 폐쇄한 보급로 이외의 대안을 찾기엔 비용과 기술적 측면에서 문제가 적잖다.

파키스탄의	파키스탄/NNP+의/JKG
폐쇄한	폐쇄/NNG+하/XSV+ㄴ/ETM
보급로	보급로/NNG
이외의	이외/NNG+의/JKG
대안을	대안/NNG+을/JKO
찾기엔	찾/VV+기/ETN+에/JKB+ㄴ/JX
비용과	비용/NNG+과/JC
기술적	기술/NNG+적/XSN
측면에서	측면/NNG+에서/JKB
문제가	문제/NNG+가/JKS
적잖다.	적잖/VA+다/EF+./SF


# id : NWRW1800000028.350.7.1
<뉴욕 타임스>는 미국의 이날 공식사과로 파키스탄 정부가 조만간 다시 보급로를 열 것으로 보인다고 전했다.

<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
미국의	미국/NNP+의/JKG
이날	이날/NNG
공식사과로	공식/NNG+사과/NNG+로/JKB
파키스탄	파키스탄/NNP
정부가	정부/NNG+가/JKS
조만간	조만간/MAG
다시	다시/MAG
보급로를	보급로/NNG+를/JKO
열	열/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.7.2
그러나 양국 사이의 긴장은 여전할 것으로 보인다고 <에이피> 통신 등은 지적했다.

그러나	그러나/MAJ
양국	양국/NNG
사이의	사이/NNG+의/JKG
긴장은	긴장/NNG+은/JX
여전할	여전하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
<에이피>	</SS+에이피/NNP+>/SS
통신	통신/NNG
등은	등/NNB+은/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.7.3
미 백악관은 정례 보고서에서 6일 “파키스탄이 북서 변경주에서 아프간 탈레반과 알카에다와 직접 충돌할 수 있는 교전을 계속 피하고 있다”고 불만을 노골적으로 드러냈다.

미	미/NNP
백악관은	백악관/NNP+은/JX
정례	정례/NNG
보고서에서	보고서/NNG+에서/JKB
6일	6/SN+일/NNB
“파키스탄이	“/SS+파키스탄/NNP+이/JKS
북서	북서/NNG
변경주에서	변경/NNG+주/NNG+에서/JKB
아프간	아프간/NNP
탈레반과	탈레반/NNP+과/JC
알카에다와	알카에다/NNP+와/JKB
직접	직접/MAG
충돌할	충돌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
교전을	교전/NNG+을/JKO
계속	계속/MAG
피하고	피하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
불만을	불만/NNG+을/JKO
노골적으로	노골/NNG+적/XSN+으로/JKB
드러냈다.	드러내/VV+었/EP+다/EF+./SF


