# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.282
metadata : {}


# id : NWRW1800000021.282.1.1
“동서양 철학 버무려 세계 이끌 사상 만들어야”

“동서양	“/SS+동서양/NNG
장점인데,	장점/NNG+이/VCP+ㄴ데/EC+,/SP
이런	이런/MMD
전통을	전통/NNG+을/JKO
잘	잘/MAG
살린다면	살리/VV+ㄴ다면/EC
우리가	우리/NP+가/JKS
세계를	세계/NNG+를/JKO
이끌	이끌/VV+ㄹ/ETM
사상을	사상/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
수도	수/NNB+도/JX
있지	있/VA+지/EC
않겠느냐”고	않/VX+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.282.4.2
그는 또 “국내에서 불교를 종교가 아닌 철학으로 연구했으면 한다”며 “불교 종단에서 세운 대학에 적을 두고 있는 학자들은 당분간 수상에서 배제하겠다”고 밝혔다.

그는	그/NP+는/JX
또	또/MAG
“국내에서	“/SS+국내/NNG+에서/JKB
불교를	불교/NNG+를/JKO
종교가	종교/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
철학으로	철학/NNG+으로/JKB
연구했으면	연구/NNG+하/XSV+았/EP+으면/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“불교	“/SS+불교/NNG
종단에서	종단/NNG+에서/JKB
세운	세우/VV+ㄴ/ETM
대학에	대학/NNG+에/JKB
적을	적/NNG+을/JKO
두고	두/VV+고/EC
있는	있/VX+는/ETM
학자들은	학자/NNG+들/XSN+은/JX
당분간	당분간/MAG
수상에서	수상/NNG+에서/JKB
배제하겠다”고	배제/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.282.5.1
원효학술상은 소운 스님의 뜻에 공감해 이한구 성균관대 철학과 교수, 박찬국 서울대 철학과 교수 등 7명의 학자가 운영위원으로 참여했으며 대한불교진흥원이 후원한다.

원효학술상은	원효/NNP+학술상/NNG+은/JX
소운	소운/NNP
스님의	스님/NNG+의/JKG
뜻에	뜻/NNG+에/JKB
공감해	공감/NNG+하/XSV+아/EC
이한구	이한구/NNP
성균관대	성균관대/NNP
철학과	철학과/NNG
교수,	교수/NNG+,/SP
박찬국	박찬국/NNP
서울대	서울대/NNP
교수	교수/NNG
등	등/NNB
7명의	7/SN+명/NNB+의/JKG
학자가	학자/NNG+가/JKS
운영위원으로	운영/NNG+위원/NNG+으로/JKB
참여했으며	참여/NNG+하/XSV+았/EP+으며/EC
대한불교진흥원이	대한불교진흥원/NNP+이/JKS
후원한다.	후원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.282.5.2
선정 대상은 불교사상의 현대적 연구와 서양 철학의 관점에서 불교를 연구한 저서, 논문 등으로 내년 2월 공모를 마감해 5월에 수상자를 발표한다.

선정	선정/NNG
대상은	대상/NNG+은/JX
불교사상의	불교/NNG+사상/NNG+의/JKG
현대적	현대/NNG+적/XSN
연구와	연구/NNG+와/JC
서양	서양/NNG
철학의	철학/NNG+의/JKG
관점에서	관점/NNG+에서/JKB
불교를	불교/NNG+를/JKO
연구한	연구/NNG+하/XSV+ㄴ/ETM
저서,	저서/NNG+,/SP
논문	논문/NNG
등으로	등/NNB+으로/JKB
내년	내년/NNG
2월	2/SN+월/NNB
공모를	공모/NNG+를/JKO
마감해	마감/NNG+하/XSV+아/EC
5월에	5/SN+월/NNB+에/JKB
수상자를	수상자/NNG+를/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.282.5.3
최대 6명을 선정해 저술상 1000만 원, 논문상은 700만 원씩 상금을 준다.

최대	최대/NNG
6명을	6/SN+명/NNB+을/JKO
선정해	선정/NNG+하/XSV+아/EC
저술상	저술/NNG+상/NNG
1000만	1000/SN+만/NR
원,	원/NNB+,/SP
논문상은	논문/NNG+상/NNG+은/JX
700만	700/SN+만/NR
원씩	원/NNB+씩/XSN
상금을	상금/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


