# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.214
metadata : {}


# id : NWRW1800000029.214.1.1
사립대 본교-분교 학과 통폐합땐 본교로 인정

사립대	사립대/NNG
교과부 관계자는 “본교와 분교를 통폐합하면 운영비가 절감되고 캠퍼스 특성화를 통해 교육연구역량을 강화하는 효과가 있을 것”이라고 말했다.

교과부	교과부/NNG
관계자는	관계자/NNG+는/JX
“본교와	“/SS+본교/NNG+와/JC
분교를	분교/NNG+를/JKO
통폐합하면	통폐합/NNG+하/XSV+면/EC
운영비가	운영비/NNG+가/JKS
절감되고	절감/NNG+되/XSV+고/EC
캠퍼스	캠퍼스/NNG
특성화를	특성/NNG+화/XSN+를/JKO
통해	통하/VV+아/EC
교육연구역량을	교육/NNG+연구/NNG+역량/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
효과가	효과/NNG+가/JKS
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.214.10.1
또 서울 소재 사립대의 지방 분교 졸업자가 본교 출신에 비해 취업 시 차별을 받는 관행도 사라질 것으로 기대된다.

또	또/MAG
서울	서울/NNP
소재	소재/NNG
사립대의	사립대/NNG+의/JKG
지방	지방/NNG
분교	분교/NNG
졸업자가	졸업자/NNG+가/JKS
본교	본교/NNG
출신에	출신/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
취업	취업/NNG
시	시/NNB
차별을	차별/NNG+을/JKO
받는	받/VV+는/ETM
관행도	관행/NNG+도/JX
사라질	사라지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.214.10.2
교육계는 서울에서 가까운 지역에 분교를 둔 대학의 위상이 높아지는 기회가 될 것으로 전망한다.

교육계는	교육/NNG+계/XSN+는/JX
서울에서	서울/NNP+에서/JKB
가까운	가깝/VA+ㄴ/ETM
지역에	지역/NNG+에/JKB
분교를	분교/NNG+를/JKO
둔	두/VV+ㄴ/ETM
대학의	대학/NNG+의/JKG
위상이	위상/NNG+이/JKS
높아지는	높아지/VV+는/ETM
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망한다.	전망/NNG+하/XSV+ㄴ다/EF+./SF


