# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.8
metadata : {}


# id : NWRW1800000044.8.1.1
LNG 운송사업 매각 우선협상자 ‘IMM인베스트먼트’ 선정현대상선 ‘유동성 위기’ 숨통 트이나

LNG	LNG/SL
# id : NWRW1800000044.8.5.2
엘엔지 운송사업에선 10척의 엘엔지선이 한국가스공사와 최장 2028년까지 이어지는 장기운송계약을 맺고 있다.

엘엔지	엘엔지/NNG
운송사업에선	운송/NNG+사업/NNG+에서/JKB+ㄴ/JX
10척의	10/SN+척/NNB+의/JKG
엘엔지선이	엘엔지선/NNG+이/JKS
한국가스공사와	한국가스공사/NNP+와/JC
최장	최장/NNG
2028년까지	2028/SN+년/NNB+까지/JX
이어지는	이어지/VV+는/ETM
장기운송계약을	장기/NNG+운송/NNG+계약/NNG+을/JKO
맺고	맺/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.8.5.3
현대상선은 국내 엘엔지 수요의 20% 정도인 연간 730만t을 수송해왔다.

현대상선은	현대상선/NNP+은/JX
국내	국내/NNG
엘엔지	엘엔지/NNG
수요의	수요/NNG+의/JKG
20%	20/SN+%/SW
정도인	정도/NNG+이/VCP+ㄴ/ETM
연간	연간/NNG
730만t을	730/SN+만/NR+t/SW+을/JKO
수송해왔다.	수송/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.8.6.1
현대상선은 상반기 안에 매각 절차를 완료하고, 매각 대금으로 부채를 상환하는 등 자금난 해소에 나설 것이라고 밝혔다.

현대상선은	현대상선/NNP+은/JX
상반기	상반기/NNG
안에	안/NNG+에/JKB
매각	매각/NNG
절차를	절차/NNG+를/JKO
완료하고,	완료/NNG+하/XSV+고/EC+,/SP
대금으로	대금/NNG+으로/JKB
부채를	부채/NNG+를/JKO
상환하는	상환/NNG+하/XSV+는/ETM
등	등/NNB
자금난	자금난/NNG
해소에	해소/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.8.6.2
현대상선은 이 사업이 장부상 저평가돼 있어 사업 매각으로 대규모 처분이익이 실현되고 재무구조가 개선될 것이라고 밝혔다.

현대상선은	현대상선/NNP+은/JX
이	이/MMD
사업이	사업/NNG+이/JKS
장부상	장부/NNG+상/XSN
저평가돼	저/XPN+평가/NNG+되/XSV+어/EC
있어	있/VX+어/EC
사업	사업/NNG
매각으로	매각/NNG+으로/JKB
대규모	대/XPN+규모/NNG
처분이익이	처분/NNG+이익/NNG+이/JKS
실현되고	실현/NNG+되/XSV+고/EC
재무구조가	재무/NNG+구조/NNG+가/JKS
개선될	개선/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.8.6.3
하지만 증권업계에서는 현대상선의 유동성 위기 해소에 도움을 줄지는 신중하게 판단해야 한다는 지적이 나온다.

하지만	하지만/MAJ
증권업계에서는	증권업/NNG+계/XSN+에서/JKB+는/JX
현대상선의	현대상선/NNP+의/JKG
유동성	유동/NNG+성/XSN
위기	위기/NNG
해소에	해소/NNG+에/JKB
도움을	도움/NNG+을/JKO
줄지는	주/VV+ㄹ지/EF+는/JX
신중하게	신중/NNG+하/XSA+게/EC
판단해야	판단/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.8.6.4
이름을 밝히지 말 것을 요구한 한 애널리스트는 “엘엔지 운송사업 매각이 자구책 가운데 가장 비중이 크지만, 우선협상대상자가 정해졌다고 해서 당장 유동성에 영향을 주는 것은 아니다”라고 말했다.

이름을	이름/NNG+을/JKO
밝히지	밝히/VV+지/EC
말	말/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
한	한/MMN
애널리스트는	애널리스트/NNG+는/JX
“엘엔지	“/SS+엘엔지/NNG
운송사업	운송/NNG+사업/NNG
매각이	매각/NNG+이/JKS
자구책	자구책/NNG
가운데	가운데/NNG
가장	가장/MAG
비중이	비중/NNG+이/JKS
크지만,	크/VA+지만/EC+,/SP
우선협상대상자가	우선/NNG+협상/NNG+대상자/NNG+가/JKS
정해졌다고	정하/VV+아/EC+지/VX+었/EP+다고/EC
해서	하/VV+아서/EC
당장	당장/NNG
유동성에	유동/NNG+성/XSN+에/JKB
영향을	영향/NNG+을/JKO
주는	주/VV+는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.8.7.1
현대상선은 앞서 지난해 12월 컨테이너 매각으로 563억원을 확보하고 케이비(KB)금융지주 주식을 465억원에 팔았다.

현대상선은	현대상선/NNP+은/JX
앞서	앞서/MAG
지난해	지난해/NNG
12월	12/SN+월/NNB
컨테이너	컨테이너/NNG
매각으로	매각/NNG+으로/JKB
563억원을	563/SN+억/NR+원/NNB+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
케이비(KB)금융지주	케이비/NNP+(/SS+KB/SL+)/SS+금융/NNG+지주/NNG
주식을	주식/NNG+을/JKO
465억원에	465/SN+억/NR+원/NNB+에/JKB
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.8.7.2
현대상선은 상반기 안에 부산 용당 컨테이너야드 부지를 팔아 700억원을 확보할 계획이다.

현대상선은	현대상선/NNP+은/JX
상반기	상반기/NNG
안에	안/NNG+에/JKB
부산	부산/NNP
용당	용당/NNP
컨테이너야드	컨테이너야드/NNG
부지를	부지/NNG+를/JKO
팔아	팔/VV+아/EC
700억원을	700/SN+억/NR+원/NNB+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.8.7.3
자구책에서 엘엔지 사업 다음으로 중요한 것은 현대증권·현대자산운용·현대저축은행 등 금융3사 매각이다.

자구책에서	자구책/NNG+에서/JKB
엘엔지	엘엔지/NNG
사업	사업/NNG
다음으로	다음/NNG+으로/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
현대증권·현대자산운용·현대저축은행	현대증권/NNP+·/SP+현대자산운용/NNP+·/SP+현대저축은행/NNP
등	등/NNB
금융3사	금융/NNG+3사/NNG
매각이다.	매각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.8.7.4
현대 쪽은 금융 3사 매각을 통해 7000억∼1조원의 자금을 조달할 수 있을 것으로 예상한다.

현대	현대/NNP
쪽은	쪽/NNB+은/JX
금융	금융/NNG
3사	3사/NNG
매각을	매각/NNG+을/JKO
통해	통하/VV+아/EC
7000억∼1조원의	7000/SN+억/NR+∼/SO+1/SN+조/NR+원/NNB+의/JKG
자금을	자금/NNG+을/JKO
조달할	조달/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상한다.	예상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.8.8.1
2000억원 규모의 현대엘리베이터 유상증자는 2대 주주인 스위스 승강기업체 쉰들러 홀딩의 유상증자 불참 선언으로 불투명한 상황이다.

2000억원	2000/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
현대엘리베이터	현대엘리베이터/NNP
유상증자는	유상/NNG+증자/NNG+는/JX
2대	2/SN+대/NNG
주주인	주주/NNG+이/VCP+ㄴ/ETM
스위스	스위스/NNP
승강기업체	승강기/NNG+업체/NNG
쉰들러	쉰들러/NNP
홀딩의	홀딩/NNP+의/JKG
유상증자	유상/NNG+증자/NNG
불참	불참/NNG
선언으로	선언/NNG+으로/JKB
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.8.8.2
쉰들러는 현대엘리베이터 경영진을 상대로 주주대표소송을 제기하는 등 현대 쪽의 발목을 잡고 있다.

쉰들러는	쉰들러/NNP+는/JX
현대엘리베이터	현대엘리베이터/NNP
경영진을	경영진/NNG+을/JKO
상대로	상대/NNG+로/JKB
주주대표소송을	주주/NNG+대표/NNG+소송/NNG+을/JKO
제기하는	제기/NNG+하/XSV+는/ETM
등	등/NNB
현대	현대/NNP
쪽의	쪽/NNB+의/JKG
발목을	발목/NNG+을/JKO
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.8.8.3
현대그룹은 올해 만기에 이르는 회사채 4200억원, 기업어음(CP) 4000억원을 갚아야 한다.

현대그룹은	현대그룹/NNP+은/JX
올해	올해/NNG
만기에	만기/NNG+에/JKB
이르는	이르/VV+는/ETM
회사채	회사채/NNG
4200억원,	4200/SN+억/NR+원/NNB+,/SP
기업어음(CP)	기업/NNG+어음/NNG+(/SS+CP/SL+)/SS
4000억원을	4000/SN+억/NR+원/NNB+을/JKO
갚아야	갚/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


