# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.331
metadata : {}


# id : NWRW1800000037.331.1.1
[내각-청와대 인선 마무리]‘공약 빅5’ 김종인 김광두 안종범 강석훈 최외출은 왜?

[내각-청와대	[/SS+내각/NNG+-/SO+청와대/NNP
정책	정책/NNG
메시지를	메시지/NNG+를/JKO
총괄했던	총괄/NNG+하/XSV+았/EP+던/ETM
실무	실무/NNG
실세였다.	실세/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.331.4.3
대선 당시 기획조정특보를 지낸 최 교수는 박 당선인이 1998년 국회에 입성할 때부터 꾸준히 정책 조언을 해왔다.

대선	대선/NNG
당시	당시/NNG
기획조정특보를	기획/NNG+조정/NNG+특보/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
최	최/NNP
교수는	교수/NNG+는/JX
박	박/NNP
당선인이	당선인/NNG+이/JKS
1998년	1998/SN+년/NNB
국회에	국회/NNG+에/JKB
입성할	입성/NNG+하/XSV+ㄹ/ETM
때부터	때/NNG+부터/JX
꾸준히	꾸준히/MAG
정책	정책/NNG
조언을	조언/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.331.5.1
‘빅5’가 모두 첫 인선에서 제외되자 정치권 안팎에선 이례적이라는 평가가 나왔다.

‘빅5’가	‘/SS+빅/NNG+5/SN+’/SS+가/JKS
모두	모두/MAG
첫	첫/MMN
인선에서	인선/NNG+에서/JKB
제외되자	제외/NNG+되/XSV+자/EC
정치권	정치/NNG+권/XSN
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
이례적이라는	이례/NNG+적/XSN+이/VCP+라는/ETM
평가가	평가/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.331.5.2
당선인의 국정철학을 누구보다 잘 이해하는 ‘대선 공신은 대개 집권 이후 청와대, 내각의 요직을 맡았기 때문이다.

당선인의	당선인/NNG+의/JKG
국정철학을	국정/NNG+철학/NNG+을/JKO
누구보다	누구/NP+보다/JKB
잘	잘/MAG
이해하는	이해/NNG+하/XSV+는/ETM
‘대선	‘/SS+대선/NNG
공신은	공신/NNG+은/JX
대개	대개/MAG
집권	집권/NNG
이후	이후/NNG
청와대,	청와대/NNP+,/SP
내각의	내각/NNG+의/JKG
요직을	요직/NNG+을/JKO
맡았기	맡/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.331.5.3
특히 박 당선인은 공약 실천을 위한 일관성과 연속성을 강조해왔다.

특히	특히/MAG
박	박/NNP
당선인은	당선인/NNG+은/JX
공약	공약/NNG
실천을	실천/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
일관성과	일관/NNG+성/XSN+과/JC
연속성을	연속/NNG+성/XSN+을/JKO
강조해왔다.	강조/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.331.5.4
하지만 정책을 진두지휘한 인사 가운데 1기 입성은 진영 보건복지부 장관 후보자가 유일하다.

하지만	하지만/MAJ
정책을	정책/NNG+을/JKO
진두지휘한	진두지휘/NNG+하/XSV+ㄴ/ETM
인사	인사/NNG
가운데	가운데/NNG
1기	1/SN+기/NNG
입성은	입성/NNG+은/JX
진영	진영/NNP
보건복지부	보건/NNG+복지부/NNG
장관	장관/NNG
후보자가	후보자/NNG+가/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.331.6.1
이를 놓고 박 당선인 특유의 자신감이 인선에 반영됐다는 분석이 나온다.

이를	이/NP+를/JKO
놓고	놓/VV+고/EC
박	박/NNP
당선인	당선인/NNG
특유의	특유/NNG+의/JKG
자신감이	자신감/NNG+이/JKS
인선에	인선/NNG+에/JKB
반영됐다는	반영/NNG+되/XSV+었/EP+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.331.6.2
대선 과정에선 다양한 분야의 정책에 대한 조력을 받았지만 인수위 활동을 거치며 국정철학과 정부 부처별 주요 과제에 대한 방향 정리가 됐다는 것이다.

대선	대선/NNG
과정에선	과정/NNG+에서/JKB+ㄴ/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야의	분야/NNG+의/JKG
정책에	정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조력을	조력/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
인수위	인수위/NNG
활동을	활동/NNG+을/JKO
거치며	거치/VV+며/EC
국정철학과	국정/NNG+철학/NNG+과/JC
정부	정부/NNG
부처별	부처/NNG+별/XSN
주요	주요/NNG
과제에	과제/NNG+에/JKB
방향	방향/NNG
정리가	정리/NNG+가/JKC
됐다는	되/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.331.6.3
인수위 분과별 국정과제 토론회에서 박 당선인이 발언을 쏟아내는 것도 이 같은 자신감의 표출이라는 얘기도 있다.

인수위	인수위/NNG
분과별	분과/NNG+별/XSN
국정과제	국정/NNG+과제/NNG
토론회에서	토론회/NNG+에서/JKB
박	박/NNP
당선인이	당선인/NNG+이/JKS
발언을	발언/NNG+을/JKO
쏟아내는	쏟/VV+아/EC+내/VX+는/ETM
것도	것/NNB+도/JX
이	이/NP
같은	같/VA+은/ETM
자신감의	자신감/NNG+의/JKG
표출이라는	표출/NNG+이/VCP+라는/ETM
얘기도	얘기/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.331.7.1
인수위원에 발탁되며 인선 물망에 끊임없이 올랐던 안, 강 의원의 경우 ‘가급적 현역 의원을 청와대에 부르지 않겠다’는 박 당선인의 의중도 작용했다.

인수위원에	인수/NNG+위원/NNG+에/JKB
발탁되며	발탁/NNG+되/XSV+며/EC
인선	인선/NNG
물망에	물망/NNG+에/JKB
끊임없이	끊임없이/MAG
올랐던	오르/VV+았/EP+던/ETM
안,	안/NNP+,/SP
강	강/NNP
의원의	의원/NNG+의/JKG
경우	경우/NNG
‘가급적	‘/SS+가급적/MAG
현역	현역/NNG
의원을	의원/NNG+을/JKO
청와대에	청와대/NNP+에/JKB
부르지	부르/VV+지/EC
않겠다’는	않/VX+겠/EP+다/EF+’/SS+는/ETM
박	박/NNP
당선인의	당선인/NNG+의/JKG
의중도	의중/NNG+도/JX
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.331.7.2
공약을 실현하려면 입법, 예산 등 국회의 뒷받침이 중요하다는 판단도 한 것으로 보인다.

공약을	공약/NNG+을/JKO
실현하려면	실현/NNG+하/XSV+려면/EC
입법,	입법/NNG+,/SP
예산	예산/NNG
등	등/NNB
국회의	국회/NNG+의/JKG
뒷받침이	뒷받침/NNG+이/JKS
중요하다는	중요/NNG+하/XSA+다는/ETM
판단도	판단/NNG+도/JX
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.331.7.3
그러나 일각에선 1기 멤버에 박 당선인과 손발을 맞춰본 적 없는 관료 출신이 대거 기용돼 국정운영의 방향을 잡는 데 시간이 걸릴 수 있다는 우려도 나온다.

그러나	그러나/MAJ
일각에선	일각/NNG+에서/JKB+ㄴ/JX
1기	1/SN+기/NNG
멤버에	멤버/NNG+에/JKB
박	박/NNP
당선인과	당선인/NNG+과/JKB
손발을	손발/NNG+을/JKO
맞춰본	맞추/VV+어/EC+보/VX+ㄴ/ETM
적	적/NNB
없는	없/VA+는/ETM
관료	관료/NNG
출신이	출신/NNG+이/JKS
대거	대거/MAG
기용돼	기용/NNG+되/XSV+어/EC
국정운영의	국정/NNG+운영/NNG+의/JKG
방향을	방향/NNG+을/JKO
잡는	잡/VV+는/ETM
데	데/NNB
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.331.8.1
대선에서 활약한 인사 가운데 권영세 전 의원(전 중앙선대위 종합상황실장) 등은 다른 자리에 발탁될 가능성이 남아 있다.

대선에서	대선/NNG+에서/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
인사	인사/NNG
가운데	가운데/NNG
권영세	권영세/NNP
전	전/MMD
의원(전	의원/NNG+(/SS+전/MMD
중앙선대위	중앙/NNG+선대위/NNG
종합상황실장)	종합/NNG+상황실장/NNG+)/SS
등은	등/NNB+은/JX
다른	다른/MMD
자리에	자리/NNG+에/JKB
발탁될	발탁/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.331.8.2
권 전 의원은 국가정보원장 후보로도 거론된다.

권	권/NNP
전	전/MMD
의원은	의원/NNG+은/JX
국가정보원장	국가/NNG+정보원장/NNG
후보로도	후보/NNG+로/JKB+도/JX
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


