# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.379
metadata : {}


# id : NWRW1800000044.379.1.1
‘퇴진 요구’ 의원들 마음 더 굳혔다

‘퇴진	‘/SS+퇴진/NNG
전날	전날/NNG
‘원내대표	‘/SS+원내/NNG+대표/NNG
사퇴론’에	사퇴/NNG+론/XSN+’/SS+에/JKB
불을	불/NNG+을/JKO
지핀	지피/VV+ㄴ/ETM
의원들	의원/NNG+들/XSN
태도에도	태도/NNG+에/JKB+도/JX
변함이	변하/VV+ㅁ/ETN+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.379.6.2
전날 계파·선수를 아우른 ‘긴급 의원모임’을 주도한 유승희 의원은 이날 아침 2차 모임 뒤 기자들과 만나 “(박 원내대표의 탈당 발언은) 있을 수 없는 일”이라며 “어제 합의한 즉각사퇴론은 여전히 유효하며, 거부하면 공동대응하겠다”고 밝혔다.

전날	전날/NNG
계파·선수를	계파/NNG+·/SP+선수/NNG+를/JKO
아우른	아우르/VV+ㄴ/ETM
‘긴급	‘/SS+긴급/NNG
의원모임’을	의원/NNG+모임/NNG+’/SS+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
유승희	유승희/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
아침	아침/NNG
2차	2/SN+차/NNB
모임	모임/NNG
뒤	뒤/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“(박	“/SS+(/SS+박/NNP
원내대표의	원내/NNG+대표/NNG+의/JKG
탈당	탈당/NNG
발언은)	발언/NNG+은/JX+)/SS
있을	있/VA+을/ETM
수	수/NNB
없는	없/VA+는/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“어제	“/SS+어제/MAG
합의한	합의/NNG+하/XSV+ㄴ/ETM
즉각사퇴론은	즉각/MAG+사퇴/NNG+론/XSN+은/JX
여전히	여전히/MAG
유효하며,	유효/NNG+하/XSA+며/EC+,/SP
거부하면	거부/NNG+하/XSV+면/EC
공동대응하겠다”고	공동/NNG+대응/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.379.6.3
전날 ‘사퇴론’ 대열에 가세했던 민주평화국민연대(민평련) 소속의 한 의원도 “정치인으로서 바닥을 확인했다”고 잘라 말했다.

전날	전날/NNG
‘사퇴론’	‘/SS+사퇴/NNG+론/XSN+’/SS
대열에	대열/NNG+에/JKB
가세했던	가세/NNG+하/XSV+았/EP+던/ETM
민주평화국민연대(민평련)	민주평화국민연대/NNP+(/SS+민평련/NNP+)/SS
소속의	소속/NNG+의/JKG
한	한/MMN
의원도	의원/NNG+도/JX
“정치인으로서	“/SS+정치인/NNG+으로서/JKB
바닥을	바닥/NNG+을/JKO
확인했다”고	확인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.379.6.4
3선 이상 중진 모임에서도 원내대표 사퇴는 불가피하다는 쪽으로 의견이 기운 것으로 알려졌다.

3선	3/SN+선/NNB
이상	이상/NNG
중진	중진/NNG
모임에서도	모임/NNG+에서/JKB+도/JX
원내대표	원내/NNG+대표/NNG
사퇴는	사퇴/NNG+는/JX
불가피하다는	불가피하/VA+다는/ETM
쪽으로	쪽/NNB+으로/JKB
의견이	의견/NNG+이/JKS
기운	기울/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.379.6.5
후임 비대위원장 물망에 오르내리는 한 4선 의원은 이날 기자들과 만나 “최소한의 금기를 깨뜨린 느낌”이라며 “비대위원장을 선임한 뒤 원내대표도 새로 뽑는 게 옳다”고 말했다.

후임	후임/NNG
비대위원장	비대위원장/NNG
물망에	물망/NNG+에/JKB
오르내리는	오르내리/VV+는/ETM
한	한/MMN
4선	4/SN+선/NNB
의원은	의원/NNG+은/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“최소한의	“/SS+최소한/NNG+의/JKG
금기를	금기/NNG+를/JKO
깨뜨린	깨뜨리/VV+ㄴ/ETM
느낌”이라며	느낌/NNG+”/SS+이/VCP+라며/EC
“비대위원장을	“/SS+비대위원장/NNG+을/JKO
선임한	선임/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
원내대표도	원내/NNG+대표/NNG+도/JX
새로	새로/MAG
뽑는	뽑/VV+는/ETM
게	거/NNB+이/JKS
옳다”고	옳/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.379.7.1
한편, 원내대표단 소속 의원들도 이날 ‘퇴진파’ 의원들을 만나 ‘박영선 대표에게 질서 있는 퇴각을 할 수 있는 시간을 줘야 한다’고 설득하는 작업을 벌이고 있어 의원들의 태도에 어떤 영향을 미칠지 주목된다.

한편,	한편/MAG+,/SP
원내대표단	원내/NNG+대표단/NNG
소속	소속/NNG
의원들도	의원/NNG+들/XSN+도/JX
이날	이날/NNG
‘퇴진파’	‘/SS+퇴진/NNG+파/NNG+’/SS
의원들을	의원/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
‘박영선	‘/SS+박영선/NNP
대표에게	대표/NNG+에게/JKB
질서	질서/NNG
있는	있/VA+는/ETM
퇴각을	퇴각/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
시간을	시간/NNG+을/JKO
줘야	주/VV+어야/EC
한다’고	하/VX+ㄴ다/EF+’/SS+고/JKQ
설득하는	설득/NNG+하/XSV+는/ETM
작업을	작업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있어	있/VX+어/EC
의원들의	의원/NNG+들/XSN+의/JKG
태도에	태도/NNG+에/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
미칠지	미치/VV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.379.7.2
대표단 소속 한 의원은 “학교를 그만둘 수 있다고 말한 사람이 회장직이나 반장직에 연연하겠느냐”며 “박 원내대표가 ‘비대위원장을 물색해 오면 그만두겠다’고 한 만큼, 새로운 비대위원장 후보 등을 찾는 작업 등이 병행되어야 할 것”이라고 말했다.

대표단	대표단/NNG
소속	소속/NNG
한	하/VV+ㄴ/ETM
의원은	의원/NNG+은/JX
“학교를	“/SS+학교/NNG+를/JKO
그만둘	그만두/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
말한	말/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
회장직이나	회장직/NNG+이나/JC
반장직에	반장직/NNG+에/JKB
연연하겠느냐”며	연연하/VV+겠/EP+느냐/EF+”/SS+며/EC
“박	“/SS+박/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
‘비대위원장을	‘/SS+비대위원장/NNG+을/JKO
물색해	물색/NNG+하/XSV+아/EC
오면	오/VX+면/EC
그만두겠다’고	그만두/VV+겠/EP+다/EF+’/SS+고/JKQ
만큼,	만큼/NNB+,/SP
새로운	새롭/VA+ㄴ/ETM
비대위원장	비대위원장/NNG
후보	후보/NNG
등을	등/NNB+을/JKO
찾는	찾/VV+는/ETM
작업	작업/NNG
등이	등/NNB+이/JKS
병행되어야	병행/NNG+되/XSV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


