# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.28
metadata : {}


# id : NWRW1800000056.28.1.1
‘횡령 혐의’ 조양호 회장 부부 24·25일 소환

‘횡령	‘/SS+횡령/NNG
이사장에게	이사장/NNG+에게/JKB
각각	각각/MAG
오는	오/VV+는/ETM
24일과	24/SN+일/NNB+과/JC
25일	25/SN+일/NNB
경찰에	경찰/NNG+에/JKB
출석해	출석/NNG+하/XSV+아/EC
조사를	조사/NNG+를/JKO
받으라고	받/VV+으라/EF+고/JKQ
통보했다고	통보/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.28.6.2
조 회장 부부는 2013년 5월부터 2014년 8월까지 서울 평창동 자택 인테리어에 들어간 공사비를 한진그룹 계열사가 건설하는 인천의 호텔 신축 공사비로 떠넘겨 처리한 혐의(횡령 및 배임)를 받고 있다.

조	조/NNP
회장	회장/NNG
부부는	부부/NNG+는/JX
2013년	2013/SN+년/NNB
5월부터	5/SN+월/NNB+부터/JX
2014년	2014/SN+년/NNB
8월까지	8/SN+월/NNB+까지/JX
서울	서울/NNP
평창동	평창동/NNP
자택	자택/NNG
인테리어에	인테리어/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
공사비를	공사비/NNG+를/JKO
한진그룹	한진그룹/NNP
계열사가	계열사/NNG+가/JKS
건설하는	건설/NNG+하/XSV+는/ETM
인천의	인천/NNP+의/JKG
호텔	호텔/NNG
신축	신축/NNG
공사비로	공사비/NNG+로/JKB
떠넘겨	떠넘기/VV+어/EC
처리한	처리/NNG+하/XSV+ㄴ/ETM
혐의(횡령	혐의/NNG+(/SS+횡령/NNG
및	및/MAG
배임)를	배임/NNG+)/SS+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.28.7.1
경찰은 이런 일 처리 과정에 조 회장의 지시가 있었다고 볼 만한 그룹 내부 관계자의 증언을 확보한 것으로 알려졌다.

경찰은	경찰/NNG+은/JX
이런	이런/MMD
일	일/NNG
처리	처리/NNG
과정에	과정/NNG+에/JKB
조	조/NNP
회장의	회장/NNG+의/JKG
지시가	지시/NNG+가/JKS
있었다고	있/VA+었/EP+다고/EC
볼	보/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
그룹	그룹/NNG
내부	내부/NNG
관계자의	관계자/NNG+의/JKG
증언을	증언/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.28.7.2
다만 조 회장 부부가 출석 통보에 바로 응할지는 더 지켜봐야 한다.

다만	다만/MAG
조	조/NNP
회장	회장/NNG
부부가	부부/NNG+가/JKS
출석	출석/NNG
통보에	통보/NNG+에/JKB
바로	바로/MAG
응할지는	응하/VV+ㄹ지/EF+는/JX
더	더/MAG
지켜봐야	지켜보/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.28.7.3
조 회장은 지난달 말 이래 미국에 출장 체류중인 것으로 알려졌다.

조	조/NNP
회장은	회장/NNG+은/JX
지난달	지난달/NNG
말	말/NNB
이래	이래/NNB
미국에	미국/NNP+에/JKB
출장	출장/NNG
체류중인	체류/NNG+중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.28.7.4
대한항공 관계자는 “현재 공식적으로 소환 통보를 받지는 않았으나, 향후 수사에 적극 협조할 것”이라고 밝혔다.

대한항공	대한항공/NNP
관계자는	관계자/NNG+는/JX
“현재	“/SS+현재/MAG
공식적으로	공식/NNG+적/XSN+으로/JKB
소환	소환/NNG
통보를	통보/NNG+를/JKO
받지는	받/VV+지/EC+는/JX
않았으나,	않/VX+았/EP+으나/EC+,/SP
향후	향후/NNG
수사에	수사/NNG+에/JKB
적극	적극/NNG
협조할	협조/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.28.8.1
경찰은 이건희·이재용 삼성전자 회장·부회장 일가의 자택 인테리어 공사 비리 혐의도 들여다보고 있다.

경찰은	경찰/NNG+은/JX
이건희·이재용	이건희/NNP+·/SP+이재용/NNP
삼성전자	삼성전자/NNP
회장·부회장	회장/NNG+·/SP+부회장/NNG
일가의	일가/NNG+의/JKG
자택	자택/NNG
인테리어	인테리어/NNG
공사	공사/NNG
비리	비리/NNG
혐의도	혐의/NNG+도/JX
들여다보고	들여다보/VV+고/EC
있다.	있/VX+다/EF+./SF


