# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.127
metadata : {}


# id : NWRW1800000041.127.1.1
“외출-등산땐 녹색 선글라스 꼭 쓰세요”

“외출-등산땐	“/SS+외출/NNG+-/SO+등산/NNG+때/NNG+ㄴ/JX
하지만 우리 눈은 자외선에 장기간 노출되면 만성 손상이 생기기 쉽다.

하지만	하지만/MAJ
우리	우리/NP
눈은	눈/NNG+은/JX
자외선에	자외선/NNG+에/JKB
장기간	장기간/NNG
노출되면	노출/NNG+되/XSV+면/EC
만성	만성/NNG
손상이	손상/NNG+이/JKS
생기기	생기/VV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000041.127.7.2
이 중 가장 흔한 것은 햇빛을 보며 오랜 시간 일해야 하는 시골 농부들에게서 잘 생기는 ‘익상편’이다.

이	이/NP
중	중/NNB
가장	가장/MAG
흔한	흔하/VA+ㄴ/ETM
것은	것/NNB+은/JX
햇빛을	햇빛/NNG+을/JKO
보며	보/VV+며/EC
오랜	오랜/MMA
시간	시간/NNG
일해야	일/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
시골	시골/NNG
농부들에게서	농부/NNG+들/XSN+에게서/JKB
잘	잘/MAG
생기는	생기/VV+는/ETM
‘익상편’이다.	‘/SS+익상편/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.127.7.3
결막(눈 흰자를 덮고 있는 점막)의 혈관과 조직이 각막 중심부까지 삼각형 모양으로 자라나는 이 질환은 심각한 시력 저하와 사시를 유발한다.

결막(눈	결막/NNG+(/SS+눈/NNG
흰자를	흰자/NNG+를/JKO
덮고	덮/VV+고/EC
있는	있/VX+는/ETM
점막)의	점막/NNG+)/SS+의/JKG
혈관과	혈관/NNG+과/JC
조직이	조직/NNG+이/JKS
각막	각막/NNG
중심부까지	중심부/NNG+까지/JX
삼각형	삼각/NNG+형/XSN
모양으로	모양/NNG+으로/JKB
자라나는	자라나/VV+는/ETM
이	이/MMD
질환은	질환/NNG+은/JX
심각한	심각하/VA+ㄴ/ETM
시력	시력/NNG
저하와	저하/NNG+와/JC
사시를	사시/NNG+를/JKO
유발한다.	유발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.127.7.4
또 안구 안쪽을 덮고 있는 망막세포에 변형이 일어나 시력을 잃는 망막변성증이 생기기도 한다.

또	또/MAG
안구	안구/NNG
안쪽을	안쪽/NNG+을/JKO
덮고	덮/VV+고/EC
있는	있/VX+는/ETM
망막세포에	망막/NNG+세포/NNG+에/JKB
변형이	변형/NNG+이/JKS
일어나	일어나/VV+아/EC
시력을	시력/NNG+을/JKO
잃는	잃/VV+는/ETM
망막변성증이	망막/NNG+변성증/NNG+이/JKS
생기기도	생기/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.127.8.1
UV-A가 백내장의 주요 원인이라는 점도 잘 알려진 사실이다.

UV-A가	UV/SL+-/SO+A/SL+가/JKS
백내장의	백내장/NNG+의/JKG
주요	주요/NNG
원인이라는	원인/NNG+이/VCP+라는/ETM
점도	점/NNG+도/JX
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.127.8.2
수정체가 하얗게 혼탁해지는 백내장은 노인들에게서 쉽게 찾을 수 있다.

수정체가	수정체/NNG+가/JKS
하얗게	하얗/VA+게/EC
혼탁해지는	혼탁/NNG+하/XSA+아/EC+지/VX+는/ETM
백내장은	백내장/NNG+은/JX
노인들에게서	노인/NNG+들/XSN+에게서/JKB
쉽게	쉽/VA+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.127.8.3
강 교수는 “고령화 추세가 이어지고 대기권 오존층 파괴 현상으로 자외선이 원인인 백내장 환자가 많이 늘어날 것”으로 전망했다.

강	강/NNP
교수는	교수/NNG+는/JX
“고령화	“/SS+고령/NNG+화/XSN
추세가	추세/NNG+가/JKS
이어지고	이어지/VV+고/EC
대기권	대기/NNG+권/XSN
오존층	오존/NNG+층/XSN
파괴	파괴/NNG
현상으로	현상/NNG+으로/JKB
자외선이	자외선/NNG+이/JKS
원인인	원인/NNG+이/VCP+ㄴ/ETM
백내장	백내장/NNG
환자가	환자/NNG+가/JKS
많이	많이/MAG
늘어날	늘어나/VV+ㄹ/ETM
것”으로	것/NNB+”/SS+으로/JKB
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.127.9.1
눈의 자외선 노출량을 줄이기 위해선 평소 선글라스 착용을 습관화하는 것이 중요하다.

눈의	눈/NNG+의/JKG
자외선	자외선/NNG
노출량을	노출/NNG+량/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
평소	평소/NNG
선글라스	선글라스/NNG
착용을	착용/NNG+을/JKO
습관화하는	습관/NNG+화/XSN+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.127.9.2
품질이 뛰어난 플라스틱으로 만든 선글라스는 자외선을 99.5% 이상 차단할 수 있기 때문이다.

품질이	품질/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
플라스틱으로	플라스틱/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
선글라스는	선글라스/NNG+는/JX
자외선을	자외선/NNG+을/JKO
99.5%	99/SN+./SP+5/SN+%/SW
이상	이상/NNG
차단할	차단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.127.9.3
갈색 렌즈는 짧은 파장의 자외선을 차단하고 시야를 선명하게 하는 효과가 있고, 녹색은 눈의 피로를 덜기 때문에 시내를 돌아다닐 때나 등산할 때 좋다.

갈색	갈색/NNG
렌즈는	렌즈/NNG+는/JX
짧은	짧/VA+은/ETM
파장의	파장/NNG+의/JKG
자외선을	자외선/NNG+을/JKO
차단하고	차단/NNG+하/XSV+고/EC
시야를	시야/NNG+를/JKO
선명하게	선명/NNG+하/XSA+게/EC
하는	하/VX+는/ETM
효과가	효과/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
녹색은	녹색/NNG+은/JX
눈의	눈/NNG+의/JKG
피로를	피로/NNG+를/JKO
덜기	덜/VV+기/ETN
때문에	때문/NNB+에/JKB
시내를	시내/NNG+를/JKO
돌아다닐	돌아다니/VV+ㄹ/ETM
때나	때/NNG+나/JX
등산할	등산/NNG+하/XSV+ㄹ/ETM
때	때/NNG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000041.127.10.1
주천기 서울성모병원 안과 교수는 “렌즈색이 진할수록 차단 효과가 좋다고 생각하지만 이는 잘못된 것”이라며 “지나치게 어두운 렌즈는 오히려 동공을 확대시키고 이에 따라 수정체가 햇빛에 많이 노출돼 자외선에 더 취약할 수 있다”고 말했다.

주천기	주천기/NNP
서울성모병원	서울성모병원/NNP
안과	안과/NNG
교수는	교수/NNG+는/JX
“렌즈색이	“/SS+렌즈/NNG+색/NNG+이/JKS
진할수록	진하/VA+ㄹ수록/EC
차단	차단/NNG
효과가	효과/NNG+가/JKS
좋다고	좋/VA+다고/EC
생각하지만	생각/NNG+하/XSV+지만/EC
이는	이/NP+는/JX
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“지나치게	“/SS+지나치/VA+게/EC
어두운	어둡/VA+ㄴ/ETM
렌즈는	렌즈/NNG+는/JX
오히려	오히려/MAG
동공을	동공/NNG+을/JKO
확대시키고	확대/NNG+시키/XSV+고/EC
이에	이/NP+에/JKB
따라	따르/VV+아/EC
수정체가	수정체/NNG+가/JKS
햇빛에	햇빛/NNG+에/JKB
많이	많이/MAG
노출돼	노출/NNG+되/XSV+어/EC
자외선에	자외선/NNG+에/JKB
더	더/MAG
취약할	취약/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


