# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.10
metadata : {}


# id : NWRW1800000026.10.1.1
[美 전략국제문제 연구소 한·중·일 3국 실장 좌담]"오바마, 아프간 정책서 지지층 배신… 한미 FTA도 그렇게 하길"

[美	[/SS+美/SH
한자리에	한자리/NNG+에/JKB
모여	모이/VV+어/EC
75분	75/SN+분/NNB
동안	동안/NNG
특별	특별/NNG
좌담회를	좌담회/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.10.2.4
이들은 모두 백악관 국가안보회의(NSC) 또는 행정부에서 근무한 경력이 있으며 오바마 행정부의 움직임도 잘 파악하고 있다.

이들은	이/NP+들/XSN+은/JX
모두	모두/MAG
백악관	백악관/NNP
국가안보회의(NSC)	국가안보회의/NNP+(/SS+NSC/SL+)/SS
또는	또는/MAG
행정부에서	행정부/NNG+에서/JKB
근무한	근무/NNG+하/XSV+ㄴ/ETM
경력이	경력/NNG+이/JKS
있으며	있/VA+으며/EC
오바마	오바마/NNP
행정부의	행정부/NNG+의/JKG
움직임도	움직임/NNG+도/JX
잘	잘/MAG
파악하고	파악/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.10.2.5
이들은 차기 정부에서 미 행정부의 동북아 담당 부서에 차관보(또는 부차관보급) 직위에 임명될 수 있다.

이들은	이/NP+들/XSN+은/JX
차기	차기/NNG
정부에서	정부/NNG+에서/JKB
미	미/NNP
행정부의	행정부/NNG+의/JKG
동북아	동북아/NNP
담당	담당/NNG
부서에	부서/NNG+에/JKB
차관보(또는	차관보/NNG+(/SS+또는/MAG
부차관보급)	부차관보급/NNG+)/SS
직위에	직위/NNG+에/JKB
임명될	임명/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.10.3.1
이들은 올해 미중·미일 관계는 낙관하기 어렵지만 한미 관계는 한미 FTA를 제외하고는 순항할 것으로 예상했다.

이들은	이/NP+들/XSN+은/JX
올해	올해/NNG
미중·미일	미/NNP+중/NNP+·/SP+미일/NNP
관계는	관계/NNG+는/JX
낙관하기	낙관/NNG+하/XSV+기/ETN
어렵지만	어렵/VA+지만/EC
한미	한미/NNP
FTA를	FTA/SL+를/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
순항할	순항/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.3.2
또 아프가니스탄 전쟁으로 인해 버락 오바마(Obama) 미 대통령이 아시아 문제에 신경을 덜 쓰게 될지 모른다고 봤다.

또	또/MAG
아프가니스탄	아프가니스탄/NNP
전쟁으로	전쟁/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
버락	버락/NNP
오바마(Obama)	오바마/NNP+(/SS+Obama/SL+)/SS
미	미/NNP
대통령이	대통령/NNG+이/JKS
아시아	아시아/NNP
문제에	문제/NNG+에/JKB
신경을	신경/NNG+을/JKO
덜	덜/MAG
쓰게	쓰/VV+게/EC
될지	되/VV+ㄹ지/EC
모른다고	모르/VV+ㄴ다고/EC
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.3.3
북한이 한·중·일 3국과 정상회담을 각각 추진하는 가운데, 하토야마 유키오(鳩山由紀夫) 일 총리가 김정일 위원장과 회담하는 것이 '와일드카드(결과를 예측할 수 없는 이벤트)'로 꼽혔다.

북한이	북한/NNP+이/JKS
한·중·일	한·중·일/NNP
3국과	3국/NNG+과/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
각각	각각/MAG
추진하는	추진/NNG+하/XSV+는/ETM
가운데,	가운데/NNG+,/SP
하토야마	하토야마/NNP
유키오(鳩山由紀夫)	유키오/NNP+(/SS+鳩山由紀夫/SH+)/SS
일	일/NNP
총리가	총리/NNG+가/JKS
김정일	김정일/NNP
위원장과	위원장/NNG+과/JKB
회담하는	회담/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
'와일드카드(결과를	'/SS+와일드카드/NNG+(/SS+결과/NNG+를/JKO
예측할	예측/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
이벤트)'로	이벤트/NNG+)/SS+'/SS+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.10.3.4
또 올해는 중국이 세계적인 문제의 '이해당사자'로서 더 큰 역할을 해야 한다는 데 의견이 일치했다.

또	또/MAG
올해는	올해/NNG+는/JX
중국이	중국/NNP+이/JKS
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
문제의	문제/NNG+의/JKG
'이해당사자'로서	'/SS+이해/NNG+당사자/NNG+'/SS+로서/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
데	데/NNB
의견이	의견/NNG+이/JKS
일치했다.	일치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.4.1
―한·중·일 3국은 여전히 '역사의 덫'에서 벗어나지 못하고 있다.

―한·중·일	―/SS+한·중·일/NNP
3국은	3국/NNG+은/JX
여전히	여전히/MAG
'역사의	'/SS+역사/NNG+의/JKG
덫'에서	덫/NNG+'/SS+에서/JKB
벗어나지	벗어나/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.10.4.2
언제쯤 이 문제가 해결되나.

언제쯤	언제/NP+쯤/XSN
이	이/MMD
문제가	문제/NNG+가/JKS
해결되나.	해결/NNG+되/XSV+나/EF+./SF


# id : NWRW1800000026.10.5.1
"(찰스 프리먼) 당분간 역사 문제는 주기적으로 반복될 것이다.

"(찰스	"/SS+(/SS+찰스/NNP
프리먼)	프리먼/NNP+)/SS
당분간	당분간/MAG
역사	역사/NNG
문제는	문제/NNG+는/JX
주기적으로	주기/NNG+적/XSN+으로/JKB
반복될	반복/NNG+되/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.5.2
일본이 역사 문제로 인한 갈등을 풀지 못한다면 난징(南京) 학살을 비롯해서 계속 문제제기가 있을 것이다.

일본이	일본/NNP+이/JKS
역사	역사/NNG
문제로	문제/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
갈등을	갈등/NNG+을/JKO
풀지	풀/VV+지/EC
못한다면	못하/VX+ㄴ다면/EC
난징(南京)	난징/NNP+(/SS+南京/SH+)/SS
학살을	학살/NNG+을/JKO
비롯해서	비롯하/VV+아서/EC
계속	계속/MAG
문제제기가	문제/NNG+제기/NNG+가/JKS
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.5.3
일본이 과거 역사에 대해 반성하는 모습을 보여준다면 중국도 이를 크게 문제 삼지는 않을 것이다."

일본이	일본/NNP+이/JKS
과거	과거/NNG
역사에	역사/NNG+에/JKB
대해	대하/VV+아/EC
반성하는	반성/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보여준다면	보이/VV+어/EC+주/VX+ㄴ다면/EC
중국도	중국/NNP+도/JX
이를	이/NP+를/JKO
크게	크/VA+게/EC
문제	문제/NNG
삼지는	삼/VV+지/EC+는/JX
않을	않/VX+을/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000026.10.6.1
"(마이클 그린) 한일 간 역사적 갈등은 일중 간 갈등보다 훨씬 풀기 쉽다고 본다.

"(마이클	"/SS+(/SS+마이클/NNP
그린)	그린/NNP+)/SS
한일	한일/NNP
간	간/NNB
역사적	역사/NNG+적/XSN
갈등은	갈등/NNG+은/JX
일중	일/NNP+중/NNP
갈등보다	갈등/NNG+보다/JKB
훨씬	훨씬/MAG
풀기	풀/VV+기/ETN
쉽다고	쉽/VA+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.10.6.2
두 나라는 민주주의적인 가치를 공유하기 때문이다.

두	두/MMN
나라는	나라/NNG+는/JX
민주주의적인	민주주의/NNG+적/XSN+이/VCP+ㄴ/ETM
가치를	가치/NNG+를/JKO
공유하기	공유/NNG+하/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.6.3
한중 간 고구려 문제에 대해 토론하려는 시도가 있었지만 중국정부가 매우 심하게 그 범위와 토론에 대해서 간섭했었다."

한중	한중/NNP
간	간/NNB
고구려	고구려/NNP
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
토론하려는	토론/NNG+하/XSV+려는/ETM
시도가	시도/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
중국정부가	중국/NNP+정부/NNG+가/JKS
매우	매우/MAG
심하게	심하/VA+게/EC
그	그/MMD
범위와	범위/NNG+와/JC
토론에	토론/NNG+에/JKB
대해서	대하/VV+아서/EC
간섭했었다."	간섭/NNG+하/XSV+았었/EP+다/EF+./SF+"/SS


# id : NWRW1800000026.10.7.1
―1·2차 세계대전의 진원지였던 유럽은 50여년 만에 유럽연합(EU)을 만드는 데 성공했다.

―1·2차	―/SS+1/SN+·/SP+2/SN+차/NNB
세계대전의	세계/NNG+대전/NNG+의/JKG
진원지였던	진원지/NNG+이/VCP+었/EP+던/ETM
유럽은	유럽/NNP+은/JX
50여년	50/SN+여/XSN+년/NNB
만에	만/NNB+에/JKB
유럽연합(EU)을	유럽연합/NNP+(/SS+EU/SL+)/SS+을/JKO
만드는	만들/VV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.7.2
이런 경험이 동아시아에도 적용될 수 있나.

이런	이런/MMD
경험이	경험/NNG+이/JKS
동아시아에도	동아시아/NNP+에/JKB+도/JX
적용될	적용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있나.	있/VA+나/EF+./SF


# id : NWRW1800000026.10.8.1
"(빅터 차) 쉽지 않을 것이다.

"(빅터	"/SS+(/SS+빅터/NNP
차)	차/NNP+)/SS
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.8.2
현실적으로 특정한 문제에 대해서 기능적으로 활동하는 시스템을 활용할 필요가 있다.

현실적으로	현실/NNG+적/XSN+으로/JKB
특정한	특정/NNG+하/XSA+ㄴ/ETM
문제에	문제/NNG+에/JKB
대해서	대하/VV+아서/EC
기능적으로	기능/NNG+적/XSN+으로/JKB
활동하는	활동/NNG+하/XSV+는/ETM
시스템을	시스템/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.10.8.3
2000년 태국 아세안+3(한·중·일) 회의에서 합의된 금융위기 예방시스템 '치앙마이 이니셔티브(CMI)'는 매우 실용적이었고 잘 작동됐다."

2000년	2000/SN+년/NNB
태국	태국/NNP
아세안+3(한·중·일)	아세안/NNP++/SW+3/SN+(/SS+한·중·일/NNP+)/SS
회의에서	회의/NNG+에서/JKB
합의된	합의/NNG+되/XSV+ㄴ/ETM
금융위기	금융/NNG+위기/NNG
예방시스템	예방/NNG+시스템/NNG
'치앙마이	'/SS+치앙마이/NNP
이니셔티브(CMI)'는	이니셔티브/NNG+(/SS+CMI/SL+)/SS+'/SS+는/JX
매우	매우/MAG
실용적이었고	실용/NNG+적/XSN+이/VCP+었/EP+고/EC
잘	잘/MAG
작동됐다."	작동/NNG+되/XSV+었/EP+다/EF+./SF+"/SS


# id : NWRW1800000026.10.9.1
"(프리먼) 아시아에서는 각국이 가진 가치가 다르다.

"(프리먼)	"/SS+(/SS+프리먼/NNP+)/SS
아시아에서는	아시아/NNP+에서/JKB+는/JX
각국이	각국/NNG+이/JKS
가진	가지/VV+ㄴ/ETM
가치가	가치/NNG+가/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000026.10.9.2
또 아시아 국가들은 여전히 근본적으로 민족적인 접근을 하는 것이 문제다." "(그린) 중국을 둘러싼 국가들에 대한 미국 영향력이 큰 것도 변수다.

또	또/MAG
아시아	아시아/NNP
국가들은	국가/NNG+들/XSN+은/JX
여전히	여전히/MAG
근본적으로	근본/NNG+적/XSN+으로/JKB
민족적인	민족/NNG+적/XSN+이/VCP+ㄴ/ETM
접근을	접근/NNG+을/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
문제다."	문제/NNG+이/VCP+다/EF+./SF+"/SS
"(그린)	"/SS+(/SS+그린/NNP+)/SS
중국을	중국/NNP+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
국가들에	국가/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
미국	미국/NNP
영향력이	영향력/NNG+이/JKS
큰	크/VA+ㄴ/ETM
것도	것/NNB+도/JX
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.9.3
현실적으로 양자관계들을 결합하면서 6자회담을 활용하고, APEC 같은 광범위한 조직에서 협력하는 것이 필요하다."

현실적으로	현실/NNG+적/XSN+으로/JKB
양자관계들을	양자/NNG+관계/NNG+들/XSN+을/JKO
결합하면서	결합/NNG+하/XSV+면서/EC
6자회담을	6/SN+자/NNB+회담/NNG+을/JKO
활용하고,	활용/NNG+하/XSV+고/EC+,/SP
APEC	APEC/SL
같은	같/VA+은/ETM
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
조직에서	조직/NNG+에서/JKB
협력하는	협력/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
필요하다."	필요/NNG+하/XSA+다/EF+./SF+"/SS


# id : NWRW1800000026.10.10.1
―미일 관계의 악화가 한국에는 도움이 되는가, 그 반대인가.

―미일	―/SS+미일/NNP
관계의	관계/NNG+의/JKG
악화가	악화/NNG+가/JKS
한국에는	한국/NNP+에/JKB+는/JX
도움이	도움/NNG+이/JKC
되는가,	되/VV+는가/EF+,/SP
그	그/MMD
반대인가.	반대/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000026.10.11.1
"(그린) 이명박 대통령은 일본과 우호적인 관계를 만들어 가려고 한다는 점에서 좋은 평가를 받고 있다.

"(그린)	"/SS+(/SS+그린/NNP+)/SS
이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
일본과	일본/NNP+과/JKB
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
관계를	관계/NNG+를/JKO
만들어	만들/VV+어/EC
가려고	가/VX+려고/EC
한다는	하/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
좋은	좋/VA+은/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.10.11.2
이런 상황에서 미일 관계가 악화되면 한국에도 좋지 않다." "(차) 동의한다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
미일	미일/NNP
관계가	관계/NNG+가/JKS
악화되면	악화/NNG+되/XSV+면/EC
한국에도	한국/NNP+에/JKB+도/JX
좋지	좋/VA+지/EC
않다."	않/VX+다/EF+./SF+"/SS
"(차)	"/SS+(/SS+차/NNP+)/SS
동의한다.	동의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.10.11.3
지난해 11월 오바마 대통령 방한 이후 한미 관계는 매우 좋다.

지난해	지난해/NNG
11월	11/SN+월/NNB
오바마	오바마/NNP
대통령	대통령/NNG
방한	방한/NNG
이후	이후/NNG
한미	한미/NNP
관계는	관계/NNG+는/JX
매우	매우/MAG
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000026.10.11.4
한국은 한·미·일 3각 관계가 좋을 때에 전략적으로 유리하다.

한국은	한국/NNP+은/JX
한·미·일	한·미·일/NNP
3각	3/SN+각/NNG
관계가	관계/NNG+가/JKS
좋을	좋/VA+을/ETM
때에	때/NNG+에/JKB
전략적으로	전략/NNG+적/XSN+으로/JKB
유리하다.	유리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.10.11.5
지난 50년간 한국의 발전은 우호적인 한미·한일 관계 때문이었다.

지난	지나/VV+ㄴ/ETM
50년간	50/SN+년/NNB+간/XSN
한국의	한국/NNP+의/JKG
발전은	발전/NNG+은/JX
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
한미·한일	한미/NNP+·/SP+한일/NNP
관계	관계/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.10.11.6
미일 관계가 불투명해지면 중국이 한국에도 손해가 되는 영향력을 행사할 것이다."

미일	미일/NNP
관계가	관계/NNG+가/JKS
불투명해지면	불/XPN+투명/NNG+하/XSA+아/EC+지/VX+면/EC
중국이	중국/NNP+이/JKS
한국에도	한국/NNP+에/JKB+도/JX
손해가	손해/NNG+가/JKC
되는	되/VV+는/ETM
영향력을	영향력/NNG+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000026.10.12.1
"(프리먼) 많은 이들은 미일 관계가 악화되면 중국이 좋아할 것이라고 보지만 나는 아니다.

"(프리먼)	"/SS+(/SS+프리먼/NNP+)/SS
많은	많/VA+은/ETM
이들은	이/NP+들/XSN+은/JX
미일	미일/NNP
관계가	관계/NNG+가/JKS
악화되면	악화/NNG+되/XSV+면/EC
중국이	중국/NNP+이/JKS
좋아할	좋아하/VA+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
보지만	보/VV+지만/EC
나는	나/NP+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000026.10.12.2
미일 관계가 나빠지면 어떤 상황이 벌어질지 몰라 중국이 신경 쓸 일도 많아진다."

미일	미일/NNP
관계가	관계/NNG+가/JKS
나빠지면	나빠지/VV+면/EC
어떤	어떤/MMD
상황이	상황/NNG+이/JKS
벌어질지	벌어지/VV+ㄹ지/EC
몰라	모르/VV+아/EC
중국이	중국/NNP+이/JKS
신경	신경/NNG
쓸	쓰/VV+ㄹ/ETM
일도	일/NNG+도/JX
많아진다."	많아지/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000026.10.13.1
―오바마 대통령이 2년차로 들어간다.

―오바마	―/SS+오바마/NNP
대통령이	대통령/NNG+이/JKS
2년차로	2/SN+년/NNB+차/NNB+로/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.10.13.2
올해 한미·미중·미일·중일 관계는 어떨까.

올해	올해/NNG
한미·미중·미일·중일	한미/NNP+·/SP+미/NNP+중/NNP+·/SP+미일/NNP+·/SP+중/NNP+일/NNP
관계는	관계/NNG+는/JX
어떨까.	어떻/VA+ㄹ까/EF+./SF


# id : NWRW1800000026.10.14.1
"(프리먼) 오바마는 지난해 미중 관계를 단순한 양자관계에서 안보·무역·인권·에너지·기후변화 등 세계적 차원으로 격상시키려 했다.

"(프리먼)	"/SS+(/SS+프리먼/NNP+)/SS
오바마는	오바마/NNP+는/JX
지난해	지난해/NNG
미중	미/NNP+중/NNP
관계를	관계/NNG+를/JKO
단순한	단순/NNG+하/XSA+ㄴ/ETM
양자관계에서	양자/NNG+관계/NNG+에서/JKB
안보·무역·인권·에너지·기후변화	안보/NNG+·/SP+무역/NNG+·/SP+인권/NNG+·/SP+에너지/NNG+·/SP+기후/NNG+변화/NNG
등	등/NNB
세계적	세계/NNG+적/XSN
차원으로	차원/NNG+으로/JKB
격상시키려	격상/NNG+시키/XSV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.10.14.2
하지만 중국과 범세계적인 문제에 초점을 맞추는 계획이 실패하고 있다.

하지만	하지만/MAJ
중국과	중국/NNP+과/JC
범세계적인	범/XPN+세계/NNG+적/XSN+이/VCP+ㄴ/ETM
문제에	문제/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞추는	맞추/VV+는/ETM
계획이	계획/NNG+이/JKS
실패하고	실패/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.10.14.3
올해는 대만 문제, 티베트, 인권 문제 때문에 매우 어려운 한 해가 될 것이다."

올해는	올해/NNG+는/JX
대만	대만/NNP
문제,	문제/NNG+,/SP
티베트,	티베트/NNP+,/SP
인권	인권/NNG
문제	문제/NNG
때문에	때문/NNB+에/JKB
매우	매우/MAG
어려운	어렵/VA+ㄴ/ETM
한	한/MMN
해가	해/NNB+가/JKC
될	되/VV+ㄹ/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000026.10.15.1
"(그린) 일본 민주당이 포퓰리스트적인 입장에서 아무런 전략도 없이 집권했다.

"(그린)	"/SS+(/SS+그린/NNP+)/SS
일본	일본/NNP
민주당이	민주당/NNP+이/JKS
포퓰리스트적인	포퓰리스트/NNG+적/XSN+이/VCP+ㄴ/ETM
입장에서	입장/NNG+에서/JKB
아무런	아무런/MMD
전략도	전략/NNG+도/JX
없이	없이/MAG
집권했다.	집권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.15.2
양국은 매번 갈등을 겪고 난 다음에는 관계가 더 강해진 것이 사실이지만 올해는 후텐마 기지 이전 문제로 힘든 한 해가 될 것이다.

양국은	양국/NNG+은/JX
매번	매번/MAG
갈등을	갈등/NNG+을/JKO
겪고	겪/VV+고/EC
난	나/VX+ㄴ/ETM
다음에는	다음/NNG+에/JKB+는/JX
관계가	관계/NNG+가/JKS
더	더/MAG
강해진	강하/VA+아/EC+지/VX+ㄴ/ETM
것이	것/NNB+이/JKS
사실이지만	사실/NNG+이/VCP+지만/EC
올해는	올해/NNG+는/JX
후텐마	후텐마/NNP
기지	기지/NNG
이전	이전/NNG
문제로	문제/NNG+로/JKB
힘든	힘들/VA+ㄴ/ETM
한	한/MMN
해가	해/NNB+가/JKC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.15.3
현재 민주당에는 '플랜 B(대안)'가 없고, 오바마 정부도 융통성을 가질 만한 여유가 없다."

현재	현재/MAG
민주당에는	민주당/NNP+에/JKB+는/JX
'플랜	'/SS+플랜/NNG
B(대안)'가	B/SL+(/SS+대안/NNG+)/SS+'/SS+가/JKS
없고,	없/VA+고/EC+,/SP
오바마	오바마/NNP
정부도	정부/NNG+도/JX
융통성을	융통/NNG+성/XSN+을/JKO
가질	가지/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
여유가	여유/NNG+가/JKS
없다."	없/VA+다/EF+./SF+"/SS


# id : NWRW1800000026.10.16.1
"(차) 북핵 문제를 별개로 하면, 올해 한미 관계에서 FTA가 가장 중요한 문제다.

"(차)	"/SS+(/SS+차/NNP+)/SS
북핵	북핵/NNG
문제를	문제/NNG+를/JKO
별개로	별개/NNG+로/JKB
하면,	하/VV+면/EC+,/SP
올해	올해/NNG
한미	한미/NNP
관계에서	관계/NNG+에서/JKB
FTA가	FTA/SL+가/JKS
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.16.2
오바마 정부는 오는 11월 중간선거 전까지는 한미 FTA에 대해 특별한 움직임을 보이지 않을 가능성이 높다.

오바마	오바마/NNP
정부는	정부/NNG+는/JX
오는	오/VV+는/ETM
11월	11/SN+월/NNB
중간선거	중간/NNG+선거/NNG
전까지는	전/NNG+까지/JX+는/JX
한미	한미/NNP
FTA에	FTA/SL+에/JKB
대해	대하/VV+아/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
움직임을	움직임/NNG+을/JKO
보이지	보이/VV+지/EC
않을	않/VX+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000026.10.16.3
가장 바람직한 시나리오는 오바마 대통령이 연초에 G20 회의 때까지 한미 FTA에 대한 분명한 행동 계획을 만드는 것이다."

가장	가장/MAG
바람직한	바람직하/VA+ㄴ/ETM
시나리오는	시나리오/NNG+는/JX
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
연초에	연초/NNG+에/JKB
G20	G/SL+20/SN
회의	회의/NNG
때까지	때/NNG+까지/JX
한미	한미/NNP
FTA에	FTA/SL+에/JKB
대한	대하/VV+ㄴ/ETM
분명한	분명/MAG+하/XSA+ㄴ/ETM
행동	행동/NNG
계획을	계획/NNG+을/JKO
만드는	만들/VV+는/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000026.10.17.1
―올해 아프간 전쟁이 국제적으로 중요한 의제다.

―올해	―/SS+올해/NNG
아프간	아프간/NNP
전쟁이	전쟁/NNG+이/JKS
국제적으로	국제/NNG+적/XSN+으로/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
의제다.	의제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.10.17.2
