# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.330
metadata : {}


# id : NWRW1800000028.330.1.1
‘정착촌’ 시한폭탄 째깍 /중동평화협상 ‘살얼음’

‘정착촌’	‘/SS+정착촌/NNG+’/SS
이달 초 시작된 중동 평화협상 과정에서 정착촌 건설이 중지되지 않으면 협상에서 나오겠다고 수차례 경고해왔던 아바스 수반은 이날 “이스라엘의 확장과 지배 심리 상태가 팔레스타인과 중동을 폭력과 분쟁의 주춧돌로 몰아넣고 있다”고 비난했다.

이달	이달/NNG
초	초/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
중동	중동/NNP
평화협상	평화/NNG+협상/NNG
과정에서	과정/NNG+에서/JKB
정착촌	정착촌/NNG
건설이	건설/NNG+이/JKS
중지되지	중지/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
협상에서	협상/NNG+에서/JKB
나오겠다고	나오/VV+겠/EP+다고/EC
수차례	수차례/NNG
경고해왔던	경고/NNG+하/XSV+아/EC+오/VX+았/EP+던/ETM
아바스	아바스/NNP
수반은	수반/NNG+은/JX
이날	이날/NNG
“이스라엘의	“/SS+이스라엘/NNP+의/JKG
확장과	확장/NNG+과/JC
지배	지배/NNG
심리	심리/NNG
상태가	상태/NNG+가/JKS
팔레스타인과	팔레스타인/NNP+과/JC
중동을	중동/NNP+을/JKO
폭력과	폭력/NNG+과/JC
분쟁의	분쟁/NNG+의/JKG
주춧돌로	주춧돌/NNG+로/JKB
몰아넣고	몰아넣/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.330.3.3
지난해 11월 요르단강 서안에 정착촌을 건설하는 것을 10개월간 유예했던 이스라엘은, 그동안 유예 조처를 연장하진 않을 것이라고 계속 밝혀온 바 있다.

지난해	지난해/NNG
11월	11/SN+월/NNB
요르단강	요르단강/NNP
서안에	서안/NNP+에/JKB
정착촌을	정착촌/NNG+을/JKO
건설하는	건설/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
10개월간	10/SN+개월/NNB+간/XSN
유예했던	유예/NNG+하/XSV+았/EP+던/ETM
이스라엘은,	이스라엘/NNP+은/JX+,/SP
그동안	그동안/NNG
유예	유예/NNG
조처를	조처/NNG+를/JKO
연장하진	연장/NNG+하/XSV+지/EC+ㄴ/JX
않을	않/VX+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
계속	계속/MAG
밝혀온	밝히/VV+어/EC+오/VX+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.330.4.1
실제 26일 밤 12시 종료시한을 앞두고 이날 요르단강 서안 부근에는 건설 재개를 위해 이스라엘의 불도저와 시멘트를 실은 트럭이 속속 도착하고 있다고 <아에프페>(AFP) 통신 등이 전했다.

실제	실제/NNG
26일	26/SN+일/NNB
밤	밤/NNG
12시	12/SN+시/NNB
종료시한을	종료/NNG+시한/NNG+을/JKO
앞두고	앞두/VV+고/EC
이날	이날/NNG
요르단강	요르단강/NNP
서안	서안/NNP
부근에는	부근/NNG+에/JKB+는/JX
건설	건설/NNG
재개를	재개/NNG+를/JKO
위해	위하/VV+아/EC
이스라엘의	이스라엘/NNP+의/JKG
불도저와	불도저/NNG+와/JC
시멘트를	시멘트/NNG+를/JKO
실은	싣/VV+은/ETM
트럭이	트럭/NNG+이/JKS
속속	속속/MAG
도착하고	도착/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
<아에프페>(AFP)	</SS+아에프페/NNP+>/SS+(/SS+AFP/SL+)/SS
통신	통신/NNG
등이	등/NNB+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.330.4.2
베냐민 네타냐후 총리가 속한 리쿠드당 우익 인사들 상당수도 요르단강 서안 부근에 몰려갔다.

베냐민	베냐민/NNP
네타냐후	네타냐후/NNP
총리가	총리/NNG+가/JKS
속한	속하/VV+ㄴ/ETM
리쿠드당	리쿠드당/NNP
우익	우익/NNG
인사들	인사/NNG+들/XSN
상당수도	상당수/NNG+도/JX
요르단강	요르단강/NNP
서안	서안/NNP
부근에	부근/NNG+에/JKB
몰려갔다.	몰려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.330.5.1
네타냐후 총리가 강경노선을 고집할 경우, 이스라엘 국내 정치도 큰 변동이 불가피하다.

네타냐후	네타냐후/NNP
총리가	총리/NNG+가/JKS
강경노선을	강경/NNG+노선/NNG+을/JKO
고집할	고집/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
이스라엘	이스라엘/NNP
국내	국내/NNG
정치도	정치/NNG+도/JX
큰	크/VA+ㄴ/ETM
변동이	변동/NNG+이/JKS
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000028.330.5.2
<예루살렘 포스트>는 연립정부에 참여중인 중도좌파 노동당 소속 각료들의 발언을 인용해, 중동 평화협상이 파탄나면 노동당이 연정에서 탈퇴할 뜻을 내비쳤다고 전했다.

<예루살렘	</SS+예루살렘/NNP
포스트>는	포스트/NNG+>/SS+는/JX
연립정부에	연립/NNG+정부/NNG+에/JKB
참여중인	참여/NNG+중/NNB+이/VCP+ㄴ/ETM
중도좌파	중도/NNG+좌파/NNG
노동당	노동당/NNP
소속	소속/NNG
각료들의	각료/NNG+들/XSN+의/JKG
발언을	발언/NNG+을/JKO
인용해,	인용/NNG+하/XSV+아/EC+,/SP
중동	중동/NNP
평화협상이	평화/NNG+협상/NNG+이/JKS
파탄나면	파탄/NNG+나/VV+면/EC
노동당이	노동당/NNP+이/JKS
연정에서	연정/NNG+에서/JKB
탈퇴할	탈퇴/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
내비쳤다고	내비치/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.330.6.1
팔레스타인과 이스라엘에 1년 시한의 평화협상을 중재했던 미국은 난감해졌다.

팔레스타인과	팔레스타인/NNP+과/JC
이스라엘에	이스라엘/NNP+에/JKB
1년	1/SN+년/NNB
시한의	시한/NNG+의/JKG
평화협상을	평화/NNG+협상/NNG+을/JKO
중재했던	중재/NNG+하/XSV+았/EP+던/ETM
미국은	미국/NNP+은/JX
난감해졌다.	난감하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.330.6.2
힐러리 클린턴 미국 국무장관과 조지 미첼 중동 특사는 각각 24일과 25일 아바스 수반을 만나 협상 잔류를 설득했다.

힐러리	힐러리/NNP
클린턴	클린턴/NNP
미국	미국/NNP
국무장관과	국무/NNG+장관/NNG+과/JC
조지	조지/NNP
미첼	미첼/NNP
중동	중동/NNP
특사는	특사/NNG+는/JX
각각	각각/MAG
24일과	24/SN+일/NNB+과/JC
25일	25/SN+일/NNB
아바스	아바스/NNP
수반을	수반/NNG+을/JKO
만나	만나/VV+아/EC
협상	협상/NNG
잔류를	잔류/NNG+를/JKO
설득했다.	설득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.330.6.3
아바스 수반은 26일 니콜라 사르코지 프랑스 대통령을 만나기 위해 파리로 떠났다.

아바스	아바스/NNP
수반은	수반/NNG+은/JX
26일	26/SN+일/NNB
니콜라	니콜라/NNP
사르코지	사르코지/NNP
프랑스	프랑스/NNP
대통령을	대통령/NNG+을/JKO
만나기	만나/VV+기/ETN
위해	위하/VV+아/EC
파리로	파리/NNP+로/JKB
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.330.7.1
하지만 27일 당장 협상결렬이 선언될 가능성은 높지 않다.

하지만	하지만/MAJ
27일	27/SN+일/NNB
당장	당장/NNG
협상결렬이	협상/NNG+결렬/NNG+이/JKS
선언될	선언/NNG+되/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
높지	높/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000028.330.7.2
아바스 수반은 범아랍권 신문인 <알하야트>와의 인터뷰에서 정착촌 동결이 해제될 경우 “(당장 협상을 끝내지 않고) 그 문제를 팔레스타인 기구와 아랍연맹 위원회에 의뢰할 것”이라고 말했다.

아바스	아바스/NNP
수반은	수반/NNG+은/JX
범아랍권	범/XPN+아랍/NNP+권/XSN
신문인	신문/NNG+이/VCP+ㄴ/ETM
<알하야트>와의	</SS+알하야트/NNP+>/SS+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
정착촌	정착촌/NNG
동결이	동결/NNG+이/JKS
해제될	해제/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
“(당장	“/SS+(/SS+당장/NNG
협상을	협상/NNG+을/JKO
끝내지	끝내/VV+지/EC
않고)	않/VX+고/EC+)/SS
그	그/MMD
문제를	문제/NNG+를/JKO
팔레스타인	팔레스타인/NNP
기구와	기구/NNG+와/JC
아랍연맹	아랍/NNP+연맹/NNG
위원회에	위원회/NNG+에/JKB
의뢰할	의뢰/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.330.7.3
주말 비상회의를 소집했던 네타냐후 총리는 중재안 마련을 위해 미국에 머물고 있는 에후드 바라크 이스라엘 국방장관과 계속 연락을 취하고 있다는 보도도 나왔다.

주말	주말/NNG
비상회의를	비상/NNG+회의/NNG+를/JKO
소집했던	소집/NNG+하/XSV+았/EP+던/ETM
네타냐후	네타냐후/NNP
총리는	총리/NNG+는/JX
중재안	중재안/NNG
마련을	마련/NNG+을/JKO
위해	위하/VV+아/EC
미국에	미국/NNP+에/JKB
머물고	머물/VV+고/EC
있는	있/VX+는/ETM
에후드	에후드/NNP
바라크	바라크/NNP
이스라엘	이스라엘/NNP
국방장관과	국방/NNG+장관/NNG+과/JKB
계속	계속/MAG
연락을	연락/NNG+을/JKO
취하고	취하/VV+고/EC
있다는	있/VX+다는/ETM
보도도	보도/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


