# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.368
metadata : {}


# id : NWRW1800000033.368.1.1
[‘따뜻한 시장경제의 모델’ 협동조합이 뜬다]<中>소비자 친화적인 생협

[‘따뜻한	[/SS+‘/SS+따뜻하/VA+ㄴ/ETM
# id : NWRW1800000033.368.9.2
2001년 4월 안산시 상록구 일동에 설립된 ‘영차 어린이집’은 이 지역 학부모들이 돈을 모아 세운 일종의 협동조합이다.

2001년	2001/SN+년/NNB
4월	4/SN+월/NNB
안산시	안산시/NNP
상록구	상록구/NNP
일동에	일동/NNP+에/JKB
설립된	설립/NNG+되/XSV+ㄴ/ETM
‘영차	‘/SS+영차/IC
어린이집’은	어린이집/NNG+’/SS+은/JX
이	이/MMD
지역	지역/NNG
학부모들이	학부모/NNG+들/XSN+이/JKS
돈을	돈/NNG+을/JKO
모아	모으/VV+아/EC
세운	세우/VV+ㄴ/ETM
일종의	일종/NNG+의/JKG
협동조합이다.	협동조합/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.368.9.3
지난달 30일 이 어린이집에서 만난 송미림 교사(46·여)는 “우리 어린이집의 교육목표는 ‘아이를 아이답게 기른다’는 것”이라며 “학부모 조합원들의 뜻에 따라 읽기, 쓰기 등은 가르치지 않고 마음껏 뛰어놀게 한다”고 설명했다.

지난달	지난달/NNG
30일	30/SN+일/NNB
이	이/MMD
어린이집에서	어린이집/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
송미림	송미림/NNP
교사(46·여)는	교사/NNG+(/SS+46/SN+·/SP+여/NNG+)/SS+는/JX
“우리	“/SS+우리/NP
어린이집의	어린이집/NNG+의/JKG
교육목표는	교육/NNG+목표/NNG+는/JX
‘아이를	‘/SS+아이/NNG+를/JKO
아이답게	아이/NNG+답/XSA+게/EC
기른다’는	기르/VV+ㄴ다/EF+’/SS+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“학부모	“/SS+학부모/NNG
조합원들의	조합원/NNG+들/XSN+의/JKG
뜻에	뜻/NNG+에/JKB
따라	따르/VV+아/EC
읽기,	읽/VV+기/ETN+,/SP
쓰기	쓰/VV+기/ETN
등은	등/NNB+은/JX
가르치지	가르치/VV+지/EC
않고	않/VX+고/EC
마음껏	마음껏/MAG
뛰어놀게	뛰어놀/VV+게/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.368.10.1
이 밖에 서울대와 국민대 등 30여 개 대학에서도 생활협동조합을 만들어 학생과 교수, 교직원 등에게 싼 가격의 제품과 서비스를 선보이고 있다.

이	이/MMD
밖에	밖/NNG+에/JKB
서울대와	서울대/NNP+와/JC
국민대	국민대/NNP
등	등/NNB
30여	30/SN+여/XSN
개	개/NNB
대학에서도	대학/NNG+에서/JKB+도/JX
생활협동조합을	생활/NNG+협동조합/NNG+을/JKO
만들어	만들/VV+어/EC
학생과	학생/NNG+과/JC
교수,	교수/NNG+,/SP
교직원	교직원/NNG
등에게	등/NNB+에게/JKB
싼	싸/VA+ㄴ/ETM
가격의	가격/NNG+의/JKG
제품과	제품/NNG+과/JC
서비스를	서비스/NNG+를/JKO
선보이고	선보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.368.11.1
전문가들은 향후 병원이나 교육시설 외에 양로원, 장애인 시설 등도 협동조합 형태로 활발히 설립될 수 있을 것으로 보고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
향후	향후/NNG
병원이나	병원/NNG+이나/JC
교육시설	교육/NNG+시설/NNG
외에	외/NNB+에/JKB
양로원,	양로원/NNG+,/SP
장애인	장애인/NNG
시설	시설/NNG
등도	등/NNB+도/JX
협동조합	협동조합/NNG
형태로	형태/NNG+로/JKB
활발히	활발히/MAG
설립될	설립/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.368.11.2
안산의료생협의 경창수 이사장은 “협동조합은 사업을 통해 ‘지속가능한 복지’를 제공한다는 확고한 목표를 갖고 있어야 성공할 수 있다”며 “설립에 앞서 지역 주민들에게 가장 필요한 것이 무엇인지 깊이 고민해야 한다”고 조언했다.

안산의료생협의	안산의료생협/NNP+의/JKG
경창수	경창수/NNP
이사장은	이사장/NNG+은/JX
“협동조합은	“/SS+협동조합/NNG+은/JX
사업을	사업/NNG+을/JKO
통해	통하/VV+아/EC
‘지속가능한	‘/SS+지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
복지’를	복지/NNG+’/SS+를/JKO
제공한다는	제공/NNG+하/XSV+ㄴ다는/ETM
확고한	확고하/VA+ㄴ/ETM
목표를	목표/NNG+를/JKO
갖고	갖/VV+고/EC
있어야	있/VX+어야/EC
성공할	성공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“설립에	“/SS+설립/NNG+에/JKB
앞서	앞서/VV+어/EC
지역	지역/NNG
주민들에게	주민/NNG+들/XSN+에게/JKB
가장	가장/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
것이	것/NNB+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
깊이	깊이/MAG
고민해야	고민/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


