# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.280
metadata : {}


# id : NWRW1800000022.280.1.1
[대구·경북] [이 사람] '대중매체의 기호학' 개정판 펴낸 박정순 경북대 교수;"미디어는 기호이고 기호는 미디어"

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS

86년	86/SN+년/NNB
경북대	경북대/NNP
교수로	교수/NNG+로/JKB
오던	오/VV+던/ETM
즈음	즈음/NNB
'신문의	'/SS+신문/NNG+의/JKG
기호학'에	기호학/NNG+'/SS+에/JKB
끌렸으며,	끌리/VV+었/EP+으며/EC+,/SP
그때부터	그때/NNG+부터/JX
기호학에	기호학/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
책	책/NNG
발간으로	발간/NNG+으로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.280.12.1
박 교수에 따르면 이 책의 가장 큰 장점은 제대로 된 기호학의 개념을 도입한 것이다.

박	박/NNP
교수에	교수/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/MMD
책의	책/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
장점은	장점/NNG+은/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
기호학의	기호학/NNG+의/JKG
개념을	개념/NNG+을/JKO
도입한	도입/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.280.12.2
그래서 "사고의 지평과 학문적 지평을 넓히는 계기가 된다"고 설명했다.

그래서	그래서/MAJ
"사고의	"/SS+사고/NNG+의/JKG
지평과	지평/NNG+과/JC
학문적	학문/NNG+적/XSN
지평을	지평/NNG+을/JKO
넓히는	넓히/VV+는/ETM
계기가	계기/NNG+가/JKC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.280.13.1
박 교수가 설명했듯이 이 책은 기호학의 개념을 도입해 매스컴의 이모저모를 꼼꼼히 보여준다.

박	박/NNP
교수가	교수/NNG+가/JKS
설명했듯이	설명/NNG+하/XSV+았/EP+듯이/EC
이	이/MMD
책은	책/NNG+은/JX
기호학의	기호학/NNG+의/JKG
개념을	개념/NNG+을/JKO
도입해	도입/NNG+하/XSV+아/EC
매스컴의	매스컴/NNG+의/JKG
이모저모를	이모저모/NNG+를/JKO
꼼꼼히	꼼꼼히/MAG
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.280.13.2
'커뮤니케이션을 어떻게 볼 것인가'라는 제목의 서론에서부터 1장 '커뮤니케이션 연구의 접근 시각', 2장 '커뮤니케이션의 연구 모델', 3장 '기호학이란 무엇인가', 4장 '기호란 무엇인가', 5장 '기호와 체계', 6장 '기호의 의미작용', 7장 '약호란 무엇인가', 8장 '텔레비전의 영상 텍스트'로 이어진다.

'커뮤니케이션을	'/SS+커뮤니케이션/NNG+을/JKO
어떻게	어떻/VA+게/EC
볼	보/VV+ㄹ/ETM
것인가'라는	것/NNB+이/VCP+ㄴ가/EF+'/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
서론에서부터	서론/NNG+에서부터/JKB
1장	1/SN+장/NNG
'커뮤니케이션	'/SS+커뮤니케이션/NNG
연구의	연구/NNG+의/JKG
접근	접근/NNG
시각',	시각/NNG+'/SS+,/SP
2장	2/SN+장/NNG
'커뮤니케이션의	'/SS+커뮤니케이션/NNG+의/JKG
연구	연구/NNG
모델',	모델/NNG+'/SS+,/SP
3장	3/SN+장/NNG
'기호학이란	'/SS+기호학/NNG+이란/JX
무엇인가',	무엇/NP+이/VCP+ㄴ가/EF+'/SS+,/SP
4장	4/SN+장/NNG
'기호란	'/SS+기호/NNG+란/JX
5장	5/SN+장/NNG
'기호와	'/SS+기호/NNG+와/JC
체계',	체계/NNG+'/SS+,/SP
6장	6/SN+장/NNG
'기호의	'/SS+기호/NNG+의/JKG
의미작용',	의미/NNG+작용/NNG+'/SS+,/SP
7장	7/SN+장/NNG
'약호란	'/SS+약호/NNG+란/JX
8장	8/SN+장/NNG
'텔레비전의	'/SS+텔레비전/NNG+의/JKG
영상	영상/NNG
텍스트'로	텍스트/NNG+'/SS+로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.280.13.3
마지막 9장에서 '기호학과 구조주의'를 할애해 구조주의, 기호학, 언어학의 관계를 설명한다.

마지막	마지막/NNG
9장에서	9/SN+장/NNG+에서/JKB
'기호학과	'/SS+기호학/NNG+과/JC
구조주의'를	구조주의/NNG+'/SS+를/JKO
할애해	할애/NNG+하/XSV+아/EC
구조주의,	구조주의/NNG+,/SP
기호학,	기호학/NNG+,/SP
언어학의	언어학/NNG+의/JKG
관계를	관계/NNG+를/JKO
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.280.14.1
이 책을 일관하고 있는 것은 '객관적인 보도란 기호학에서는 불가능하다'는 사실이다.

이	이/MMD
책을	책/NNG+을/JKO
일관하고	일관/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
'객관적인	'/SS+객관/NNG+적/XSN+이/VCP+ㄴ/ETM
보도란	보도/NNG+란/JX
기호학에서는	기호학/NNG+에서/JKB+는/JX
불가능하다'는	불/XPN+가능/NNG+하/XSA+다/EF+'/SS+는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.280.15.1
박 교수는 "기호가 없으면 실재를 인식할 수 없으며, 미디어는 기호로 전달되는데 그러려면 기호를 선택하고 배열하는 과정을 거쳐야 한다"며 "어떤 기호를 선택하고 배열하느냐는 결국 주관적일 수밖에 없다"는 이유 때문이다.

박	박/NNP
교수는	교수/NNG+는/JX
"기호가	"/SS+기호/NNG+가/JKS
없으면	없/VA+으면/EC
실재를	실재/NNG+를/JKO
인식할	인식/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없으며,	없/VA+으며/EC+,/SP
미디어는	미디어/NNG+는/JX
기호로	기호/NNG+로/JKB
전달되는데	전달/NNG+되/XSV+는데/EC
그러려면	그러/VV+려면/EC
기호를	기호/NNG+를/JKO
선택하고	선택/NNG+하/XSV+고/EC
배열하는	배열/NNG+하/XSV+는/ETM
과정을	과정/NNG+을/JKO
거쳐야	거치/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"어떤	"/SS+어떤/MMD
배열하느냐는	배열/NNG+하/XSV+느냐/EF+는/JX
결국	결국/MAG
주관적일	주관/NNG+적/XSN+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"는	없/VA+다/EF+"/SS+는/ETM
이유	이유/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.280.16.1
그 몫은 결국 미디어를 사용해 그 사실이나 의견을 전달하는 기자에게 달려 있다고 박 교수는 규정하고 있다.

그	그/MMD
몫은	몫/NNG+은/JX
결국	결국/MAG
미디어를	미디어/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
사실이나	사실/NNG+이나/JX
의견을	의견/NNG+을/JKO
전달하는	전달/NNG+하/XSV+는/ETM
기자에게	기자/NNG+에게/JKB
달려	달리/VV+어/EC
있다고	있/VX+다고/EC
박	박/NNP
교수는	교수/NNG+는/JX
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.280.17.1
박 교수는 "조선일보가 기사는 제대로 쓰고서도 제목을 정치적·상업적으로 선택하는 경향이 있다"며 "이는 결국 어떤 기호를 선택하느냐의 의미"라고 고언(苦言)을 아끼지 않았다.

박	박/NNP
교수는	교수/NNG+는/JX
"조선일보가	"/SS+조선일보/NNP+가/JKS
기사는	기사/NNG+는/JX
제대로	제대로/MAG
쓰고서도	쓰/VV+고서/EC+도/JX
제목을	제목/NNG+을/JKO
정치적·상업적으로	정치/NNG+적/XSN+·/SP+상업/NNG+적/XSN+으로/JKB
선택하는	선택/NNG+하/XSV+는/ETM
경향이	경향/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"이는	"/SS+이/NP+는/JX
결국	결국/MAG
어떤	어떤/MMD
기호를	기호/NNG+를/JKO
선택하느냐의	선택/NNG+하/XSV+느냐/EF+의/JKG
의미"라고	의미/NNG+"/SS+라고/JKQ
고언(苦言)을	고언/NNG+(/SS+苦言/SH+)/SS+을/JKO
아끼지	아끼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


