# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.132
metadata : {}


# id : NWRW1800000040.132.1.1
연극무대서 핀 ‘현대사의 봄’

연극무대서	연극/NNG+무대/NNG+서/JKB
군인과	군인/NNG+과/JC
경찰,	경찰/NNG+,/SP
극우	극우/NNG
반공단체들이	반공/NNG+단체/NNG+들/XSN+이/JKS
자행한	자행/NNG+하/XSV+ㄴ/ETM
‘제주	‘/SS+제주/NNP
북촌리	북촌리/NNP
학살	학살/NNG
사건’을	사건/NNG+’/SS+을/JKO
바탕으로	바탕/NNG+으로/JKB
1978년	1978/SN+년/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
중편소설을	중편/NNG+소설/NNG+을/JKO
연극으로	연극/NNG+으로/JKB
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.132.6.4
인기 탤런트 양희경씨와 백성현씨가 주역을 맡고 탤런트 이순재씨와 연출가 송현옥씨가 예술감독과 드라마트루기로 참여해 눈길을 끈다.

인기	인기/NNG
탤런트	탤런트/NNG
양희경씨와	양희경/NNP+씨/NNB+와/JC
백성현씨가	백성현/NNP+씨/NNB+가/JKS
주역을	주역/NNG+을/JKO
맡고	맡/VV+고/EC
이순재씨와	이순재/NNP+씨/NNB+와/JC
연출가	연출가/NNG
송현옥씨가	송현옥/NNP+씨/NNB+가/JKS
예술감독과	예술/NNG+감독/NNG+과/JC
드라마트루기로	드라마트루기/NNG+로/JKB
참여해	참여/NNG+하/XSV+아/EC
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.132.6.5
6월30일까지.

6월30일까지.	6/SN+월/NNB+30/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000040.132.6.6
문의 1544-1555.

문의	문의/NNG
1544-1555.	1544/SN+-/SO+1555/SN+./SF


# id : NWRW1800000040.132.7.1
5·18 광주민주화운동의 아픈 상처를 웃음과 눈물로 치유하는 연극도 2편이 찾아왔다.

5·18	5/SN+·/SP+18/SN
광주민주화운동의	광주/NNP+민주/NNG+화/XSN+운동/NNG+의/JKG
아픈	아프/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
웃음과	웃음/NNG+과/JC
눈물로	눈물/NNG+로/JKB
치유하는	치유/NNG+하/XSV+는/ETM
연극도	연극/NNG+도/JX
2편이	2/SN+편/NNB+이/JKS
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.132.7.2
극단 산이 다음달 30일까지 서울 대학로 달빛극장에서 공연중인 연극 <짬뽕>(윤정환 작·연출)은 ‘짬뽕 한 그릇 때문에 광주항쟁이 일어났다?’는 발칙한 상상력으로 무거운 역사를 다루는 블랙코미디다.

극단	극단/NNG
산이	산/NNP+이/JKS
다음달	다음/NNG+달/NNG
30일까지	30/SN+일/NNB+까지/JX
서울	서울/NNP
대학로	대학로/NNP
달빛극장에서	달빛극장/NNP+에서/JKB
공연중인	공연/NNG+중/NNB+이/VCP+ㄴ/ETM
연극	연극/NNG
<짬뽕>(윤정환	</SS+짬뽕/NNG+>/SS+(/SS+윤정환/NNP
작·연출)은	작/NNG+·/SP+연출/NNG+)/SS+은/JX
‘짬뽕	‘/SS+짬뽕/NNG
한	한/MMN
그릇	그릇/NNG
때문에	때문/NNB+에/JKB
광주항쟁이	광주/NNP+항쟁/NNG+이/JKS
일어났다?’는	일어나/VV+았/EP+다/EF+?/SF+’/SS+는/ETM
발칙한	발칙하/VA+ㄴ/ETM
상상력으로	상상력/NNG+으로/JKB
무거운	무겁/VA+ㄴ/ETM
역사를	역사/NNG+를/JKO
다루는	다루/VV+는/ETM
블랙코미디다.	블랙/NNG+코미디/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.132.7.3
1980년 5월 광주에서 한 중국집 배달원이 짬뽕을 배달하다가 잠복근무중인 군인들과 실랑이를 벌이는 과정에서 오발 사태가 일어나 5·18광주로 번졌다는 줄거리.

1980년	1980/SN+년/NNB
5월	5/SN+월/NNB
광주에서	광주/NNP+에서/JKB
한	한/MMN
중국집	중국집/NNG
배달원이	배달원/NNG+이/JKS
짬뽕을	짬뽕/NNG+을/JKO
배달하다가	배달/NNG+하/XSV+다가/EC
잠복근무중인	잠복근무/NNG+중/NNB+이/VCP+ㄴ/ETM
군인들과	군인/NNG+들/XSN+과/JKB
실랑이를	실랑이/NNG+를/JKO
벌이는	벌이/VV+는/ETM
과정에서	과정/NNG+에서/JKB
오발	오발/NNG
사태가	사태/NNG+가/JKS
일어나	일어나/VV+아/EC
5·18광주로	5/SN+·/SP+18/SN+광주/NNP+로/JKB
번졌다는	번지/VV+었/EP+다는/ETM
줄거리.	줄거리/NNG+./SF


# id : NWRW1800000040.132.7.4
2004년 5월 초연 이후 평단과 관객들의 호평을 받으며 10년 동안 공연이 이어졌고 10만 관객이 이 연극을 봤다.

2004년	2004/SN+년/NNB
5월	5/SN+월/NNB
초연	초연/NNG
이후	이후/NNG
평단과	평단/NNG+과/JC
관객들의	관객/NNG+들/XSN+의/JKG
호평을	호평/NNG+을/JKO
받으며	받/VV+으며/EC
10년	10/SN+년/NNB
동안	동안/NNG
공연이	공연/NNG+이/JKS
이어졌고	이어지/VV+었/EP+고/EC
10만	10/SN+만/NR
관객이	관객/NNG+이/JKS
이	이/MMD
연극을	연극/NNG+을/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.132.7.5
(02) 6414-7926.

(02)	(/SS+02/SN+)/SS
6414-7926.	6414/SN+-/SO+7926/SN+./SF


# id : NWRW1800000040.132.8.1
최근 서울 남산예술센터 드라마센터 무대에서 공연을 시작한 연극 <푸르른 날에>(정경진 작·고선웅 연출)는 5·18 항쟁 속에서 꽃핀 남녀의 사랑과 그 후 30여 년의 인생 역정을 구도(求道)와 다도(茶道)의 정신으로 녹여낸 작품이다.

최근	최근/NNG
서울	서울/NNP
남산예술센터	남산예술센터/NNP
드라마센터	드라마센터/NNP
무대에서	무대/NNG+에서/JKB
공연을	공연/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
연극	연극/NNG
<푸르른	</SS+푸르르/VA+ㄴ/ETM
날에>(정경진	날/NNG+에/JKB+>/SS+(/SS+정경진/NNP
작·고선웅	작/NNG+·/SP+고선웅/NNP
연출)는	연출/NNG+)/SS+는/JX
5·18	5/SN+·/SP+18/SN
항쟁	항쟁/NNG
속에서	속/NNG+에서/JKB
꽃핀	꽃피/VV+ㄴ/ETM
남녀의	남녀/NNG+의/JKG
사랑과	사랑/NNG+과/JC
그	그/MMD
후	후/NNG
30여	30/SN+여/XSN
년의	년/NNB+의/JKG
인생	인생/NNG
역정을	역정/NNG+을/JKO
구도(求道)와	구도/NNG+(/SS+求道/SH+)/SS+와/JC
다도(茶道)의	다도/NNG+(/SS+茶道/SH+)/SS+의/JKG
정신으로	정신/NNG+으로/JKB
녹여낸	녹이/VV+어/EC+내/VX+ㄴ/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.132.8.2
서울시창작공간 남산예술센터와 신시컴퍼니 공동제작으로 2011년 초연되어 그해 ‘대한민국 연극대상’ 작품상과 연출상, 연극평론가협회 선정 ‘올해의 연극 베스트3’, 한국연극 ‘공연베스트 7’ 등을 휩쓸었다.

서울시창작공간	서울시/NNP+창작/NNG+공간/NNG
남산예술센터와	남산예술센터/NNP+와/JC
신시컴퍼니	신시컴퍼니/NNP
공동제작으로	공동/NNG+제작/NNG+으로/JKB
2011년	2011/SN+년/NNB
초연되어	초연/NNG+되/XSV+어/EC
그해	그해/NNG
‘대한민국	‘/SS+대한민국/NNP
연극대상’	연극/NNG+대상/NNG+’/SS
작품상과	작품상/NNG+과/JC
연출상,	연출상/NNG+,/SP
연극평론가협회	연극평론가협회/NNP
선정	선정/NNG
‘올해의	‘/SS+올해/NNG+의/JKG
연극	연극/NNG
베스트3’,	베스트/NNG+3/SN+’/SS+,/SP
한국연극	한국/NNP+연극/NNG
‘공연베스트	‘/SS+공연/NNG+베스트/NNG
7’	7/SN+’/SS
등을	등/NNB+을/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.132.8.3
올해 3회째 앙코르 공연을 기념해 매주 화요일 공연이 끝난 뒤 고선웅 연출가와 관객 만남의 시간을 마련한다.

올해	올해/NNG
3회째	3/SN+회/NNB+째/XSN
앙코르	앙코르/NNG
공연을	공연/NNG+을/JKO
기념해	기념/NNG+하/XSV+아/EC
매주	매주/MAG
화요일	화요일/NNG
공연이	공연/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
고선웅	고선웅/NNP
연출가와	연출가/NNG+와/JC
관객	관객/NNG
만남의	만남/NNG+의/JKG
시간을	시간/NNG+을/JKO
마련한다.	마련/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.132.8.4
6월2일까지.

6월2일까지.	6/SN+월/NNB+2/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000040.132.8.5
(02)758-2150.

(02)758-2150.	(/SS+02/SN+)/SS+758/SN+-/SO+2150/SN+./SF


# id : NWRW1800000040.132.9.1
박정희 유신독재의 종말을 촉발시킨 1979년 부마항쟁을 주제로 한 연극 <진숙아 사랑한다>(류성 작·연출)도 22일 서울 정동 세실극장에서 첫선을 보인다.

박정희	박정희/NNP
유신독재의	유신/NNG+독재/NNG+의/JKG
종말을	종말/NNG+을/JKO
촉발시킨	촉발/NNG+시키/XSV+ㄴ/ETM
1979년	1979/SN+년/NNB
부마항쟁을	부마/NNG+항쟁/NNG+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
연극	연극/NNG
<진숙아	</SS+진숙/NNG+아/JKV
사랑한다>(류성	사랑/NNG+하/XSV+ㄴ다/EF+>/SS+(/SS+류성/NNP
작·연출)도	작/NNG+·/SP+연출/NNG+)/SS+도/JX
22일	22/SN+일/NNB
서울	서울/NNP
정동	정동/NNP
세실극장에서	세실극장/NNP+에서/JKB
첫선을	첫선/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.132.9.2
젊은 노래극단 희망새가 만든 이 작품은 공장노동자, 다방아가씨, 여대생으로 각기 다른 삶을 산 ‘진숙이’들이 겪은 3가지 에피소드를 옴니버스 형식으로 엮어서 유신 말기 독재정권이 자행한 노동자 탄압, 성고문, 의문사 사건 등 우리의 부끄러운 역사를 고발하는 음악극이다.

젊은	젊/VA+은/ETM
노래극단	노래/NNG+극단/NNG
희망새가	희망새/NNP+가/JKS
만든	만들/VV+ㄴ/ETM
이	이/MMD
작품은	작품/NNG+은/JX
공장노동자,	공장/NNG+노동자/NNG+,/SP
다방아가씨,	다방/NNG+아가씨/NNG+,/SP
여대생으로	여대/NNG+생/XSN+으로/JKB
각기	각기/MAG
다른	다른/MMD
삶을	삶/NNG+을/JKO
산	살/VV+ㄴ/ETM
‘진숙이’들이	‘/SS+진숙이/NNP+’/SS+들/XSN+이/JKS
겪은	겪/VV+은/ETM
3가지	3/SN+가지/NNB
에피소드를	에피소드/NNG+를/JKO
옴니버스	옴니버스/NNG
형식으로	형식/NNG+으로/JKB
엮어서	엮/VV+어서/EC
유신	유신/NNG
말기	말기/NNG
독재정권이	독재/NNG+정권/NNG+이/JKS
자행한	자행/NNG+하/XSV+ㄴ/ETM
노동자	노동자/NNG
탄압,	탄압/NNG+,/SP
성고문,	성/NNG+고문/NNG+,/SP
의문사	의문사/NNG
사건	사건/NNG
등	등/NNB
우리의	우리/NP+의/JKG
부끄러운	부끄럽/VA+ㄴ/ETM
역사를	역사/NNG+를/JKO
고발하는	고발/NNG+하/XSV+는/ETM
음악극이다.	음악극/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.132.9.3
6월2일까지.

6월2일까지.	6/SN+월/NNB+2/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000040.132.9.4
(02)742-7601.

(02)742-7601.	(/SS+02/SN+)/SS+742/SN+-/SO+7601/SN+./SF


# id : NWRW1800000040.132.10.1
연극평론가 김일송(씬플레이빌 편집장)씨는 “무거운 주제이지만 무겁지 않은 형식으로 무게의 균형을 이루는 작품들로, 역사적 사건을 환기시키며면서 예술에 있어 공소시효는 무한함을 증명하고 있다”고 평했다.

연극평론가	연극/NNG+평론가/NNG
김일송(씬플레이빌	김일송/NNP+(/SS+씬플레이빌/NNP
편집장)씨는	편집장/NNG+)/SS+씨/NNB+는/JX
“무거운	“/SS+무겁/VA+ㄴ/ETM
주제이지만	주제/NNG+이/VCP+지만/EC
무겁지	무겁/VA+지/EC
않은	않/VX+은/ETM
형식으로	형식/NNG+으로/JKB
무게의	무게/NNG+의/JKG
균형을	균형/NNG+을/JKO
이루는	이루/VV+는/ETM
작품들로,	작품/NNG+들/XSN+로/JKB+,/SP
역사적	역사/NNG+적/XSN
사건을	사건/NNG+을/JKO
환기시키며면서	환기/NNG+시키/XSV+며/EC+면서/EC
예술에	예술/NNG+에/JKB
있어	있/VA+어/EC
공소시효는	공소/NNG+시효/NNG+는/JX
무한함을	무한/NNG+하/XSA+ㅁ/ETN+을/JKO
증명하고	증명/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


