# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.63
metadata : {}


# id : NWRW1800000028.63.1.1
월~금 야간…주말 전일…월~일 전일 /거주자우선주차장 요금체계 세분화

월~금	월/NNG+~/SO+금/NNG
이용되고	이용/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.63.3.2
이 때문에 주차장 이용자의 차량이 직장 등 외부로 빠져나가는 낮에 외부 차량이 주차하는 경우 불법주차 시비가 잦았다.

이	이/MMD
때문에	때문/NNB+에/JKB
주차장	주차장/NNG
이용자의	이용자/NNG+의/JKG
차량이	차량/NNG+이/JKS
직장	직장/NNG
등	등/NNB
외부로	외부/NNG+로/JKB
빠져나가는	빠져나가/VV+는/ETM
낮에	낮/NNG+에/JKB
외부	외부/NNG
주차하는	주차/NNG+하/XSV+는/ETM
경우	경우/NNG
불법주차	불법/NNG+주차/NNG
시비가	시비/NNG+가/JKS
잦았다.	잦/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.63.4.1
시는 내년 상반기까지 주차장 조례를 고쳐 거주자의 차량 이용 유형에 따라 월~금요일 야간제, 토·일요일 전일제, 월~일요일 전일제 등 이용시간을 세분화하고 요금 차이를 크게 해 이용자들이 획일적으로 전일제를 선택하는 관행을 고치도록 유도할 계획이다.

시는	시/NNG+는/JX
내년	내년/NNG
상반기까지	상반기/NNG+까지/JX
주차장	주차장/NNG
조례를	조례/NNG+를/JKO
고쳐	고치/VV+어/EC
거주자의	거주자/NNG+의/JKG
차량	차량/NNG
이용	이용/NNG
유형에	유형/NNG+에/JKB
따라	따르/VV+아/EC
월~금요일	월/NNG+~/SO+금요일/NNG
야간제,	야간/NNG+제/XSN+,/SP
토·일요일	토/NNG+·/SP+일요일/NNG
전일제,	전일/NNG+제/XSN+,/SP
월~일요일	월/NNG+~/SO+일요일/NNG
전일제	전일/NNG+제/XSN
등	등/NNB
이용시간을	이용/NNG+시간/NNG+을/JKO
세분화하고	세분/NNG+화/XSN+하/XSV+고/EC
요금	요금/NNG
차이를	차이/NNG+를/JKO
크게	크/VA+게/EC
해	하/VX+아/EC
이용자들이	이용자/NNG+들/XSN+이/JKS
획일적으로	획일적/NNG+으로/JKB
전일제를	전일/NNG+제/XSN+를/JKO
선택하는	선택/NNG+하/XSV+는/ETM
관행을	관행/NNG+을/JKO
고치도록	고치/VV+도록/EC
유도할	유도/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.63.5.1
시는 자치구별로 다른 주차장 번호 체계를 통일하고 전산화해 모든 주차장에 일련번호를 매기고 주차장을 직접 관리할 예정이다.

시는	시/NNG+는/JX
자치구별로	자치구/NNG+별/XSN+로/JKB
다른	다른/MMD
주차장	주차장/NNG
번호	번호/NNG
체계를	체계/NNG+를/JKO
통일하고	통일/NNG+하/XSV+고/EC
전산화해	전산/NNG+화/XSN+하/XSV+아/EC
모든	모든/MMN
주차장에	주차장/NNG+에/JKB
일련번호를	일련번호/NNG+를/JKO
매기고	매기/VV+고/EC
주차장을	주차장/NNG+을/JKO
직접	직접/MAG
관리할	관리/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.63.5.2
또 데이터베이스화된 주차장 정보에 전화자동응답 시스템(ARS)을 적용하기로 했다.

또	또/MAG
데이터베이스화된	데이터베이스/NNG+화/XSN+되/XSV+ㄴ/ETM
주차장	주차장/NNG
정보에	정보/NNG+에/JKB
전화자동응답	전화/NNG+자동/NNG+응답/NNG
시스템(ARS)을	시스템/NNG+(/SS+ARS/SL+)/SS+을/JKO
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.63.5.3
따라서 외지인은 거주자우선 주차장에 임시 주차하기 전에 자동응답 시스템으로 주차장의 일련번호를 입력해 주차가능 시간을 확인하고 휴대전화나 신용카드로 주차요금을 그 자리에서 결제할 수 있게 된다.

따라서	따라서/MAJ
외지인은	외지인/NNG+은/JX
거주자우선	거주자/NNG+우선/NNG
주차장에	주차장/NNG+에/JKB
임시	임시/NNG
주차하기	주차/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
자동응답	자동/NNG+응답/NNG
시스템으로	시스템/NNG+으로/JKB
주차장의	주차장/NNG+의/JKG
일련번호를	일련번호/NNG+를/JKO
입력해	입력/NNG+하/XSV+아/EC
주차가능	주차/NNG+가능/NNG
시간을	시간/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
휴대전화나	휴대/NNG+전화/NNG+나/JC
신용카드로	신용/NNG+카드/NNG+로/JKB
주차요금을	주차/NNG+요금/NNG+을/JKO
그	그/MMD
자리에서	자리/NNG+에서/JKB
결제할	결제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


