# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.245
metadata : {}


# id : NWRW1800000033.245.1.1
업그레이드 컬러볼… 비거리 쑥쑥 스핀 팍팍

업그레이드	업그레이드/NNG
보지	보/VV+지/EC
않고,	않/VX+고/EC+,/SP
쇼트게임이나	쇼트게임/NNG+이나/JC
퍼트처럼	퍼트/NNG+처럼/JKB
약한	약하/VA+ㄴ/ETM
부드러운	부드럽/VA+ㄴ/ETM
타격감과	타격감/NNG+과/JC
적당한	적당하/VA+ㄴ/ETM
스핀을	스핀/NNG+을/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.245.7.5
이 공이 초급자와 상급자를 가리지 않고 두루 인기를 얻고 있는 이유다.

이	이/MMD
공이	공/NNG+이/JKS
초급자와	초급자/NNG+와/JC
상급자를	상급자/NNG+를/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
두루	두루/MAG
인기를	인기/NNG+를/JKO
얻고	얻/VV+고/EC
있는	있/VX+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.245.8.1
또한 신소재 지르코니아를 함유한 ‘뉴 Z-Ⅲ’ 커버는 견고한 내구성으로 쇼트게임 능력을 향상시키는 데 큰 도움을 준다.

또한	또한/MAG
신소재	신/XPN+소재/NNG
지르코니아를	지르코니아/NNG+를/JKO
함유한	함유/NNG+하/XSV+ㄴ/ETM
‘뉴	‘/SS+뉴/NNP
Z-Ⅲ’	Z/SL+-/SO+Ⅲ/SW+’/SS
커버는	커버/NNG+는/JX
견고한	견고하/VA+ㄴ/ETM
내구성으로	내구/NNG+성/XSN+으로/JKB
쇼트게임	쇼트게임/NNG
능력을	능력/NNG+을/JKO
향상시키는	향상/NNG+시키/XSV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
도움을	도움/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.245.8.2
여기에다 이상적인 탄도 실현을 위해 ‘392 큐브-옥타헤드론 딤플’을 채택해 최고의 비행 안정성과 방향성을 유지할 수 있게 했다.

여기에다	여기/NP+에다/JKB
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
탄도	탄도/NNG
실현을	실현/NNG+을/JKO
위해	위하/VV+아/EC
‘392	‘/SS+392/SN
큐브-옥타헤드론	큐브/NNG+-/SO+옥타헤드론/NNG
딤플’을	딤플/NNG+’/SS+을/JKO
채택해	채택/NNG+하/XSV+아/EC
최고의	최고/NNG+의/JKG
비행	비행/NNG
안정성과	안정/NNG+성/XSN+과/JC
방향성을	방향/NNG+성/XSN+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.245.8.3
이 두 기술 역시 특허를 받은 기술들이다.

이	이/MMD
두	두/MMN
기술	기술/NNG
역시	역시/MAG
특허를	특허/NNG+를/JKO
받은	받/VV+은/ETM
기술들이다.	기술/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.245.9.1
볼빅 문경안 회장은 “볼빅은 골프공 부문에서 세계 최고를 지향한다.

볼빅	볼빅/NNP
문경안	문경안/NNP
회장은	회장/NNG+은/JX
“볼빅은	“/SS+볼빅/NNP+은/JX
골프공	골프공/NNG
부문에서	부문/NNG+에서/JKB
세계	세계/NNG
최고를	최고/NNG+를/JKO
지향한다.	지향/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.245.9.2
미국프로골프(PGA) 투어나 LPGA 투어에서 볼빅 공으로 우승하는 선수가 나올 것이다.

미국프로골프(PGA)	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS
투어나	투어/NNG+나/JC
LPGA	LPGA/SL
투어에서	투어/NNG+에서/JKB
볼빅	볼빅/NNP
공으로	공/NNG+으로/JKB
우승하는	우승/NNG+하/XSV+는/ETM
선수가	선수/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.245.9.3
나아가 2016년 리우데자네이루 올림픽에서 볼빅 공으로 금메달을 딸 수 있도록 노력하겠다”고 말했다.

나아가	나아가/VV+아/EC
2016년	2016/SN+년/NNB
리우데자네이루	리우데자네이루/NNP
올림픽에서	올림픽/NNG+에서/JKB
볼빅	볼빅/NNP
공으로	공/NNG+으로/JKB
금메달을	금메달/NNG+을/JKO
딸	따/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


