# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.286
metadata : {}


# id : NWRW1800000024.286.1.1
무역수지 7월도 흑자

무역수지	무역/NNG+수지/NNG
견줘	견주/VV+어/EC
유가와	유가/NNG+와/JC
원자재	원자재/NNG
가격이	가격/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
효과로	효과/NNG+로/JKB
소비재·원자재	소비재/NNG+·/SP+원자재/NNG
감소세가	감소세/NNG+가/JKS
두드러졌다.	두드러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.286.5.2
다만 자본재는 정보통신 부품 및 설비투자 장비의 수입이 늘어 상반기(26.2%)보다 둔화한 13.1%의 감소율을 보였다.

다만	다만/MAG
자본재는	자본재/NNG+는/JX
정보통신	정보/NNG+통신/NNG
부품	부품/NNG
및	및/MAG
설비투자	설비/NNG+투자/NNG
장비의	장비/NNG+의/JKG
수입이	수입/NNG+이/JKS
늘어	늘/VV+어/EC
상반기(26.2%)보다	상반기/NNG+(/SS+26/SN+./SP+2/SN+%/SW+)/SS+보다/JKB
둔화한	둔화/NNG+하/XSV+ㄴ/ETM
13.1%의	13/SN+./SP+1/SN+%/SW+의/JKG
감소율을	감소/NNG+율/XSN+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.286.5.3
지경부 관계자는 “자본재 수입의 증가는 수출 촉진, 기업 투자 등 하반기 경기회복에 긍정적인 신호”라고 말했다.

지경부	지경부/NNG
관계자는	관계자/NNG+는/JX
“자본재	“/SS+자본재/NNG
수입의	수입/NNG+의/JKG
증가는	증가/NNG+는/JX
수출	수출/NNG
촉진,	촉진/NNG+,/SP
기업	기업/NNG
투자	투자/NNG
등	등/NNB
하반기	하반기/NNG
경기회복에	경기/NNG+회복/NNG+에/JKB
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
신호”라고	신호/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


