# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.100
metadata : {}


# id : NWRW1800000038.100.1.1
[발자취] 물리학자 윤세원 박사

[발자취]	[/SS+발자취/NNG+]/SS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.100.7.1
고인은 원자력발전 분야의 인재 양성에도 공을 들였다.

고인은	고인/NNG+은/JX
원자력발전	원자력/NNG+발전/NNG
분야의	분야/NNG+의/JKG
인재	인재/NNG
양성에도	양성/NNG+에/JKB+도/JX
공을	공/NNG+을/JKO
들였다.	들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.100.7.2
서울대, 이화여대에서 교수로 있던 후배들을 독일, 영국, 프랑스, 미국 등에 정부 자금으로 유학 보냈다.

서울대,	서울대/NNP+,/SP
이화여대에서	이화여대/NNP+에서/JKB
교수로	교수/NNG+로/JKB
있던	있/VA+던/ETM
후배들을	후배/NNG+들/XSN+을/JKO
독일,	독일/NNP+,/SP
영국,	영국/NNP+,/SP
프랑스,	프랑스/NNP+,/SP
미국	미국/NNP
등에	등/NNB+에/JKB
정부	정부/NNG
자금으로	자금/NNG+으로/JKB
유학	유학/NNG
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.100.7.3
이승만 대통령이 "외화가 부족하다"며 반대했지만, 고인은 "우수한 과학자 한 사람은 어설픈 과학자 수백 명보다 낫다"며 이 대통령의 설득을 얻어냈다.

이승만	이승만/NNP
대통령이	대통령/NNG+이/JKS
"외화가	"/SS+외화/NNG+가/JKS
부족하다"며	부족/NNG+하/XSA+다/EF+"/SS+며/EC
반대했지만,	반대/NNG+하/XSV+았/EP+지만/EC+,/SP
고인은	고인/NNG+은/JX
"우수한	"/SS+우수/NNG+하/XSA+ㄴ/ETM
과학자	과학자/NNG
한	한/MMN
사람은	사람/NNG+은/JX
어설픈	어설프/VA+ㄴ/ETM
수백	수백/NR
명보다	명/NNB+보다/JKB
낫다"며	낫/VA+다/EF+"/SS+며/EC
이	이/NNP
대통령의	대통령/NNG+의/JKG
설득을	설득/NNG+을/JKO
얻어냈다.	얻/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.100.8.1
1922년 경기도 용인에서 태어난 고인은 일본 교토(京都)대를 거쳐 서울대 물리학과를 졸업했다.

1922년	1922/SN+년/NNB
경기도	경기도/NNP
용인에서	용인/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
고인은	고인/NNG+은/JX
일본	일본/NNP
교토(京都)대를	교토/NNP+(/SS+京都/SH+)/SS+대/NNG+를/JKO
거쳐	거치/VV+어/EC
서울대	서울대/NNP
물리학과를	물리학과/NNG+를/JKO
졸업했다.	졸업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.100.8.2
1956년 국내 첫 국비 장학생으로 선발돼 미국 아르곤국립연구소에서 10개월간 공부했다.

1956년	1956/SN+년/NNB
국내	국내/NNG
첫	첫/MMN
국비	국비/NNG
장학생으로	장학/NNG+생/XSN+으로/JKB
선발돼	선발/NNG+되/XSV+어/EC
미국	미국/NNP
아르곤국립연구소에서	아르곤국립연구소/NNP+에서/JKB
10개월간	10/SN+개월/NNB+간/XSN
공부했다.	공부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.100.8.3
원자력연구원 원자로 부장, 경희대 공대 학장, 선문대 총장, 한국물리학회 회장 등을 역임했다.

원자력연구원	원자력연구원/NNP
원자로	원자로/NNG
부장,	부장/NNG+,/SP
경희대	경희대/NNP
공대	공대/NNG
학장,	학장/NNG+,/SP
선문대	선문대/NNP
총장,	총장/NNG+,/SP
한국물리학회	한국물리학회/NNP
회장	회장/NNG
등을	등/NNB+을/JKO
역임했다.	역임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.100.8.4
1972년 국민훈장 동백장, 1998년 국민훈장 무궁화장을 받았다.

1972년	1972/SN+년/NNB
국민훈장	국민/NNG+훈장/NNG
동백장,	동백장/NNG+,/SP
1998년	1998/SN+년/NNB
무궁화장을	무궁화장/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.100.9.1
유족으로는 자녀 일선(LIG넥스원 연구위원), 호선(호선공간도예 원장), 문선(참좋은교회 목사), 관선(아마텍 대표), 혜선(YWCA 이사), 기선(경희대 교수)씨가 있다.

유족으로는	유족/NNG+으로/JKB+는/JX
자녀	자녀/NNG
일선(LIG넥스원	일선/NNP+(/SS+LIG넥스원/NNP
연구위원),	연구/NNG+위원/NNG+)/SS+,/SP
호선(호선공간도예	호선/NNP+(/SS+호선공간도예/NNP
원장),	원장/NNG+)/SS+,/SP
문선(참좋은교회	문선/NNP+(/SS+참좋은교회/NNP
목사),	목사/NNG+)/SS+,/SP
관선(아마텍	관선/NNP+(/SS+아마텍/NNP
대표),	대표/NNG+)/SS+,/SP
혜선(YWCA	혜선/NNP+(/SS+YWCA/SL
이사),	이사/NNG+)/SS+,/SP
기선(경희대	기선/NNP+(/SS+경희대/NNP
교수)씨가	교수/NNG+)/SS+씨/NNB+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.100.9.2
이강현 전 동아대 교수, 오준호 KAIST 교수, 최유창 LIG넥스원 이사, 이중정 연세대 교수가 사위다.

이강현	이강현/NNP
전	전/MMD
동아대	동아대/NNP
교수,	교수/NNG+,/SP
오준호	오준호/NNP
KAIST	KAIST/SL
최유창	최유창/NNP
LIG넥스원	LIG넥스원/NNP
이사,	이사/NNG+,/SP
이중정	이중정/NNP
연세대	연세대/NNP
교수가	교수/NNG+가/JKS
사위다.	사위/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.100.9.3
빈소는 서울아산병원 장례식장, 발인은 20일 오전 8시.

빈소는	빈소/NNG+는/JX
서울아산병원	서울아산병원/NNP
장례식장,	장례식장/NNG+,/SP
발인은	발인/NNG+은/JX
20일	20/SN+일/NNB
오전	오전/NNG
8시.	8/SN+시/NNB+./SF


# id : NWRW1800000038.100.9.4
(02)3010-2631

(02)3010-2631	(/SS+02/SN+)/SS+3010/SN+-/SO+2631/SN


