# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.36
metadata : {}


# id : NWRW1800000030.36.1.1
美, 피임약에도 건강보험 혜택

美,	美/SH+,/SP
사용한다며	사용/NNG+하/XSV+ㄴ다며/EC
강하게	강하/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.36.8.2
한 보수단체는 "보건부는 피임을 윤리적으로 반대하는 사람들을 위한 대안도 함께 제시해야 한다"고 말했다.

한	한/MMN
보수단체는	보수/NNG+단체/NNG+는/JX
"보건부는	"/SS+보건부/NNG+는/JX
피임을	피임/NNG+을/JKO
윤리적으로	윤리/NNG+적/XSN+으로/JKB
반대하는	반대/NNG+하/XSV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
대안도	대안/NNG+도/JX
함께	함께/MAG
제시해야	제시/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


