# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.313
metadata : {}


# id : NWRW1800000049.313.1.1
월세-외식비 비중 높여… 5년만에 새 물가지수 나온다

월세-외식비	월세/NNG+-/SO+외식비/NNG
연료비(5.46%→4.70%)	연료비/NNG+(/SS+5/SN+./SP+46/SN+%/SW+→/SW+4/SN+./SP+70/SN+%/SW+)/SS
등	등/NNB
에너지	에너지/NNG
품목	품목/NNG
가중치는	가중/NNG+치/XSN+는/JX
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.313.6.2
교육(11.74%→11.05%)도 정부의 정규교육비 지원 확대 등으로 지출 비중이 큰 폭으로 낮아졌다.

교육(11.74%→11.05%)도	교육/NNG+(/SS+11/SN+./SP+74/SN+%/SW+→/SW+11/SN+./SP+05/SN+%/SW+)/SS+도/JX
정부의	정부/NNG+의/JKG
정규교육비	정규/NNG+교육비/NNG
지원	지원/NNG
확대	확대/NNG
등으로	등/NNB+으로/JKB
지출	지출/NNG
비중이	비중/NNG+이/JKS
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.313.7.1
통계청은 가구 소비 패턴 변화를 빠르게 지수에 반영하기 위해 소비자물가 조사에 포함되는 대표 품목의 변경 주기를 기존 5년에서 3년으로 단축하고 지역 동향에 세종시를 추가하는 방안 등을 검토하고 있다.

통계청은	통계청/NNG+은/JX
가구	가구/NNG
소비	소비/NNG
패턴	패턴/NNG
변화를	변화/NNG+를/JKO
빠르게	빠르/VA+게/EC
지수에	지수/NNG+에/JKB
반영하기	반영/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
소비자물가	소비자/NNG+물가/NNG
조사에	조사/NNG+에/JKB
포함되는	포함/NNG+되/XSV+는/ETM
대표	대표/NNG
품목의	품목/NNG+의/JKG
변경	변경/NNG
주기를	주기/NNG+를/JKO
기존	기존/NNG
5년에서	5/SN+년/NNB+에서/JKB
3년으로	3/SN+년/NNB+으로/JKB
단축하고	단축/NNG+하/XSV+고/EC
지역	지역/NNG
동향에	동향/NNG+에/JKB
세종시를	세종시/NNP+를/JKO
추가하는	추가/NNG+하/XSV+는/ETM
방안	방안/NNG
등을	등/NNB+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.313.7.2
통계청은 대표 품목과 가중치 등을 조정한 새 지수를 12월 공표할 예정이다.

통계청은	통계청/NNG+은/JX
대표	대표/NNG
품목과	품목/NNG+과/JC
가중치	가중/NNG+치/XSN
등을	등/NNB+을/JKO
조정한	조정/NNG+하/XSV+ㄴ/ETM
새	새/MMA
지수를	지수/NNG+를/JKO
12월	12/SN+월/NNB
공표할	공표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


