# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.314
metadata : {}


# id : NWRW1800000046.314.1.1
"재직자는 더 내고 덜 받게… 신입은 국민연금 수준지급"

"재직자는	"/SS+재직자/NNG+는/JX
인사혁신처장은	인사/NNG+혁신처장/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
4차	4/SN+차/NNB
회의	회의/NNG
도중	도중/NNG
'정부가	'/SS+정부/NNG+가/JKS
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
기초안이	기초/NNG+안/NNG+이/JKS
있느냐'는	있/VA+느냐/EF+'/SS+는/ETM
질문에	질문/NNG+에/JKB
"정부가	"/SS+정부/NNG+가/JKS
입장을	입장/NNG+을/JKO
가지고	가지/VV+고/EC
대타협기구에서	대/XPN+타협/NNG+기구/NNG+에서/JKB
논의하기	논의/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
준비한	준비/NNG+하/XSV+ㄴ/ETM
안이	안/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
미리	미리/MAG
준비해온	준비/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
내용을	내용/NNG+을/JKO
읽었다.	읽/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.314.5.1
이 처장은 "다음 세대를 위한 개혁을 해야 한다는 생각하에, 재직자는 더 내고 덜 받고 신규자는 국민연금과 수급 구조를 동일하게 하는 쪽으로 검토 중"이라고 했다.

이	이/NNP
처장은	처장/NNG+은/JX
"다음	"/SS+다음/NNG
세대를	세대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
개혁을	개혁/NNG+을/JKO
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
생각하에,	생각/NNG+하/XSN+에/JKB+,/SP
재직자는	재직자/NNG+는/JX
더	더/MAG
내고	내/VV+고/EC
덜	덜/MAG
받고	받/VV+고/EC
신규자는	신규자/NNG+는/JX
국민연금과	국민연금/NNG+과/JC
수급	수급/NNG
구조를	구조/NNG+를/JKO
동일하게	동일/NNG+하/XSA+게/EC
하는	하/VX+는/ETM
쪽으로	쪽/NNB+으로/JKB
검토	검토/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.314.5.2
또 기존 수급자의 연금액을 고통 분담 차원에서 향후 5년 정도 동결하고, 고령화 지수를 도입하겠다는 내용이 포함됐다.

또	또/MAG
기존	기존/NNG
수급자의	수급자/NNG+의/JKG
연금액을	연금액/NNG+을/JKO
고통	고통/NNG
분담	분담/NNG
차원에서	차원/NNG+에서/JKB
향후	향후/NNG
5년	5/SN+년/NNB
정도	정도/NNG
동결하고,	동결/NNG+하/XSV+고/EC+,/SP
고령화	고령/NNG+화/XSN
지수를	지수/NNG+를/JKO
도입하겠다는	도입/NNG+하/XSV+겠/EP+다는/ETM
내용이	내용/NNG+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.314.6.1
연금 수급 자격이 되는 '20년 이상 근무' 조항도 '10년'으로 바꾸겠다고 했다.

연금	연금/NNG
수급	수급/NNG
자격이	자격/NNG+이/JKC
되는	되/VV+는/ETM
'20년	'/SS+20/SN+년/NNB
이상	이상/NNG
근무'	근무/NNG+'/SS
조항도	조항/NNG+도/JX
'10년'으로	'/SS+10/SN+년/NNB+'/SS+으로/JKB
바꾸겠다고	바꾸/VV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.314.6.2
이 처장은 "공무원이 퇴직 후 고액 연봉을 받는 경우가 문제가 되고 있는데, 일정 수준의 소득이 있을 경우에는 연금 전액에 대한 지급 정지 방안도 검토하고 있다"고 했다.

이	이/NNP
처장은	처장/NNG+은/JX
"공무원이	"/SS+공무원/NNG+이/JKS
퇴직	퇴직/NNG
후	후/NNG
고액	고액/NNG
연봉을	연봉/NNG+을/JKO
받는	받/VV+는/ETM
경우가	경우/NNG+가/JKS
문제가	문제/NNG+가/JKS
되고	되/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
일정	일정/NNG
수준의	수준/NNG+의/JKG
소득이	소득/NNG+이/JKS
있을	있/VA+을/ETM
경우에는	경우/NNG+에/JKB+는/JX
연금	연금/NNG
전액에	전액/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지급	지급/NNG
정지	정지/NNG
방안도	방안/NNG+도/JX
검토하고	검토/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.314.6.3
또 "(이 수정안은) 새누리당 안과 다르고, 작년 정부 안보다는 전체적으로 재정 효과가 좀 더 있는 것으로 추정된다"고도 했다.

또	또/MAG
"(이	"/SS+(/SS+이/MMD
수정안은)	수정안/NNG+은/JX+)/SS
새누리당	새누리당/NNP
안과	안/NNG+과/JKB
다르고,	다르/VA+고/EC+,/SP
작년	작년/NNG
정부	정부/NNG
안보다는	안/NNG+보다/JKB+는/JX
전체적으로	전체/NNG+적/XSN+으로/JKB
재정	재정/NNG
효과가	효과/NNG+가/JKS
좀	좀/MAG
더	더/MAG
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
추정된다"고도	추정/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.314.6.4
하지만 이 처장은 이 수정안에 대해 야당과 공무원단체에서 "대타협기구와 협의도 없이 정부 안을 내는 게 말이 되느냐"고 반발하자 "정부 안이 아니라 정부 측 위원이 갖고 있는 안"이라고 말을 바꿨다.

하지만	하지만/MAJ
이	이/MMD
처장은	처장/NNG+은/JX
수정안에	수정안/NNG+에/JKB
대해	대하/VV+아/EC
야당과	야당/NNG+과/JC
공무원단체에서	공무원/NNG+단체/NNG+에서/JKB
"대타협기구와	"/SS+대/XPN+타협/NNG+기구/NNG+와/JKB
협의도	협의/NNG+도/JX
없이	없이/MAG
정부	정부/NNG
안을	안/NNG+을/JKO
내는	내/VV+는/ETM
게	거/NNB+이/JKS
말이	말/NNG+이/JKC
되느냐"고	되/VV+느냐/EF+"/SS+고/JKQ
반발하자	반발/NNG+하/XSV+자/EC
"정부	"/SS+정부/NNG
안이	안/NNG+이/JKS
아니라	아니/VCN+라/EC
측	측/NNB
위원이	위원/NNG+이/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
안"이라고	안/NNG+"/SS+이라고/JKQ
말을	말/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.314.7.1
새정치연합은 이날 야당 안을 제시하지 않았다.

새정치연합은	새정치연합/NNP+은/JX
이날	이날/NNG
야당	야당/NNG
안을	안/NNG+을/JKO
제시하지	제시/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.314.7.2
대타협기구 공동위원장인 강기정 의원은 본지 통화에서 "야당 안이랄 게 없다"며 "국민대타협기구가 만들어졌기 때문에 여기서 안을 만들면 되는 것"이라고 했다.

대타협기구	대/XPN+타협/NNG+기구/NNG
공동위원장인	공동/NNG+위원장/NNG+이/VCP+ㄴ/ETM
강기정	강기정/NNP
의원은	의원/NNG+은/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"야당	"/SS+야당/NNG
안이랄	안/NNG+이/VCP+랄/ETM
게	거/NNB+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"국민대타협기구가	"/SS+국민/NNG+대/XPN+타협/NNG+기구/NNG+가/JKS
만들어졌기	만들/VV+어/EC+지/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
여기서	여기/NP+서/JKB
안을	안/NNG+을/JKO
만들면	만들/VV+면/EC
되는	되/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.314.7.3
하지만 강 의원은 앞서 "기구가 만들어지면 야당 안을 밝히겠다"고 해왔다.

하지만	하지만/MAJ
강	강/NNP
의원은	의원/NNG+은/JX
앞서	앞서/MAG
"기구가	"/SS+기구/NNG+가/JKS
만들어지면	만들/VV+어/EC+지/VX+면/EC
야당	야당/NNG
안을	안/NNG+을/JKO
밝히겠다"고	밝히/VV+겠/EP+다/EF+"/SS+고/JKQ
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


