# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.252
metadata : {}


# id : NWRW1800000037.252.1.1
뭘 맡겨도… 다 잘해서 고민인 구자철

뭘	뭐/NP+ㄹ/JKO
첫 승리가 간절했던 페루전에서는 공격수 김동섭(성남)을, 수비 안정을 추구한 아이티전에서는 중앙 수비수 김영권(광저우)을 데리고 나왔다.

첫	첫/MMN
승리가	승리/NNG+가/JKS
간절했던	간절하/VA+았/EP+던/ETM
페루전에서는	페루전/NNG+에서/JKB+는/JX
공격수	공격수/NNG
김동섭(성남)을,	김동섭/NNP+(/SS+성남/NNP+)/SS+을/JKO+,/SP
수비	수비/NNG
안정을	안정/NNG+을/JKO
추구한	추구/NNG+하/XSV+ㄴ/ETM
아이티전에서는	아이티전/NNG+에서/JKB+는/JX
중앙	중앙/NNG
수비수	수비수/NNG
김영권(광저우)을	김영권/NNP+(/SS+광저우/NNP+)/SS+을/JKO
데리고	데리/VV+고/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.252.6.1
홍 감독은 이날 “미드필더가 얼마나 강하냐, 강하지 못하냐에 따라 월드컵의 성패가 좌우된다.

홍	홍/NNP
감독은	감독/NNG+은/JX
이날	이날/NNG
“미드필더가	“/SS+미드필더/NNG+가/JKS
얼마나	얼마나/MAG
강하냐,	강하/VA+냐/EF+,/SP
강하지	강하/VA+지/EC
못하냐에	못하/VX+냐/EF+에/JKB
따라	따르/VV+아/EC
월드컵의	월드컵/NNG+의/JKG
성패가	성패/NNG+가/JKS
좌우된다.	좌우/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.252.6.2
크로아티아전은 좀 더 좋은 조합을 찾는 과정”이라고 말했다.

크로아티아전은	크로아티아전/NNG+은/JX
좀	좀/MAG
더	더/MAG
좋은	좋/VA+은/ETM
조합을	조합/NNG+을/JKO
찾는	찾/VV+는/ETM
과정”이라고	과정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.252.6.3
홍 감독이 말한 최상의 미드필더 조합에서 구자철은 핵심적인 선수다.

홍	홍/NNP
감독이	감독/NNG+이/JKS
말한	말/NNG+하/XSV+ㄴ/ETM
최상의	최상/NNG+의/JKG
미드필더	미드필더/NNG
조합에서	조합/NNG+에서/JKB
구자철은	구자철/NNP+은/JX
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.252.6.4
구자철은 어떤 포지션에서도 100% 자신의 역할을 해낸다.

구자철은	구자철/NNP+은/JX
어떤	어떤/MMD
포지션에서도	포지션/NNG+에서/JKB+도/JX
100%	100/SN+%/SW
자신의	자신/NNG+의/JKG
역할을	역할/NNG+을/JKO
해낸다.	해내/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.252.6.5
홍 감독으로서는 구자철을 중심으로 최상의 미드필더 조합을 이번 평가전을 통해 찾겠다는 생각이다.

홍	홍/NNP
감독으로서는	감독/NNG+으로서/JKB+는/JX
구자철을	구자철/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
최상의	최상/NNG+의/JKG
미드필더	미드필더/NNG
조합을	조합/NNG+을/JKO
이번	이번/NNG
평가전을	평가전/NNG+을/JKO
통해	통하/VV+아/EC
찾겠다는	찾/VV+겠/EP+다는/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.252.7.1
대표팀에서 주로 중앙 미드필더로 활약해 온 구자철은 홍 감독이 이끌었던 지난해 런던 올림픽 때도 같은 포지션에서 뛰었다.

대표팀에서	대표/NNG+팀/NNG+에서/JKB
주로	주로/MAG
중앙	중앙/NNG
미드필더로	미드필더/NNG+로/JKB
활약해	활약/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
구자철은	구자철/NNP+은/JX
홍	홍/NNP
감독이	감독/NNG+이/JKS
이끌었던	이끌/VV+었/EP+던/ETM
지난해	지난해/NNG
런던	런던/NNP
올림픽	올림픽/NNG
때도	때/NNG+도/JX
같은	같/VA+은/ETM
포지션에서	포지션/NNG+에서/JKB
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.252.7.2
이미 중앙 미드필더로서의 역할을 홍 감독에게서 검증을 받은 셈이다.

이미	이미/MAG
중앙	중앙/NNG
미드필더로서의	미드필더/NNG+로서/JKB+의/JKG
역할을	역할/NNG+을/JKO
홍	홍/NNP
감독에게서	감독/NNG+에게서/JKB
검증을	검증/NNG+을/JKO
받은	받/VV+은/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.252.8.1
홍 감독은 6일 아이티와의 평가전(4-1·승)에서 구자철을 공격수 자리에 놓고 실험했다.

홍	홍/NNP
감독은	감독/NNG+은/JX
6일	6/SN+일/NNB
아이티와의	아이티/NNP+와/JKB+의/JKG
평가전(4-1·승)에서	평가전/NNG+(/SS+4/SN+-/SO+1/SN+·/SP+승/NNG+)/SS+에서/JKB
구자철을	구자철/NNP+을/JKO
공격수	공격수/NNG
자리에	자리/NNG+에/JKB
놓고	놓/VV+고/EC
실험했다.	실험/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.252.8.2
결과는 ‘합격’이었다.

결과는	결과/NNG+는/JX
‘합격’이었다.	‘/SS+합격/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.252.8.3
부진하던 최전방 공격수 지동원(선덜랜드) 대신 후반에 교체 출전해 공격수 임무를 수행했다.

부진하던	부진/NNG+하/XSA+던/ETM
최전방	최/XPN+전방/NNG
공격수	공격수/NNG
지동원(선덜랜드)	지동원/NNP+(/SS+선덜랜드/NNP+)/SS
대신	대신/NNG
후반에	후반/NNG+에/JKB
교체	교체/NNG
출전해	출전/NNG+하/XSV+아/EC
임무를	임무/NNG+를/JKO
수행했다.	수행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.252.8.4
미드필더와의 연계 플레이는 물론 정확한 패스로 공격을 이끌었으며 페널티킥으로 한 골을 넣었다.

미드필더와의	미드필더/NNG+와/JKB+의/JKG
연계	연계/NNG
플레이는	플레이/NNG+는/JX
물론	물론/MAG
정확한	정확/NNG+하/XSA+ㄴ/ETM
패스로	패스/NNG+로/JKB
공격을	공격/NNG+을/JKO
이끌었으며	이끌/VV+었/EP+으며/EC
페널티킥으로	페널티/NNG+킥/NNG+으로/JKB
한	한/MMN
골을	골/NNG+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.252.8.5
구자철에게 공격수는 낯선 자리가 아니다.

구자철에게	구자철/NNP+에게/JKB
공격수는	공격수/NNG+는/JX
낯선	낯설/VA+ㄴ/ETM
자리가	자리/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000037.252.8.6
2011년 카타르 아시안컵에서 득점왕(5골)에 오르며 이미 인정을 받았다.

2011년	2011/SN+년/NNB
카타르	카타르/NNP
아시안컵에서	아시안/NNP+컵/NNG+에서/JKB
득점왕(5골)에	득점왕/NNG+(/SS+5/SN+골/NNG+)/SS+에/JKB
오르며	오르/VV+며/EC
이미	이미/MAG
인정을	인정/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.252.8.7
현재 대표팀에서도 이근호(상주·52경기 16골) 다음으로 A매치에서 가장 많은 골(30경기 10골)을 터뜨린 선수가 구자철이다.

현재	현재/MAG
대표팀에서도	대표/NNG+팀/NNG+에서/JKB+도/JX
이근호(상주·52경기	이근호/NNP+(/SS+상주/NNP+·/SP+52/SN+경기/NNG
16골)	16/SN+골/NNG+)/SS
다음으로	다음/NNG+으로/JKB
A매치에서	A/SL+매치/NNG+에서/JKB
가장	가장/MAG
많은	많/VA+은/ETM
골(30경기	골/NNG+(/SS+30/SN+경기/NNG
10골)을	10/SN+골/NNG+)/SS+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
선수가	선수/NNG+가/JKS
구자철이다.	구자철/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000037.252.9.1
이번 평가전에서 구자철은 수비형 미드필더로 새 역할을 맡게 될 가능성이 높다.

이번	이번/NNG
평가전에서	평가전/NNG+에서/JKB
구자철은	구자철/NNP+은/JX
수비형	수비/NNG+형/XSN
미드필더로	미드필더/NNG+로/JKB
새	새/MMA
역할을	역할/NNG+을/JKO
맡게	맡/VV+게/EC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000037.252.9.2
홍 감독은 “구자철은 소속팀에서 수비형 미드필더 역할을 하고 있다.

홍	홍/NNP
감독은	감독/NNG+은/JX
“구자철은	“/SS+구자철/NNP+은/JX
소속팀에서	소속/NNG+팀/NNG+에서/JKB
수비형	수비/NNG+형/XSN
미드필더	미드필더/NNG
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.252.9.3
일주일 이상 시간을 보내면서 그 포지션에서의 적응력과 대표팀에서 어느 정도 시너지 효과가 있는지 생각했다.

일주일	일주일/NNG
이상	이상/NNG
시간을	시간/NNG+을/JKO
보내면서	보내/VV+면서/EC
그	그/MMD
포지션에서의	포지션/NNG+에서/JKB+의/JKG
적응력과	적응력/NNG+과/JC
대표팀에서	대표/NNG+팀/NNG+에서/JKB
어느	어느/MMD
정도	정도/NNG
시너지	시너지/NNG
효과가	효과/NNG+가/JKS
있는지	있/VA+는지/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.252.9.4
구자철에게 맞는 포지션을 계획 중이다”라고 말했다.

구자철에게	구자철/NNP+에게/JKB
맞는	맞/VV+는/ETM
포지션을	포지션/NNG+을/JKO
계획	계획/NNG
중이다”라고	중/NNB+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.252.9.5
소속팀에서 중앙 미드필더로 뛰는 김보경(카디프시티)과 포지션이 겹치는 점도 고려된 것으로 보인다.

소속팀에서	소속/NNG+팀/NNG+에서/JKB
중앙	중앙/NNG
미드필더로	미드필더/NNG+로/JKB
뛰는	뛰/VV+는/ETM
김보경(카디프시티)과	김보경/NNP+(/SS+카디프시티/NNP+)/SS+과/JKB
포지션이	포지션/NNG+이/JKS
겹치는	겹치/VV+는/ETM
점도	점/NNG+도/JX
고려된	고려/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.252.9.6
구자철은 “공격적인 포지션을 선호하지만 감독님이 어떠한 주문을 하느냐가 더 중요하다.

구자철은	구자철/NNP+은/JX
“공격적인	“/SS+공격/NNG+적/XSN+이/VCP+ㄴ/ETM
포지션을	포지션/NNG+을/JKO
선호하지만	선호/NNG+하/XSV+지만/EC
감독님이	감독/NNG+님/XSN+이/JKS
어떠한	어떠하/VA+ㄴ/ETM
주문을	주문/NNG+을/JKO
하느냐가	하/VV+느냐/EF+가/JKS
더	더/MAG
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.252.9.7
제일 잘할 수 있는 포지션이라면 어느 자리든 좋다”고 말했다.

제일	제일/MAG
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
포지션이라면	포지션/NNG+이/VCP+라면/EC
어느	어느/MMD
자리든	자리/NNG+이/VCP+든/EC
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


