# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.18
metadata : {}


# id : NWRW1800000029.18.1.1
東日本 대지진 / 日서 부품조달 中企 수급 비상

東日本	東日本/SH
피해가	피해/NNG+가/JKS
적지	적/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
가운데	가운데/NNG
중기청과	중기청/NNG+과/JC
중소기업중앙회는	중소기업/NNG+중앙회/NNG+는/JX
동일본	동일본/NNP
대지진	대/XPN+지진/NNG
관련	관련/NNG
중소기업지원	중소기업/NNG+지원/NNG
대책반을	대책반/NNG+을/JKO
각각	각각/MAG
구성해	구성/NNG+하/XSV+아/EC
14일부터	14/SN+일/NNB+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
피해	피해/NNG
파악에	파악/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.18.5.1
지진 피해가 가장 큰 도호쿠(東北) 지역에 대한 한국의 수출은 2009년 약 3600억 원으로 일본에 대한 전체 수출액(31조 원)의 1.2%에 불과하지만 일본의 소비 위축 등으로 수출 전체가 줄어들지도 모른다는 위기감이 감돌고 있다.

지진	지진/NNG
피해가	피해/NNG+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
도호쿠(東北)	도호쿠/NNP+(/SS+東北/SH+)/SS
지역에	지역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
수출은	수출/NNG+은/JX
2009년	2009/SN+년/NNB
약	약/MMA
3600억	3600/SN+억/NR
원으로	원/NNB+으로/JKB
일본에	일본/NNP+에/JKB
전체	전체/NNG
수출액(31조	수출액/NNG+(/SS+31/SN+조/NR
원)의	원/NNB+)/SS+의/JKG
1.2%에	1/SN+./SP+2/SN+%/SW+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
일본의	일본/NNP+의/JKG
소비	소비/NNG
위축	위축/NNG
등으로	등/NNB+으로/JKB
수출	수출/NNG
전체가	전체/NNG+가/JKS
줄어들지도	줄어들/VV+ㄹ지/EF+도/JX
모른다는	모르/VV+ㄴ다는/ETM
위기감이	위기감/NNG+이/JKS
감돌고	감돌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.18.6.1
당장 문제는 수입업체들이다.

당장	당장/NNG
문제는	문제/NNG+는/JX
수입업체들이다.	수입업체/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000029.18.6.2
특히 일본을 통한 부품·소재 수입은 지난해 381억 달러로 국내 전체 부품·소재 수입의 25%에 이른다.

특히	특히/MAG
일본을	일본/NNP+을/JKO
통한	통하/VV+ㄴ/ETM
부품·소재	부품/NNG+·/SP+소재/NNG
수입은	수입/NNG+은/JX
지난해	지난해/NNG
381억	381/SN+억/NR
달러로	달러/NNB+로/JKB
국내	국내/NNG
전체	전체/NNG
수입의	수입/NNG+의/JKG
25%에	25/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.18.6.3
이 밖에 일본으로부터 수입금액이 큰 전자부품(68억 달러), 석유화학(46억 달러), 정밀화학(45억 달러), 산업용 전자제품(30억 달러) 관련 업체에 미치는 영향이 클 것으로 예상된다.

이	이/NP
밖에	밖/NNG+에/JKB
일본으로부터	일본/NNP+으로부터/JKB
수입금액이	수입/NNG+금액/NNG+이/JKS
큰	크/VA+ㄴ/ETM
전자부품(68억	전자/NNG+부품/NNG+(/SS+68/SN+억/NR
달러),	달러/NNB+)/SS+,/SP
석유화학(46억	석유/NNG+화학/NNG+(/SS+46/SN+억/NR
정밀화학(45억	정밀/NNG+화학/NNG+(/SS+45/SN+억/NR
산업용	산업/NNG+용/XSN
전자제품(30억	전자/NNG+제품/NNG+(/SS+30/SN+억/NR
달러)	달러/NNB+)/SS
관련	관련/NNG
업체에	업체/NNG+에/JKB
미치는	미치/VV+는/ETM
영향이	영향/NNG+이/JKS
클	크/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.18.7.1
전자공업협동조합 관계자는 “약 30%의 전자 회원사들이 일본에서 부품을 조달받고 있다”며 “아직은 재고가 있지만 사태가 장기화하면 생산 차질이 불가피하다”고 말했다.

전자공업협동조합	전자공업협동조합/NNP
관계자는	관계자/NNG+는/JX
“약	“/SS+약/MMA
30%의	30/SN+%/SW+의/JKG
전자	전자/NNG
회원사들이	회원사/NNG+들/XSN+이/JKS
일본에서	일본/NNP+에서/JKB
부품을	부품/NNG+을/JKO
조달받고	조달/NNG+받/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“아직은	“/SS+아직/MAG+은/JX
재고가	재고/NNG+가/JKS
있지만	있/VA+지만/EC
사태가	사태/NNG+가/JKS
장기화하면	장기/NNG+화/XSN+하/XSV+면/EC
생산	생산/NNG
차질이	차질/NNG+이/JKS
불가피하다”고	불가피하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.18.7.2
자동차공업협동조합 관계자는 “자동차 부품의 국산화가 많이 이뤄졌고 대부분 재고 물량을 한두 달분 보유하고 있지만 그 이상 부품 수급에 차질이 생기면 문제가 발생할 수도 있다”고 말했다.

자동차공업협동조합	자동차/NNG+공업/NNG+협동조합/NNG
관계자는	관계자/NNG+는/JX
“자동차	“/SS+자동차/NNG
부품의	부품/NNG+의/JKG
국산화가	국산/NNG+화/XSN+가/JKS
많이	많이/MAG
이뤄졌고	이뤄지/VV+었/EP+고/EC
대부분	대/XPN+부분/NNG
재고	재고/NNG
물량을	물량/NNG+을/JKO
한두	한두/MMN
달분	달/NNB+분/XSN
보유하고	보유/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
그	그/NP
이상	이상/NNG
부품	부품/NNG
수급에	수급/NNG+에/JKB
차질이	차질/NNG+이/JKS
생기면	생기/VV+면/EC
문제가	문제/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


