# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.191
metadata : {}


# id : NWRW1800000028.191.1.1
LH, 땅투자 해약해도 ‘원금+이자’ 준다

LH,	LH/SL+,/SP
전환돼	전환/NNG+되/XSV+어/EC
계약금이	계약금/NNG+이/JKS
토지주택공사에	토지주택공사/NNP+에/JKB
귀속된다.	귀속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.191.4.1
토지주택공사는 경기 변동에 따른 위험을 토지주택공사가 지는 만큼 매수자는 무위험 투자수단이 될 수 있고 토지 투자에 관심은 있지만 경기 회복에 대한 불안감으로 투자를 망설이는 투자자들의 매수 결정에 도움이 될 것으로 예상됐다.

토지주택공사는	토지주택공사/NNP+는/JX
경기	경기/NNG
변동에	변동/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
위험을	위험/NNG+을/JKO
토지주택공사가	토지주택공사/NNP+가/JKS
지는	지/VV+는/ETM
만큼	만큼/NNB
매수자는	매수자/NNG+는/JX
무위험	무/XPN+위험/NNG
투자수단이	투자/NNG+수단/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
토지	토지/NNG
투자에	투자/NNG+에/JKB
관심은	관심/NNG+은/JX
있지만	있/VA+지만/EC
회복에	회복/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불안감으로	불안감/NNG+으로/JKB
투자를	투자/NNG+를/JKO
망설이는	망설이/VV+는/ETM
투자자들의	투자자/NNG+들/XSN+의/JKG
매수	매수/NNG
결정에	결정/NNG+에/JKB
도움이	도움/NNG+이/JKC
것으로	것/NNB+으로/JKB
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.191.4.2
하지만 투자자들은 할부금 등을 6개월 이상 연체할 경우 리턴 권리가 소멸하는 것에 유의해야 한다.

하지만	하지만/MAJ
투자자들은	투자자/NNG+들/XSN+은/JX
할부금	할부금/NNG
등을	등/NNB+을/JKO
6개월	6/SN+개월/NNB
이상	이상/NNG
연체할	연체/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
리턴	리턴/NNG
권리가	권리/NNG+가/JKS
소멸하는	소멸/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
유의해야	유의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.191.5.1
토지 리턴제 개선안은 지난달 10일 이후 매각공고분부터 적용하고 있지만 지역별로 리턴제 적용 요건 충족을 위한 절차를 마련해야 하기 때문에 이달 중순부터 본격적으로 시행된다.

토지	토지/NNG
리턴제	리턴/NNG+제/XSN
개선안은	개선안/NNG+은/JX
지난달	지난달/NNG
10일	10/SN+일/NNB
이후	이후/NNG
매각공고분부터	매각/NNG+공고/NNG+분/XSN+부터/JX
적용하고	적용/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
지역별로	지역/NNG+별/XSN+로/JKB
적용	적용/NNG
요건	요건/NNG
충족을	충족/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
절차를	절차/NNG+를/JKO
마련해야	마련/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
이달	이달/NNG
중순부터	중순/NNG+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
시행된다.	시행/NNG+되/XSV+ㄴ다/EF+./SF


