# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.34
metadata : {}


# id : NWRW1800000036.34.1.1
르노-닛산 곤 회장 “르노삼성 1700억 지원”…‘희망고문’ 되나

르노-닛산	르노-닛산/NNP
기능은	기능/NNG+은/JX
줄어들고	줄어들/VV+고/EC
단순	단순/NNG
생산거점으로	생산/NNG+거점/NNG+으로/JKB
전락하는	전락/NNG+하/XSV+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.34.10.2
단순 생산거점으로 자리매김할 경우 대외환경이나 그룹 전략 변화에 따라 언제든 물량이 이전될 수 있다.

단순	단순/NNG
생산거점으로	생산/NNG+거점/NNG+으로/JKB
자리매김할	자리매김/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
대외환경이나	대외/NNG+환경/NNG+이나/JC
그룹	그룹/NNG
전략	전략/NNG
변화에	변화/NNG+에/JKB
따라	따르/VV+아/EC
언제든	언제/NP+든/JX
물량이	물량/NNG+이/JKS
이전될	이전/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.34.11.1
일부에선 공장 가동률을 높인 뒤 대대적인 구조조정이나 지분 매각에 나서는 것 아니냐는 전망도 나오고 있다.

일부에선	일부/NNG+에서/JKB+ㄴ/JX
공장	공장/NNG
가동률을	가동/NNG+률/XSN+을/JKO
높인	높이/VV+ㄴ/ETM
뒤	뒤/NNG
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
구조조정이나	구조/NNG+조정/NNG+이나/JC
지분	지분/NNG
매각에	매각/NNG+에/JKB
나서는	나서/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
전망도	전망/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.34.11.2
브라질 태생의 곤 회장은 1985년 30살의 나이로 미쉐린 남미법인의 최고운영책임자에 오른 뒤 대규모 구조조정으로 회사를 흑자전환시켰다.

브라질	브라질/NNP
태생의	태생/NNG+의/JKG
곤	곤/NNP
회장은	회장/NNG+은/JX
1985년	1985/SN+년/NNB
30살의	30/SN+살/NNB+의/JKG
나이로	나이/NNG+로/JKB
미쉐린	미쉐린/NNP
남미법인의	남미/NNP+법인/NNG+의/JKG
최고운영책임자에	최고/NNG+운영/NNG+책임자/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
뒤	뒤/NNG
대규모	대/XPN+규모/NNG
구조조정으로	구조/NNG+조정/NNG+으로/JKB
회사를	회사/NNG+를/JKO
흑자전환시켰다.	흑자/NNG+전환/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.34.11.3
1999년 닛산의 지휘봉을 잡은 뒤에는 2만명을 감축하고 5개 공장을 폐쇄하는 등 구조조정을 진행했다.

1999년	1999/SN+년/NNB
닛산의	닛산/NNP+의/JKG
지휘봉을	지휘봉/NNG+을/JKO
잡은	잡/VV+은/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
2만명을	2/SN+만/NR+명/NNB+을/JKO
감축하고	감축/NNG+하/XSV+고/EC
5개	5/SN+개/NNB
공장을	공장/NNG+을/JKO
폐쇄하는	폐쇄/NNG+하/XSV+는/ETM
등	등/NNB
구조조정을	구조/NNG+조정/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.34.12.1
르노삼성은 지난해 2000억원대의 영업손실을 기록한 데 이어, 올 상반기 판매량이 지난해 상반기보다 32.8% 줄어든 8만3062대에 그쳐 생산 중단과 재개를 반복하는 등 고전하고 있다.

르노삼성은	르노삼성/NNP+은/JX
지난해	지난해/NNG
2000억원대의	2000/SN+억/NR+원/NNB+대/XSN+의/JKG
영업손실을	영업/NNG+손실/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
올	올/NNG
상반기	상반기/NNG
판매량이	판매량/NNG+이/JKS
상반기보다	상반기/NNG+보다/JKB
32.8%	32/SN+./SP+8/SN+%/SW
줄어든	줄어들/VV+ㄴ/ETM
8만3062대에	8/SN+만/NR+3062/SN+대/NNB+에/JKB
그쳐	그치/VV+어/EC
생산	생산/NNG
중단과	중단/NNG+과/JC
재개를	재개/NNG+를/JKO
반복하는	반복/NNG+하/XSV+는/ETM
등	등/NNB
고전하고	고전/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


