# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.134
metadata : {}


# id : NWRW1800000025.134.1.1
“심리상담, 이젠 선택 아닌 필수입니다”

“심리상담,	“/SS+심리/NNG+상담/NNG+,/SP
잘하려고	잘/MAG+하/XSV+려고/EC
노력할수록	노력/NNG+하/XSV+ㄹ수록/EC
이상하게	이상/NNG+하/XSA+게/EC
몸은	몸/NNG+은/JX
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
않는	않/VX+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000025.134.4.1
예전에는 많은 선수가 술로 이 같은 스트레스를 풀었다.

예전에는	예전/NNG+에/JKB+는/JX
많은	많/VA+은/ETM
선수가	선수/NNG+가/JKS
술로	술/NNG+로/JKB
이	이/MMD
같은	같/VA+은/ETM
스트레스를	스트레스/NNG+를/JKO
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.134.4.2
하지만 요즘 각 구단은 앞 다퉈 스포츠 심리 전문가를 초빙해 문제를 해결하고 있다.

하지만	하지만/MAJ
요즘	요즘/NNG
각	각/MMD
구단은	구단/NNG+은/JX
앞	앞/NA
다퉈	다투/VV+어/EC
스포츠	스포츠/NNG
심리	심리/NNG
전문가를	전문가/NNG+를/JKO
초빙해	초빙/NNG+하/XSV+아/EC
문제를	문제/NNG+를/JKO
해결하고	해결/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.134.4.3
프로야구도 이제는 심리전이 필수인 시대가 온 것이다.

프로야구도	프로/NNG+야구/NNG+도/JX
이제는	이제/NNG+는/JX
심리전이	심리전/NNG+이/JKS
필수인	필수/NNG+이/VCP+ㄴ/ETM
시대가	시대/NNG+가/JKS
온	오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.134.5.1
○ KIA의 10번째 우승에도 기여

○	○/SW
KIA의	KIA/SL+의/JKG
10번째	10/SN+번/NNB+째/XSN
우승에도	우승/NNG+에/JKB+도/JX
기여	기여/NNG


# id : NWRW1800000025.134.6.1
미국과 일본 등 스포츠 선진국에서는 선수가 스포츠 심리학자의 도움을 받는 게 일반적이다.

미국과	미국/NNP+과/JC
일본	일본/NNP
등	등/NNB
스포츠	스포츠/NNG
선진국에서는	선진국/NNG+에서/JKB+는/JX
선수가	선수/NNG+가/JKS
심리학자의	심리학자/NNG+의/JKG
도움을	도움/NNG+을/JKO
받는	받/VV+는/ETM
게	거/NNB+이/JKS
일반적이다.	일반/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.134.6.2
미국프로야구 뉴욕 양키스에서 뛰고 있는 박찬호(37)도 LA 다저스 시절 동료 투수 케빈 브라운의 소개로 만난 하비 도프먼 박사와 10년 넘게 관계를 유지하고 있다.

미국프로야구	미국/NNP+프로/NNG+야구/NNG
뉴욕	뉴욕/NNP
양키스에서	양키스/NNP+에서/JKB
뛰고	뛰/VV+고/EC
있는	있/VX+는/ETM
박찬호(37)도	박찬호/NNP+(/SS+37/SN+)/SS+도/JX
LA	LA/SL
다저스	다저스/NNP
시절	시절/NNG
동료	동료/NNG
투수	투수/NNG
케빈	케빈/NNP
브라운의	브라운/NNP+의/JKG
소개로	소개/NNG+로/JKB
만난	만나/VV+ㄴ/ETM
하비	하비/NNP
도프먼	도프먼/NNP
박사와	박사/NNG+와/JC
10년	10/SN+년/NNB
넘게	넘/VV+게/EC
관계를	관계/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.134.7.1
골프와 양궁, 사격 등 멘털이 중요한 종목의 선수들은 오래전부터 스포츠 심리학자를 통해 정신적인 안정을 찾고 있다.

골프와	골프/NNG+와/JC
양궁,	양궁/NNG+,/SP
사격	사격/NNG
등	등/NNB
멘털이	멘털/NNG+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
종목의	종목/NNG+의/JKG
선수들은	선수/NNG+들/XSN+은/JX
오래전부터	오래전/NNG+부터/JX
스포츠	스포츠/NNG
심리학자를	심리학자/NNG+를/JKO
통해	통하/VV+아/EC
정신적인	정신/NNG+적/XSN+이/VCP+ㄴ/ETM
안정을	안정/NNG+을/JKO
찾고	찾/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.134.7.2
체육과학연구원은 양궁과 사격 국가대표 선수들에 대해 정기적인 심리 상담을 해준다.

체육과학연구원은	체육/NNG+과학/NNG+연구원/NNG+은/JX
양궁과	양궁/NNG+과/JC
사격	사격/NNG
국가대표	국가/NNG+대표/NNG
선수들에	선수/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
정기적인	정기/NNG+적/XSN+이/VCP+ㄴ/ETM
심리	심리/NNG
상담을	상담/NNG+을/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.134.7.3
한때 슬럼프에 빠졌던 여자 골퍼 최나연(23·SK텔레콤)도 “심리 상담을 통해 너무 평범하지만 잊고 있던 비방을 전수받았다”고 말한 적이 있다.

한때	한때/MAG
슬럼프에	슬럼프/NNG+에/JKB
빠졌던	빠지/VV+었/EP+던/ETM
여자	여자/NNG
골퍼	골퍼/NNG
최나연(23·SK텔레콤)도	최나연/NNP+(/SS+23/SN+·/SP+SK텔레콤/NNP+)/SS+도/JX
“심리	“/SS+심리/NNG
상담을	상담/NNG+을/JKO
통해	통하/VV+아/EC
너무	너무/MAG
평범하지만	평범하/VA+지만/EC
잊고	잊/VV+고/EC
있던	있/VX+던/ETM
비방을	비방/NNG+을/JKO
전수받았다”고	전수/NNG+받/XSV+았/EP+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.134.8.1
지난해 처음 심리 상담을 도입한 KIA도 톡톡히 효과를 봤다.

지난해	지난해/NNG
처음	처음/NNG
심리	심리/NNG
상담을	상담/NNG+을/JKO
도입한	도입/NNG+하/XSV+ㄴ/ETM
KIA도	KIA/SL+도/JX
톡톡히	톡톡히/MAG
효과를	효과/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.134.8.2
KIA는 지난해 10년 만에 한국시리즈 패권을 차지했는데 심리 상담을 통해 안정감을 찾은 신진급 선수들의 활약이 결정적이었다.

KIA는	KIA/SL+는/JX
지난해	지난해/NNG
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
한국시리즈	한국/NNP+시리즈/NNG
패권을	패권/NNG+을/JKO
차지했는데	차지/NNG+하/XSV+았/EP+는데/EC
심리	심리/NNG
상담을	상담/NNG+을/JKO
통해	통하/VV+아/EC
안정감을	안정감/NNG+을/JKO
찾은	찾/VV+은/ETM
신진급	신진급/NNG
선수들의	선수/NNG+들/XSN+의/JKG
활약이	활약/NNG+이/JKS
결정적이었다.	결정/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.134.8.3
이에 따라 KIA는 올해 1군 주전 선수 전원을 대상으로 심리 상담 프로그램을 확대 운영하고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
KIA는	KIA/SL+는/JX
올해	올해/NNG
1군	1/SN+군/NNG
주전	주전/NNG
선수	선수/NNG
전원을	전원/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
심리	심리/NNG
상담	상담/NNG
프로그램을	프로그램/NNG+을/JKO
확대	확대/NNG
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.134.9.1
매년 우승 문턱에서 주저앉은 두산도 올해부터 심리 상담을 시행하고 있다.

매년	매년/MAG
우승	우승/NNG
문턱에서	문턱/NNG+에서/JKB
주저앉은	주저앉/VV+은/ETM
두산도	두산/NNP+도/JX
올해부터	올해/NNG+부터/JX
심리	심리/NNG
상담을	상담/NNG+을/JKO
시행하고	시행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.134.9.2
김선우와 임재철 등 고참 선수들을 시작으로 일주일에 한두 차례 심리 전문가가 구장을 방문해 상담을 해준다.

김선우와	김선우/NNP+와/JC
임재철	임재철/NNP
등	등/NNB
고참	고참/NNG
선수들을	선수/NNG+들/XSN+을/JKO
시작으로	시작/NNG+으로/JKB
일주일에	일주일/NNG+에/JKB
한두	한두/MMN
차례	차례/NNG
심리	심리/NNG
전문가가	전문가/NNG+가/JKS
구장을	구장/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
상담을	상담/NNG+을/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.134.9.3
LG는 지난해부터 중앙대병원 한덕현 박사를 초빙하고 있고, 삼성 선수들도 몇 년 전부터 필요할 때마다 경북대 김진구 교수에게 심리 상담을 받고 있다.

LG는	LG/SL+는/JX
지난해부터	지난해/NNG+부터/JX
중앙대병원	중앙대/NNP+병원/NNG
한덕현	한덕현/NNP
박사를	박사/NNG+를/JKO
초빙하고	초빙/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
삼성	삼성/NNP
선수들도	선수/NNG+들/XSN+도/JX
몇	몇/NR
년	년/NNB
전부터	전/NNG+부터/JX
필요할	필요/NNG+하/XSA+ㄹ/ETM
때마다	때/NNG+마다/JX
경북대	경북대/NNP
김진구	김진구/NNP
교수에게	교수/NNG+에게/JKB
심리	심리/NNG
상담을	상담/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.134.10.1
○ 말하는 것만으로도 큰 효과

○	○/SW
말하는	말/NNG+하/XSV+는/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
큰	크/VA+ㄴ/ETM
효과	효과/NNG


# id : NWRW1800000025.134.11.1
프로그램 도입 초기 구단 대부분이 선수들의 반발에 부닥쳤다.

프로그램	프로그램/NNG
도입	도입/NNG
초기	초기/NNG
구단	구단/NNG
대부분이	대/XPN+부분/NNG+이/JKS
선수들의	선수/NNG+들/XSN+의/JKG
반발에	반발/NNG+에/JKB
부닥쳤다.	부닥치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.134.11.2
“정신과 치료 아니냐” “우리가 돌아이냐” 등등의 반응이 나왔다.

“정신과	“/SS+정신과/NNG
치료	치료/NNG
아니냐”	아니/VCN+냐/EF+”/SS
“우리가	“/SS+우리/NP+가/JKS
돌아이냐”	돌아이/NNG+이/VCP+냐/EF+”/SS
등등의	등등/NNB+의/JKG
반응이	반응/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.134.11.3
하지만 막상 상담을 한 선수들 사이에서는 만족도가 아주 높았다고 한다.

하지만	하지만/MAJ
막상	막상/MAG
상담을	상담/NNG+을/JKO
한	하/VV+ㄴ/ETM
선수들	선수/NNG+들/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
만족도가	만족도/NNG+가/JKS
아주	아주/MAG
높았다고	높/VA+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.134.12.1
KIA와 두산의 심리 상담을 맡고 있는 박미경 스포츠메디슨코리아 스포츠심리팀장은 “승부의 세계에 사는 선수들은 엄청난 스트레스를 받는데 이를 해소할 공간이 마땅히 없다.

KIA와	KIA/SL+와/JC
두산의	두산/NNP+의/JKG
심리	심리/NNG
상담을	상담/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
박미경	박미경/NNP
스포츠메디슨코리아	스포츠메디슨코리아/NNP
스포츠심리팀장은	스포츠/NNG+심리/NNG+팀장/NNG+은/JX
“승부의	“/SS+승부/NNG+의/JKG
세계에	세계/NNG+에/JKB
사는	살/VV+는/ETM
선수들은	선수/NNG+들/XSN+은/JX
엄청난	엄청나/VA+ㄴ/ETM
스트레스를	스트레스/NNG+를/JKO
받는데	받/VV+는데/EC
이를	이/NP+를/JKO
해소할	해소/NNG+하/XSV+ㄹ/ETM
공간이	공간/NNG+이/JKS
마땅히	마땅히/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.134.12.2
이들은 그저 편하게 자신의 얘기를 털어놓는 것만으로도 큰 안정을 느낀다.

이들은	이/NP+들/XSN+은/JX
그저	그저/MAG
편하게	편하/VA+게/EC
자신의	자신/NNG+의/JKG
얘기를	얘기/NNG+를/JKO
털어놓는	털어놓/VV+는/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
큰	크/VA+ㄴ/ETM
안정을	안정/NNG+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.134.12.3
이른바 정화작용이다”라고 말했다.

이른바	이른바/MAG
정화작용이다”라고	정화/NNG+작용/NNG+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.134.12.4
그는 “처음 자신의 얘기를 할 때는 타인 앞에서 옷을 벗는 느낌이 든다고 하는 선수가 있지만 한 번 편하게 말을 하면 야구 얘기뿐만 아니라 가족이나 사랑 얘기 등 다양한 이야기를 한다.

그는	그/NP+는/JX
“처음	“/SS+처음/NNG
자신의	자신/NNG+의/JKG
얘기를	얘기/NNG+를/JKO
할	하/VV+ㄹ/ETM
때는	때/NNG+는/JX
타인	타인/NNG
앞에서	앞/NNG+에서/JKB
옷을	옷/NNG+을/JKO
벗는	벗/VV+는/ETM
느낌이	느낌/NNG+이/JKS
든다고	들/VV+ㄴ다고/EC
하는	하/VV+는/ETM
선수가	선수/NNG+가/JKS
있지만	있/VA+지만/EC
한	한/MMN
번	번/NNB
편하게	편하/VA+게/EC
말을	말/NNG+을/JKO
하면	하/VV+면/EC
야구	야구/NNG
얘기뿐만	얘기/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
가족이나	가족/NNG+이나/JC
사랑	사랑/NNG
얘기	얘기/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.134.12.5
대화 속에서 자신이 몰랐던 장점을 부각시켜 주는 게 우리의 역할이다”고 설명했다.

대화	대화/NNG
속에서	속/NNG+에서/JKB
자신이	자신/NNG+이/JKS
몰랐던	모르/VV+았/EP+던/ETM
장점을	장점/NNG+을/JKO
부각시켜	부각/NNG+시키/XSV+어/EC
주는	주/VX+는/ETM
게	거/NNB+이/JKS
우리의	우리/NP+의/JKG
역할이다”고	역할/NNG+이/VCP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.134.13.1
8개 구단 가운데 유일하게 이 같은 프로그램을 운영하고 있지 않거나 운영한 적이 없는 구단은 최강팀 SK다.

8개	8/SN+개/NNB
구단	구단/NNG
가운데	가운데/NNG
유일하게	유일/NNG+하/XSA+게/EC
이	이/NP
같은	같/VA+은/ETM
프로그램을	프로그램/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않거나	않/VX+거나/EC
운영한	운영/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없는	없/VA+는/ETM
구단은	구단/NNG+은/JX
최강팀	최/XPN+강팀/NNG
SK다.	SK/SL+이/VCP+다/EF+./SF


# id : NWRW1800000025.134.13.2
하지만 SK 김성근 감독은 스프링 캠프와 마무리 캠프 때 매일 1시간씩 선수들을 상대로 정신 교육을 시킨다.

하지만	하지만/MAJ
SK	SK/SL
김성근	김성근/NNP
감독은	감독/NNG+은/JX
스프링	스프링/NNG
캠프와	캠프/NNG+와/JC
마무리	마무리/NNG
캠프	캠프/NNG
때	때/NNG
매일	매일/MAG
1시간씩	1/SN+시간/NNB+씩/XSN
선수들을	선수/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
정신	정신/NNG
교육을	교육/NNG+을/JKO
시킨다.	시키/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.134.13.3
자신의 경험을 녹여서 풀어내는 김 감독의 정신 교육은 그 자체로 선수들에게 큰 자극이 된다는 게 구단 측 설명이다.

자신의	자신/NNG+의/JKG
경험을	경험/NNG+을/JKO
녹여서	녹이/VV+어서/EC
풀어내는	풀어내/VV+는/ETM
김	김/NNP
감독의	감독/NNG+의/JKG
정신	정신/NNG
교육은	교육/NNG+은/JX
그	그/MMD
자체로	자체/NNG+로/JKB
선수들에게	선수/NNG+들/XSN+에게/JKB
큰	크/VA+ㄴ/ETM
자극이	자극/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
게	거/NNB+이/JKS
구단	구단/NNG
측	측/NNB
설명이다.	설명/NNG+이/VCP+다/EF+./SF


