# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.430
metadata : {}


# id : NWRW1800000048.430.1.1
선거구획정위 “법정 기한인 13일까지 결론”

선거구획정위	선거구/NNG+획정위/NNG
소집해	소집/NNG+하/XSV+아/EC
오는	오/VV+는/ETM
13일로	13/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
제출기한은	제출/NNG+기한/NNG+은/JX
반드시	반드시/MAG
지키겠다”고	지키/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.430.6.1
획정위는 특히 현행 공직선거법에선 금지하고 있지만, 국회 정치개혁특별위원회에서도 예외적으로 허용 여부를 검토하고 있는 자치구·시·군의 일부를 분할하는 방안을 논의하겠다고 밝혀, 그 결과에 따라 ‘게리멘더링’(자의적 선거구획정) 논란이 재연될 가능성이 높다.

획정위는	획정위/NNG+는/JX
특히	특히/MAG
현행	현행/NNG
공직선거법에선	공직/NNG+선거법/NNG+에서/JKB+ㄴ/JX
금지하고	금지/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
국회	국회/NNG
정치개혁특별위원회에서도	정치/NNG+개혁/NNG+특별/NNG+위원회/NNG+에서/JKB+도/JX
예외적으로	예외/NNG+적/XSN+으로/JKB
허용	허용/NNG
여부를	여부/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
자치구·시·군의	자치구/NNG+·/SP+시/NNG+·/SP+군/NNG+의/JKG
일부를	일부/NNG+를/JKO
분할하는	분할/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
논의하겠다고	논의/NNG+하/XSV+겠/EP+다고/EC
밝혀,	밝히/VV+어/EC+,/SP
그	그/MMD
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
‘게리멘더링’(자의적	‘/SS+게리멘더링/NNG+’/SS+(/SS+자의/NNG+적/XSN
선거구획정)	선거구/NNG+획정/NNG+)/SS
논란이	논란/NNG+이/JKS
재연될	재연/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000048.430.7.1
정치권도 적극적인 움직임에 나서고 있다.

정치권도	정치/NNG+권/XSN+도/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
움직임에	움직임/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.430.7.2
여야 원내대표는 5일 오전 국회에서 만나 선거구 획정 문제 등에 대해 논의할 예정이다.

여야	여야/NNG
원내대표는	원내/NNG+대표/NNG+는/JX
5일	5/SN+일/NNB
오전	오전/NNG
국회에서	국회/NNG+에서/JKB
만나	만나/VV+아/EC
선거구	선거구/NNG
획정	획정/NNG
문제	문제/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
논의할	논의/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.430.7.3
이날 회동의 핵심 쟁점은 지역구-비례대표 의석 비율 등이 될 것으로 보인다.

이날	이날/NNG
회동의	회동/NNG+의/JKG
핵심	핵심/NNG
쟁점은	쟁점/NNG+은/JX
지역구-비례대표	지역구/NNG+-/SO+비례/NNG+대표/NNG
의석	의석/NNG
비율	비율/NNG
등이	등/NNB+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.430.7.4
그러나 이에 대한 양당 입장차가 커, 조율은 쉽지 않을 전망이다.

그러나	그러나/MAJ
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
양당	양당/NNG
입장차가	입장/NNG+차/NNG+가/JKS
커,	크/VA+어/EC+,/SP
조율은	조율/NNG+은/JX
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


